network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,1206,0,0,,1,0.12580248174683697,0.0002074688796680498,0.9620916991309559,
BitcoinTransactions,1,1206,0,0,,2,0.1840585312256512,0.0006775067750677507,0.9845669763260414,
BitcoinTransactions,1,1206,0,0,,3,0.11712228060638072,0.00027662517289073305,0.9958046149235841,
BitcoinTransactions,1,1206,0,0,,4,0.12820106498246403,0.00011855364552459988,0.9069523524123464,
BitcoinTransactions,1,1206,0,0,,5,0.1448658498830263,0.0004152823920265781,0.948157027270003,
BitcoinTransactions,1,1206,0,0,,6,0.13343202664881457,0.0001037344398340249,0.9282289481570273,
BitcoinTransactions,1,1206,0,0,,7,0.1395562948180243,0.0002074688796680498,0.8988612526221157,
BitcoinTransactions,1,1206,0,0,,8,0.17058496678066407,0.00027662517289073305,0.8841774048546599,
BitcoinTransactions,1,1206,0,0,,9,0.1825864312366134,0.0004344048653344917,0.9006592747977225,
BitcoinTransactions,1,1206,0,0,,10,0.14805311074731292,0.00016597510373443983,0.9114474078513635,
BitcoinTransactions,1,1206,9,0.01,0.5,1,0.14794947893261517,0.0003568454859046033,0.9337728498651483,4.3311684131622314
BitcoinTransactions,1,1206,9,0.01,0.5,2,0.1282198355801791,0.0,0.87368894216362,4.402111053466797
BitcoinTransactions,1,1206,9,0.01,0.5,3,0.16334721157025092,0.00013831258644536652,0.901857956248127,4.381636381149292
BitcoinTransactions,1,1206,9,0.01,0.5,4,0.12511934468990357,0.0002074688796680498,0.9826191189691339,4.380897283554077
BitcoinTransactions,1,1206,9,0.01,0.5,5,0.19657746035470916,0.0003997867803837953,0.950254719808211,4.11749267578125
BitcoinTransactions,1,1206,9,0.01,0.5,6,0.17598427269705907,0.0003168567807351077,0.9525022475277195,4.049264430999756
BitcoinTransactions,1,1206,9,0.01,0.5,7,0.16363566753852196,0.00013831258644536652,0.9054540005993408,4.536865234375
BitcoinTransactions,1,1206,9,0.01,0.5,8,0.15052363901777654,0.0002074688796680498,0.9463590050943962,4.219433546066284
BitcoinTransactions,1,1206,9,0.01,0.5,9,0.14025806929008788,0.00041736227045075126,0.9322744980521427,4.352640867233276
BitcoinTransactions,1,1206,9,0.01,0.5,10,0.1601246336515385,0.00034305317324185246,0.9484566976326041,4.289883375167847
BitcoinTransactions,1,1206,44,0.05,0.5,1,0.12248107034836407,0.00016597510373443983,0.8741384477075217,4.384049415588379
BitcoinTransactions,1,1206,44,0.05,0.5,2,0.1703336169267229,0.0005411255411255411,0.9160922984716812,4.140160799026489
BitcoinTransactions,1,1206,44,0.05,0.5,3,0.16078460353366908,0.0004152823920265781,0.9387174108480671,4.389536142349243
BitcoinTransactions,1,1206,44,0.05,0.5,4,0.15051364374672038,0.00027662517289073305,0.933173509139946,4.376971006393433
BitcoinTransactions,1,1206,44,0.05,0.5,5,0.1449572650997505,0.0004512635379061372,0.9872640095894516,4.251282453536987
BitcoinTransactions,1,1206,44,0.05,0.5,6,0.14366665092997502,0.0005732301519059903,0.9898112076715613,4.302087068557739
BitcoinTransactions,1,1206,44,0.05,0.5,7,0.18404687869661265,0.00033840947546531303,0.9474078513635001,4.237016201019287
BitcoinTransactions,1,1206,44,0.05,0.5,8,0.1374995855777765,0.00027731558513588466,0.9489062031765059,4.348462104797363
BitcoinTransactions,1,1206,44,0.05,0.5,9,0.16215172221599386,0.0002074688796680498,0.8993107581660174,4.3732030391693115
BitcoinTransactions,1,1206,44,0.05,0.5,10,0.13272703287292428,0.0002768549280177187,0.9745280191789032,4.420287609100342
BitcoinTransactions,1,1206,87,0.1,0.5,1,0.11810771185304154,0.00033277870216306157,0.974228348816302,4.418879270553589
BitcoinTransactions,1,1206,87,0.1,0.5,2,0.1286946211127796,0.00027917364600781687,0.9528019178903206,4.342586278915405
BitcoinTransactions,1,1206,87,0.1,0.5,3,0.14037755436216284,0.0002074688796680498,0.9537009289781241,4.3741724491119385
BitcoinTransactions,1,1206,87,0.1,0.5,4,0.14778563249529467,0.0006260434056761269,0.9908600539406652,4.367201805114746
