mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.3,0.4,0,39,0,0,0,0.7627000346037018,0.009411764705882352,0.22580645161290322,
0.3,0.4,0,39,3,0.01,0.0,1,0.7887266281690679,0.005042016806722689,0.12486992715920915,1.4190497398376465
0.3,0.4,0,39,3,0.01,0.0,2,0.7226867202859604,0.006085192697768763,0.1696149843912591,1.3310480117797852
0.3,0.4,0,39,3,0.01,0.0,3,0.7076244127791621,0.015345268542199489,0.28407908428720086,1.3364503383636475
0.3,0.4,0,39,3,0.01,0.0,4,0.8045276075741121,0.005190311418685121,0.10822060353798127,1.3214068412780762
0.3,0.4,0,39,3,0.01,0.0,5,0.7990907885715749,0.0033783783783783786,0.14360041623309053,1.324962854385376
0.3,0.4,0,39,3,0.01,0.0,6,0.7389597227011662,0.0053475935828877,0.18834547346514047,1.3289399147033691
0.3,0.4,0,39,3,0.01,0.0,7,0.7834125699665374,0.005357142857142857,0.0967741935483871,1.3229987621307373
0.3,0.4,0,39,3,0.01,0.0,8,0.7126262054134148,0.005042016806722689,0.22164412070759626,1.4548754692077637
0.3,0.4,0,39,3,0.01,0.0,9,0.7803855528599285,0.011764705882352941,0.2663891779396462,1.3259708881378174
0.3,0.4,0,39,3,0.01,0.0,10,0.7731173165073953,0.008403361344537815,0.2081165452653486,1.3332188129425049
0.3,0.4,0,39,3,0.01,0.0,11,0.7389136609895401,0.02262443438914027,0.2278876170655567,1.3206613063812256
0.3,0.4,0,39,3,0.01,0.0,12,0.6984337201920021,0.0056925996204933585,0.17273673257023933,1.3229930400848389
0.3,0.4,0,39,3,0.01,0.0,13,0.8572368021913755,0.0032679738562091504,0.08012486992715921,1.324528455734253
0.3,0.4,0,39,3,0.01,0.0,14,0.7329390110993056,0.005115089514066497,0.013527575442247659,1.3277819156646729
0.3,0.4,0,39,3,0.01,0.0,15,0.7675106298753551,0.0196078431372549,0.3381893860561915,1.2277438640594482
0.3,0.4,0,39,3,0.01,0.0,16,0.7707688248314494,0.0029411764705882353,0.006243496357960458,1.3441250324249268
0.3,0.4,0,39,3,0.01,0.0,17,0.7323736646600237,0.008714596949891068,0.1987513007284079,1.2019922733306885
