mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.5,0.4,0,39,0,0,0,0.2525097293078272,0.0784313725490196,0.668054110301769,
0.5,0.4,0,39,1,0.01,0.75,1,0.2946507193646031,0.10294117647058823,0.7939646201873048,1.4270224571228027
0.5,0.4,0,39,1,0.01,0.75,2,0.2485894237458977,0.12605042016806722,0.8896982310093653,1.323915719985962
0.5,0.4,0,39,1,0.01,0.75,3,0.2342187135026578,0.09803921568627451,0.886576482830385,1.3265364170074463
0.5,0.4,0,39,1,0.01,0.75,4,0.25285102353523436,0.09558823529411764,0.7336108220603538,1.3250243663787842
0.5,0.4,0,39,1,0.01,0.75,5,0.21993497721580693,0.0915032679738562,0.7950052029136316,1.3337032794952393
0.5,0.4,0,39,1,0.01,0.75,6,0.24867394441478707,0.11764705882352941,0.6586888657648283,1.3325989246368408
0.5,0.4,0,39,1,0.01,0.75,7,0.2518450247168929,0.11764705882352941,0.9448491155046826,1.3288848400115967
0.5,0.4,0,39,1,0.01,0.75,8,0.23538940419271143,0.10294117647058823,0.8022892819979188,1.4481608867645264
0.5,0.4,0,39,1,0.01,0.75,9,0.24873919199062475,0.14705882352941177,0.8688865764828304,1.3377165794372559
0.5,0.4,0,39,1,0.01,0.75,10,0.25615757161962716,0.09558823529411764,0.7887617065556711,1.323136329650879
0.5,0.4,0,39,1,0.01,0.75,11,0.23607969942416276,0.25,1.0,1.3182153701782227
0.5,0.4,0,39,1,0.01,0.75,12,0.2575531983577215,0.08088235294117647,0.6493236212278877,1.3282837867736816
0.5,0.4,0,39,1,0.01,0.75,13,0.260322123207658,0.12745098039215685,0.7513007284079084,1.3317639827728271
0.5,0.4,0,39,1,0.01,0.75,14,0.24817126121493516,0.12745098039215685,0.7460978147762747,1.3288156986236572
0.5,0.4,0,39,1,0.01,0.75,15,0.24792158458962085,0.12745098039215685,0.7481789802289281,1.4639768600463867
0.5,0.4,0,39,1,0.01,0.75,16,0.2653161352786075,0.09558823529411764,0.7377731529656608,1.3213045597076416
0.5,0.4,0,39,1,0.01,0.75,17,0.2723189096928318,0.10784313725490197,0.6742976066597295,1.2240848541259766
0.5,0.4,0,39,1,0.01,0.75,18,0.2735592089039309,0.09558823529411764,0.7918834547346514,1.2078492641448975
0.5,0.4,0,39,1,0.01,0.75,19,0.2389336959007689,0.14705882352941177,0.894901144640999,1.218137264251709
0.5,0.4,0,39,1,0.01,0.75,20,0.23301101578035663,0.13725490196078433,0.8251821019771072,1.2106928825378418
0.5,0.4,0,39,1,0.01,0.75,21,0.2534286071063098,0.13725490196078433,0.8283038501560874,1.216463327407837
0.5,0.4,0,39,1,0.01,0.75,22,0.25086517331144426,0.13725490196078433,0.8636836628511967,1.3606436252593994
0.5,0.4,0,39,1,0.01,0.75,23,0.24708912168132,0.1092436974789916,0.7200832466181062,1.21632981300354
0.5,0.4,0,39,1,0.01,0.75,24,0.26550267709703285,0.16470588235294117,0.8428720083246618,1.228703498840332
0.5,0.4,0,39,1,0.01,0.75,25,0.2697803870526059,0.10457516339869281,0.9323621227887617,1.2357370853424072
0.5,0.4,0,39,1,0.01,0.75,26,0.25349781048613884,0.11764705882352941,0.8345473465140478,1.2252962589263916
0.5,0.4,0,39,1,0.01,0.75,27,0.25336424483577336,0.16470588235294117,0.7960457856399584,1.2206921577453613
0.5,0.4,0,39,1,0.01,0.75,28,0.20513509733898222,0.15294117647058825,0.7377731529656608,1.219404697418213
0.5,0.4,0,39,1,0.01,0.75,29,0.2807567532718131,0.13725490196078433,0.8126951092611863,1.2291944026947021
0.5,0.4,0,39,1,0.01,0.75,30,0.2567225765694463,0.07058823529411765,0.676378772112383,1.3613245487213135
0.5,0.4,0,39,1,0.01,0.75,31,0.24715084370108115,0.09803921568627451,0.8844953173777316,1.234266996383667
0.5,0.4,0,39,1,0.01,0.75,32,0.26379420370111656,0.10084033613445378,0.6753381893860562,1.2239959239959717
0.5,0.4,0,39,1,0.01,0.75,33,0.2303362240312865,0.14705882352941177,0.8813735691987513,1.2389662265777588
0.5,0.4,0,39,1,0.01,0.75,34,0.24948193222217604,0.12605042016806722,0.927159209157128,1.2345707416534424
0.5,0.4,0,39,1,0.01,0.75,35,0.232960401319245,0.13725490196078433,0.8314255983350677,1.2269437313079834
0.5,0.4,0,39,1,0.01,0.75,36,0.254183260960029,0.1092436974789916,0.7627471383975026,1.2341437339782715
0.5,0.4,0,39,1,0.01,0.75,37,0.23279557944286675,0.09803921568627451,0.8844953173777316,1.3656959533691406
0.5,0.4,0,39,1,0.01,0.75,38,0.25616308450923647,0.07058823529411765,0.7075962539021852,1.2246549129486084
0.5,0.4,0,39,1,0.01,0.75,39,0.2648283178119924,0.14705882352941177,0.8761706555671176,1.2193875312805176
0.5,0.4,0,39,1,0.01,0.75,40,0.2453680431499963,0.17647058823529413,0.9001040582726326,1.232480764389038
0.5,0.4,0,39,1,0.01,0.75,41,0.25430151803944434,0.08496732026143791,0.7617065556711758,1.2196931838989258
0.5,0.4,0,39,1,0.01,0.75,42,0.2536198256169394,0.15294117647058825,0.7617065556711758,1.2224571704864502
0.5,0.4,0,39,1,0.01,0.75,43,0.2607255031757347,0.09803921568627451,0.890738813735692,1.208770990371704
0.5,0.4,0,39,1,0.01,0.75,44,0.24547190996038035,0.12745098039215685,0.7429760665972945,1.357353687286377
0.5,0.4,0,39,1,0.01,0.75,45,0.26614978082138907,0.09558823529411764,0.7263267429760666,1.2135789394378662
0.5,0.4,0,39,1,0.01,0.75,46,0.2663813418288933,0.09803921568627451,0.8980228928199792,1.2243561744689941
0.5,0.4,0,39,1,0.01,0.75,47,0.2615927906566467,0.06417112299465241,0.6951092611862643,1.2062156200408936
0.5,0.4,0,39,1,0.01,0.75,48,0.246726431070246,0.14705882352941177,0.9021852237252862,1.2025697231292725
0.5,0.4,0,39,1,0.01,0.75,49,0.24283033493740755,0.12745098039215685,0.7252861602497399,1.209890604019165
0.5,0.4,0,39,1,0.01,0.75,50,0.2381420069466814,0.10294117647058823,0.813735691987513,1.214712142944336
0.5,0.4,0,39,1,0.01,1.0,1,0.23593892988005857,0.0784313725490196,0.7065556711758585,1.2052085399627686
0.5,0.4,0,39,1,0.01,1.0,2,0.2795790859032752,0.11764705882352941,0.8397502601456815,1.3442046642303467
0.5,0.4,0,39,1,0.01,1.0,3,0.24444765385613254,0.12745098039215685,0.7804370447450573,1.210453748703003
0.5,0.4,0,39,1,0.01,1.0,4,0.22735765712610712,0.12605042016806722,0.8480749219562955,1.2086284160614014
0.5,0.4,0,39,1,0.01,1.0,5,0.2383561280689886,0.09803921568627451,0.9042663891779397,1.2145817279815674
0.5,0.4,0,39,1,0.01,1.0,6,0.25028626030500106,0.09558823529411764,0.8106139438085328,1.2140533924102783
0.5,0.4,0,39,1,0.01,1.0,7,0.26616495154085884,0.08235294117647059,0.8605619146722164,1.203193187713623
0.5,0.4,0,39,1,0.01,1.0,8,0.2623477936095069,0.10294117647058823,0.8532778355879292,1.2114086151123047
0.5,0.4,0,39,1,0.01,1.0,9,0.22029797535759144,0.10084033613445378,0.7107180020811654,1.3598518371582031
0.5,0.4,0,39,1,0.01,1.0,10,0.23533591126736683,0.12605042016806722,0.8428720083246618,1.2159221172332764
0.5,0.4,0,39,1,0.01,1.0,11,0.2737327376712774,0.14705882352941177,0.899063475546306,1.201890468597412
0.5,0.4,0,39,1,0.01,1.0,12,0.2709382372463943,0.12745098039215685,0.8064516129032258,1.2059807777404785
0.5,0.4,0,39,1,0.01,1.0,13,0.264096495938347,0.12745098039215685,0.7242455775234131,1.2054717540740967
0.5,0.4,0,39,1,0.01,1.0,14,0.23263219988025316,0.12745098039215685,0.7533818938605619,1.203840970993042
0.5,0.4,0,39,1,0.01,1.0,15,0.2765628582078905,0.09803921568627451,0.5535900104058272,1.2452633380889893
0.5,0.4,0,39,1,0.01,1.0,16,0.24766473663405644,0.07058823529411765,0.7554630593132154,1.2179756164550781
0.5,0.4,0,39,1,0.01,1.0,17,0.2369181389270793,0.12745098039215685,0.7721123829344433,1.3628735542297363
0.5,0.4,0,39,1,0.01,1.0,18,0.28097416071681325,0.17647058823529413,0.8928199791883454,1.21142578125
0.5,0.4,0,39,1,0.01,1.0,19,0.21179624020766982,0.1092436974789916,0.8116545265348595,1.2161211967468262
0.5,0.4,0,39,1,0.01,1.0,20,0.22988386567296112,0.10294117647058823,0.8293444328824141,1.2130701541900635
0.5,0.4,0,39,1,0.01,1.0,21,0.23276992898159862,0.0915032679738562,0.8199791883454735,1.2165398597717285
0.5,0.4,0,39,1,0.01,1.0,22,0.22316889821711147,0.17647058823529413,0.8969823100936525,1.2058122158050537
0.5,0.4,0,39,1,0.01,1.0,23,0.27326918166829556,0.13725490196078433,0.8532778355879292,1.2102680206298828
0.5,0.4,0,39,1,0.01,1.0,24,0.2605021006699983,0.0784313725490196,0.7211238293444329,1.3589308261871338
0.5,0.4,0,39,1,0.01,1.0,25,0.2636031346354936,0.13725490196078433,0.8366285119667014,1.2143540382385254
0.5,0.4,0,39,1,0.01,1.0,26,0.23366138542825304,0.10294117647058823,0.7950052029136316,1.2077438831329346
0.5,0.4,0,39,1,0.01,1.0,27,0.2532117163832825,0.14705882352941177,0.8657648283038502,1.2115137577056885
0.5,0.4,0,39,1,0.01,1.0,28,0.22901976812648694,0.14705882352941177,0.8959417273673257,1.2141733169555664
0.5,0.4,0,39,1,0.01,1.0,29,0.25505539794652204,0.11764705882352941,0.708636836628512,1.2171568870544434
0.5,0.4,0,39,1,0.01,1.0,30,0.26765642750861685,0.17647058823529413,0.886576482830385,1.2106928825378418
0.5,0.4,0,39,1,0.01,1.0,31,0.2590186383845739,0.11764705882352941,0.6930280957336108,1.2143745422363281
0.5,0.4,0,39,1,0.01,1.0,32,0.2565492372903477,0.12745098039215685,0.7513007284079084,1.3590469360351562
0.5,0.4,0,39,1,0.01,1.0,33,0.24274770270573431,0.0915032679738562,0.7970863683662851,1.2056753635406494
0.5,0.4,0,39,1,0.01,1.0,34,0.24547128651515943,0.10294117647058823,0.8522372528616025,1.2039744853973389
0.5,0.4,0,39,1,0.01,1.0,35,0.26180131961459624,0.14705882352941177,0.882414151925078,1.2021453380584717
0.5,0.4,0,39,1,0.01,1.0,36,0.20740316258874963,0.09558823529411764,0.768990634755463,1.2014217376708984
0.5,0.4,0,39,1,0.01,1.0,37,0.23333668870319665,0.08823529411764706,0.8855359001040582,1.2004640102386475
0.5,0.4,0,39,1,0.01,1.0,38,0.2767002433531187,0.09558823529411764,0.7804370447450573,1.2036747932434082
0.5,0.4,0,39,1,0.01,1.0,39,0.2405549898104883,0.09558823529411764,0.7565036420395421,1.4060988426208496
0.5,0.4,0,39,1,0.01,1.0,40,0.27181182786934527,0.1411764705882353,0.6992715920915713,1.226985216140747
0.5,0.4,0,39,1,0.01,1.0,41,0.2745792792394542,0.11764705882352941,0.8574401664932362,1.207993745803833
0.5,0.4,0,39,1,0.01,1.0,42,0.25575085107877943,0.13725490196078433,0.7991675338189386,1.2096922397613525
0.5,0.4,0,39,1,0.01,1.0,43,0.23987058975885156,0.08235294117647059,0.8553590010405827,1.2166574001312256
0.5,0.4,0,39,1,0.01,1.0,44,0.23234404715293414,0.10294117647058823,0.8022892819979188,1.2124912738800049
0.5,0.4,0,39,1,0.01,1.0,45,0.25335306454103057,0.0915032679738562,0.7970863683662851,1.2195794582366943
0.5,0.4,0,39,1,0.01,1.0,46,0.26288127696668445,0.09243697478991597,0.631633714880333,1.2104589939117432
0.5,0.4,0,39,1,0.01,1.0,47,0.2527044473189463,0.13725490196078433,0.8376690946930281,1.3742437362670898
0.5,0.4,0,39,1,0.01,1.0,48,0.22415058675213312,0.09243697478991597,0.6462018730489074,1.2143256664276123
0.5,0.4,0,39,1,0.01,1.0,49,0.26434277822905006,0.08496732026143791,0.8085327783558793,1.2060754299163818
0.5,0.4,0,39,1,0.01,1.0,50,0.2588801019382958,0.11764705882352941,0.6971904266389178,1.212825059890747
0.5,0.4,0,39,5,0.05,0.75,1,0.28547669768455614,0.15294117647058825,0.7273673257023934,1.2079377174377441
0.5,0.4,0,39,5,0.05,0.75,2,0.26876457228452355,0.09243697478991597,0.6181061394380853,1.2118642330169678
0.5,0.4,0,39,5,0.05,0.75,3,0.2901722872714879,0.11764705882352941,0.8449531737773153,1.2089307308197021
0.5,0.4,0,39,5,0.05,0.75,4,0.24588228893543015,0.09243697478991597,0.6524453694068678,1.363588571548462
0.5,0.4,0,39,5,0.05,0.75,5,0.2510335871207068,0.12745098039215685,0.7440166493236212,1.214143991470337
0.5,0.4,0,39,5,0.05,0.75,6,0.24072431328768498,0.16470588235294117,0.7877211238293444,1.201854944229126
0.5,0.4,0,39,5,0.05,0.75,7,0.2609093975480399,0.08823529411764706,0.7034339229968782,1.215686559677124
0.5,0.4,0,39,5,0.05,0.75,8,0.2734298501579367,0.13725490196078433,0.8012486992715921,1.2037479877471924
0.5,0.4,0,39,5,0.05,0.75,9,0.21175260834881401,0.08496732026143791,0.7398543184183143,1.211097240447998
0.5,0.4,0,39,5,0.05,0.75,10,0.24362743438962128,0.08496732026143791,0.768990634755463,1.2079808712005615
0.5,0.4,0,39,5,0.05,0.75,11,0.23032402952494818,0.08496732026143791,0.736732570239334,1.2180824279785156
0.5,0.4,0,39,5,0.05,0.75,12,0.26699796071841375,0.10294117647058823,0.7887617065556711,1.3661255836486816
