mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.2,0.01,0,31,0,0,0,0.215832499553984,0.017857142857142856,0.2807017543859649,
0.2,0.01,0,31,3,0.01,0.5,1,0.2349886052835159,0.0763888888888889,0.45304437564499483,1.4848148822784424
0.2,0.01,0,31,3,0.01,0.5,2,0.2247974274815125,0.020833333333333332,0.37048503611971106,1.450725793838501
0.2,0.01,0,31,3,0.01,0.5,3,0.22061745928520504,0.017361111111111112,0.21981424148606812,1.467024803161621
0.2,0.01,0,31,3,0.01,0.5,4,0.22727373800004202,0.01282051282051282,0.18885448916408668,1.4730534553527832
0.2,0.01,0,31,3,0.01,0.5,5,0.22200239950956902,0.017857142857142856,0.2518059855521156,1.4704222679138184
0.2,0.01,0,31,3,0.01,0.5,6,0.23046722785637194,0.014705882352941176,0.2435500515995872,1.6102755069732666
0.2,0.01,0,31,3,0.01,0.5,7,0.23567199362462835,0.02564102564102564,0.35294117647058826,1.4626123905181885
0.2,0.01,0,31,3,0.01,0.5,8,0.2573220573709785,0.007246376811594203,0.17647058823529413,1.4817466735839844
0.2,0.01,0,31,3,0.01,0.5,9,0.23167273081861275,0.011111111111111112,0.20227038183694532,1.474743127822876
0.2,0.01,0,31,3,0.01,0.5,10,0.2290535147235791,0.019230769230769232,0.27450980392156865,1.4829151630401611
0.2,0.01,0,31,3,0.01,0.5,11,0.27332598274640485,0.01282051282051282,0.16202270381836945,1.463853120803833
0.2,0.01,0,31,3,0.01,0.5,12,0.2423763484359185,0.030303030303030304,0.35500515995872034,1.441260814666748
0.2,0.01,0,31,3,0.01,0.5,13,0.25301824219296554,0.05092592592592592,0.44169246646026833,1.4754540920257568
0.2,0.01,0,31,3,0.01,0.5,14,0.27242387149634417,0.018229166666666668,0.2549019607843137,1.631697654724121
0.2,0.01,0,31,3,0.01,0.5,15,0.2040511418357908,0.06770833333333333,0.5479876160990712,1.4800951480865479
0.2,0.01,0,31,3,0.01,0.5,16,0.23574023349894982,0.02564102564102564,0.3137254901960784,1.4719831943511963
0.2,0.01,0,31,3,0.01,0.5,17,0.2589235729313442,0.01488095238095238,0.20949432404540763,1.4645471572875977
0.2,0.01,0,31,3,0.01,0.5,18,0.269616392276364,0.0125,0.25593395252837975,1.472081184387207
0.2,0.01,0,31,3,0.01,0.5,19,0.2650734778686312,0.027777777777777776,0.32301341589267285,1.4778141975402832
0.2,0.01,0,31,3,0.01,0.5,20,0.2256530268850912,0.027777777777777776,0.37564499484004127,1.482872724533081
0.2,0.01,0,31,3,0.01,0.65,1,0.21765353018086847,0.008333333333333333,0.11558307533539731,1.4647212028503418
0.2,0.01,0,31,3,0.01,0.65,2,0.24512791802842385,0.012254901960784314,0.19401444788441694,1.630563735961914
0.2,0.01,0,31,3,0.01,0.65,3,0.24577379299412982,0.012254901960784314,0.23529411764705882,1.4672589302062988
0.2,0.01,0,31,3,0.01,0.65,4,0.27842747731342754,0.011574074074074073,0.22910216718266255,1.4544532299041748
0.2,0.01,0,31,3,0.01,0.65,5,0.2228294121765293,0.03125,0.3849329205366357,1.4664065837860107
0.2,0.01,0,31,3,0.01,0.65,6,0.19620791145438038,0.020833333333333332,0.26418988648090813,1.4629151821136475
0.2,0.01,0,31,3,0.01,0.65,7,0.2194157992460995,0.052083333333333336,0.4282765737874097,1.4512124061584473
0.2,0.01,0,31,3,0.01,0.65,8,0.2424632641271214,0.036458333333333336,0.27450980392156865,1.4796414375305176
0.2,0.01,0,31,3,0.01,0.65,9,0.24217811493896493,0.017857142857142856,0.2590299277605779,1.475078821182251
0.2,0.01,0,31,3,0.01,0.65,10,0.24082101979041506,0.026515151515151516,0.3023735810113519,1.5841000080108643
0.2,0.01,0,31,3,0.01,0.65,11,0.22933440892650497,0.013888888888888888,0.25696594427244585,1.397322416305542
0.2,0.01,0,31,3,0.01,0.65,12,0.28824044892176526,0.026785714285714284,0.34262125902992774,1.3783488273620605
0.2,0.01,0,31,3,0.01,0.65,13,0.22983312460138847,0.036458333333333336,0.29927760577915374,1.4114258289337158
0.2,0.01,0,31,3,0.01,0.65,14,0.22702188349992242,0.03409090909090909,0.4200206398348813,1.3907043933868408
0.2,0.01,0,31,3,0.01,0.65,15,0.20757922618938607,0.009259259259259259,0.15583075335397317,1.4087419509887695
0.2,0.01,0,31,3,0.01,0.65,16,0.2621327113790596,0.020833333333333332,0.29205366357069146,1.4094429016113281
0.2,0.01,0,31,3,0.01,0.65,17,0.2422796238470688,0.0625,0.49638802889576883,1.4089305400848389
0.2,0.01,0,31,3,0.01,0.65,18,0.23337299909407558,0.011574074074074073,0.21362229102167182,1.5798969268798828
0.2,0.01,0,31,3,0.01,0.65,19,0.25260714471403084,0.014705882352941176,0.23529411764705882,1.3989737033843994
0.2,0.01,0,31,3,0.01,0.65,20,0.2422114143962981,0.017857142857142856,0.24561403508771928,1.3606183528900146
0.2,0.01,0,31,13,0.05,0.5,1,0.2653591772899987,0.00980392156862745,0.18782249742002063,1.372816801071167
0.2,0.01,0,31,13,0.05,0.5,2,0.24475777579631885,0.036458333333333336,0.30030959752321984,1.3703052997589111
