mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.5,0.01,0,64,0,0,0,0.06709237201681867,0.125,0.7681623931623932,
0.5,0.01,0,64,5,0.01,0.8,1,0.06430304788652726,0.09259259259259259,0.811965811965812,1.5130982398986816
0.5,0.01,0,64,5,0.01,0.8,2,0.06829637728315584,0.08854166666666667,0.7072649572649573,1.421112060546875
0.5,0.01,0,64,5,0.01,0.8,3,0.06458667040380017,0.09259259259259259,0.8675213675213675,1.4217529296875
0.5,0.01,0,64,5,0.01,0.8,4,0.06983107016636261,0.14583333333333334,0.8910256410256411,1.4284899234771729
0.5,0.01,0,64,5,0.01,0.8,5,0.07045641731949938,0.10416666666666667,0.842948717948718,1.4251317977905273
0.5,0.01,0,64,5,0.01,0.8,6,0.06570842022495492,0.10648148148148148,0.9797008547008547,1.5663714408874512
0.5,0.01,0,64,5,0.01,0.8,7,0.06439807931398729,0.19166666666666668,0.9540598290598291,1.4101693630218506
0.5,0.01,0,64,5,0.01,0.8,8,0.0697648551848338,0.1597222222222222,0.9604700854700855,1.4184260368347168
0.5,0.01,0,64,5,0.01,0.8,9,0.07162373535743288,0.08333333333333333,0.8504273504273504,1.4098737239837646
0.5,0.01,0,64,5,0.01,0.8,10,0.059954156982804874,0.08796296296296297,0.8151709401709402,1.4216206073760986
0.5,0.01,0,64,5,0.01,0.8,11,0.0656074654776624,0.08333333333333333,0.8632478632478633,1.4134488105773926
0.5,0.01,0,64,5,0.01,0.8,12,0.07025169450875288,0.10416666666666667,0.8237179487179487,1.4073688983917236
0.5,0.01,0,64,5,0.01,0.8,13,0.06860823354319072,0.14583333333333334,0.8814102564102564,1.5686557292938232
0.5,0.01,0,64,5,0.01,0.8,14,0.07609683206040316,0.09166666666666666,0.936965811965812,1.4256377220153809
0.5,0.01,0,64,5,0.01,0.8,15,0.071172880432663,0.1597222222222222,0.9583333333333334,1.4283406734466553
0.5,0.01,0,64,5,0.01,0.8,16,0.06941316276183264,0.08796296296296297,0.8301282051282052,1.418536901473999
0.5,0.01,0,64,5,0.01,0.8,17,0.0730297913768895,0.08854166666666667,0.7318376068376068,1.4230718612670898
0.5,0.01,0,64,5,0.01,0.8,18,0.06645563055154723,0.10185185185185185,0.9123931623931624,1.4134907722473145
0.5,0.01,0,64,5,0.01,0.8,19,0.0629072036954384,0.14583333333333334,0.8696581196581197,1.425708293914795
0.5,0.01,0,64,5,0.01,0.8,20,0.06524718071023704,0.05448717948717949,0.7158119658119658,1.4044480323791504
0.5,0.01,0,64,5,0.01,0.95,1,0.06487753953049796,0.125,0.8963675213675214,1.4138317108154297
0.5,0.01,0,64,5,0.01,0.95,2,0.05949494128842468,0.1388888888888889,0.8344017094017094,1.6019854545593262
0.5,0.01,0,64,5,0.01,0.95,3,0.06493528616832882,0.109375,0.9252136752136753,1.4083337783813477
0.5,0.01,0,64,5,0.01,0.95,4,0.06843210993788304,0.07575757575757576,0.8301282051282052,1.415243148803711
0.5,0.01,0,64,5,0.01,0.95,5,0.07128265182441113,0.11904761904761904,0.8279914529914529,1.4105961322784424
0.5,0.01,0,64,5,0.01,0.95,6,0.07163800001819794,0.19166666666666668,0.9583333333333334,1.4108154773712158
0.5,0.01,0,64,5,0.01,0.95,7,0.06381953725026564,0.125,0.8814102564102564,1.4069817066192627
0.5,0.01,0,64,5,0.01,0.95,8,0.06017147244476384,0.09259259259259259,0.8611111111111112,1.4135937690734863
0.5,0.01,0,64,5,0.01,0.95,9,0.0665571396597617,0.059027777777777776,0.7425213675213675,1.40254807472229
0.5,0.01,0,64,5,0.01,0.95,10,0.06339682075634431,0.1130952380952381,0.8247863247863247,1.598512887954712
0.5,0.01,0,64,5,0.01,0.95,11,0.0610311193129029,0.03125,1.0,1.4238286018371582
0.5,0.01,0,64,5,0.01,0.95,12,0.07327438332413763,0.08333333333333333,0.8247863247863247,1.4216468334197998
0.5,0.01,0,64,5,0.01,0.95,13,0.07218629199216826,0.10714285714285714,0.7585470085470085,1.4096570014953613
0.5,0.01,0,64,5,0.01,0.95,14,0.06721010113387654,0.09259259259259259,0.844017094017094,1.4189167022705078
0.5,0.01,0,64,5,0.01,0.95,15,0.057483999999999945,0.0,1.0,1.4188969135284424
0.5,0.01,0,64,5,0.01,0.95,16,0.06936913918385954,0.14583333333333334,0.907051282051282,1.404066801071167
0.5,0.01,0,64,5,0.01,0.95,17,0.06467449521621324,0.19166666666666668,0.9594017094017094,1.403691291809082
0.5,0.01,0,64,5,0.01,0.95,18,0.06627635027435407,0.11458333333333333,0.9091880341880342,1.5769641399383545
0.5,0.01,0,64,5,0.01,0.95,19,0.07040505807704991,0.11979166666666667,0.967948717948718,1.4119625091552734
0.5,0.01,0,64,5,0.01,0.95,20,0.06750908321904077,0.07916666666666666,0.8279914529914529,1.4014430046081543
0.5,0.01,0,64,27,0.05,0.8,1,0.05942100670570203,0.1388888888888889,0.8589743589743589,1.3985857963562012
0.5,0.01,0,64,27,0.05,0.8,2,0.06706530163734797,0.10416666666666667,0.8311965811965812,1.4157016277313232
0.5,0.01,0,64,27,0.05,0.8,3,0.06739795207546953,0.08854166666666667,0.7788461538461539,1.430999755859375
0.5,0.01,0,64,27,0.05,0.8,4,0.06441339595787592,0.13690476190476192,0.9615384615384616,1.4092726707458496
0.5,0.01,0,64,27,0.05,0.8,5,0.06539120897056985,0.08712121212121213,0.9594017094017094,1.4227464199066162
0.5,0.01,0,64,27,0.05,0.8,6,0.0709892184068925,0.1527777777777778,0.938034188034188,1.5882365703582764
0.5,0.01,0,64,27,0.05,0.8,7,0.06590721076537778,0.18333333333333332,0.9529914529914529,1.4272608757019043
0.5,0.01,0,64,27,0.05,0.8,8,0.062386972510697816,0.10648148148148148,0.9476495726495726,1.4264628887176514
0.5,0.01,0,64,27,0.05,0.8,9,0.06650804452493843,0.09259259259259259,0.8215811965811965,1.420788049697876
0.5,0.01,0,64,27,0.05,0.8,10,0.07351426799086234,0.1527777777777778,0.8952991452991453,1.3896400928497314
0.5,0.01,0,64,27,0.05,0.8,11,0.0664268937242459,0.10119047619047619,0.7318376068376068,1.422532558441162
0.5,0.01,0,64,27,0.05,0.8,12,0.06732279340983735,0.13690476190476192,0.9583333333333334,1.4219558238983154
0.5,0.01,0,64,27,0.05,0.8,13,0.06764049071791217,0.08333333333333333,0.8301282051282052,1.4151499271392822
0.5,0.01,0,64,27,0.05,0.8,14,0.0758762258578006,0.13095238095238096,0.9284188034188035,1.589012861251831
0.5,0.01,0,64,27,0.05,0.8,15,0.066140415041485,0.18333333333333332,0.9284188034188035,1.4290380477905273
0.5,0.01,0,64,27,0.05,0.8,16,0.06209410684814907,0.18333333333333332,0.9134615384615384,1.418489933013916
0.5,0.01,0,64,27,0.05,0.8,17,0.06408602387754592,0.11458333333333333,0.9155982905982906,1.4204611778259277
0.5,0.01,0,64,27,0.05,0.8,18,0.06852556028374758,0.1388888888888889,0.8536324786324786,1.4203903675079346
0.5,0.01,0,64,27,0.05,0.8,19,0.06431505592788012,0.11904761904761904,0.8568376068376068,1.4175219535827637
0.5,0.01,0,64,27,0.05,0.8,20,0.06412368799317875,0.11458333333333333,0.9241452991452992,1.4042842388153076
0.5,0.01,0,64,27,0.05,0.95,1,0.07051348782507591,0.13194444444444445,0.813034188034188,1.417475700378418
0.5,0.01,0,64,27,0.05,0.95,2,0.07094199623578659,0.075,0.7617521367521367,1.5858540534973145
0.5,0.01,0,64,27,0.05,0.95,3,0.06255094883115339,0.11904761904761904,0.8301282051282052,1.4192445278167725
0.5,0.01,0,64,27,0.05,0.95,4,0.0636357935998379,0.07916666666666666,0.8098290598290598,1.4192745685577393
0.5,0.01,0,64,27,0.05,0.95,5,0.06478761385661588,0.11979166666666667,0.9529914529914529,1.4234185218811035
0.5,0.01,0,64,27,0.05,0.95,6,0.06541604370451952,0.10185185185185185,0.9358974358974359,1.4237589836120605
0.5,0.01,0,64,27,0.05,0.95,7,0.06653364722434542,0.125,0.8771367521367521,1.417104721069336
0.5,0.01,0,64,27,0.05,0.95,8,0.06826386845400059,0.13095238095238096,0.9198717948717948,1.4245479106903076
0.5,0.01,0,64,27,0.05,0.95,9,0.06511338225293098,0.1527777777777778,0.9262820512820513,1.439204216003418
0.5,0.01,0,64,27,0.05,0.95,10,0.06833652281847352,0.08333333333333333,0.8536324786324786,1.5801637172698975
0.5,0.01,0,64,27,0.05,0.95,11,0.07089529974530454,0.14285714285714285,1.0,1.4348158836364746
0.5,0.01,0,64,27,0.05,0.95,12,0.061681736281015344,0.09895833333333333,0.7905982905982906,1.4207208156585693
0.5,0.01,0,64,27,0.05,0.95,13,0.06428924164026655,0.11458333333333333,0.9134615384615384,1.4131033420562744
0.5,0.01,0,64,27,0.05,0.95,14,0.06812045529265832,0.13690476190476192,0.9508547008547008,1.4240341186523438
0.5,0.01,0,64,27,0.05,0.95,15,0.07028339375086255,0.175,0.8952991452991453,1.4238293170928955
0.5,0.01,0,64,27,0.05,0.95,16,0.0636448679939909,0.11904761904761904,0.8514957264957265,1.416100263595581
0.5,0.01,0,64,27,0.05,0.95,17,0.06516653795413256,0.13095238095238096,0.936965811965812,1.4137060642242432
0.5,0.01,0,64,27,0.05,0.95,18,0.070822761825849,0.11904761904761904,0.8514957264957265,1.5832078456878662
0.5,0.01,0,64,27,0.05,0.95,19,0.07750513527011364,0.09259259259259259,0.8600427350427351,1.4096534252166748
0.5,0.01,0,64,27,0.05,0.95,20,0.06753759131056843,0.125,0.8846153846153846,1.412459135055542
0.5,0.01,0,64,53,0.1,0.8,1,0.06353196900562438,0.1527777777777778,0.9209401709401709,1.4189558029174805
0.5,0.01,0,64,53,0.1,0.8,2,0.06542754300512303,0.1597222222222222,0.9497863247863247,1.4081966876983643
0.5,0.01,0,64,53,0.1,0.8,3,0.06421276864203519,0.19166666666666668,0.9615384615384616,1.4027249813079834
0.5,0.01,0,64,53,0.1,0.8,4,0.06863184014526581,0.09722222222222222,0.8525641025641025,1.4201178550720215
0.5,0.01,0,64,53,0.1,0.8,5,0.06747462053290697,0.14583333333333334,0.8782051282051282,1.417712688446045
0.5,0.01,0,64,53,0.1,0.8,6,0.06536237543934714,0.10714285714285714,0.7713675213675214,1.574784755706787
0.5,0.01,0,64,53,0.1,0.8,7,0.06671990710938752,0.19166666666666668,0.9583333333333334,1.4041504859924316
0.5,0.01,0,64,53,0.1,0.8,8,0.06765295351516676,0.11458333333333333,0.9273504273504274,1.4230296611785889
0.5,0.01,0,64,53,0.1,0.8,9,0.06515423265036657,0.1527777777777778,0.9038461538461539,1.4138319492340088
0.5,0.01,0,64,53,0.1,0.8,10,0.06470979677299683,0.13095238095238096,0.9433760683760684,1.417984962463379
0.5,0.01,0,64,53,0.1,0.8,11,0.06487892814309265,0.11904761904761904,0.8397435897435898,1.4143116474151611
0.5,0.01,0,64,53,0.1,0.8,12,0.06650160382152183,0.13095238095238096,0.9284188034188035,1.4158172607421875
0.5,0.01,0,64,53,0.1,0.8,13,0.0680296726103802,0.09259259259259259,0.8290598290598291,1.4164485931396484
0.5,0.01,0,64,53,0.1,0.8,14,0.06370511341025369,0.1527777777777778,0.9091880341880342,1.5908153057098389
0.5,0.01,0,64,53,0.1,0.8,15,0.07169581643962251,0.09259259259259259,0.8215811965811965,1.4180448055267334
0.5,0.01,0,64,53,0.1,0.8,16,0.06592172036938507,0.125,0.8963675213675214,1.397599697113037
0.5,0.01,0,64,53,0.1,0.8,17,0.06647065684982513,0.1527777777777778,0.9123931623931624,1.4010822772979736
0.5,0.01,0,64,53,0.1,0.8,18,0.06640020846127756,0.06597222222222222,0.8034188034188035,1.404007911682129
0.5,0.01,0,64,53,0.1,0.8,19,0.06866975635136315,0.11904761904761904,0.8792735042735043,1.4035041332244873
0.5,0.01,0,64,53,0.1,0.8,20,0.057483999999999945,0.0,1.0,1.4239916801452637
0.5,0.01,0,64,53,0.1,0.95,1,0.06600023762002019,0.10714285714285714,0.7574786324786325,1.4097356796264648
0.5,0.01,0,64,53,0.1,0.95,2,0.06596270595504632,0.13194444444444445,0.7777777777777778,1.5738439559936523
0.5,0.01,0,64,53,0.1,0.95,3,0.06408014503930934,0.125,0.8835470085470085,1.4153623580932617
0.5,0.01,0,64,53,0.1,0.95,4,0.06943167027758976,0.19166666666666668,0.9636752136752137,1.4241225719451904
0.5,0.01,0,64,53,0.1,0.95,5,0.062367418423272473,0.125,1.0,1.4067208766937256
0.5,0.01,0,64,53,0.1,0.95,6,0.06319889513570909,0.1597222222222222,0.9647435897435898,1.426896572113037
0.5,0.01,0,64,53,0.1,0.95,7,0.06918870185470814,0.13095238095238096,0.9166666666666666,1.420665979385376
0.5,0.01,0,64,53,0.1,0.95,8,0.07154911554233966,0.11458333333333333,0.9198717948717948,1.4146487712860107
0.5,0.01,0,64,53,0.1,0.95,9,0.06713174148646224,0.11904761904761904,0.8162393162393162,1.410170078277588
0.5,0.01,0,64,53,0.1,0.95,10,0.06244749511940689,0.07575757575757576,0.8450854700854701,1.5816195011138916
0.5,0.01,0,64,53,0.1,0.95,11,0.07639923174982013,0.16666666666666666,0.8397435897435898,1.4247584342956543
0.5,0.01,0,64,53,0.1,0.95,12,0.06629303626275766,0.1597222222222222,0.9551282051282052,1.4183974266052246
0.5,0.01,0,64,53,0.1,0.95,13,0.07192195474356534,0.075,0.7617521367521367,1.4105455875396729
0.5,0.01,0,64,53,0.1,0.95,14,0.0621383405476708,0.13194444444444445,0.7638888888888888,1.4071135520935059
0.5,0.01,0,64,53,0.1,0.95,15,0.06400059556191193,0.175,0.8653846153846154,1.40012788772583
0.5,0.01,0,64,53,0.1,0.95,16,0.06785744103648587,0.11458333333333333,0.936965811965812,1.4063551425933838
0.5,0.01,0,64,53,0.1,0.95,17,0.06412813282928569,0.10185185185185185,0.9177350427350427,1.4043564796447754
0.5,0.01,0,64,53,0.1,0.95,18,0.06451601584496178,0.1527777777777778,0.9348290598290598,1.585092544555664
0.5,0.01,0,64,53,0.1,0.95,19,0.0645981085605619,0.19166666666666668,0.9529914529914529,1.4089481830596924
0.5,0.01,0,64,53,0.1,0.95,20,0.06601929613776278,0.1527777777777778,0.9326923076923077,1.4034843444824219
0.5,0.01,0,64,80,0.15,0.8,1,0.06385759915935639,0.175,0.8760683760683761,1.4152567386627197
0.5,0.01,0,64,80,0.15,0.8,2,0.06618260668174082,0.13095238095238096,0.9188034188034188,1.4164927005767822
0.5,0.01,0,64,80,0.15,0.8,3,0.06148070717689501,0.125,0.8974358974358975,1.4159791469573975
0.5,0.01,0,64,80,0.15,0.8,4,0.0667320311174022,0.19166666666666668,0.9476495726495726,1.4182777404785156
0.5,0.01,0,64,80,0.15,0.8,5,0.06157809209690188,0.10185185185185185,0.9166666666666666,1.412674903869629
0.5,0.01,0,64,80,0.15,0.8,6,0.06962325156222827,0.07575757575757576,0.8322649572649573,1.6053192615509033
0.5,0.01,0,64,80,0.15,0.8,7,0.07315379031642914,0.1527777777777778,0.9177350427350427,1.4100353717803955
0.5,0.01,0,64,80,0.15,0.8,8,0.06714852155544802,0.11904761904761904,0.8493589743589743,1.400202751159668
0.5,0.01,0,64,80,0.15,0.8,9,0.06308954486423077,0.09722222222222222,0.9123931623931624,1.403472900390625
0.5,0.01,0,64,80,0.15,0.8,10,0.0701914690977475,0.125,0.8985042735042735,1.407512903213501
0.5,0.01,0,64,80,0.15,0.8,11,0.06617632970830672,0.10648148148148148,0.9561965811965812,1.4054651260375977
0.5,0.01,0,64,80,0.15,0.8,12,0.06334216559756457,0.1130952380952381,0.7777777777777778,1.4139866828918457
0.5,0.01,0,64,80,0.15,0.8,13,0.06500946770623393,0.10648148148148148,0.9700854700854701,1.4213268756866455
0.5,0.01,0,64,80,0.15,0.8,14,0.06482932401087381,0.14583333333333334,0.8579059829059829,1.5843472480773926
0.5,0.01,0,64,80,0.15,0.8,15,0.06450338867586441,0.1597222222222222,0.9529914529914529,1.412301778793335
0.5,0.01,0,64,80,0.15,0.8,16,0.06743930965631549,0.0875,0.8739316239316239,1.4226298332214355
0.5,0.01,0,64,80,0.15,0.8,17,0.06624969512887728,0.11904761904761904,0.8269230769230769,1.42344069480896
0.5,0.01,0,64,80,0.15,0.8,18,0.0696725616254432,0.09375,0.7350427350427351,1.4155967235565186
0.5,0.01,0,64,80,0.15,0.8,19,0.06902567195978859,0.19166666666666668,0.9647435897435898,1.4063136577606201
0.5,0.01,0,64,80,0.15,0.8,20,0.0574697250441931,0.0,0.9989316239316239,1.4206929206848145
0.5,0.01,0,64,80,0.15,0.95,1,0.06857117212814781,0.16666666666666666,1.0,1.4115126132965088
0.5,0.01,0,64,80,0.15,0.95,2,0.06360508701981529,0.11979166666666667,0.9561965811965812,1.587963342666626
0.5,0.01,0,64,80,0.15,0.95,3,0.06851919484298935,0.13095238095238096,0.9273504273504274,1.4161653518676758
0.5,0.01,0,64,80,0.15,0.95,4,0.06413003233843642,0.11904761904761904,0.8098290598290598,1.4106206893920898
0.5,0.01,0,64,80,0.15,0.95,5,0.06046858028518636,0.1527777777777778,0.907051282051282,1.417414665222168
0.5,0.01,0,64,80,0.15,0.95,6,0.061308132584077746,0.14583333333333334,0.8995726495726496,1.4198827743530273
0.5,0.01,0,64,80,0.15,0.95,7,0.07305889154313834,0.09375,0.7478632478632479,1.4216558933258057
0.5,0.01,0,64,80,0.15,0.95,8,0.06741598177558267,0.11904761904761904,0.8547008547008547,1.4270224571228027
0.5,0.01,0,64,80,0.15,0.95,9,0.07564726123008719,0.1597222222222222,0.9743589743589743,1.415642261505127
0.5,0.01,0,64,80,0.15,0.95,10,0.06461835323669105,0.10714285714285714,0.8504273504273504,1.5936963558197021
