network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,1206,0,0,,1,0.40007309607274827,0.0033222591362126247,1.0,
BitcoinTransactions,1,1206,0,0,,2,0.4057873299779548,0.0025188916876574307,1.0,
BitcoinTransactions,1,1206,0,0,,3,0.4143425902132293,0.0033112582781456954,1.0,
BitcoinTransactions,1,1206,0,0,,4,0.4085294575158507,0.002881844380403458,1.0,
BitcoinTransactions,1,1206,0,0,,5,0.3902001586473142,0.0028629856850715747,0.9327240035960443,
BitcoinTransactions,1,1206,0,0,,6,0.34250103681483335,0.004016064257028112,1.0,
BitcoinTransactions,1,1206,0,0,,7,0.3910138528583513,0.002564102564102564,0.9346718609529517,
BitcoinTransactions,1,1206,0,0,,8,0.38132186134322815,0.0035897435897435897,0.9339226850464489,
BitcoinTransactions,1,1206,0,0,,9,0.38377758289691255,0.002932551319648094,1.0,
BitcoinTransactions,1,1206,0,0,,10,0.3619632777361034,0.004,1.0,
BitcoinTransactions,1,1206,9,0.01,0.5,1,0.4147272131669763,0.003484320557491289,1.0,22.561267137527466
BitcoinTransactions,1,1206,9,0.01,0.5,2,0.3899535470248326,0.003215434083601286,1.0,22.297391414642334
BitcoinTransactions,1,1206,9,0.01,0.5,3,0.381846381008835,0.0036900369003690036,1.0,22.191943883895874
BitcoinTransactions,1,1206,9,0.01,0.5,4,0.40903240347849074,0.0023923444976076554,1.0,22.194934606552124
BitcoinTransactions,1,1206,9,0.01,0.5,5,0.39855622342729174,0.0026954177897574125,1.0,22.12469720840454
BitcoinTransactions,1,1206,9,0.01,0.5,6,0.39101154265307836,0.0028282828282828283,0.9403655978423734,21.724855184555054
BitcoinTransactions,1,1206,9,0.01,0.5,7,0.3694144032491694,0.004761904761904762,1.0,21.947790145874023
BitcoinTransactions,1,1206,9,0.01,0.5,8,0.37178196794244545,0.003289473684210526,1.0,22.12526273727417
BitcoinTransactions,1,1206,9,0.01,0.5,9,0.3554546183980712,0.0034965034965034965,1.0,22.227513551712036
BitcoinTransactions,1,1206,9,0.01,0.5,10,0.4091516849024458,0.003125,1.0,22.041789054870605
BitcoinTransactions,1,1206,44,0.05,0.5,1,0.39733638279662337,0.0026246719160104987,1.0,21.98743987083435
BitcoinTransactions,1,1206,44,0.05,0.5,2,0.37658234827684456,0.0024630541871921183,1.0,22.119417667388916
BitcoinTransactions,1,1206,44,0.05,0.5,3,0.389002070840824,0.00273224043715847,1.0,22.18711018562317
BitcoinTransactions,1,1206,44,0.05,0.5,4,0.39838666852121074,0.0022675736961451248,1.0,21.951135873794556
BitcoinTransactions,1,1206,44,0.05,0.5,5,0.4019803281563427,0.002457002457002457,1.0,21.50710153579712
BitcoinTransactions,1,1206,44,0.05,0.5,6,0.4052415997462562,0.0028328611898017,1.0,22.146429777145386
