mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.4,0.01,0,15,0,0,0,0.09219818197994041,0.1875,0.4020304568527919,
0.4,0.01,0,15,0,0.01,1,0.07961368500559642,0.22916666666666666,0.48223350253807107,1.6247730255126953
0.4,0.01,0,15,0,0.01,2,0.08657026419544858,0.22916666666666666,0.4751269035532995,1.5206196308135986
0.4,0.01,0,15,0,0.01,3,0.09327540705355383,0.125,0.3918781725888325,1.5219147205352783
0.4,0.01,0,15,0,0.01,4,0.07738506730196744,0.20833333333333334,0.4182741116751269,1.5351178646087646
0.4,0.01,0,15,0,0.01,5,0.09681604497706692,0.125,0.4243654822335025,1.5152902603149414
0.4,0.01,0,15,0,0.01,6,0.08746053303708533,0.25,0.500507614213198,1.5265324115753174
0.4,0.01,0,15,0,0.01,7,0.08805790056424348,0.22916666666666666,0.47411167512690355,1.5293593406677246
0.4,0.01,0,15,0,0.01,8,0.08610838216362696,0.20833333333333334,0.4233502538071066,1.6734459400177002
0.4,0.01,0,15,0,0.01,9,0.08855998449068929,0.1111111111111111,0.3756345177664975,1.5326571464538574
0.4,0.01,0,15,0,0.01,10,0.08045315539391788,0.10416666666666667,0.44873096446700506,1.5411174297332764
0.4,0.01,0,15,1,0.05,1,0.08884149638049496,0.1388888888888889,0.46598984771573604,1.540917158126831
0.4,0.01,0,15,1,0.05,2,0.09119903610056136,0.08333333333333333,0.37969543147208124,1.5249269008636475
0.4,0.01,0,15,1,0.05,3,0.08188256752428533,0.1388888888888889,0.43147208121827413,1.424727439880371
0.4,0.01,0,15,1,0.05,4,0.08562942071880028,0.09722222222222222,0.3177664974619289,1.423095703125
0.4,0.01,0,15,1,0.05,5,0.08145451603817473,0.1388888888888889,0.44873096446700506,1.566943883895874
0.4,0.01,0,15,1,0.05,6,0.07365858629045917,0.22916666666666666,0.49238578680203043,1.4185233116149902
0.4,0.01,0,15,1,0.05,7,0.0819938415087113,0.1388888888888889,0.4203045685279188,1.3994994163513184
0.4,0.01,0,15,1,0.05,8,0.08179452558964123,0.10416666666666667,0.43451776649746193,1.4227614402770996
0.4,0.01,0,15,1,0.05,9,0.08533057276585461,0.125,0.41421319796954315,1.4270665645599365
0.4,0.01,0,15,1,0.05,10,0.09184225343495697,0.125,0.3695431472081218,1.4240436553955078
0.4,0.01,0,15,2,0.1,1,0.07849638284311942,0.1875,0.41421319796954315,1.4169838428497314
0.4,0.01,0,15,2,0.1,2,0.08427944255185571,0.049019607843137254,0.6862944162436548,1.5921077728271484
0.4,0.01,0,15,2,0.1,3,0.08468950511974595,0.1875,0.4020304568527919,1.4222955703735352
0.4,0.01,0,15,2,0.1,4,0.0893924663028943,0.1111111111111111,0.3583756345177665,1.4186694622039795
0.4,0.01,0,15,2,0.1,5,0.08090214182259942,0.1388888888888889,0.4751269035532995,1.431562900543213
0.4,0.01,0,15,2,0.1,6,0.07599158388590349,0.1111111111111111,0.3614213197969543,1.4200618267059326
0.4,0.01,0,15,2,0.1,7,0.08483209736546747,0.125,0.40609137055837563,1.4337239265441895
0.4,0.01,0,15,2,0.1,8,0.08793153874911087,0.1111111111111111,0.34517766497461927,1.4148645401000977
0.4,0.01,0,15,2,0.1,9,0.08102035905648108,0.1527777777777778,0.5015228426395939,1.5747528076171875
0.4,0.01,0,15,2,0.1,10,0.08222054267534122,0.125,0.4436548223350254,1.4152286052703857
0.4,0.01,0,15,3,0.15,1,0.08607479084090888,0.2708333333333333,0.5370558375634518,1.476525068283081
0.4,0.01,0,15,3,0.15,2,0.07689002905723294,0.125,0.41116751269035534,1.422717571258545
0.4,0.01,0,15,3,0.15,3,0.08949050279475435,0.20833333333333334,0.4152284263959391,1.4124958515167236
0.4,0.01,0,15,3,0.15,4,0.08171398314786746,0.22916666666666666,0.4873096446700508,1.3669507503509521
0.4,0.01,0,15,3,0.15,5,0.08641873049554032,0.20833333333333334,0.42741116751269037,1.3661963939666748
0.4,0.01,0,15,3,0.15,6,0.08561912100282487,0.125,0.44568527918781725,1.5132017135620117
0.4,0.01,0,15,3,0.15,7,0.08446043724420889,0.25,0.5228426395939086,1.3531885147094727
0.4,0.01,0,15,3,0.15,8,0.08268010570411433,0.20833333333333334,0.4446700507614213,1.3309588432312012
0.4,0.01,0,15,3,0.15,9,0.08105623836563894,0.125,0.41725888324873095,1.3237333297729492
0.4,0.01,0,15,3,0.15,10,0.08914349339736816,0.25,0.5126903553299492,1.3230345249176025
0.4,0.01,0,15,4,0.2,1,0.08300973638803626,0.22916666666666666,0.5035532994923858,1.3311140537261963
0.4,0.01,0,15,4,0.2,2,0.09324536433883703,0.25,0.5543147208121827,1.3479273319244385
0.4,0.01,0,15,4,0.2,3,0.0792914833225281,0.20833333333333334,0.43959390862944164,1.367842435836792
0.4,0.01,0,15,4,0.2,4,0.08265608630428936,0.25,0.5441624365482234,1.5223512649536133
0.4,0.01,0,15,4,0.2,5,0.07885031339373973,0.22916666666666666,0.5065989847715736,1.3625032901763916
0.4,0.01,0,15,4,0.2,6,0.08283372913106817,0.25,0.5208121827411167,1.366527795791626
0.4,0.01,0,15,4,0.2,7,0.08179039762746253,0.20833333333333334,0.48020304568527916,1.358964204788208
0.4,0.01,0,15,4,0.2,8,0.0901274724890645,0.20833333333333334,0.42741116751269037,1.3747859001159668
0.4,0.01,0,15,4,0.2,9,0.08654525175602401,0.1111111111111111,0.34213197969543147,1.3694891929626465
0.4,0.01,0,15,4,0.2,10,0.07891242224099483,0.1527777777777778,0.5248730964467005,1.3878591060638428
0.4,0.01,0,15,5,0.25,1,0.08986471365049108,0.22916666666666666,0.4852791878172589,1.5839357376098633
0.4,0.01,0,15,5,0.25,2,0.07820668132422665,0.20833333333333334,0.46294416243654823,1.3778636455535889
0.4,0.01,0,15,5,0.25,3,0.08509560521474413,0.22916666666666666,0.4700507614213198,1.3895618915557861
0.4,0.01,0,15,5,0.25,4,0.0953682328636819,0.1388888888888889,0.4355329949238579,1.364513635635376
0.4,0.01,0,15,5,0.25,5,0.09725641718659639,0.20833333333333334,0.4558375634517767,1.3719449043273926
0.4,0.01,0,15,5,0.25,6,0.08375465226143095,0.2708333333333333,0.5918781725888325,1.3916234970092773
0.4,0.01,0,15,5,0.25,7,0.08161817655529449,0.22916666666666666,0.46802030456852795,1.4164302349090576
0.4,0.01,0,15,5,0.25,8,0.07796274014471391,0.22916666666666666,0.46598984771573604,1.5238986015319824
0.4,0.01,0,15,5,0.25,9,0.08365113499653941,0.25,0.5512690355329949,1.3528659343719482
0.4,0.01,0,15,5,0.25,10,0.07941161394671122,0.125,0.3715736040609137,1.3560314178466797
