mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.5,1.0,0,39,0,0,0,0.34809004915444713,0.13445378151260504,0.9781477627471384,
0.5,1.0,0,39,1,0.01,1,0.3287256329677708,0.12745098039215685,0.7991675338189386,1.3784880638122559
0.5,1.0,0,39,1,0.01,2,0.35050009260074105,0.09558823529411764,0.8085327783558793,1.4830694198608398
0.5,1.0,0,39,1,0.01,3,0.2876121047105271,0.0915032679738562,0.826222684703434,1.2550888061523438
0.5,1.0,0,39,1,0.01,4,0.3095652203710979,0.10294117647058823,0.8491155046826223,1.2303309440612793
0.5,1.0,0,39,1,0.01,5,0.3397829090550558,0.13725490196078433,0.8064516129032258,1.3306326866149902
0.5,1.0,0,39,1,0.01,6,0.33184900939825696,0.14705882352941177,0.8740894901144641,1.444648265838623
0.5,1.0,0,39,1,0.01,7,0.33295881716400366,0.11764705882352941,0.7232049947970863,1.2185182571411133
0.5,1.0,0,39,1,0.01,8,0.32643620015486435,0.07647058823529412,0.7023933402705516,1.5135807991027832
0.5,1.0,0,39,1,0.01,9,0.35053097602029243,0.1568627450980392,0.9500520291363164,1.4502172470092773
0.5,1.0,0,39,1,0.01,10,0.31102194739441436,0.11029411764705882,0.8699271592091571,1.4287874698638916
0.5,1.0,0,39,5,0.05,1,0.335459734015585,0.08823529411764706,0.736732570239334,1.3646469116210938
0.5,1.0,0,39,5,0.05,2,0.2794746767617064,0.08088235294117647,0.6503642039542143,1.2604246139526367
0.5,1.0,0,39,5,0.05,3,0.3020495709888372,0.06951871657754011,0.7669094693028096,1.2680552005767822
0.5,1.0,0,39,5,0.05,4,0.3349961939503082,0.18823529411764706,0.9406867845993756,1.3174092769622803
0.5,1.0,0,39,5,0.05,5,0.27900783516116384,0.19117647058823528,0.7533818938605619,1.3183283805847168
0.5,1.0,0,39,5,0.05,6,0.31040640905808564,0.0915032679738562,0.8022892819979188,1.4111645221710205
0.5,1.0,0,39,5,0.05,7,0.32705899020437573,0.049773755656108594,0.6566077003121749,1.2432677745819092
0.5,1.0,0,39,5,0.05,8,0.2801194722129945,0.10084033613445378,0.6867845993756504,1.2747478485107422
0.5,1.0,0,39,5,0.05,9,0.32535287490952725,0.11029411764705882,0.8345473465140478,1.3411552906036377
0.5,1.0,0,39,5,0.05,10,0.32296661959467626,0.10084033613445378,0.7793964620187305,1.4651591777801514
0.5,1.0,0,39,10,0.1,1,0.2790815037305518,0.11764705882352941,0.8106139438085328,1.3398215770721436
0.5,1.0,0,39,10,0.1,2,0.32616662985756634,0.15294117647058825,0.7804370447450573,1.2827303409576416
0.5,1.0,0,39,10,0.1,3,0.3086909978134391,0.11764705882352941,0.81789802289282,1.5620033740997314
0.5,1.0,0,39,10,0.1,4,0.32520666732943526,0.11764705882352941,0.6618106139438086,1.3494901657104492
0.5,1.0,0,39,10,0.1,5,0.330825756004846,0.03806228373702422,0.6462018730489074,1.3524696826934814
0.5,1.0,0,39,10,0.1,6,0.313275863267408,0.17647058823529413,0.8355879292403746,1.4707856178283691
0.5,1.0,0,39,10,0.1,7,0.3148000958886813,0.07647058823529412,0.7929240374609782,1.4955370426177979
0.5,1.0,0,39,10,0.1,8,0.3900092376240469,0.08235294117647059,0.8699271592091571,1.4530220031738281
0.5,1.0,0,39,10,0.1,9,0.2888038040460798,0.0784313725490196,0.6586888657648283,1.2945489883422852
0.5,1.0,0,39,10,0.1,10,0.3050846256208997,0.18823529411764706,0.9604578563995838,1.2585132122039795
0.5,1.0,0,39,15,0.15,1,0.3554647751304756,0.11029411764705882,0.9063475546305931,1.560591697692871
0.5,1.0,0,39,15,0.15,2,0.36290579883534674,0.09803921568627451,0.8553590010405827,1.3707349300384521
0.5,1.0,0,39,15,0.15,3,0.3136281344777383,0.05392156862745098,0.6295525494276795,1.3142805099487305
0.5,1.0,0,39,15,0.15,4,0.36894869901641875,0.0915032679738562,0.8064516129032258,1.2893164157867432
0.5,1.0,0,39,15,0.15,5,0.2704286772597417,0.13725490196078433,0.81789802289282,1.321943998336792
0.5,1.0,0,39,15,0.15,6,0.29042460412581667,0.09558823529411764,0.7793964620187305,1.3443629741668701
0.5,1.0,0,39,15,0.15,7,0.27065062662642114,0.17647058823529413,0.882414151925078,1.5655186176300049
0.5,1.0,0,39,15,0.15,8,0.34152825730078745,0.15294117647058825,0.7866805411030177,1.5166888236999512
