mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.2,0.01,0,31,0,0,0,0.295715799422222,0.004629629629629629,0.12693498452012383,
0.2,0.01,0,31,3,0.01,1,0.22474122781134745,0.0125,0.15067079463364294,1.2367684841156006
0.2,0.01,0,31,3,0.01,2,0.276648319632239,0.022435897435897436,0.2755417956656347,1.1518886089324951
0.2,0.01,0,31,3,0.01,3,0.222292641172868,0.022435897435897436,0.2807017543859649,1.1510090827941895
0.2,0.01,0,31,3,0.01,4,0.1885845729162635,0.01488095238095238,0.22084623323013416,1.1520729064941406
0.2,0.01,0,31,3,0.01,5,0.22332195241180616,0.0763888888888889,0.47471620227038186,1.1511335372924805
0.2,0.01,0,31,3,0.01,6,0.2543201271785961,0.03333333333333333,0.35190918472652216,1.1498842239379883
0.2,0.01,0,31,3,0.01,7,0.22266861757854575,0.017361111111111112,0.21052631578947367,1.1500780582427979
0.2,0.01,0,31,3,0.01,8,0.21840198803715274,0.026785714285714284,0.3735810113519092,1.290292739868164
0.2,0.01,0,31,3,0.01,9,0.24632109672602354,0.017857142857142856,0.23839009287925697,1.1524019241333008
0.2,0.01,0,31,3,0.01,10,0.22516682899986132,0.013157894736842105,0.2755417956656347,1.151343822479248
0.2,0.01,0,31,13,0.05,1,0.24967114072724314,0.01488095238095238,0.19298245614035087,1.152287483215332
0.2,0.01,0,31,13,0.05,2,0.2381957705692,0.019230769230769232,0.26006191950464397,1.157177448272705
0.2,0.01,0,31,13,0.05,3,0.21298926080989722,0.008333333333333333,0.16615067079463364,1.161583662033081
0.2,0.01,0,31,13,0.05,4,0.2576381839824605,0.07142857142857142,0.5025799793601651,1.158210277557373
0.2,0.01,0,31,13,0.05,5,0.24223870106294298,0.03787878787878788,0.43034055727554177,1.2939996719360352
0.2,0.01,0,31,13,0.05,6,0.24383109332336436,0.00980392156862745,0.17647058823529413,1.1540708541870117
0.2,0.01,0,31,13,0.05,7,0.24290324049274128,0.03125,0.39215686274509803,1.1574597358703613
0.2,0.01,0,31,13,0.05,8,0.22778147589973477,0.013888888888888888,0.26625386996904027,1.159893274307251
0.2,0.01,0,31,13,0.05,9,0.24389532192938737,0.022727272727272728,0.26418988648090813,1.1560461521148682
0.2,0.01,0,31,13,0.05,10,0.2551986790520359,0.010416666666666666,0.1475748194014448,1.1573486328125
0.2,0.01,0,31,25,0.1,1,0.2184375854214962,0.03125,0.3828689370485036,1.1616613864898682
0.2,0.01,0,31,25,0.1,2,0.22146906929340934,0.013020833333333334,0.22291021671826625,1.3015198707580566
