network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,0,92,0,0,,0,0.24958819673500954,0.01744186046511628,0.7258971033290099,
Wiki,0,92,0,0,,0,0.2564212836903428,0.0203125,0.8123648940769563,
Wiki,0,92,0,0,,0,0.2614701416036074,0.05078125,0.8201469952442715,
Wiki,0,92,0,0,,0,0.2453396989780989,0.03125,0.8841331603977518,
Wiki,0,92,0,0,,0,0.2673043088409919,0.05078125,0.8413316039775184,
Wiki,0,92,0,0,,0,0.2529564673591619,0.035,0.8430609597924773,
Wiki,0,92,0,0,,0,0.2670896823073361,0.0546875,0.8910505836575876,
Wiki,0,92,0,0,,0,0.28444841342180194,0.04261363636363636,0.9991353220925205,
Wiki,0,92,0,0,,0,0.25075888029061255,0.02195945945945946,0.7462170341547774,
Wiki,0,92,0,0,,0,0.2585605921621534,0.043478260869565216,1.0,
Wiki,0,92,1,0.01,0.5,1,0.28316775229551744,0.03409090909090909,0.8331171638564635,1.5167443752288818
Wiki,0,92,1,0.01,0.5,2,0.24368589264021845,0.040625,0.833981841763943,1.5265147686004639
Wiki,0,92,1,0.01,0.5,3,0.26083757523166184,0.025,0.8776480760916558,1.6506578922271729
Wiki,0,92,1,0.01,0.5,4,0.261132045891278,0.0375,0.9321227842628621,1.5005106925964355
Wiki,0,92,1,0.01,0.5,5,0.25662512118452213,0.034722222222222224,0.924340683095547,1.4655702114105225
Wiki,0,92,1,0.01,0.5,6,0.2628429750398229,0.025,0.7764807609165586,1.4611907005310059
Wiki,0,92,1,0.01,0.5,7,0.2659288026791447,0.03125,0.9122351923908344,1.6320807933807373
Wiki,0,92,1,0.01,0.5,8,0.26850339310617827,0.0546875,0.8447903156074362,1.4901258945465088
Wiki,0,92,1,0.01,0.5,9,0.29665662099809337,0.051470588235294115,0.9014267185473411,1.4932658672332764
Wiki,0,92,1,0.01,0.5,10,0.3016297451085016,0.029017857142857144,0.8473843493298746,1.528857707977295
Wiki,0,92,5,0.05,0.5,1,0.24714717859366603,0.02142857142857143,0.8127972330306961,1.6342072486877441
Wiki,0,92,5,0.05,0.5,2,0.2538108350040807,0.046052631578947366,0.8819714656290532,1.5014362335205078
Wiki,0,92,5,0.05,0.5,3,0.27846434764419054,0.03804347826086957,0.8365758754863813,1.4655654430389404
Wiki,0,92,5,0.05,0.5,4,0.27200154378314095,0.04375,0.885430177258971,1.5979490280151367
Wiki,0,92,5,0.05,0.5,5,0.28620696172777976,0.03017241379310345,0.8811067877215737,1.49558424949646
Wiki,0,92,5,0.05,0.5,6,0.25656847396419924,0.040625,0.9014267185473411,1.5059211254119873
Wiki,0,92,5,0.05,0.5,7,0.2470072116640543,0.036458333333333336,0.9489840034587116,1.5113565921783447
Wiki,0,92,5,0.05,0.5,8,0.30402872823507815,0.03017241379310345,0.8447903156074362,1.6318936347961426
