network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,736,0,0,,0,0.2904664954292963,0.004132231404958678,1.0,
Facebook,1,736,0,0,,0,0.35775707518649474,0.0030651340996168583,0.6905843172873145,
Facebook,1,736,0,0,,0,0.42535996373167256,0.0024390243902439024,0.7223735997577959,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.4552354370311699,0.0015065913370998117,0.6887677868604299,
Facebook,1,736,0,0,,0,0.34990696453751585,0.002531645569620253,0.6748410535876476,
Facebook,1,736,0,0,,0,0.3406196810500684,0.002531645569620253,0.6672721768089616,
Facebook,1,736,0,0,,0,0.4732227055702852,0.0012295081967213116,0.547683923705722,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.3059332145505451,0.003937007874015748,1.0,
Facebook,1,736,0,0,,0,0.4062447294805398,0.001935483870967742,0.5392067817135937,
Facebook,1,736,0,0,,0,0.4306347100731925,0.0017094017094017094,0.7014834998486225,
Facebook,1,736,0,0,,0,0.39825024916644053,0.002631578947368421,0.7148047229791099,
Facebook,1,736,0,0,,0,0.38256571789510757,0.001729106628242075,0.5655464729034211,
Facebook,1,736,0,0,,0,0.3848141982097376,0.002325581395348837,0.5637299424765365,
Facebook,1,736,0,0,,0,0.421878669056889,0.0014527845036319612,0.5528307599152286,
Facebook,1,736,0,0,,0,0.43435914635331047,0.001405152224824356,0.5228580078716318,
Facebook,1,736,0,0,,0,0.3609735724375699,0.0020460358056265983,0.6724190130184681,
Facebook,1,736,0,0,,0,0.3885517414631464,0.002867383512544803,0.6848319709355132,
Facebook,1,736,0,0,,0,0.3887954219307358,0.002185792349726776,0.7096578867696034,
Facebook,1,736,0,0,,0,0.4418026940985844,0.0012371134020618556,0.5161973963063882,
Facebook,1,736,0,0,,0,0.3657636490034477,0.0031128404669260703,0.7120799273387829,
Facebook,1,736,0,0,,0,0.4050001234117079,0.001851851851851852,0.5458673932788374,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,52,0.01,0.5,1,0.1745908194803562,0.0,1.0,4.066023349761963
Facebook,1,736,52,0.01,0.5,2,0.1745908194803562,0.0,1.0,3.8134384155273438
Facebook,1,736,52,0.01,0.5,3,0.36401382344287675,0.002702702702702703,0.6981531940660006,3.7999467849731445
Facebook,1,736,52,0.01,0.5,4,0.43631691717721394,0.002,0.5143808658795035,3.6476473808288574
Facebook,1,736,52,0.01,0.5,5,0.1745908194803562,0.0,1.0,3.9068989753723145
Facebook,1,736,52,0.01,0.5,6,0.45437409389124545,0.0029069767441860465,1.0,3.6551167964935303
