mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.1,1.0,0,44,0,0,0,0.7856872438948673,0.0,0.04079497907949791,
0.1,1.0,0,44,5,0.01,0.5,1,0.9241563442768412,0.0,0.0,1.368525505065918
0.1,1.0,0,44,5,0.01,0.5,2,0.8814503190628125,0.0,0.0,1.3626391887664795
0.1,1.0,0,44,5,0.01,0.5,3,0.8945295861730586,0.0,0.0,1.356034278869629
0.1,1.0,0,44,5,0.01,0.5,4,0.8288756896745862,0.0,0.04079497907949791,1.3610858917236328
0.1,1.0,0,44,5,0.01,0.5,5,0.8832474025974025,0.0016611295681063123,0.08263598326359832,1.351928949356079
0.1,1.0,0,44,5,0.01,0.5,6,0.8988902202215454,0.0,0.0,1.5005545616149902
0.1,1.0,0,44,5,0.01,0.5,7,0.8773140843477081,0.0,0.0,1.3252856731414795
0.1,1.0,0,44,5,0.01,0.5,8,0.8407481842037587,0.0,0.0,1.2273943424224854
0.1,1.0,0,44,5,0.01,0.5,9,0.886729945648711,0.0,0.0,1.2217605113983154
0.1,1.0,0,44,5,0.01,0.5,10,0.9219590603215538,0.0,0.0,1.2423460483551025
0.1,1.0,0,44,5,0.01,0.5,11,0.8885934500282326,0.0,0.0,1.227949857711792
0.1,1.0,0,44,5,0.01,0.5,12,0.8462364728597537,0.0,0.0,1.2304439544677734
0.1,1.0,0,44,5,0.01,0.5,13,0.8868129622233546,0.0,0.0397489539748954,1.2969183921813965
0.1,1.0,0,44,5,0.01,0.5,14,0.8856848739495797,0.0,0.0,1.3907923698425293
0.1,1.0,0,44,5,0.01,0.5,15,0.8738424996189014,0.0,0.0,1.231762170791626
0.1,1.0,0,44,5,0.01,0.5,16,0.8483260099220411,0.0,0.0,1.2353184223175049
0.1,1.0,0,44,5,0.01,0.5,17,0.8542348114303161,0.0,0.03556485355648536,1.255040168762207
0.1,1.0,0,44,5,0.01,0.5,18,0.8506181073828133,0.0,0.03556485355648536,1.2273554801940918
0.1,1.0,0,44,5,0.01,0.5,19,0.8906314935064936,0.0,0.0,1.2212369441986084
0.1,1.0,0,44,5,0.01,0.5,20,0.9023393359881144,0.0,0.0,1.2334339618682861
0.1,1.0,0,44,5,0.01,0.65,1,0.7818157632167007,0.0,0.0,1.380122184753418
0.1,1.0,0,44,5,0.01,0.65,2,0.9568464627741736,0.0,0.0,1.2243213653564453
0.1,1.0,0,44,5,0.01,0.65,3,0.8769161815196296,0.0,0.0,1.2199509143829346
0.1,1.0,0,44,5,0.01,0.65,4,0.8782083779674141,0.0,0.0,1.231191635131836
0.1,1.0,0,44,5,0.01,0.65,5,0.819646776105301,0.003246753246753247,0.12133891213389121,1.2279572486877441
0.1,1.0,0,44,5,0.01,0.65,6,0.8478747647280256,0.0,0.0,1.229823350906372
0.1,1.0,0,44,5,0.01,0.65,7,0.9169753426662114,0.0,0.0,1.2269630432128906
0.1,1.0,0,44,5,0.01,0.65,8,0.8039801307181488,0.0,0.04707112970711297,1.238351583480835
0.1,1.0,0,44,5,0.01,0.65,9,0.838367848522537,0.0,0.03138075313807531,1.3882081508636475
0.1,1.0,0,44,5,0.01,0.65,10,0.8298261931383426,0.0,0.0041841004184100415,1.2407546043395996
0.1,1.0,0,44,5,0.01,0.65,11,0.8392893332910806,0.0,0.07112970711297072,1.2256567478179932
0.1,1.0,0,44,5,0.01,0.65,12,0.8252936946261886,0.0015873015873015873,0.07845188284518828,1.2291698455810547
0.1,1.0,0,44,5,0.01,0.65,13,0.8399001775603363,0.0,0.051255230125523014,1.2247917652130127
0.1,1.0,0,44,5,0.01,0.65,14,0.8841616318464145,0.0,0.0,1.24100923538208
0.1,1.0,0,44,5,0.01,0.65,15,0.9471437463175085,0.0,0.0,1.227853775024414
0.1,1.0,0,44,5,0.01,0.65,16,0.9166961680295015,0.0015873015873015873,0.08263598326359832,1.2250244617462158
0.1,1.0,0,44,5,0.01,0.65,17,0.8705359227928033,0.0,0.06799163179916318,1.2380177974700928
0.1,1.0,0,44,5,0.01,0.65,18,0.8357401836851649,0.0,0.0,1.3874988555908203
0.1,1.0,0,44,5,0.01,0.65,19,0.9260283637930697,0.0,0.0,1.2298686504364014
0.1,1.0,0,44,5,0.01,0.65,20,0.8305870024581882,0.0,0.0,1.2351658344268799
0.1,1.0,0,44,5,0.01,0.8,1,0.9570634965034965,0.0,0.0,1.2341604232788086
0.1,1.0,0,44,5,0.01,0.8,2,0.8746939732913772,0.0,0.0,1.2287893295288086
0.1,1.0,0,44,5,0.01,0.8,3,0.8835334691295003,0.001488095238095238,0.0,1.22231125831604
0.1,1.0,0,44,5,0.01,0.8,4,0.8228178863151013,0.0,0.07845188284518828,1.229193925857544
0.1,1.0,0,44,5,0.01,0.8,5,0.8659592991182017,0.0017006802721088435,0.034518828451882845,1.2120945453643799
0.1,1.0,0,44,5,0.01,0.8,6,0.916402956280667,0.0,0.0,1.3764686584472656
0.1,1.0,0,44,5,0.01,0.8,7,0.8781020589606696,0.0,0.051255230125523014,1.224259614944458
0.1,1.0,0,44,5,0.01,0.8,8,0.9201638349514564,0.0,0.0,1.2307980060577393
0.1,1.0,0,44,5,0.01,0.8,9,0.8808694240542068,0.0,0.0,1.2233693599700928
0.1,1.0,0,44,5,0.01,0.8,10,0.9263392857142858,0.0,0.0,1.2220075130462646
0.1,1.0,0,44,5,0.01,0.8,11,0.8648572209639136,0.0,0.04707112970711297,1.2267076969146729
0.1,1.0,0,44,5,0.01,0.8,12,0.879120067462316,0.0,0.0,1.2263689041137695
