mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.1,0.01,0,63,0,0,0,0.6260770165449794,0.012195121951219513,0.4919957310565635,
0.1,0.01,0,63,8,0.01,0.5,1,0.5726327527609828,0.013888888888888888,0.5496264674493063,1.4714579582214355
0.1,0.01,0,63,8,0.01,0.5,2,0.5823914079244066,0.009615384615384616,0.4567769477054429,1.367020845413208
0.1,0.01,0,63,8,0.01,0.5,3,0.6405248870818671,0.011904761904761904,0.4087513340448239,1.400294303894043
0.1,0.01,0,63,8,0.01,0.5,4,0.6141405324811567,0.013333333333333334,0.7491995731056563,1.3788354396820068
0.1,0.01,0,63,8,0.01,0.5,5,0.5763734552355579,0.011217948717948718,0.6254002134471718,1.362051248550415
0.1,0.01,0,63,8,0.01,0.5,6,0.6411589950737827,0.005847953216374269,0.37459978655282816,1.5246305465698242
0.1,0.01,0,63,8,0.01,0.5,7,0.5819951316467757,0.015350877192982455,0.5314834578441836,1.3817684650421143
0.1,0.01,0,63,8,0.01,0.5,8,0.6261812169583645,0.010869565217391304,0.5528281750266809,1.3808419704437256
0.1,0.01,0,63,8,0.01,0.5,9,0.5892189911646188,0.037037037037037035,0.6595517609391676,1.4054417610168457
0.1,0.01,0,63,8,0.01,0.5,10,0.5440941390565243,0.006172839506172839,0.37353255069370334,1.4196147918701172
0.1,0.01,0,63,8,0.01,0.5,11,0.48128701168019505,0.027777777777777776,0.5901814300960512,1.4086058139801025
0.1,0.01,0,63,8,0.01,0.5,12,0.6252103708245639,0.014227642276422764,0.5933831376734259,1.404165506362915
0.1,0.01,0,63,8,0.01,0.5,13,0.5964758159523837,0.016129032258064516,0.4503735325506937,1.3925578594207764
0.1,0.01,0,63,8,0.01,0.5,14,0.5878060730825759,0.01,0.5869797225186766,1.5451335906982422
0.1,0.01,0,63,8,0.01,0.5,15,0.611283512864757,0.010416666666666666,0.5144076840981857,1.4145054817199707
0.1,0.01,0,63,8,0.01,0.5,16,0.5471801934382496,0.011904761904761904,0.5613660618996799,1.3728301525115967
