mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.1,0.1,0,63,0,0,0,0.8376291635469263,0.002976190476190476,0.14834578441835647,
0.1,0.1,0,63,8,0.01,0.5,1,0.9162566564735557,0.0,0.07470651013874066,1.2379915714263916
0.1,0.1,0,63,8,0.01,0.5,2,0.8506786751978866,0.0013440860215053765,0.16542155816435433,1.2366712093353271
0.1,0.1,0,63,8,0.01,0.5,3,0.8232190992250336,0.0,0.07470651013874066,1.2432870864868164
0.1,0.1,0,63,8,0.01,0.5,4,0.8831617148304021,0.0034965034965034965,0.2198505869797225,1.2349166870117188
0.1,0.1,0,63,8,0.01,0.5,5,0.8441974465763644,0.0014903129657228018,0.16862326574172892,1.2364249229431152
0.1,0.1,0,63,8,0.01,0.5,6,0.842039080065736,0.0013440860215053765,0.13233724653148346,1.368208885192871
0.1,0.1,0,63,8,0.01,0.5,7,0.898053606593972,0.007246376811594203,0.28601921024546423,1.2386839389801025
0.1,0.1,0,63,8,0.01,0.5,8,0.7747088736976024,0.0014903129657228018,0.17075773745997866,1.2379519939422607
0.1,0.1,0,63,8,0.01,0.5,9,0.8745963533696667,0.0013440860215053765,0.0416221985058698,1.2338149547576904
0.1,0.1,0,63,8,0.01,0.5,10,0.8037033613907474,0.001466275659824047,0.07470651013874066,1.2525737285614014
0.1,0.1,0,63,8,0.01,0.5,11,0.9053676444228045,0.0,0.0736392742796158,1.2443976402282715
0.1,0.1,0,63,8,0.01,0.5,12,0.8362800646641743,0.001388888888888889,0.13553895410885805,1.2913081645965576
0.1,0.1,0,63,8,0.01,0.5,13,0.8484745848567715,0.0014619883040935672,0.07470651013874066,1.279653787612915
0.1,0.1,0,63,8,0.01,0.5,14,0.9115357215312472,0.0,0.0021344717182497333,1.4260425567626953
0.1,0.1,0,63,8,0.01,0.5,15,0.9196063033517247,0.0013440860215053765,0.07577374599786553,1.2874484062194824
0.1,0.1,0,63,8,0.01,0.5,16,0.7768816664226897,0.0,0.07470651013874066,1.281381368637085
0.1,0.1,0,63,8,0.01,0.5,17,0.8365662364595645,0.0,0.07150480256136606,1.231003999710083
0.1,0.1,0,63,8,0.01,0.5,18,0.8362086514787479,0.0014903129657228018,0.07470651013874066,1.2626864910125732
0.1,0.1,0,63,8,0.01,0.5,19,0.9005240074623845,0.0,0.0,1.2665832042694092
0.1,0.1,0,63,8,0.01,0.5,20,0.8437953373018554,0.0,0.07257203842049093,1.2591936588287354
0.1,0.1,0,63,8,0.01,0.65,1,0.9034835629626652,0.001466275659824047,0.064034151547492,1.25978422164917
0.1,0.1,0,63,8,0.01,0.65,2,0.8843435114951728,0.002777777777777778,0.16755602988260407,1.4862806797027588
0.1,0.1,0,63,8,0.01,0.65,3,0.8879053788885847,0.0,0.0736392742796158,1.2576501369476318
0.1,0.1,0,63,8,0.01,0.65,4,0.8870339264436378,0.0,0.07470651013874066,1.2542130947113037
0.1,0.1,0,63,8,0.01,0.65,5,0.8589498723770206,0.0013440860215053765,0.09071504802561366,1.260282039642334
0.1,0.1,0,63,8,0.01,0.65,6,0.854309465551558,0.0,0.07577374599786553,1.3107035160064697
0.1,0.1,0,63,8,0.01,0.65,7,0.8534882088295278,0.0013440860215053765,0.1344717182497332,1.3312509059906006
0.1,0.1,0,63,8,0.01,0.65,8,0.858495457577849,0.004273504273504274,0.18463180362860193,1.2618284225463867
0.1,0.1,0,63,8,0.01,0.65,9,0.828235258240827,0.0015432098765432098,0.07257203842049093,1.433279275894165
0.1,0.1,0,63,8,0.01,0.65,10,0.9160959666577838,0.0,0.07470651013874066,1.2999484539031982
0.1,0.1,0,63,8,0.01,0.65,11,0.7576433243190204,0.0016129032258064516,0.1376734258271078,1.285510540008545
0.1,0.1,0,63,8,0.01,0.65,12,0.8193526672681055,0.0013440860215053765,0.1632870864461046,1.2884867191314697
0.1,0.1,0,63,8,0.01,0.65,13,0.9061606362991538,0.001388888888888889,0.0768409818569904,1.286512851715088
0.1,0.1,0,63,8,0.01,0.65,14,0.8354009072380288,0.0,0.0736392742796158,1.290210247039795
0.1,0.1,0,63,8,0.01,0.65,15,0.8152872029833722,0.001366120218579235,0.14941302027748132,1.2845027446746826
0.1,0.1,0,63,8,0.01,0.65,16,0.8530671788939891,0.0,0.07470651013874066,1.2911128997802734
0.1,0.1,0,63,8,0.01,0.65,17,0.8224732172181076,0.001366120218579235,0.07150480256136606,1.4205656051635742
0.1,0.1,0,63,8,0.01,0.65,18,0.9323056186242211,0.0013440860215053765,0.06510138740661686,1.2741978168487549
0.1,0.1,0,63,8,0.01,0.65,19,0.9011371506609469,0.001466275659824047,0.14300960512273211,1.2550041675567627
0.1,0.1,0,63,8,0.01,0.65,20,0.8573708803173629,0.001366120218579235,0.07577374599786553,1.2665307521820068
0.1,0.1,0,63,8,0.01,0.8,1,0.9875307317889408,0.0013440860215053765,0.0736392742796158,1.2770721912384033
0.1,0.1,0,63,8,0.01,0.8,2,0.9028395187643201,0.0,0.0,1.2542047500610352
0.1,0.1,0,63,8,0.01,0.8,3,0.7935900804262229,0.0,0.07470651013874066,1.2612056732177734
0.1,0.1,0,63,8,0.01,0.8,4,0.8506280435507738,0.0013440860215053765,0.005336179295624333,1.2678163051605225
0.1,0.1,0,63,8,0.01,0.8,5,0.8609616078410741,0.0014903129657228018,0.07470651013874066,1.4403047561645508
0.1,0.1,0,63,8,0.01,0.8,6,0.807780950132738,0.0013440860215053765,0.025613660618996798,1.2837088108062744
0.1,0.1,0,63,8,0.01,0.8,7,0.9252702667622857,0.001366120218579235,0.1376734258271078,1.2800896167755127
0.1,0.1,0,63,8,0.01,0.8,8,0.8828162554256498,0.008741258741258742,0.5112059765208111,1.2643969058990479
0.1,0.1,0,63,8,0.01,0.8,9,0.8482471403570733,0.001388888888888889,0.1728922091782284,1.278132438659668
0.1,0.1,0,63,8,0.01,0.8,10,0.7632246665173286,0.001466275659824047,0.07470651013874066,1.3423047065734863
0.1,0.1,0,63,8,0.01,0.8,11,0.9089847833132594,0.0,0.0010672358591248667,1.2421197891235352
