mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.3,2.0,0,39,0,0,0,0.8538523434280496,0.0,0.03850156087408949,
0.3,2.0,0,39,3,0.01,0.5,1,0.8376977075122675,0.0,0.018730489073881373,1.3659954071044922
0.3,2.0,0,39,3,0.01,0.5,2,0.8005618434406064,0.0,0.030176899063475548,1.3704936504364014
0.3,2.0,0,39,3,0.01,0.5,3,0.7677468256727796,0.01,0.2393340270551509,1.3610568046569824
0.3,2.0,0,39,3,0.01,0.5,4,0.8739816544368803,0.0015479876160990713,0.001040582726326743,1.3636713027954102
0.3,2.0,0,39,3,0.01,0.5,5,0.8409438841011756,0.0,0.007284079084287201,1.5046722888946533
0.3,2.0,0,39,3,0.01,0.5,6,0.8435855134289025,0.0,0.003121748178980229,1.3651084899902344
0.3,2.0,0,39,3,0.01,0.5,7,0.7973074312783944,0.0,0.037460978147762745,1.3670470714569092
0.3,2.0,0,39,3,0.01,0.5,8,0.8140520265954849,0.0033613445378151263,0.17273673257023933,1.3560843467712402
0.3,2.0,0,39,3,0.01,0.5,9,0.8271521643892253,0.0035650623885918,0.11446409989594172,1.3590028285980225
0.3,2.0,0,39,3,0.01,0.5,10,0.8691523261345935,0.0015479876160990713,0.04058272632674298,1.3617570400238037
0.3,2.0,0,39,3,0.01,0.5,11,0.8114790553296386,0.0020833333333333333,0.08324661810613944,1.3661611080169678
0.3,2.0,0,39,3,0.01,0.5,12,0.7852759965396963,0.0,0.001040582726326743,1.363145112991333
0.3,2.0,0,39,3,0.01,0.5,13,0.8131345080140273,0.003179650238473768,0.17273673257023933,1.3881654739379883
0.3,2.0,0,39,3,0.01,0.5,14,0.8958976657440614,0.0,0.001040582726326743,1.5252325534820557
0.3,2.0,0,39,3,0.01,0.5,15,0.8032639917210419,0.0015479876160990713,0.008324661810613945,1.3647747039794922
0.3,2.0,0,39,3,0.01,0.5,16,0.8314746118409491,0.0016339869281045752,0.08636836628511967,1.3668649196624756
0.3,2.0,0,39,3,0.01,0.5,17,0.8135274943043916,0.0036036036036036037,0.1675338189386056,1.3599917888641357
