mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.4,1.0,0,62,0,0,0,0.6656352629229381,0.009259259259259259,0.5063965884861408,
0.4,1.0,0,62,5,0.01,0.5,1,0.5667113335751801,0.006172839506172839,0.38486140724946694,1.3931987285614014
0.4,1.0,0,62,5,0.01,0.5,2,0.6463668887977317,0.011111111111111112,0.3443496801705757,1.3754324913024902
0.4,1.0,0,62,5,0.01,0.5,3,0.6956451668867865,0.005681818181818182,0.22068230277185502,1.3654534816741943
0.4,1.0,0,62,5,0.01,0.5,4,0.6162941503020437,0.005952380952380952,0.2899786780383795,1.3630282878875732
0.4,1.0,0,62,5,0.01,0.5,5,0.6248694699026989,0.0015432098765432098,0.09381663113006397,1.4905226230621338
0.4,1.0,0,62,5,0.01,0.5,6,0.5960925687652889,0.006172839506172839,0.40298507462686567,1.3686590194702148
0.4,1.0,0,62,5,0.01,0.5,7,0.6671849636174612,0.008012820512820512,0.41044776119402987,1.3694713115692139
0.4,1.0,0,62,5,0.01,0.5,8,0.6170508958499747,0.010416666666666666,0.4594882729211087,1.3700745105743408
0.4,1.0,0,62,5,0.01,0.5,9,0.6288204415968437,0.006666666666666667,0.31982942430703626,1.3542256355285645
0.4,1.0,0,62,5,0.01,0.5,10,0.6537656833096487,0.00980392156862745,0.5469083155650319,1.366809606552124
0.4,1.0,0,62,5,0.01,0.5,11,0.6496984110972541,0.005952380952380952,0.3230277185501066,1.3617091178894043
0.4,1.0,0,62,5,0.01,0.5,12,0.7275272347693649,0.0,0.015991471215351813,1.367434024810791
0.4,1.0,0,62,5,0.01,0.5,13,0.6050390938876637,0.009433962264150943,0.47867803837953093,1.5225763320922852
0.4,1.0,0,62,5,0.01,0.5,14,0.5806150450070215,0.0036231884057971015,0.24307036247334754,1.3701648712158203
0.4,1.0,0,62,5,0.01,0.5,15,0.583164367015225,0.006944444444444444,0.2345415778251599,1.3707377910614014
0.4,1.0,0,62,5,0.01,0.5,16,0.6817422777859109,0.007575757575757576,0.46588486140724944,1.3647894859313965
0.4,1.0,0,62,5,0.01,0.5,17,0.5990687753152509,0.005952380952380952,0.2899786780383795,1.3603370189666748
0.4,1.0,0,62,5,0.01,0.5,18,0.5406921190519859,0.0028735632183908046,0.21002132196162046,1.3730669021606445
0.4,1.0,0,62,5,0.01,0.5,19,0.5817150345907748,0.008012820512820512,0.48187633262260127,1.295769453048706
0.4,1.0,0,62,5,0.01,0.5,20,0.6051101818156001,0.005208333333333333,0.24093816631130063,1.2498910427093506
0.4,1.0,0,62,5,0.01,0.65,1,0.6289118806457015,0.002976190476190476,0.17803837953091683,1.4144527912139893
0.4,1.0,0,62,5,0.01,0.65,2,0.6776359781883864,0.0029239766081871343,0.1865671641791045,1.262127161026001
0.4,1.0,0,62,5,0.01,0.65,3,0.6590972573095353,0.002777777777777778,0.208955223880597,1.2584807872772217
0.4,1.0,0,62,5,0.01,0.65,4,0.6531103098580497,0.00641025641025641,0.3603411513859275,1.2485101222991943
0.4,1.0,0,62,5,0.01,0.65,5,0.6514101942406526,0.0043859649122807015,0.29850746268656714,1.248774766921997
0.4,1.0,0,62,5,0.01,0.65,6,0.6538356471982547,0.007352941176470588,0.279317697228145,1.2462522983551025
0.4,1.0,0,62,5,0.01,0.65,7,0.6883449909584013,0.008169934640522876,0.4626865671641791,1.24847412109375
0.4,1.0,0,62,5,0.01,0.65,8,0.6451515133588772,0.0035460992907801418,0.1673773987206823,1.249849557876587
0.4,1.0,0,62,5,0.01,0.65,9,0.6740402479625398,0.006289308176100629,0.3837953091684435,1.4054734706878662
0.4,1.0,0,62,5,0.01,0.65,10,0.6110129623431878,0.008012820512820512,0.48507462686567165,1.2481262683868408
0.4,1.0,0,62,5,0.01,0.65,11,0.6092792477375569,0.006060606060606061,0.2995735607675906,1.2544496059417725
0.4,1.0,0,62,5,0.01,0.65,12,0.6450059552893594,0.006097560975609756,0.23347547974413646,1.2472343444824219
0.4,1.0,0,62,5,0.01,0.65,13,0.5582881135517302,0.006172839506172839,0.3486140724946695,1.2555649280548096
0.4,1.0,0,62,5,0.01,0.65,14,0.6146200062316767,0.0043859649122807015,0.2899786780383795,1.2481882572174072
0.4,1.0,0,62,5,0.01,0.65,15,0.5893288027922927,0.007575757575757576,0.337953091684435,1.254951000213623
0.4,1.0,0,62,5,0.01,0.65,16,0.5983746591611436,0.008503401360544218,0.36140724946695096,1.2473022937774658
0.4,1.0,0,62,5,0.01,0.65,17,0.5951155261842572,0.003401360544217687,0.14712153518123666,1.416546106338501
0.4,1.0,0,62,5,0.01,0.65,18,0.6962900900215834,0.010416666666666666,0.5405117270788913,1.2602500915527344
0.4,1.0,0,62,5,0.01,0.65,19,0.6705233485691436,0.008169934640522876,0.44562899786780386,1.249891996383667
0.4,1.0,0,62,5,0.01,0.65,20,0.6752760812723757,0.007407407407407408,0.35287846481876334,1.2519497871398926
0.4,1.0,0,62,5,0.01,0.8,1,0.6421021405403154,0.00510204081632653,0.2953091684434968,1.2528977394104004
0.4,1.0,0,62,5,0.01,0.8,2,0.6532955041802649,0.0014367816091954023,0.1044776119402985,1.2826848030090332
0.4,1.0,0,62,5,0.01,0.8,3,0.6600582654870802,0.001366120218579235,0.08742004264392324,1.25136399269104
0.4,1.0,0,62,5,0.01,0.8,4,0.6440203442697724,0.008503401360544218,0.48507462686567165,1.2495391368865967
0.4,1.0,0,62,5,0.01,0.8,5,0.6277391446118821,0.004464285714285714,0.23987206823027718,1.416250467300415
0.4,1.0,0,62,5,0.01,0.8,6,0.4962700106088761,0.001366120218579235,0.14072494669509594,1.2591140270233154
0.4,1.0,0,62,5,0.01,0.8,7,0.6988293341697531,0.0043859649122807015,0.27825159914712155,1.2511074542999268
0.4,1.0,0,62,5,0.01,0.8,8,0.6384926837485291,0.012152777777777778,0.6140724946695096,1.2476727962493896
0.4,1.0,0,62,5,0.01,0.8,9,0.6350990506850297,0.00423728813559322,0.32409381663113007,1.2506248950958252
0.4,1.0,0,62,5,0.01,0.8,10,0.7232434363265103,0.0033333333333333335,0.17484008528784648,1.24906325340271
0.4,1.0,0,62,5,0.01,0.8,11,0.6776951822436199,0.006172839506172839,0.34541577825159914,1.2546427249908447
0.4,1.0,0,62,5,0.01,0.8,12,0.6572304968681408,0.004310344827586207,0.2462686567164179,1.2465949058532715
0.4,1.0,0,62,5,0.01,0.8,13,0.6340283450460865,0.00744047619047619,0.40191897654584224,1.4186840057373047
0.4,1.0,0,62,5,0.01,0.8,14,0.6396725926985273,0.004464285714285714,0.22388059701492538,1.2636916637420654
0.4,1.0,0,62,5,0.01,0.8,15,0.5830184475168123,0.007861635220125786,0.5010660980810234,1.2506444454193115
0.4,1.0,0,62,5,0.01,0.8,16,0.6067870175578615,0.007751937984496124,0.2697228144989339,1.249481201171875
0.4,1.0,0,62,5,0.01,0.8,17,0.6905036804357093,0.0047169811320754715,0.25692963752665243,1.2519896030426025
0.4,1.0,0,62,5,0.01,0.8,18,0.6451646365073437,0.0029239766081871343,0.18976545842217485,1.256866216659546
0.4,1.0,0,62,5,0.01,0.8,19,0.7025259607346925,0.005952380952380952,0.3464818763326226,1.2505273818969727
0.4,1.0,0,62,5,0.01,0.8,20,0.6344324924580267,0.006060606060606061,0.35714285714285715,1.2679600715637207
0.4,1.0,0,62,5,0.01,0.95,1,0.6781821854190345,0.006060606060606061,0.26119402985074625,1.4171690940856934
0.4,1.0,0,62,5,0.01,0.95,2,0.600686861495159,0.009433962264150943,0.5287846481876333,1.2652289867401123
0.4,1.0,0,62,5,0.01,0.95,3,0.6496490075285589,0.0047169811320754715,0.34968017057569295,1.2523727416992188
0.4,1.0,0,62,5,0.01,0.95,4,0.5598844422263591,0.009259259259259259,0.4466950959488273,1.247107982635498
0.4,1.0,0,62,5,0.01,0.95,5,0.5957470682040394,0.010416666666666666,0.4520255863539446,1.2539801597595215
0.4,1.0,0,62,5,0.01,0.95,6,0.6538192529981447,0.004807692307692308,0.31023454157782515,1.2733137607574463
0.4,1.0,0,62,5,0.01,0.95,7,0.6298260317979673,0.00510204081632653,0.2857142857142857,1.3520071506500244
0.4,1.0,0,62,5,0.01,0.95,8,0.6024345674698636,0.002824858757062147,0.18550106609808104,1.2557485103607178
0.4,1.0,0,62,5,0.01,0.95,9,0.6042354165815065,0.006535947712418301,0.21321961620469082,1.4150159358978271
0.4,1.0,0,62,5,0.01,0.95,10,0.6861017651292726,0.0043859649122807015,0.2046908315565032,1.2591192722320557
0.4,1.0,0,62,5,0.01,0.95,11,0.6234314467708504,0.004629629629629629,0.22707889125799574,1.2516264915466309
0.4,1.0,0,62,5,0.01,0.95,12,0.6136181978087221,0.002824858757062147,0.1791044776119403,1.260270118713379
0.4,1.0,0,62,5,0.01,0.95,13,0.658470854390715,0.004310344827586207,0.2771855010660981,1.2526142597198486
0.4,1.0,0,62,5,0.01,0.95,14,0.6508282797987859,0.006289308176100629,0.26439232409381663,1.2469062805175781
0.4,1.0,0,62,5,0.01,0.95,15,0.6215217819053162,0.004310344827586207,0.21428571428571427,1.2532713413238525
0.4,1.0,0,62,5,0.01,0.95,16,0.692476874012499,0.00641025641025641,0.40191897654584224,1.250483512878418
0.4,1.0,0,62,5,0.01,0.95,17,0.6771725727692428,0.004310344827586207,0.34968017057569295,1.4099349975585938
0.4,1.0,0,62,5,0.01,0.95,18,0.6109988523294841,0.004629629629629629,0.22388059701492538,1.254727840423584
0.4,1.0,0,62,5,0.01,0.95,19,0.5785392040350935,0.008503401360544218,0.42430703624733473,1.2510950565338135
0.4,1.0,0,62,5,0.01,0.95,20,0.5852253517074717,0.00510204081632653,0.28251599147121537,1.2467851638793945
0.4,1.0,0,62,25,0.05,0.5,1,0.6006293353596033,0.010683760683760684,0.5181236673773987,1.258458137512207
0.4,1.0,0,62,25,0.05,0.5,2,0.5984980291732204,0.0029239766081871343,0.14498933901918976,1.2596633434295654
0.4,1.0,0,62,25,0.05,0.5,3,0.6202246485091905,0.004901960784313725,0.1886993603411514,1.2572317123413086
0.4,1.0,0,62,25,0.05,0.5,4,0.6588775526765474,0.015765765765765764,0.5330490405117271,1.265383005142212
0.4,1.0,0,62,25,0.05,0.5,5,0.6023845760391557,0.01881720430107527,0.5490405117270789,1.4245765209197998
0.4,1.0,0,62,25,0.05,0.5,6,0.6232867839383937,0.006289308176100629,0.36353944562899787,1.261275291442871
0.4,1.0,0,62,25,0.05,0.5,7,0.7010844048975057,0.011437908496732025,0.5319829424307037,1.2610487937927246
0.4,1.0,0,62,25,0.05,0.5,8,0.6913197430456066,0.0070921985815602835,0.2931769722814499,1.251772403717041
0.4,1.0,0,62,25,0.05,0.5,9,0.6226284134882729,0.010416666666666666,0.42643923240938164,1.3098766803741455
0.4,1.0,0,62,25,0.05,0.5,10,0.5765553573101426,0.007575757575757576,0.4147121535181237,1.2534301280975342
0.4,1.0,0,62,25,0.05,0.5,11,0.6357586893487903,0.006172839506172839,0.2974413646055437,1.256286382675171
0.4,1.0,0,62,25,0.05,0.5,12,0.6997080281724944,0.010638297872340425,0.4957356076759062,1.2604243755340576
0.4,1.0,0,62,25,0.05,0.5,13,0.6890418301672822,0.015151515151515152,0.5788912579957356,1.4293124675750732
0.4,1.0,0,62,25,0.05,0.5,14,0.6080785974121066,0.009057971014492754,0.3283582089552239,1.2668039798736572
0.4,1.0,0,62,25,0.05,0.5,15,0.6007936398364728,0.010869565217391304,0.523454157782516,1.2670173645019531
0.4,1.0,0,62,25,0.05,0.5,16,0.6513062361739391,0.005747126436781609,0.3816631130063966,1.250901460647583
0.4,1.0,0,62,25,0.05,0.5,17,0.6362050433571717,0.026515151515151516,0.5554371002132196,1.2594859600067139
0.4,1.0,0,62,25,0.05,0.5,18,0.6694502264551662,0.00909090909090909,0.5895522388059702,1.2519183158874512
0.4,1.0,0,62,25,0.05,0.5,19,0.6552045200094772,0.011904761904761904,0.4115138592750533,1.2491917610168457
0.4,1.0,0,62,25,0.05,0.5,20,0.7049913316430857,0.00980392156862745,0.593816631130064,1.253260612487793
0.4,1.0,0,62,25,0.05,0.65,1,0.6357372990337744,0.005952380952380952,0.22921108742004265,1.2580642700195312
0.4,1.0,0,62,25,0.05,0.65,2,0.6206271773896835,0.0014367816091954023,0.08422174840085288,1.430924892425537
0.4,1.0,0,62,25,0.05,0.65,3,0.5759764664917763,0.01020408163265306,0.48187633262260127,1.2656261920928955
0.4,1.0,0,62,25,0.05,0.65,4,0.672502876540232,0.005952380952380952,0.31343283582089554,1.2520580291748047
0.4,1.0,0,62,25,0.05,0.65,5,0.5564156981549152,0.00641025641025641,0.3315565031982942,1.2701630592346191
0.4,1.0,0,62,25,0.05,0.65,6,0.6320450936022308,0.009615384615384616,0.5255863539445629,1.253535270690918
0.4,1.0,0,62,25,0.05,0.65,7,0.6510325605908769,0.009259259259259259,0.4541577825159915,1.2600269317626953
0.4,1.0,0,62,25,0.05,0.65,8,0.6635916910568436,0.008503401360544218,0.4616204690831556,1.2615294456481934
0.4,1.0,0,62,25,0.05,0.65,9,0.5892100745679971,0.013020833333333334,0.4562899786780384,1.260188102722168
0.4,1.0,0,62,25,0.05,0.65,10,0.6839259305178947,0.006802721088435374,0.4168443496801706,1.4265718460083008
0.4,1.0,0,62,25,0.05,0.65,11,0.5882413920623758,0.011666666666666667,0.5405117270788913,1.2577857971191406
0.4,1.0,0,62,25,0.05,0.65,12,0.6540260285556523,0.004310344827586207,0.22494669509594883,1.2607016563415527
0.4,1.0,0,62,25,0.05,0.65,13,0.6617664209935303,0.006289308176100629,0.4168443496801706,1.260511875152588
0.4,1.0,0,62,25,0.05,0.65,14,0.6577302725383574,0.01020408163265306,0.5543710021321961,1.2502872943878174
0.4,1.0,0,62,25,0.05,0.65,15,0.6135245970854335,0.008928571428571428,0.26652452025586354,1.2527422904968262
0.4,1.0,0,62,25,0.05,0.65,16,0.6909381043709982,0.00744047619047619,0.37100213219616207,1.251542568206787
0.4,1.0,0,62,25,0.05,0.65,17,0.5977881003767116,0.008865248226950355,0.40085287846481876,1.251932144165039
0.4,1.0,0,62,25,0.05,0.65,18,0.6559574353654977,0.007861635220125786,0.36673773987206826,1.4240126609802246
0.4,1.0,0,62,25,0.05,0.65,19,0.6167389081076867,0.017543859649122806,0.7238805970149254,1.2537846565246582
0.4,1.0,0,62,25,0.05,0.65,20,0.654733958898144,0.012411347517730497,0.6183368869936035,1.2576398849487305
0.4,1.0,0,62,25,0.05,0.8,1,0.7129921723058942,0.008169934640522876,0.3816631130063966,1.2569754123687744
0.4,1.0,0,62,25,0.05,0.8,2,0.628612755588619,0.011111111111111112,0.46375266524520253,1.2605688571929932
0.4,1.0,0,62,25,0.05,0.8,3,0.6818025118789308,0.005747126436781609,0.2942430703624733,1.2616775035858154
0.4,1.0,0,62,25,0.05,0.8,4,0.6508027393752258,0.006289308176100629,0.2942430703624733,1.2637660503387451
0.4,1.0,0,62,25,0.05,0.8,5,0.6754019154253902,0.008130081300813009,0.373134328358209,1.408435583114624
0.4,1.0,0,62,25,0.05,0.8,6,0.658619462898706,0.009057971014492754,0.4168443496801706,1.2604255676269531
0.4,1.0,0,62,25,0.05,0.8,7,0.6743786969756413,0.004901960784313725,0.23987206823027718,1.2543261051177979
0.4,1.0,0,62,25,0.05,0.8,8,0.6429898593522748,0.009057971014492754,0.40085287846481876,1.2512342929840088
0.4,1.0,0,62,25,0.05,0.8,9,0.6324101914561977,0.007716049382716049,0.5223880597014925,1.2601871490478516
0.4,1.0,0,62,25,0.05,0.8,10,0.6987849589894767,0.0110062893081761,0.5522388059701493,1.2585203647613525
0.4,1.0,0,62,25,0.05,0.8,11,0.7022065500912978,0.004545454545454545,0.27505330490405117,1.2690739631652832
0.4,1.0,0,62,25,0.05,0.8,12,0.6358614316433289,0.008620689655172414,0.2846481876332623,1.2584826946258545
0.4,1.0,0,62,25,0.05,0.8,13,0.620665615737928,0.015765765765765764,0.652452025586354,1.4250075817108154
0.4,1.0,0,62,25,0.05,0.8,14,0.7010545964014272,0.011111111111111112,0.32409381663113007,1.2604093551635742
0.4,1.0,0,62,25,0.05,0.8,15,0.6276300269622889,0.011363636363636364,0.44243070362473347,1.2604074478149414
0.4,1.0,0,62,25,0.05,0.8,16,0.6633468199821432,0.004901960784313725,0.3443496801705757,1.291320562362671
0.4,1.0,0,62,25,0.05,0.8,17,0.6888465172860494,0.00423728813559322,0.19189765458422176,1.2494802474975586
0.4,1.0,0,62,25,0.05,0.8,18,0.6512844008195873,0.006060606060606061,0.2846481876332623,1.2598185539245605
0.4,1.0,0,62,25,0.05,0.8,19,0.672125947585201,0.005813953488372093,0.17377398720682302,1.250981330871582
0.4,1.0,0,62,25,0.05,0.8,20,0.6215790937882885,0.007575757575757576,0.34968017057569295,1.2612836360931396
0.4,1.0,0,62,25,0.05,0.95,1,0.6504338611160378,0.0032679738562091504,0.15245202558635396,1.4282243251800537
0.4,1.0,0,62,25,0.05,0.95,2,0.7034565125977333,0.00423728813559322,0.23667377398720682,1.2589738368988037
0.4,1.0,0,62,25,0.05,0.95,3,0.706401099211211,0.004807692307692308,0.255863539445629,1.2612364292144775
0.4,1.0,0,62,25,0.05,0.95,4,0.6549144776395234,0.013071895424836602,0.7217484008528785,1.2519478797912598
0.4,1.0,0,62,25,0.05,0.95,5,0.6573746810316718,0.013440860215053764,0.40405117270788915,1.2539634704589844
0.4,1.0,0,62,25,0.05,0.95,6,0.6563115079237231,0.00510204081632653,0.2899786780383795,1.2532455921173096
0.4,1.0,0,62,25,0.05,0.95,7,0.6341714655502567,0.011363636363636364,0.535181236673774,1.2625255584716797
0.4,1.0,0,62,25,0.05,0.95,8,0.6278360219535026,0.006756756756756757,0.27292110874200426,1.259230136871338
0.4,1.0,0,62,25,0.05,0.95,9,0.6792469379866302,0.008865248226950355,0.3837953091684435,1.427344560623169
0.4,1.0,0,62,25,0.05,0.95,10,0.6399610324630244,0.007861635220125786,0.4957356076759062,1.260500192642212
0.4,1.0,0,62,25,0.05,0.95,11,0.5503945590440589,0.006802721088435374,0.26545842217484006,1.2565205097198486
0.4,1.0,0,62,25,0.05,0.95,12,0.6981942065703928,0.002824858757062147,0.21215351812366737,1.2622363567352295
0.4,1.0,0,62,25,0.05,0.95,13,0.6707280794424815,0.0014124293785310734,0.028784648187633263,1.254546880722046
