mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.5,0.5,0,62,0,0,0,0.3255642953389285,0.02666666666666667,0.6993603411513859,
0.5,0.5,0,62,4,0.01,0.5,1,0.2620253842141588,0.03125,0.7654584221748401,1.292703628540039
0.5,0.5,0,62,4,0.01,0.5,2,0.2672962181966946,0.026785714285714284,0.7654584221748401,1.2581937313079834
0.5,0.5,0,62,4,0.01,0.5,3,0.2913592459364922,0.046296296296296294,0.8539445628997868,1.256880283355713
0.5,0.5,0,62,4,0.01,0.5,4,0.27112655862977175,0.026785714285714284,0.7270788912579957,1.253720760345459
0.5,0.5,0,62,4,0.01,0.5,5,0.28906049061004985,0.027777777777777776,0.7953091684434968,1.2636191844940186
0.5,0.5,0,62,4,0.01,0.5,6,0.31187179670753074,0.02142857142857143,0.8113006396588486,1.3942797183990479
0.5,0.5,0,62,4,0.01,0.5,7,0.3083971867310129,0.03985507246376811,0.8933901918976546,1.2455759048461914
0.5,0.5,0,62,4,0.01,0.5,8,0.27217195295988356,0.023809523809523808,0.6513859275053305,1.2531015872955322
0.5,0.5,0,62,4,0.01,0.5,9,0.2675521360647383,0.057291666666666664,0.9115138592750534,1.2599749565124512
0.5,0.5,0,62,4,0.01,0.5,10,0.35016677027921195,0.027777777777777776,0.9701492537313433,1.2765288352966309
0.5,0.5,0,62,4,0.01,0.5,11,0.2470077941021895,0.03968253968253968,0.8315565031982942,1.2533073425292969
0.5,0.5,0,62,4,0.01,0.5,12,0.3278571035410771,0.023809523809523808,0.6823027718550106,1.2507851123809814
0.5,0.5,0,62,4,0.01,0.5,13,0.2600161927635611,0.028846153846153848,0.7825159914712153,1.2629916667938232
0.5,0.5,0,62,4,0.01,0.5,14,0.2792911991903347,0.037037037037037035,0.6727078891257996,1.4257910251617432
0.5,0.5,0,62,4,0.01,0.5,15,0.32423769320402246,0.020833333333333332,0.6833688699360341,1.2491650581359863
0.5,0.5,0,62,4,0.01,0.5,16,0.2813296930848886,0.0234375,0.7547974413646056,1.246182918548584
0.5,0.5,0,62,4,0.01,0.5,17,0.3060718519230511,0.02586206896551724,0.8187633262260128,1.2540524005889893
0.5,0.5,0,62,4,0.01,0.5,18,0.2663783207177181,0.027777777777777776,0.6748400852878464,1.2473037242889404
0.5,0.5,0,62,4,0.01,0.5,19,0.28069873281020913,0.025,0.7814498933901919,1.2546212673187256
0.5,0.5,0,62,4,0.01,0.5,20,0.2725020982168984,0.03787878787878788,0.8155650319829424,1.26115083694458
0.5,0.5,0,62,4,0.01,0.65,1,0.3122332006415349,0.03409090909090909,0.767590618336887,1.417654275894165
0.5,0.5,0,62,4,0.01,0.65,2,0.29816373280780023,0.027777777777777776,0.7643923240938166,1.2652196884155273
0.5,0.5,0,62,4,0.01,0.65,3,0.3501153290208606,0.03205128205128205,0.82409381663113,1.260063886642456
0.5,0.5,0,62,4,0.01,0.65,4,0.29823845651242376,0.037037037037037035,0.6705756929637526,1.2532315254211426
0.5,0.5,0,62,4,0.01,0.65,5,0.2966813622402915,0.039473684210526314,0.7228144989339019,1.2561743259429932
0.5,0.5,0,62,4,0.01,0.65,6,0.2596743987503845,0.034722222222222224,0.8901918976545842,1.2506837844848633
0.5,0.5,0,62,4,0.01,0.65,7,0.3122094287898842,0.041666666666666664,0.9232409381663113,1.2527389526367188
0.5,0.5,0,62,4,0.01,0.65,8,0.3442215768019354,0.025,0.755863539445629,1.2517290115356445
0.5,0.5,0,62,4,0.01,0.65,9,0.33099035910073776,0.027777777777777776,0.82409381663113,1.4247162342071533
0.5,0.5,0,62,4,0.01,0.65,10,0.266529308704744,0.039473684210526314,0.7515991471215352,1.2681221961975098
0.5,0.5,0,62,4,0.01,0.65,11,0.2694785241541979,0.016666666666666666,0.7302771855010661,1.2640538215637207
0.5,0.5,0,62,4,0.01,0.65,12,0.2809836255347552,0.041666666666666664,0.8336886993603412,1.2578997611999512
0.5,0.5,0,62,4,0.01,0.65,13,0.2972856759244885,0.031746031746031744,0.6407249466950959,1.248138189315796
0.5,0.5,0,62,4,0.01,0.65,14,0.30203420406896353,0.03787878787878788,0.8198294243070362,1.2869699001312256
