mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.4,1.0,0,15,0,0,0,0,0.5213098963441624,0.041666666666666664,0.22842639593908629,
0.4,1.0,0,15,0,0.01,0.95,1,0.502294381261834,0.04861111111111111,0.2934010152284264,1.352480173110962
0.4,1.0,0,15,0,0.01,0.95,2,0.5648633122107272,0.09722222222222222,0.3187817258883249,1.3549137115478516
0.4,1.0,0,15,0,0.01,0.95,3,0.5584567267460032,0.09375,0.3461928934010152,1.367419958114624
0.4,1.0,0,15,0,0.01,0.95,4,0.5586051044975782,0.08333333333333333,0.2984771573604061,1.3712317943572998
0.4,1.0,0,15,0,0.01,0.95,5,0.5679464219415568,0.125,0.37969543147208124,1.4975941181182861
0.4,1.0,0,15,0,0.01,0.95,6,0.559029452093257,0.1875,0.40812182741116754,1.3666958808898926
0.4,1.0,0,15,0,0.01,0.95,7,0.5245448964699511,0.08333333333333333,0.3472081218274112,1.3663458824157715
0.4,1.0,0,15,0,0.01,0.95,8,0.5490567777487502,0.04861111111111111,0.32284263959390863,1.3680269718170166
0.4,1.0,0,15,0,0.01,0.95,9,0.5373875346679357,0.02976190476190476,0.233502538071066,1.356581211090088
0.4,1.0,0,15,0,0.01,0.95,10,0.5080750855713432,0.08333333333333333,0.3177664974619289,1.3668506145477295
0.4,1.0,0,15,0,0.01,0.95,11,0.516709728268326,0.20833333333333334,0.39086294416243655,1.3657186031341553
0.4,1.0,0,15,0,0.01,0.95,12,0.5114463751705044,0.1111111111111111,0.34517766497461927,1.3660805225372314
0.4,1.0,0,15,0,0.01,0.95,13,0.5160147888344038,0.05,0.22030456852791877,1.5236337184906006
0.4,1.0,0,15,0,0.01,0.95,14,0.5542456957875355,0.1388888888888889,0.4355329949238579,1.3660218715667725
0.4,1.0,0,15,0,0.01,0.95,15,0.5264804715730136,0.08333333333333333,0.3380710659898477,1.3556296825408936
0.4,1.0,0,15,0,0.01,0.95,16,0.49885575907816376,0.06666666666666667,0.3431472081218274,1.362529993057251
0.4,1.0,0,15,0,0.01,0.95,17,0.5148329387160494,0.07291666666666667,0.2812182741116751,1.3647685050964355
0.4,1.0,0,15,0,0.01,0.95,18,0.5345082481602679,0.09722222222222222,0.2629441624365482,1.36012864112854
0.4,1.0,0,15,0,0.01,0.95,19,0.5273023520274689,0.125,0.36243654822335025,1.3523433208465576
0.4,1.0,0,15,0,0.01,0.95,20,0.5014417524163923,0.09722222222222222,0.2730964467005076,1.362520456314087
0.4,1.0,0,15,1,0.05,0.95,1,0.48268272748083507,0.041666666666666664,0.2365482233502538,1.556825876235962
0.4,1.0,0,15,1,0.05,0.95,2,0.5236805452410792,0.0625,0.24771573604060915,1.3848607540130615
0.4,1.0,0,15,1,0.05,0.95,3,0.5095402637173256,0.058333333333333334,0.2700507614213198,1.3841667175292969
0.4,1.0,0,15,1,0.05,0.95,4,0.5208204454693789,0.09375,0.38883248730964465,1.379622220993042
0.4,1.0,0,15,1,0.05,0.95,5,0.5052926491233489,0.034722222222222224,0.2050761421319797,1.378117322921753
0.4,1.0,0,15,1,0.05,0.95,6,0.5243873658904484,0.075,0.3634517766497462,1.3862032890319824
0.4,1.0,0,15,1,0.05,0.95,7,0.5576006392828878,0.06666666666666667,0.30761421319796955,1.3732216358184814
0.4,1.0,0,15,1,0.05,0.95,8,0.5461108256351972,0.1111111111111111,0.2883248730964467,1.387791633605957
0.4,1.0,0,15,1,0.05,0.95,9,0.5279265442222618,0.04861111111111111,0.28730964467005077,1.5647733211517334
0.4,1.0,0,15,1,0.05,0.95,10,0.5282425388874294,0.03571428571428571,0.24974619289340103,1.3805527687072754
0.4,1.0,0,15,1,0.05,0.95,11,0.4930609973796073,0.09375,0.3725888324873096,1.381117820739746
0.4,1.0,0,15,1,0.05,0.95,12,0.5045880829857673,0.1388888888888889,0.349238578680203,1.3818788528442383
0.4,1.0,0,15,1,0.05,0.95,13,0.45022460659973196,0.05,0.2416243654822335,1.3752717971801758
0.4,1.0,0,15,1,0.05,0.95,14,0.576581286221673,0.02976190476190476,0.1715736040609137,1.3784093856811523
0.4,1.0,0,15,1,0.05,0.95,15,0.5240292557175903,0.0625,0.22944162436548224,1.3800606727600098
