mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.01,1.0,0,100,0,0,0,0.8883527793065492,0.0,0.0,
0.01,1.0,0,100,31,0.01,1,0.8837723162913036,0.0,0.0,1.7076478004455566
0.01,1.0,0,100,31,0.01,2,0.8874560430032946,0.0,0.0,1.5802419185638428
0.01,1.0,0,100,31,0.01,3,0.8839062918340026,0.0,0.0,1.5686619281768799
0.01,1.0,0,100,31,0.01,4,0.8767876940133037,0.0,0.0,1.566666603088379
0.01,1.0,0,100,31,0.01,5,0.8759212328767123,0.0,0.0,1.5673885345458984
0.01,1.0,0,100,31,0.01,6,0.8319713651238897,0.0,0.0,1.5740296840667725
0.01,1.0,0,100,31,0.01,7,0.9168648881239243,0.0,0.0,1.5710210800170898
0.01,1.0,0,100,31,0.01,8,0.8771923782084862,0.0,0.0,1.7124624252319336
0.01,1.0,0,100,31,0.01,9,0.8092306161583269,0.0,0.0,1.5741322040557861
0.01,1.0,0,100,31,0.01,10,0.8792520132197552,0.0,0.0,1.5768330097198486
0.01,1.0,0,100,154,0.05,1,0.9224664135996039,0.0,0.0,3.4092838764190674
0.01,1.0,0,100,154,0.05,2,0.848230616158327,0.0,0.0,3.4228813648223877
0.01,1.0,0,100,154,0.05,3,0.8707524161884626,0.0,0.0,3.432558536529541
0.01,1.0,0,100,154,0.05,4,0.9643243243243244,0.0,0.0,3.4054300785064697
0.01,1.0,0,100,154,0.05,5,0.8787455197132618,0.0,0.0,3.5537452697753906
0.01,1.0,0,100,154,0.05,6,0.8830043223217042,0.0,0.0,3.4224798679351807
0.01,1.0,0,100,154,0.05,7,0.9153611111111111,0.0,0.0,3.4222395420074463
0.01,1.0,0,100,154,0.05,8,0.8256659941200207,0.0,0.0,3.4188036918640137
0.01,1.0,0,100,154,0.05,9,0.9504299065420561,0.0,0.0,3.4066574573516846
0.01,1.0,0,100,154,0.05,10,0.9040911175979984,0.0,0.0,3.4126133918762207
0.01,1.0,0,100,309,0.1,1,0.9078181818181819,0.0,0.0,3.971224308013916
0.01,1.0,0,100,309,0.1,2,0.96516893757503,0.0,0.0,4.106765270233154
0.01,1.0,0,100,309,0.1,3,0.8653351063829786,0.0,0.0,3.9504992961883545
0.01,1.0,0,100,309,0.1,4,0.924425835767608,0.0,0.0,3.967485189437866
0.01,1.0,0,100,309,0.1,5,0.920219512195122,0.0,0.0,3.9721994400024414
0.01,1.0,0,100,309,0.1,6,0.9187018958053441,0.0,0.0,3.962782621383667
0.01,1.0,0,100,309,0.1,7,0.9586506024096385,0.0,0.0,3.9561848640441895
0.01,1.0,0,100,309,0.1,8,0.8816792929292928,0.0,0.0,4.019683361053467
0.01,1.0,0,100,309,0.1,9,0.8814853349799321,0.0,0.0,3.9533605575561523
0.01,1.0,0,100,309,0.1,10,0.961,0.0,0.0,4.117766857147217
0.01,1.0,0,100,463,0.15,1,0.8254050409520792,0.0,0.0,3.945382833480835
0.01,1.0,0,100,463,0.15,2,0.9565681818181818,0.0,0.0,3.964212656021118
0.01,1.0,0,100,463,0.15,3,0.8767889478897563,0.0,0.0,3.995171546936035
0.01,1.0,0,100,463,0.15,4,0.9214354125362209,0.0,0.0,3.9729764461517334
0.01,1.0,0,100,463,0.15,5,0.9275934500282326,0.0,0.0,3.970043420791626
0.01,1.0,0,100,463,0.15,6,0.8806927437641723,0.0,0.0,3.98442006111145
0.01,1.0,0,100,463,0.15,7,0.8783056414788629,0.0,0.0,4.127638816833496
0.01,1.0,0,100,463,0.15,8,0.8721265891739424,0.0,0.0,3.946509599685669
0.01,1.0,0,100,463,0.15,9,0.9536344086021505,0.0,0.0,3.980862617492676
