mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.1,0.01,0,44,0,0,0,0.491629933582145,0.007352941176470588,0.28556485355648537,
0.1,0.01,0,44,5,0.01,1,0.5070117017060609,0.029411764705882353,0.36506276150627615,1.409113883972168
0.1,0.01,0,44,5,0.01,2,0.5480993460258913,0.0029411764705882353,0.12552301255230125,1.3216354846954346
0.1,0.01,0,44,5,0.01,3,0.5032443771048382,0.01764705882352941,0.399581589958159,1.3178577423095703
0.1,0.01,0,44,5,0.01,4,0.5386944544216631,0.010893246187363835,0.24686192468619247,1.328242540359497
0.1,0.01,0,44,5,0.01,5,0.4537456608575729,0.0028694404591104736,0.08263598326359832,1.3172485828399658
0.1,0.01,0,44,5,0.01,6,0.4613792191056168,0.010230179028132993,0.2405857740585774,1.3239905834197998
0.1,0.01,0,44,5,0.01,7,0.5129407709904393,0.009487666034155597,0.3410041841004184,1.3192861080169678
0.1,0.01,0,44,5,0.01,8,0.5027107022385808,0.006535947712418301,0.23640167364016737,1.4548780918121338
0.1,0.01,0,44,5,0.01,9,0.5035979913864934,0.0058823529411764705,0.1694560669456067,1.3198320865631104
0.1,0.01,0,44,5,0.01,10,0.5055385675888452,0.008403361344537815,0.2217573221757322,1.3285505771636963
0.1,0.01,0,44,24,0.05,1,0.4572722894594595,0.0030165912518853697,0.15585774058577406,1.6030912399291992
0.1,0.01,0,44,24,0.05,2,0.47578010644138463,0.013071895424836602,0.39644351464435146,1.5947892665863037
0.1,0.01,0,44,24,0.05,3,0.46211879023233154,0.00430416068866571,0.14748953974895398,1.5915894508361816
0.1,0.01,0,44,24,0.05,4,0.5828021949100003,0.007352941176470588,0.22280334728033474,1.5996785163879395
0.1,0.01,0,44,24,0.05,5,0.4401829159853331,0.011764705882352941,0.24163179916317992,1.7412285804748535
0.1,0.01,0,44,24,0.05,6,0.5230551235624742,0.00980392156862745,0.24267782426778242,1.592411756515503
0.1,0.01,0,44,24,0.05,7,0.48233396978530224,0.014705882352941176,0.37447698744769875,1.606647253036499
0.1,0.01,0,44,24,0.05,8,0.5487830342250234,0.012477718360071301,0.4602510460251046,1.5931980609893799
0.1,0.01,0,44,24,0.05,9,0.48750898713882435,0.011764705882352941,0.20606694560669456,1.5985651016235352
0.1,0.01,0,44,24,0.05,10,0.5016661617587346,0.022058823529411766,0.5794979079497908,1.6014575958251953
