mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.1,0.01,0,63,0,0,0,0.587082577921515,0.00980392156862745,0.49413020277481323,
0.1,0.01,0,63,8,0.01,1,0.6219778271273165,0.007861635220125786,0.42902881536819637,1.4236841201782227
0.1,0.01,0,63,8,0.01,2,0.687684563684994,0.005555555555555556,0.30096051227321235,1.3449351787567139
0.1,0.01,0,63,8,0.01,3,0.6024823795746826,0.009009009009009009,0.3660618996798292,1.3366897106170654
0.1,0.01,0,63,8,0.01,4,0.5740995048174267,0.013888888888888888,0.6350053361792957,1.3402345180511475
0.1,0.01,0,63,8,0.01,5,0.6260618392557793,0.01016260162601626,0.3852721451440768,1.3421177864074707
0.1,0.01,0,63,8,0.01,6,0.4969660259930936,0.017241379310344827,0.42902881536819637,1.3418300151824951
0.1,0.01,0,63,8,0.01,7,0.5668132128999077,0.015432098765432098,0.42902881536819637,1.3438291549682617
0.1,0.01,0,63,8,0.01,8,0.5734027329202431,0.012962962962962963,0.6296691568836713,1.4850378036499023
0.1,0.01,0,63,8,0.01,9,0.6081072384104542,0.01282051282051282,0.46531483457844186,1.3745176792144775
0.1,0.01,0,63,8,0.01,10,0.5741910251643292,0.015151515151515152,0.5293489861259338,1.3458538055419922
0.1,0.01,0,63,40,0.05,1,0.6139663450288585,0.022222222222222223,0.6542155816435432,2.075338363647461
0.1,0.01,0,63,40,0.05,2,0.5742459152575836,0.016129032258064516,0.46744930629669157,2.066437005996704
0.1,0.01,0,63,40,0.05,3,0.5846613385785825,0.016203703703703703,0.6328708644610459,2.0779435634613037
0.1,0.01,0,63,40,0.05,4,0.5330614575456152,0.013888888888888888,0.5741728922091782,2.08036470413208
0.1,0.01,0,63,40,0.05,5,0.6043343328053139,0.01881720430107527,0.576307363927428,2.2208402156829834
0.1,0.01,0,63,40,0.05,6,0.5368132393557047,0.011363636363636364,0.5208110992529349,2.0904247760772705
0.1,0.01,0,63,40,0.05,7,0.6243463132890825,0.016666666666666666,0.41088580576307365,2.0794153213500977
0.1,0.01,0,63,40,0.05,8,0.5879455781784543,0.046296296296296294,0.7950907150480256,2.082486867904663
0.1,0.01,0,63,40,0.05,9,0.4096356604525887,0.012962962962962963,0.655282817502668,2.0729098320007324
0.1,0.01,0,63,40,0.05,10,0.6014334924136076,0.012681159420289856,0.5538954108858057,2.0726168155670166
0.1,0.01,0,63,79,0.1,1,0.6005730927349582,0.020833333333333332,0.46744930629669157,2.970154047012329
0.1,0.01,0,63,79,0.1,2,0.5535052885833452,0.013513513513513514,0.5144076840981857,2.968313455581665
0.1,0.01,0,63,79,0.1,3,0.7511949210305773,0.00980392156862745,0.4813233724653148,3.1285629272460938
0.1,0.01,0,63,79,0.1,4,0.48532060285196776,0.014705882352941176,0.5336179295624333,2.954630136489868
0.1,0.01,0,63,79,0.1,5,0.5436242098774265,0.027777777777777776,0.8281750266808965,2.958895444869995
0.1,0.01,0,63,79,0.1,6,0.5877768030014131,0.016129032258064516,0.5570971184631803,2.967081069946289
0.1,0.01,0,63,79,0.1,7,0.5651582269093248,0.02666666666666667,0.6830309498399146,2.9598960876464844
