mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.01,0.01,0,15,0,0,0,0.691684995256757,0.0,0.01015228426395939,
0.01,0.01,0,15,1,0.01,1,0.6526052488666851,0.0,0.018274111675126905,1.2636570930480957
0.01,0.01,0,15,1,0.01,2,0.6843390940198315,0.0,0.0010152284263959391,1.1752245426177979
0.01,0.01,0,15,1,0.01,3,0.7201948590935121,0.00641025641025641,0.10253807106598985,1.1818435192108154
0.01,0.01,0,15,1,0.01,4,0.7052827297637095,0.0,0.030456852791878174,1.1816353797912598
0.01,0.01,0,15,1,0.01,5,0.688518595555265,0.0,0.0010152284263959391,1.1787140369415283
0.01,0.01,0,15,1,0.01,6,0.6335186207347525,0.002976190476190476,0.050761421319796954,1.1824963092803955
0.01,0.01,0,15,1,0.01,7,0.7149267649531525,0.0,0.016243654822335026,1.1827788352966309
0.01,0.01,0,15,1,0.01,8,0.6348235160279412,0.0,0.0020304568527918783,1.3148252964019775
0.01,0.01,0,15,1,0.01,9,0.6951540292908508,0.0,0.030456852791878174,1.2174155712127686
0.01,0.01,0,15,1,0.01,10,0.7270425862185895,0.002976190476190476,0.05380710659898477,1.261389970779419
0.01,0.01,0,15,5,0.05,1,0.6659708562949113,0.005208333333333333,0.0649746192893401,1.31965970993042
0.01,0.01,0,15,5,0.05,2,0.5492324362153629,0.0,0.049746192893401014,1.242905855178833
0.01,0.01,0,15,5,0.05,3,0.6676406619028419,0.0,0.0020304568527918783,1.261014699935913
0.01,0.01,0,15,5,0.05,4,0.741804886192573,0.0,0.009137055837563452,1.2108409404754639
0.01,0.01,0,15,5,0.05,5,0.7161315399772193,0.003105590062111801,0.047715736040609136,1.3574068546295166
0.01,0.01,0,15,5,0.05,6,0.6488602981664348,0.0,0.04263959390862944,1.2435202598571777
0.01,0.01,0,15,5,0.05,7,0.6871138374119485,0.0,0.017258883248730966,1.200117826461792
0.01,0.01,0,15,5,0.05,8,0.6805725695465754,0.003205128205128205,0.03248730964467005,1.199462652206421
0.01,0.01,0,15,5,0.05,9,0.6592692998786751,0.002976190476190476,0.0649746192893401,1.1978349685668945
0.01,0.01,0,15,5,0.05,10,0.6963255874335497,0.008333333333333333,0.10152284263959391,1.205141544342041
0.01,0.01,0,15,10,0.1,1,0.6572677436311135,0.0,0.03350253807106599,1.2693791389465332
0.01,0.01,0,15,10,0.1,2,0.6533398902421,0.002976190476190476,0.029441624365482234,1.4055278301239014
0.01,0.01,0,15,10,0.1,3,0.6481108846099661,0.002976190476190476,0.03147208121827411,1.2733912467956543
0.01,0.01,0,15,10,0.1,4,0.584861421171013,0.0,0.04263959390862944,1.2627153396606445
0.01,0.01,0,15,10,0.1,5,0.6941713094382139,0.0,0.018274111675126905,1.2696619033813477
0.01,0.01,0,15,10,0.1,6,0.6932995207866358,0.006944444444444444,0.12690355329949238,1.2678236961364746
0.01,0.01,0,15,10,0.1,7,0.6761325718836052,0.0,0.029441624365482234,1.2684500217437744
0.01,0.01,0,15,10,0.1,8,0.6348616506222632,0.0,0.03756345177664975,1.2693355083465576
0.01,0.01,0,15,10,0.1,9,0.720907334564616,0.0,0.018274111675126905,1.410722017288208
0.01,0.01,0,15,10,0.1,10,0.7260761382577202,0.0,0.047715736040609136,1.2671310901641846
0.01,0.01,0,15,15,0.15,1,0.6585179613551602,0.002976190476190476,0.013197969543147208,1.2806925773620605
0.01,0.01,0,15,15,0.15,2,0.6363253288043723,0.002976190476190476,0.07106598984771574,1.2850282192230225
0.01,0.01,0,15,15,0.15,3,0.7018452378170292,0.002976190476190476,0.07817258883248732,1.2887647151947021
0.01,0.01,0,15,15,0.15,4,0.7107513491880983,0.002976190476190476,0.05177664974619289,1.2995421886444092
0.01,0.01,0,15,15,0.15,5,0.6970156324612228,0.009259259259259259,0.10050761421319797,1.302861213684082
0.01,0.01,0,15,15,0.15,6,0.6936774211857524,0.0,0.02030456852791878,1.2759909629821777
0.01,0.01,0,15,15,0.15,7,0.6952972402113712,0.004629629629629629,0.08426395939086294,1.4350090026855469
0.01,0.01,0,15,15,0.15,8,0.6684395900137514,0.0,0.0416243654822335,1.3092098236083984
0.01,0.01,0,15,15,0.15,9,0.7578463670437762,0.002976190476190476,0.03553299492385787,1.3004565238952637
0.01,0.01,0,15,15,0.15,10,0.6518685906750947,0.010416666666666666,0.0751269035532995,1.301011085510254
0.01,0.01,0,15,19,0.2,1,0.6776390185460405,0.0,0.008121827411167513,1.4489426612854004
0.01,0.01,0,15,19,0.2,2,0.6813420198016418,0.006944444444444444,0.05685279187817259,1.4456024169921875
0.01,0.01,0,15,19,0.2,3,0.712579363038489,0.0,0.04467005076142132,1.452575922012329
0.01,0.01,0,15,19,0.2,4,0.6591215696592392,0.003205128205128205,0.0649746192893401,1.6034369468688965
0.01,0.01,0,15,19,0.2,5,0.6142848494021141,0.00641025641025641,0.03654822335025381,1.4259111881256104
0.01,0.01,0,15,19,0.2,6,0.6898561107329487,0.0,0.023350253807106598,1.426487922668457
0.01,0.01,0,15,19,0.2,7,0.6723762260478638,0.002976190476190476,0.06598984771573604,1.449875831604004
0.01,0.01,0,15,19,0.2,8,0.6250145060566425,0.004166666666666667,0.08121827411167512,1.4465200901031494
0.01,0.01,0,15,19,0.2,9,0.6121331412375882,0.002976190476190476,0.0883248730964467,1.4473562240600586
0.01,0.01,0,15,19,0.2,10,0.6970207184847049,0.0,0.046700507614213196,1.447406530380249
0.01,0.01,0,15,24,0.25,1,0.6360514530804938,0.003205128205128205,0.06903553299492386,1.5945641994476318
0.01,0.01,0,15,24,0.25,2,0.7138841737853575,0.002976190476190476,0.05279187817258883,1.4632010459899902
0.01,0.01,0,15,24,0.25,3,0.7097592115667342,0.041666666666666664,0.13908629441624365,1.4421770572662354
0.01,0.01,0,15,24,0.25,4,0.6894417955851317,0.007575757575757576,0.07715736040609138,1.4444823265075684
0.01,0.01,0,15,24,0.25,5,0.6182605039162291,0.003105590062111801,0.049746192893401014,1.4605519771575928
0.01,0.01,0,15,24,0.25,6,0.6298666828489695,0.002976190476190476,0.07208121827411168,1.4562220573425293
0.01,0.01,0,15,24,0.25,7,0.6370562369165236,0.010416666666666666,0.116751269035533,1.4675679206848145
0.01,0.01,0,15,24,0.25,8,0.6734599066415412,0.0,0.03959390862944162,1.4700255393981934
0.01,0.01,0,15,24,0.25,9,0.6854561008203991,0.017857142857142856,0.13807106598984772,1.6084785461425781
0.01,0.01,0,15,24,0.25,10,0.642726127170058,0.0,0.025380710659898477,1.4411711692810059
0.01,0.01,0,15,29,0.3,1,0.5843242708300069,0.0,0.0416243654822335,1.4897496700286865
0.01,0.01,0,15,29,0.3,2,0.6734587467536398,0.011904761904761904,0.1116751269035533,1.4922444820404053
0.01,0.01,0,15,29,0.3,3,0.6420470104866169,0.00641025641025641,0.11878172588832488,1.49849271774292
