mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.01,0.01,0,89,0,0,0,0.8294227298343281,0.003171247357293869,0.28210757409440174,
0.01,0.01,0,89,15,0.01,1,0.778620412185383,0.0021141649048625794,0.17453347969264543,1.2402675151824951
0.01,0.01,0,89,15,0.01,2,0.8737691908421016,0.0,0.0,1.160043716430664
0.01,0.01,0,89,15,0.01,3,0.7527917786503702,0.0021390374331550803,0.19758507135016465,1.1597411632537842
0.01,0.01,0,89,15,0.01,4,0.8280483953573976,0.0021141649048625794,0.1986827661909989,1.1792352199554443
0.01,0.01,0,89,15,0.01,5,0.8087131001648368,0.003171247357293869,0.21734357848518113,1.1834831237792969
0.01,0.01,0,89,15,0.01,6,0.776631598900678,0.003367003367003367,0.22283205268935236,1.1740269660949707
0.01,0.01,0,89,15,0.01,7,0.7834968636790544,0.0021645021645021645,0.10976948408342481,1.1849102973937988
0.01,0.01,0,89,15,0.01,8,0.784968198166339,0.006060606060606061,0.3677277716794731,1.344208002090454
0.01,0.01,0,89,15,0.01,9,0.6449617493051242,0.005194805194805195,0.38748627881448955,1.1651747226715088
0.01,0.01,0,89,15,0.01,10,0.7354986042389093,0.001095290251916758,0.010976948408342482,1.1858079433441162
0.01,0.01,0,89,76,0.05,1,0.8941066440758432,0.0021141649048625794,0.1986827661909989,1.2174882888793945
0.01,0.01,0,89,76,0.05,2,0.7715336764340464,0.0010822510822510823,0.07574094401756312,1.225412368774414
0.01,0.01,0,89,76,0.05,3,0.7903034962630541,0.0020898641588296763,0.2074643249176729,1.2057948112487793
0.01,0.01,0,89,76,0.05,4,0.7243618566649972,0.0022727272727272726,0.12403951701427003,1.206117868423462
0.01,0.01,0,89,76,0.05,5,0.7684352206370152,0.003171247357293869,0.3413830954994512,1.3565583229064941
0.01,0.01,0,89,76,0.05,6,0.7723705057847876,0.0023014959723820483,0.11745334796926454,1.209439754486084
0.01,0.01,0,89,76,0.05,7,0.7539963324369106,0.002352941176470588,0.1877058177826564,1.2116644382476807
0.01,0.01,0,89,76,0.05,8,0.8189549384841721,0.0032085561497326204,0.2239297475301866,1.2080087661743164
0.01,0.01,0,89,76,0.05,9,0.8533233125996892,0.0033259423503325942,0.29747530186608123,1.2089693546295166
0.01,0.01,0,89,76,0.05,10,0.6890669600303418,0.0032085561497326204,0.1964873765093304,1.2128238677978516
0.01,0.01,0,89,153,0.1,1,0.7758809987328867,0.0022172949002217295,0.13391877058177826,1.2646636962890625
0.01,0.01,0,89,153,0.1,2,0.6845707227246587,0.004702194357366771,0.19209659714599342,1.4009408950805664
0.01,0.01,0,89,153,0.1,3,0.8064489727479568,0.0010330578512396695,0.07683863885839737,1.2615914344787598
0.01,0.01,0,89,153,0.1,4,0.7521379771022592,0.011131725417439703,0.5784851811196488,1.2639150619506836
0.01,0.01,0,89,153,0.1,5,0.733745724775109,0.0034965034965034965,0.3238199780461032,1.2555181980133057
0.01,0.01,0,89,153,0.1,6,0.5887591866111295,0.0035885167464114833,0.11745334796926454,1.2603273391723633
0.01,0.01,0,89,153,0.1,7,0.6671136180441185,0.004784688995215311,0.32821075740944017,1.2588984966278076
0.01,0.01,0,89,153,0.1,8,0.7944485807048681,0.0020898641588296763,0.2524698133918771,1.2629055976867676
0.01,0.01,0,89,153,0.1,9,0.7314416488825223,0.0020898641588296763,0.1394072447859495,1.264723777770996
0.01,0.01,0,89,153,0.1,10,0.651151971367204,0.003171247357293869,0.1756311745334797,1.4120986461639404
0.01,0.01,0,89,229,0.15,1,0.768224673543707,0.003171247357293869,0.3578485181119649,1.2750835418701172
0.01,0.01,0,89,229,0.15,2,0.8176579597236693,0.012684989429175475,0.5565312843029637,1.2897865772247314
0.01,0.01,0,89,229,0.15,3,0.6817053905825776,0.0032858707557502738,0.2711306256860593,1.2838668823242188
0.01,0.01,0,89,229,0.15,4,0.733295537323124,0.003171247357293869,0.18551042810098792,1.2801337242126465
0.01,0.01,0,89,229,0.15,5,0.7062791195505224,0.0020898641588296763,0.13172338090010977,1.2804088592529297
0.01,0.01,0,89,229,0.15,6,0.8955437958669433,0.005827505827505828,0.4698133918770582,1.2789101600646973
0.01,0.01,0,89,229,0.15,7,0.7897374843723404,0.004329004329004329,0.3732162458836443,1.4225826263427734
0.01,0.01,0,89,229,0.15,8,0.8394931748637696,0.0042780748663101605,0.38529088913282106,1.279857873916626
0.01,0.01,0,89,229,0.15,9,0.6611451244114944,0.0021141649048625794,0.2217343578485181,1.3127806186676025
