mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.5,1.0,0,64,0,0,0,0.31396946793375413,0.012387387387387387,0.4113247863247863,
0.5,1.0,0,64,5,0.01,1,0.3034091848737754,0.006076388888888889,0.3194444444444444,1.5497710704803467
0.5,1.0,0,64,5,0.01,2,0.29193690790622695,0.007575757575757576,0.32371794871794873,1.4538960456848145
0.5,1.0,0,64,5,0.01,3,0.2849069880176041,0.00510204081632653,0.24252136752136752,1.4518649578094482
0.5,1.0,0,64,5,0.01,4,0.28659583971677033,0.0040650406504065045,0.17414529914529914,1.4488551616668701
0.5,1.0,0,64,5,0.01,5,0.2771160689628397,0.0062056737588652485,0.2980769230769231,1.4511423110961914
0.5,1.0,0,64,5,0.01,6,0.2971217850353879,0.007936507936507936,0.30235042735042733,1.451512336730957
0.5,1.0,0,64,5,0.01,7,0.28095272451068043,0.009259259259259259,0.31196581196581197,1.4484913349151611
0.5,1.0,0,64,5,0.01,8,0.27817409743623717,0.008680555555555556,0.40384615384615385,1.5974242687225342
0.5,1.0,0,64,5,0.01,9,0.2920311138568512,0.012387387387387387,0.44017094017094016,1.4542388916015625
0.5,1.0,0,64,5,0.01,10,0.28442209935608137,0.010964912280701754,0.38461538461538464,1.443451166152954
0.5,1.0,0,64,27,0.05,1,0.27611552660290406,0.016975308641975308,0.4594017094017094,1.5188071727752686
0.5,1.0,0,64,27,0.05,2,0.27339768794091207,0.007751937984496124,0.297008547008547,1.5048694610595703
0.5,1.0,0,64,27,0.05,3,0.2815853220496278,0.018333333333333333,0.3942307692307692,1.5303874015808105
0.5,1.0,0,64,27,0.05,4,0.3125120370457968,0.005681818181818182,0.25747863247863245,1.5314455032348633
0.5,1.0,0,64,27,0.05,5,0.28777175188979953,0.014367816091954023,0.38995726495726496,1.6868927478790283
0.5,1.0,0,64,27,0.05,6,0.29571746036954105,0.005813953488372093,0.2168803418803419,1.5359745025634766
0.5,1.0,0,64,27,0.05,7,0.31055961607457017,0.011458333333333333,0.4807692307692308,1.5378012657165527
0.5,1.0,0,64,27,0.05,8,0.3026935672250526,0.01016260162601626,0.41239316239316237,1.536020278930664
0.5,1.0,0,64,27,0.05,9,0.299817683937685,0.009868421052631578,0.38461538461538464,1.5416197776794434
0.5,1.0,0,64,27,0.05,10,0.29574545316579604,0.0078125,0.3952991452991453,1.5328986644744873
0.5,1.0,0,64,53,0.1,1,0.26490556640537166,0.013095238095238096,0.4829059829059829,1.6486854553222656
0.5,1.0,0,64,53,0.1,2,0.2772134030717302,0.026041666666666668,0.6431623931623932,1.8087329864501953
0.5,1.0,0,64,53,0.1,3,0.28684278629571225,0.021666666666666667,0.4732905982905983,1.6581401824951172
0.5,1.0,0,64,53,0.1,4,0.28931418716220625,0.014285714285714285,0.4658119658119658,1.664792776107788
0.5,1.0,0,64,53,0.1,5,0.2898328514216838,0.015151515151515152,0.36004273504273504,1.6169471740722656
0.5,1.0,0,64,53,0.1,6,0.27075983060861186,0.018518518518518517,0.5032051282051282,1.6322612762451172
0.5,1.0,0,64,53,0.1,7,0.3049454247607914,0.013888888888888888,0.41452991452991456,1.6292459964752197
0.5,1.0,0,64,53,0.1,8,0.2963890612568813,0.010912698412698412,0.47115384615384615,1.6122190952301025
0.5,1.0,0,64,53,0.1,9,0.31163890458208154,0.010714285714285714,0.3579059829059829,1.78700852394104
0.5,1.0,0,64,53,0.1,10,0.2973896147847523,0.007675438596491228,0.27350427350427353,1.6034612655639648
0.5,1.0,0,64,80,0.15,1,0.3202949363078468,0.007751937984496124,0.2863247863247863,1.7401576042175293
0.5,1.0,0,64,80,0.15,2,0.2505911075493283,0.013211382113821139,0.5267094017094017,1.728708028793335
0.5,1.0,0,64,80,0.15,3,0.27817660513989256,0.01126126126126126,0.41239316239316237,1.7318007946014404
0.5,1.0,0,64,80,0.15,4,0.270276063854645,0.01065891472868217,0.4636752136752137,1.7101576328277588
0.5,1.0,0,64,80,0.15,5,0.29702357334315616,0.011178861788617886,0.41025641025641024,1.7100636959075928
0.5,1.0,0,64,80,0.15,6,0.26560398979506145,0.03611111111111111,0.5224358974358975,1.7120940685272217
0.5,1.0,0,64,80,0.15,7,0.2768316415303548,0.013888888888888888,0.36004273504273504,1.790626049041748
0.5,1.0,0,64,80,0.15,8,0.3165154334788569,0.01171875,0.3557692307692308,1.7329373359680176
0.5,1.0,0,64,80,0.15,9,0.2944760570615788,0.008547008547008548,0.3685897435897436,1.7420203685760498
0.5,1.0,0,64,80,0.15,10,0.30269763478294276,0.015625,0.44551282051282054,1.7622809410095215
0.5,1.0,0,64,107,0.2,1,0.2879986266655181,0.011904761904761904,0.38247863247863245,1.8244283199310303
0.5,1.0,0,64,107,0.2,2,0.2818471514727387,0.013513513513513514,0.4658119658119658,1.820542335510254
0.5,1.0,0,64,107,0.2,3,0.2836192118526045,0.008771929824561403,0.32051282051282054,1.820707082748413
0.5,1.0,0,64,107,0.2,4,0.2754731493475561,0.009523809523809525,0.30982905982905984,1.9947078227996826
0.5,1.0,0,64,107,0.2,5,0.29686776511300433,0.023809523809523808,0.4722222222222222,1.8428354263305664
0.5,1.0,0,64,107,0.2,6,0.2710937540730986,0.01636904761904762,0.44871794871794873,1.8613836765289307
0.5,1.0,0,64,107,0.2,7,0.2920877239554834,0.015625,0.37072649572649574,1.8514926433563232
0.5,1.0,0,64,107,0.2,8,0.29272370195042674,0.0125,0.5042735042735043,1.846729040145874
0.5,1.0,0,64,107,0.2,9,0.264734285106141,0.01065891472868217,0.4668803418803419,1.8155460357666016
0.5,1.0,0,64,107,0.2,10,0.28506676616218374,0.019444444444444445,0.6100427350427351,1.8041956424713135
0.5,1.0,0,64,133,0.25,1,0.30580628139732086,0.01636904761904762,0.4551282051282051,2.0618247985839844
0.5,1.0,0,64,133,0.25,2,0.2698421958175859,0.01893939393939394,0.41239316239316237,1.9628374576568604
0.5,1.0,0,64,133,0.25,3,0.26456990760878163,0.01171875,0.344017094017094,1.9179210662841797
0.5,1.0,0,64,133,0.25,4,0.27351808188180976,0.012096774193548387,0.36645299145299143,1.9389166831970215
0.5,1.0,0,64,133,0.25,5,0.2830155012712116,0.008152173913043478,0.38354700854700857,1.930842638015747
0.5,1.0,0,64,133,0.25,6,0.2897553786890224,0.013888888888888888,0.49893162393162394,1.9385735988616943
0.5,1.0,0,64,133,0.25,7,0.2588552558976588,0.018115942028985508,0.3995726495726496,1.9319682121276855
0.5,1.0,0,64,133,0.25,8,0.26640801765318134,0.018115942028985508,0.405982905982906,2.1137306690216064
0.5,1.0,0,64,133,0.25,9,0.27368147538053256,0.015,0.38782051282051283,1.9613730907440186
0.5,1.0,0,64,133,0.25,10,0.2597406894469371,0.00980392156862745,0.3087606837606838,1.934293270111084
0.5,1.0,0,64,160,0.3,1,0.23908793874404385,0.02,0.5491452991452992,1.9261219501495361
0.5,1.0,0,64,160,0.3,2,0.28931613416980145,0.010416666666666666,0.36324786324786323,1.940373182296753
0.5,1.0,0,64,160,0.3,3,0.32629416976538445,0.007352941176470588,0.25213675213675213,1.9296300411224365
0.5,1.0,0,64,160,0.3,4,0.3015974130787663,0.01984126984126984,0.41452991452991456,1.9340729713439941
0.5,1.0,0,64,160,0.3,5,0.30553270774651103,0.011458333333333333,0.5245726495726496,1.9445116519927979
0.5,1.0,0,64,160,0.3,6,0.26566537104446947,0.03409090909090909,0.7521367521367521,2.086888074874878
0.5,1.0,0,64,160,0.3,7,0.28480733138314246,0.015804597701149427,0.44764957264957267,1.9188189506530762
0.5,1.0,0,64,160,0.3,8,0.2973183478401438,0.014367816091954023,0.4358974358974359,1.930711030960083
0.5,1.0,0,64,160,0.3,9,0.2855607059267203,0.028645833333333332,0.40384615384615385,1.949202299118042
0.5,1.0,0,64,160,0.3,10,0.2989720767923648,0.01747311827956989,0.532051282051282,1.9637846946716309
0.5,1.0,0,64,187,0.35,1,0.30682425503974226,0.009259259259259259,0.3557692307692308,1.9566481113433838
0.5,1.0,0,64,187,0.35,2,0.2896646995611018,0.013157894736842105,0.5096153846153846,1.9343054294586182
0.5,1.0,0,64,187,0.35,3,0.2970606270416113,0.015931372549019607,0.5010683760683761,2.1039397716522217
0.5,1.0,0,64,187,0.35,4,0.24951061199848665,0.031862745098039214,0.5405982905982906,1.9233460426330566
0.5,1.0,0,64,187,0.35,5,0.29246210547670193,0.01747311827956989,0.5331196581196581,1.9332914352416992
0.5,1.0,0,64,187,0.35,6,0.26952735124923094,0.030303030303030304,0.6356837606837606,1.926590919494629
0.5,1.0,0,64,187,0.35,7,0.2567353825545078,0.016975308641975308,0.4326923076923077,1.967557430267334
0.5,1.0,0,64,187,0.35,8,0.28097553083182725,0.013888888888888888,0.4658119658119658,1.953019618988037
0.5,1.0,0,64,187,0.35,9,0.2980704440903254,0.010964912280701754,0.4017094017094017,1.9513678550720215
0.5,1.0,0,64,187,0.35,10,0.2897526495930836,0.01478494623655914,0.4497863247863248,2.074659824371338
0.5,1.0,0,64,213,0.4,1,0.2778434971793101,0.026515151515151516,0.5726495726495726,1.9388904571533203
0.5,1.0,0,64,213,0.4,2,0.2862439711714384,0.017361111111111112,0.405982905982906,1.9413435459136963
0.5,1.0,0,64,213,0.4,3,0.2847788077879276,0.029513888888888888,0.6912393162393162,1.9708259105682373
0.5,1.0,0,64,213,0.4,4,0.30071095522054897,0.013157894736842105,0.4658119658119658,1.9708406925201416
0.5,1.0,0,64,213,0.4,5,0.28972118096899785,0.020833333333333332,0.6591880341880342,1.9425959587097168
0.5,1.0,0,64,213,0.4,6,0.32896161740283936,0.024691358024691357,0.6826923076923077,1.9475574493408203
0.5,1.0,0,64,213,0.4,7,0.27792521918063295,0.03009259259259259,0.5277777777777778,1.9331109523773193
0.5,1.0,0,64,213,0.4,8,0.3200834479295559,0.01636904761904762,0.4465811965811966,2.0941457748413086
0.5,1.0,0,64,213,0.4,9,0.26712823663501023,0.01478494623655914,0.4284188034188034,1.9308178424835205
0.5,1.0,0,64,213,0.4,10,0.26947575675718927,0.02,0.49893162393162394,1.9306392669677734
0.5,1.0,0,64,240,0.45,1,0.29087413535042744,0.015277777777777777,0.4326923076923077,1.8957459926605225
0.5,1.0,0,64,240,0.45,2,0.3175240712836104,0.018518518518518517,0.48717948717948717,1.9299039840698242
0.5,1.0,0,64,240,0.45,3,0.2809500823787799,0.022321428571428572,0.625,1.9387013912200928
0.5,1.0,0,64,240,0.45,4,0.27507450416587825,0.02361111111111111,0.6891025641025641,1.9653820991516113
0.5,1.0,0,64,240,0.45,5,0.29751100540033604,0.01881720430107527,0.5897435897435898,2.1257123947143555
0.5,1.0,0,64,240,0.45,6,0.29574576863292534,0.017628205128205128,0.4668803418803419,1.8941411972045898
0.5,1.0,0,64,240,0.45,7,0.3044698505104286,0.019444444444444445,0.5373931623931624,1.8985888957977295
0.5,1.0,0,64,240,0.45,8,0.2615994021498759,0.03070175438596491,0.5705128205128205,1.8746776580810547
0.5,1.0,0,64,240,0.45,9,0.310602990930688,0.025,0.6185897435897436,1.873697280883789
0.5,1.0,0,64,240,0.45,10,0.25391975867731637,0.07407407407407407,0.6698717948717948,1.9210526943206787
0.5,1.0,0,64,266,0.5,1,0.2784946412418808,0.041666666666666664,0.6741452991452992,1.9686510562896729
0.5,1.0,0,64,266,0.5,2,0.27481467721888375,0.023809523809523808,0.6677350427350427,2.0887036323547363
0.5,1.0,0,64,266,0.5,3,0.2942122735047041,0.027083333333333334,0.5352564102564102,1.906043291091919
0.5,1.0,0,64,266,0.5,4,0.2742734932206991,0.03260869565217391,0.7521367521367521,1.9055759906768799
