mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.2,0.01,0,38,0,0,0,0.2884514990110812,0.02422145328719723,0.42723492723492723,
0.2,0.01,0,38,3,0.01,1,0.2890070086386565,0.027149321266968326,0.3814968814968815,1.394047737121582
0.2,0.01,0,38,3,0.01,2,0.3220967490537252,0.029411764705882353,0.448024948024948,1.282778024673462
0.2,0.01,0,38,3,0.01,3,0.3122502318740933,0.014005602240896359,0.30665280665280664,1.1892681121826172
0.2,0.01,0,38,3,0.01,4,0.3412514583817482,0.027149321266968326,0.3492723492723493,1.1878430843353271
0.2,0.01,0,38,3,0.01,5,0.32390589460693003,0.014005602240896359,0.29417879417879417,1.1872601509094238
0.2,0.01,0,38,3,0.01,6,0.34211262680104737,0.0056925996204933585,0.1787941787941788,1.1825263500213623
0.2,0.01,0,38,3,0.01,7,0.30659131952333096,0.0427807486631016,0.47193347193347196,1.186992883682251
0.2,0.01,0,38,3,0.01,8,0.32463774974571813,0.023529411764705882,0.35654885654885654,1.3227565288543701
0.2,0.01,0,38,3,0.01,9,0.2840925223074486,0.023529411764705882,0.3471933471933472,1.1822190284729004
0.2,0.01,0,38,3,0.01,10,0.35479448756175125,0.03431372549019608,0.3866943866943867,1.1839118003845215
0.2,0.01,0,38,14,0.05,1,0.29408432840908255,0.03167420814479638,0.4781704781704782,1.1921894550323486
0.2,0.01,0,38,14,0.05,2,0.2809708386275433,0.0196078431372549,0.2983367983367983,1.1862778663635254
0.2,0.01,0,38,14,0.05,3,0.36784380115918863,0.00784313725490196,0.24324324324324326,1.1932356357574463
0.2,0.01,0,38,14,0.05,4,0.34711017838395186,0.0213903743315508,0.42203742203742206,1.2069969177246094
0.2,0.01,0,38,14,0.05,5,0.3239446246631484,0.0196078431372549,0.30145530145530147,1.3412988185882568
0.2,0.01,0,38,14,0.05,6,0.3563760361819239,0.00980392156862745,0.2765072765072765,1.1906218528747559
0.2,0.01,0,38,14,0.05,7,0.3668978192177509,0.01838235294117647,0.31392931392931395,1.1873018741607666
0.2,0.01,0,38,14,0.05,8,0.29935679733776427,0.04524886877828054,0.5478170478170478,1.1989648342132568
0.2,0.01,0,38,14,0.05,9,0.31205460052863165,0.011764705882352941,0.2338877338877339,1.1882460117340088
0.2,0.01,0,38,14,0.05,10,0.33004396265457187,0.022408963585434174,0.47505197505197505,1.1960201263427734
0.2,0.01,0,38,28,0.1,1,0.3157527162882958,0.02786377708978328,0.527027027027027,1.1987378597259521
0.2,0.01,0,38,28,0.1,2,0.2899580602651498,0.03431372549019608,0.48544698544698545,1.3381972312927246
0.2,0.01,0,38,28,0.1,3,0.3233147074374654,0.0106951871657754,0.22661122661122662,1.1973166465759277
0.2,0.01,0,38,28,0.1,4,0.2652531536470033,0.04072398190045249,0.5841995841995842,1.201697826385498
0.2,0.01,0,38,28,0.1,5,0.3456912455439286,0.011312217194570135,0.3295218295218295,1.1942241191864014
0.2,0.01,0,38,28,0.1,6,0.31999096577139846,0.012254901960784314,0.2785862785862786,1.198730707168579
0.2,0.01,0,38,28,0.1,7,0.3706110310414284,0.004524886877828055,0.12681912681912683,1.1980903148651123
0.2,0.01,0,38,28,0.1,8,0.30788639965650966,0.03208556149732621,0.3388773388773389,1.1976792812347412
0.2,0.01,0,38,28,0.1,9,0.3210408738646884,0.031141868512110725,0.5207900207900208,1.1969287395477295
0.2,0.01,0,38,28,0.1,10,0.2747300580400026,0.025735294117647058,0.4189189189189189,1.3490519523620605
0.2,0.01,0,38,43,0.15,1,0.2753082373306396,0.012254901960784314,0.2983367983367983,1.2046051025390625
0.2,0.01,0,38,43,0.15,2,0.37866103125258305,0.01871657754010695,0.420997920997921,1.206218957901001
0.2,0.01,0,38,43,0.15,3,0.3057412372526652,0.018575851393188854,0.3482328482328482,1.2016706466674805
0.2,0.01,0,38,43,0.15,4,0.30390602628973273,0.03431372549019608,0.43451143451143454,1.2048823833465576
0.2,0.01,0,38,43,0.15,5,0.29701791120382404,0.04072398190045249,0.5498960498960499,1.2023427486419678
0.2,0.01,0,38,43,0.15,6,0.3086579310524785,0.058823529411764705,0.5353430353430353,1.2027578353881836
0.2,0.01,0,38,43,0.15,7,0.33511898000956003,0.022058823529411766,0.3711018711018711,1.3598675727844238
0.2,0.01,0,38,43,0.15,8,0.31576304730761934,0.020588235294117647,0.3794178794178794,1.214278221130371
0.2,0.01,0,38,43,0.15,9,0.3255433480604549,0.026737967914438502,0.2598752598752599,1.204078197479248
0.2,0.01,0,38,43,0.15,10,0.37741000058118584,0.017429193899782137,0.44386694386694386,1.2063350677490234
0.2,0.01,0,38,57,0.2,1,0.4033989163562396,0.01680672268907563,0.32744282744282743,1.2138738632202148
0.2,0.01,0,38,57,0.2,2,0.28581162419651107,0.027450980392156862,0.4303534303534304,1.2103006839752197
0.2,0.01,0,38,57,0.2,3,0.35701318511195573,0.014705882352941176,0.2494802494802495,1.210195779800415
