mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.3,1.0,0,39,0,0,0,0.8299960938853741,0.0015479876160990713,0.014568158168574402,
0.3,1.0,0,39,3,0.01,1,0.7244677564286385,0.0033783783783783786,0.17481789802289283,1.2623143196105957
0.3,1.0,0,39,3,0.01,2,0.8489806242167681,0.0016339869281045752,0.03329864724245578,1.173215627670288
0.3,1.0,0,39,3,0.01,3,0.8229764467126628,0.0035714285714285713,0.08012486992715921,1.1765742301940918
0.3,1.0,0,39,3,0.01,4,0.7913436338883125,0.0017857142857142857,0.004162330905306972,1.179555892944336
0.3,1.0,0,39,3,0.01,5,0.8328118943014003,0.003179650238473768,0.08428720083246619,1.1749131679534912
0.3,1.0,0,39,3,0.01,6,0.8166429652874913,0.0033613445378151263,0.08012486992715921,1.1756477355957031
0.3,1.0,0,39,3,0.01,7,0.7908179237401259,0.0015479876160990713,0.003121748178980229,1.1818034648895264
0.3,1.0,0,39,3,0.01,8,0.8025346114207422,0.0056925996204933585,0.21644120707596254,1.3200600147247314
0.3,1.0,0,39,3,0.01,9,0.8721768675808411,0.0015479876160990713,0.053069719042663895,1.1767714023590088
0.3,1.0,0,39,3,0.01,10,0.8098799617359151,0.001644736842105263,0.07075962539021852,1.1809897422790527
0.3,1.0,0,39,14,0.05,1,0.8498314011755603,0.0,0.006243496357960458,1.181056022644043
0.3,1.0,0,39,14,0.05,2,0.7719248471235945,0.00980392156862745,0.16441207075962538,1.1807777881622314
0.3,1.0,0,39,14,0.05,3,0.8797545252223067,0.0015479876160990713,0.07700312174817898,1.20084810256958
0.3,1.0,0,39,14,0.05,4,0.8643468320301845,0.003179650238473768,0.07908428720083246,1.1828105449676514
0.3,1.0,0,39,14,0.05,5,0.880930361142807,0.003179650238473768,0.036420395421436005,1.3216707706451416
0.3,1.0,0,39,14,0.05,6,0.807750286848895,0.0036036036036036037,0.12903225806451613,1.1819026470184326
0.3,1.0,0,39,14,0.05,7,0.8414313306724435,0.0,0.037460978147762745,1.1879451274871826
0.3,1.0,0,39,14,0.05,8,0.880830477961417,0.0015479876160990713,0.03537981269510926,1.1821930408477783
0.3,1.0,0,39,14,0.05,9,0.8430950494153372,0.0035650623885918,0.1331945889698231,1.1804161071777344
0.3,1.0,0,39,14,0.05,10,0.8612743621272828,0.0015479876160990713,0.08324661810613944,1.1864643096923828
0.3,1.0,0,39,28,0.1,1,0.8746232078885722,0.0,0.002081165452653486,1.1867403984069824
0.3,1.0,0,39,28,0.1,2,0.8131476794335254,0.0,0.001040582726326743,1.332371473312378
0.3,1.0,0,39,28,0.1,3,0.7967395820601257,0.0,0.001040582726326743,1.188291311264038
0.3,1.0,0,39,28,0.1,4,0.826146090003439,0.011764705882352941,0.33610822060353795,1.1941149234771729
0.3,1.0,0,39,28,0.1,5,0.7939312060091596,0.005357142857142857,0.15608740894901144,1.188288927078247
0.3,1.0,0,39,28,0.1,6,0.8303769283272332,0.0067226890756302525,0.2559833506763788,1.1865649223327637
0.3,1.0,0,39,28,0.1,7,0.7721257664470174,0.004032258064516129,0.2008324661810614,1.1873037815093994
0.3,1.0,0,39,28,0.1,8,0.8399722771643103,0.0033613445378151263,0.1113423517169615,1.1849653720855713
0.3,1.0,0,39,28,0.1,9,0.8808786376791263,0.007211538461538462,0.1279916753381894,1.1863420009613037
0.3,1.0,0,39,28,0.1,10,0.8045492502453025,0.0015479876160990713,0.037460978147762745,1.3417675495147705
0.3,1.0,0,39,42,0.15,1,0.8411614490597062,0.0053475935828877,0.12903225806451613,1.1952896118164062
0.3,1.0,0,39,42,0.15,2,0.8885472278591396,0.005190311418685121,0.12486992715920915,1.1919910907745361
0.3,1.0,0,39,42,0.15,3,0.7974706001134946,0.0053475935828877,0.19250780437044746,1.1927621364593506
0.3,1.0,0,39,42,0.15,4,0.8604681361990969,0.0015479876160990713,0.031217481789802288,1.1966526508331299
0.3,1.0,0,39,42,0.15,5,0.8110198262822981,0.001838235294117647,0.045785639958376693,1.194913625717163
0.3,1.0,0,39,42,0.15,6,0.8406760981591115,0.0016806722689075631,0.004162330905306972,1.1946916580200195
0.3,1.0,0,39,42,0.15,7,0.9166381832827719,0.0015479876160990713,0.029136316337148804,1.3658051490783691
0.3,1.0,0,39,42,0.15,8,0.8301462762604918,0.001893939393939394,0.06347554630593132,1.1915676593780518
0.3,1.0,0,39,42,0.15,9,0.7825027138872863,0.00784313725490196,0.2903225806451613,1.190812587738037
0.3,1.0,0,39,42,0.15,10,0.8271396859512359,0.0,0.002081165452653486,1.1926214694976807
0.3,1.0,0,39,56,0.2,1,0.8323503760997851,0.005357142857142857,0.17585848074921956,1.198305606842041
0.3,1.0,0,39,56,0.2,2,0.8739092205495963,0.004056795131845842,0.16024973985431842,1.1979084014892578
0.3,1.0,0,39,56,0.2,3,0.8301985048541601,0.008064516129032258,0.259105098855359,1.1968114376068115
0.3,1.0,0,39,56,0.2,4,0.8123116232811491,0.0058823529411764705,0.10301768990634755,1.3515534400939941
0.3,1.0,0,39,56,0.2,5,0.7930551186309003,0.010380622837370242,0.19042663891779396,1.196770191192627
0.3,1.0,0,39,56,0.2,6,0.8603186407537449,0.0058823529411764705,0.2559833506763788,1.1974256038665771
0.3,1.0,0,39,56,0.2,7,0.8415169644602868,0.0036036036036036037,0.046826222684703434,1.2007429599761963
0.3,1.0,0,39,56,0.2,8,0.8300163034159366,0.007575757575757576,0.16129032258064516,1.1979329586029053
0.3,1.0,0,39,56,0.2,9,0.8299217727105024,0.001589825119236884,0.08844953173777315,1.1983046531677246
0.3,1.0,0,39,56,0.2,10,0.8762363954260957,0.0015479876160990713,0.0,1.2076764106750488
0.3,1.0,0,39,70,0.25,1,0.853280041648819,0.0034602076124567475,0.1550468262226847,1.3529858589172363
0.3,1.0,0,39,70,0.25,2,0.7986967085381281,0.005190311418685121,0.12903225806451613,1.204329490661621
0.3,1.0,0,39,70,0.25,3,0.8096843987955128,0.0067226890756302525,0.26534859521331944,1.2100083827972412
0.3,1.0,0,39,70,0.25,4,0.8687473330973655,0.0016806722689075631,0.008324661810613945,1.2069330215454102
0.3,1.0,0,39,70,0.25,5,0.8821841061094347,0.009487666034155597,0.34235171696149846,1.2062196731567383
0.3,1.0,0,39,70,0.25,6,0.8114043584238021,0.013574660633484163,0.40790842872008326,1.206303596496582
0.3,1.0,0,39,70,0.25,7,0.7985658046026706,0.010141987829614604,0.42351716961498437,1.2074239253997803
0.3,1.0,0,39,70,0.25,8,0.8323934727743626,0.005859375,0.21852237252861603,1.351649522781372
0.3,1.0,0,39,70,0.25,9,0.8572517368439708,0.005859375,0.25494276795005205,1.204014539718628
0.3,1.0,0,39,70,0.25,10,0.8141608578720896,0.0106951871657754,0.3100936524453694,1.2071969509124756
0.3,1.0,0,39,84,0.3,1,0.8374854700953268,0.004056795131845842,0.1186264308012487,1.2117114067077637
0.3,1.0,0,39,84,0.3,2,0.7489968205476759,0.00784313725490196,0.29656607700312176,1.2226924896240234
0.3,1.0,0,39,84,0.3,3,0.8270941486590416,0.003179650238473768,0.12903225806451613,1.2091774940490723
0.3,1.0,0,39,84,0.3,4,0.8294794735604211,0.008912655971479501,0.25286160249739853,1.207247018814087
0.3,1.0,0,39,84,0.3,5,0.8795502919108908,0.01715686274509804,0.40270551508844954,1.3540899753570557
0.3,1.0,0,39,84,0.3,6,0.7870249674437123,0.002352941176470588,0.07804370447450572,1.2212293148040771
0.3,1.0,0,39,84,0.3,7,0.8702543029163913,0.0032679738562091504,0.008324661810613945,1.2096474170684814
0.3,1.0,0,39,84,0.3,8,0.8033851477739118,0.0034602076124567475,0.09053069719042664,1.2099392414093018
0.3,1.0,0,39,84,0.3,9,0.8721516385160522,0.0032679738562091504,0.12278876170655567,1.2119946479797363
0.3,1.0,0,39,84,0.3,10,0.783084548908666,0.011204481792717087,0.29864724245577523,1.2136306762695312
0.3,1.0,0,39,98,0.35,1,0.7878129362559448,0.006920415224913495,0.1404786680541103,1.2116045951843262
0.3,1.0,0,39,98,0.35,2,0.8384665941249836,0.0032679738562091504,0.08116545265348596,1.3558895587921143
0.3,1.0,0,39,98,0.35,3,0.8819496911870219,0.0015479876160990713,0.07804370447450572,1.2161779403686523
0.3,1.0,0,39,98,0.35,4,0.8442004908622589,0.0015479876160990713,0.053069719042663895,1.2062504291534424
0.3,1.0,0,39,98,0.35,5,0.8705505555424367,0.001644736842105263,0.054110301768990635,1.2110373973846436
0.3,1.0,0,39,98,0.35,6,0.8863592216134323,0.004901960784313725,0.1571279916753382,1.2113633155822754
0.3,1.0,0,39,98,0.35,7,0.8522175561516359,0.005042016806722689,0.14464099895941726,1.2117061614990234
0.3,1.0,0,39,98,0.35,8,0.8584535975317142,0.009191176470588236,0.3225806451612903,1.2114195823669434
0.3,1.0,0,39,98,0.35,9,0.8606099771901948,0.011312217194570135,0.34547346514047866,1.2114784717559814
