mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.3,0.01,0,66,0,0,0,0.19945627011182945,0.030303030303030304,0.6552462526766595,
0.3,0.01,0,66,8,0.01,1,0.1873296522535226,0.036231884057971016,0.8447537473233405,1.2989747524261475
0.3,0.01,0,66,8,0.01,2,0.1845337987707653,0.036231884057971016,0.8576017130620985,1.2100279331207275
0.3,0.01,0,66,8,0.01,3,0.20632250206699193,0.03787878787878788,0.841541755888651,1.2186884880065918
0.3,0.01,0,66,8,0.01,4,0.19728531241758146,0.0641025641025641,0.8094218415417559,1.210710048675537
0.3,0.01,0,66,8,0.01,5,0.18685673690516705,0.03409090909090909,0.791220556745182,1.2075591087341309
0.3,0.01,0,66,8,0.01,6,0.17161277518140064,0.125,1.0,1.206270694732666
0.3,0.01,0,66,8,0.01,7,0.19087370061355008,0.06547619047619048,0.9250535331905781,1.2153213024139404
0.3,0.01,0,66,8,0.01,8,0.19797222004582482,0.04365079365079365,0.9164882226980728,1.385716438293457
0.3,0.01,0,66,8,0.01,9,0.19849897382381898,0.05555555555555555,1.0,1.204235553741455
0.3,0.01,0,66,8,0.01,10,0.1590381337250827,0.06111111111111111,0.9132762312633833,1.2095768451690674
0.3,0.01,0,66,38,0.05,1,0.1777552775073315,0.04824561403508772,0.9186295503211992,1.2110259532928467
0.3,0.01,0,66,38,0.05,2,0.2135731191026806,0.05555555555555555,0.8597430406852249,1.2109944820404053
0.3,0.01,0,66,38,0.05,3,0.19586607969267678,0.058823529411764705,1.0,1.2114639282226562
0.3,0.01,0,66,38,0.05,4,0.2013446975044217,0.03571428571428571,1.0,1.2360103130340576
0.3,0.01,0,66,38,0.05,5,0.19517536376298236,0.04411764705882353,0.7676659528907923,1.369894027709961
0.3,0.01,0,66,38,0.05,6,0.20284174234545746,0.1,1.0,1.213113784790039
0.3,0.01,0,66,38,0.05,7,0.16829144735180915,0.07051282051282051,0.9154175588865097,1.2175886631011963
0.3,0.01,0,66,38,0.05,8,0.2109959714258279,0.057291666666666664,0.9443254817987152,1.2082440853118896
0.3,0.01,0,66,38,0.05,9,0.1857927882339773,0.04365079365079365,0.9089935760171306,1.2071428298950195
0.3,0.01,0,66,38,0.05,10,0.19788099366500136,0.057692307692307696,0.7612419700214133,1.2213103771209717
0.3,0.01,0,66,75,0.1,1,0.180285546364241,0.04365079365079365,0.9518201284796574,1.212554693222046
0.3,0.01,0,66,75,0.1,2,0.17414515772986836,0.027777777777777776,0.6595289079229122,1.2127861976623535
0.3,0.01,0,66,75,0.1,3,0.1991720439100984,0.0625,1.0,1.3732330799102783
0.3,0.01,0,66,75,0.1,4,0.1975968574331083,0.03125,0.7601713062098501,1.2119369506835938
0.3,0.01,0,66,75,0.1,5,0.20229561111236338,0.04583333333333333,0.9068522483940042,1.216151237487793
0.3,0.01,0,66,75,0.1,6,0.1946519989953683,0.043859649122807015,0.8490364025695931,1.214298963546753
0.3,0.01,0,66,75,0.1,7,0.18694705572956166,0.033950617283950615,0.923982869379015,1.215057373046875
0.3,0.01,0,66,75,0.1,8,0.2192995788735867,0.03273809523809524,0.8875802997858673,1.2164244651794434
0.3,0.01,0,66,75,0.1,9,0.21784939834485323,0.04365079365079365,0.9207708779443254,1.2164950370788574
0.3,0.01,0,66,75,0.1,10,0.2073863348085673,0.05092592592592592,0.9561027837259101,1.3772990703582764
0.3,0.01,0,66,112,0.15,1,0.20659656987661776,0.05392156862745098,0.936830835117773,1.212958574295044
