mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.4,0.01,0,15,0,0,0,0.08744591780572056,0.1875,0.4182741116751269,
0.4,0.01,0,15,0,0.01,1,0.08319297353787644,0.1388888888888889,0.4751269035532995,1.3056888580322266
0.4,0.01,0,15,0,0.01,2,0.0852083267859794,0.1111111111111111,0.39695431472081216,1.184840440750122
0.4,0.01,0,15,0,0.01,3,0.07700050955965165,0.20833333333333334,0.43959390862944164,1.1855835914611816
0.4,0.01,0,15,0,0.01,4,0.08273338884034803,0.1388888888888889,0.4213197969543147,1.188777208328247
0.4,0.01,0,15,0,0.01,5,0.07956955116188692,0.125,0.4213197969543147,1.1885466575622559
0.4,0.01,0,15,0,0.01,6,0.07432956187336553,0.20833333333333334,0.43959390862944164,1.1876373291015625
0.4,0.01,0,15,0,0.01,7,0.08847494217028083,0.1388888888888889,0.43248730964467,1.1902153491973877
0.4,0.01,0,15,0,0.01,8,0.08305345434087134,0.1527777777777778,0.49137055837563454,1.3330378532409668
0.4,0.01,0,15,0,0.01,9,0.08442655655741672,0.20833333333333334,0.45380710659898477,1.1884710788726807
0.4,0.01,0,15,0,0.01,10,0.08306630486038404,0.16666666666666666,0.33908629441624366,1.18464994430542
0.4,0.01,0,15,1,0.05,1,0.08103760550134889,0.1388888888888889,0.4385786802030457,1.1954569816589355
0.4,0.01,0,15,1,0.05,2,0.08416966109005966,0.22916666666666666,0.4964467005076142,1.186901569366455
0.4,0.01,0,15,1,0.05,3,0.08440101404487489,0.1527777777777778,0.47106598984771575,1.1943283081054688
0.4,0.01,0,15,1,0.05,4,0.0735814942720562,0.125,0.41421319796954315,1.1966826915740967
0.4,0.01,0,15,1,0.05,5,0.07704547062995025,0.1388888888888889,0.4294416243654822,1.3347015380859375
0.4,0.01,0,15,1,0.05,6,0.08424447818500677,0.1111111111111111,0.36243654822335025,1.187359094619751
0.4,0.01,0,15,1,0.05,7,0.07615306272749284,0.1388888888888889,0.4355329949238579,1.1907575130462646
0.4,0.01,0,15,1,0.05,8,0.08549597800618185,0.22916666666666666,0.4619289340101523,1.1933391094207764
0.4,0.01,0,15,1,0.05,9,0.08704313035353334,0.125,0.3786802030456853,1.1947872638702393
0.4,0.01,0,15,1,0.05,10,0.08358508415075827,0.125,0.4152284263959391,1.1932215690612793
0.4,0.01,0,15,2,0.1,1,0.08610789352099135,0.25,0.5329949238578681,1.196159839630127
0.4,0.01,0,15,2,0.1,2,0.0862123855406697,0.22916666666666666,0.5065989847715736,1.3388171195983887
0.4,0.01,0,15,2,0.1,3,0.0847255346771893,0.1527777777777778,0.46598984771573604,1.1896824836730957
0.4,0.01,0,15,2,0.1,4,0.07778808418925857,0.22916666666666666,0.4812182741116751,1.1932101249694824
0.4,0.01,0,15,2,0.1,5,0.08554687016041655,0.22916666666666666,0.5218274111675127,1.1876931190490723
0.4,0.01,0,15,2,0.1,6,0.0866975391143528,0.20833333333333334,0.42842639593908627,1.2269701957702637
