modified_nodes_group,sigma_c,number_tests,detection_rate,median_modified_nodes,median_mmd_ratio
0–20,0.01,20615,0.0,10.0,0.0085178943826787
0–20,0.1,20554,0.0,10.0,0.01018532696889125
0–20,0.5,20596,0.0,10.0,0.0188965394762855
0–20,1.0,20610,0.0,10.0,0.031996445139764754
0–20,2.0,20613,0.0,10.0,0.0618998433128629
0–20,5.0,20570,0.0,10.0,0.1646174072105055
21–30,0.01,8411,0.0,26.0,0.0410871325247242
21–30,0.1,8487,0.0,26.0,0.0516809406319655
21–30,0.5,8470,0.0,26.0,0.10519313842990916
21–30,1.0,8402,0.0,26.0,0.18449157452806836
21–30,2.0,8414,0.0,26.0,0.3723819560783387
21–30,5.0,8460,0.5049645390070922,26.0,1.004484262507508
31–40,0.01,10347,0.0,36.0,0.0751712759451901
31–40,0.1,10333,0.0,36.0,0.096014494040919
31–40,0.5,10295,0.0,36.0,0.199070780984341
31–40,1.0,10385,0.0,36.0,0.3580193208900711
31–40,2.0,10336,0.08862229102167182,36.0,0.7201595875931739
31–40,5.0,10324,0.998643936458737,36.0,1.923566515881424
41–50,0.01,5599,0.0,45.0,0.1109217655400883
41–50,0.1,5549,0.0,45.0,0.1448282645450798
41–50,0.5,5582,0.0,45.0,0.30717361047092173
41–50,1.0,5537,0.019685750406357234,45.0,0.5676401528390312
41–50,2.0,5588,0.7362204724409449,45.0,1.1782909295844397
41–50,5.0,5581,1.0,44.0,3.243821941226789
51–60,0.01,4218,0.0,57.0,0.1784972718999663
51–60,0.1,4298,0.0,57.0,0.23500442991788223
51–60,0.5,4261,0.0,57.0,0.5206023069855429
51–60,1.0,4219,0.43161886703010194,57.0,0.9620564991303344
51–60,2.0,4263,0.9978888106966924,57.0,1.992554735933474
51–60,5.0,4229,1.0,57.0,5.446475054370757
61–70,0.01,6342,0.0,65.0,0.2298742123522976
61–70,0.1,6368,0.0,65.0,0.305247177480232
61–70,0.5,6363,0.025616847399025616,65.0,0.671089903059177
61–70,1.0,6402,0.8466104342393003,65.0,1.2208433470121425
61–70,2.0,6338,1.0,65.0,2.4956098607463715
61–70,5.0,6403,1.0,65.0,6.861710261672386
71–80,0.01,5502,0.0,76.0,0.30792691323486077
71–80,0.1,5477,0.0,76.0,0.4073089948769725
71–80,0.5,5499,0.27605019094380795,76.0,0.8808435387094279
71–80,1.0,5521,0.942401738815432,76.0,1.5878116958448645
71–80,2.0,5499,1.0,76.0,3.2946463875734553
71–80,5.0,5478,1.0,76.0,8.959075658461508
81–90,0.01,4992,0.0,86.0,0.391433689314838
81–90,0.1,4971,0.0,85.0,0.508580654010696
81–90,0.5,4980,0.707429718875502,86.0,1.1332340841794155
81–90,1.0,4960,0.9977822580645161,86.0,2.088354877129694
81–90,2.0,4977,1.0,86.0,4.251580164563273
81–90,5.0,4971,1.0,86.0,11.61774303289008
91–100,0.01,4224,0.0,96.0,0.48443122279669476
91–100,0.1,4213,0.0,96.0,0.6330496142827804
91–100,0.5,4204,0.9069933396764985,96.0,1.420174738361241
91–100,1.0,4214,1.0,96.0,2.6703447185439257
91–100,2.0,4222,1.0,96.0,5.491534391597599
91–100,5.0,4234,1.0,96.0,14.978134235408694
