mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.5,0.01,0,64,0,0,0,0.06885836634597221,0.13194444444444445,0.8002136752136753,
0.5,0.01,0,64,5,0.01,1,0.060975818142893864,0.10416666666666667,0.844017094017094,1.3780767917633057
0.5,0.01,0,64,5,0.01,2,0.06768601602599333,0.2,1.0,1.3997340202331543
0.5,0.01,0,64,5,0.01,3,0.06394372984551121,0.109375,0.8920940170940171,1.3908531665802002
0.5,0.01,0,64,5,0.01,4,0.06498345986615023,0.13690476190476192,0.9444444444444444,1.3905518054962158
0.5,0.01,0,64,5,0.01,5,0.06495479702630856,0.14583333333333334,0.8632478632478633,1.365168809890747
0.5,0.01,0,64,5,0.01,6,0.06112241489030074,0.07916666666666666,0.8173076923076923,1.5357005596160889
0.5,0.01,0,64,5,0.01,7,0.06222545656118192,0.125,0.9145299145299145,1.4234182834625244
0.5,0.01,0,64,5,0.01,8,0.06655846754727034,0.11904761904761904,0.8525641025641025,1.4141826629638672
0.5,0.01,0,64,5,0.01,9,0.07297601197492,0.125,0.8664529914529915,1.4366416931152344
0.5,0.01,0,64,5,0.01,10,0.061534474536002665,0.11458333333333333,0.9166666666666666,1.4500782489776611
0.5,0.01,0,64,5,0.01,11,0.059147199725256845,0.014285714285714285,0.9903846153846154,1.4256689548492432
0.5,0.01,0,64,5,0.01,12,0.0627547241356218,0.07954545454545454,0.8963675213675214,1.4477791786193848
0.5,0.01,0,64,5,0.01,13,0.06495262228609015,0.14583333333333334,0.9134615384615384,1.6071550846099854
0.5,0.01,0,64,5,0.01,14,0.06488376688726924,0.14583333333333334,0.8985042735042735,1.4641947746276855
0.5,0.01,0,64,5,0.01,15,0.06726565178271068,0.11904761904761904,0.8397435897435898,1.3772251605987549
0.5,0.01,0,64,5,0.01,16,0.07008004461362503,0.017006802721088437,0.9893162393162394,1.4384262561798096
0.5,0.01,0,64,5,0.01,17,0.06756485325894614,0.10416666666666667,0.8322649572649573,1.433873176574707
0.5,0.01,0,64,5,0.01,18,0.066068613697095,0.13095238095238096,0.9284188034188035,1.4081692695617676
0.5,0.01,0,64,5,0.01,19,0.06625289078925901,0.1130952380952381,0.7991452991452992,1.3628370761871338
0.5,0.01,0,64,5,0.01,20,0.07127261979694648,0.08333333333333333,0.8525641025641025,1.4022345542907715
0.5,0.01,0,64,27,0.05,1,0.0668895392256161,0.125,0.7542735042735043,1.568315029144287
0.5,0.01,0,64,27,0.05,2,0.0597583756279343,0.16666666666666666,0.8611111111111112,1.3867371082305908
0.5,0.01,0,64,27,0.05,3,0.06004230753121785,0.1597222222222222,0.9764957264957265,1.4272863864898682
0.5,0.01,0,64,27,0.05,4,0.06850769983873078,0.09722222222222222,0.8717948717948718,1.4447784423828125
0.5,0.01,0,64,27,0.05,5,0.06550832993419689,0.1597222222222222,0.9572649572649573,1.3953750133514404
0.5,0.01,0,64,27,0.05,6,0.0606682563665176,0.109375,0.8995726495726496,1.37288498878479
0.5,0.01,0,64,27,0.05,7,0.06946249469669673,0.11458333333333333,0.9337606837606838,1.4203109741210938
0.5,0.01,0,64,27,0.05,8,0.06413350287175555,0.0625,0.7831196581196581,1.4131178855895996
0.5,0.01,0,64,27,0.05,9,0.06545192400188088,0.125,0.8803418803418803,1.6282365322113037
0.5,0.01,0,64,27,0.05,10,0.06804818009373,0.16666666666666666,0.8279914529914529,1.4389584064483643
0.5,0.01,0,64,27,0.05,11,0.06416594402042647,0.1527777777777778,0.9284188034188035,1.4321787357330322
0.5,0.01,0,64,27,0.05,12,0.06293716721232599,0.09895833333333333,0.8023504273504274,1.4156537055969238
0.5,0.01,0,64,27,0.05,13,0.06761529346635471,0.06597222222222222,0.7927350427350427,1.4346075057983398
0.5,0.01,0,64,27,0.05,14,0.06529436364266807,0.11904761904761904,0.842948717948718,1.433267593383789
0.5,0.01,0,64,27,0.05,15,0.06783500176724648,0.19166666666666668,0.9732905982905983,1.4331905841827393
0.5,0.01,0,64,27,0.05,16,0.06645260576508875,0.11904761904761904,0.8739316239316239,1.4200098514556885
0.5,0.01,0,64,27,0.05,17,0.06336916074237917,0.125,0.8888888888888888,1.636725664138794
0.5,0.01,0,64,27,0.05,18,0.06789857190748248,0.18333333333333332,0.9252136752136753,1.426253318786621
0.5,0.01,0,64,27,0.05,19,0.06552265244582585,0.09375,0.7713675213675214,1.3663856983184814
0.5,0.01,0,64,27,0.05,20,0.06968337404483842,0.1388888888888889,0.8963675213675214,1.4331257343292236
0.5,0.01,0,64,53,0.1,1,0.06445909191378238,0.14285714285714285,1.0,1.436112642288208
0.5,0.01,0,64,53,0.1,2,0.06831998952439074,0.07196969696969698,0.8162393162393162,1.3597640991210938
0.5,0.01,0,64,53,0.1,3,0.07276762210188042,0.1388888888888889,0.842948717948718,1.429717779159546
0.5,0.01,0,64,53,0.1,4,0.06713729261709969,0.1388888888888889,0.8493589743589743,1.4466195106506348
0.5,0.01,0,64,53,0.1,5,0.06294942164023343,0.13095238095238096,0.9220085470085471,1.5829758644104004
0.5,0.01,0,64,53,0.1,6,0.07137311319309003,0.10119047619047619,0.717948717948718,1.4251766204833984
0.5,0.01,0,64,53,0.1,7,0.06751650061804838,0.18333333333333332,0.9134615384615384,1.4323818683624268
0.5,0.01,0,64,53,0.1,8,0.06472256167030163,0.14583333333333334,0.8792735042735043,1.415635108947754
0.5,0.01,0,64,53,0.1,9,0.06239953417544747,0.18333333333333332,0.9209401709401709,1.4391648769378662
0.5,0.01,0,64,53,0.1,10,0.06589980826620975,0.09375,0.7542735042735043,1.4290356636047363
0.5,0.01,0,64,53,0.1,11,0.0654137377080442,0.0875,0.8504273504273504,1.4277353286743164
0.5,0.01,0,64,53,0.1,12,0.07298274792239982,0.11904761904761904,0.8376068376068376,1.440741777420044
0.5,0.01,0,64,53,0.1,13,0.06819168863580714,0.18333333333333332,0.9262820512820513,1.5812225341796875
0.5,0.01,0,64,53,0.1,14,0.06934699893684015,0.125,0.8835470085470085,1.3956422805786133
0.5,0.01,0,64,53,0.1,15,0.06410692590367535,0.10416666666666667,0.8450854700854701,1.4169938564300537
0.5,0.01,0,64,53,0.1,16,0.06646141157555285,0.2,1.0,1.4025139808654785
0.5,0.01,0,64,53,0.1,17,0.06394376258997925,0.08333333333333333,0.8258547008547008,1.4337234497070312
0.5,0.01,0,64,53,0.1,18,0.07555699121605397,0.109375,0.8728632478632479,1.4227910041809082
0.5,0.01,0,64,53,0.1,19,0.06551387218558219,0.09166666666666666,0.9358974358974359,1.4514148235321045
0.5,0.01,0,64,53,0.1,20,0.06089758803157365,0.10416666666666667,0.8322649572649573,1.4132938385009766
0.5,0.01,0,64,80,0.15,1,0.0614730320369231,0.13095238095238096,0.9134615384615384,1.624894380569458
0.5,0.01,0,64,80,0.15,2,0.0626402785086735,0.13095238095238096,0.9348290598290598,1.4312314987182617
0.5,0.01,0,64,80,0.15,3,0.06559256544979457,0.125,0.8557692307692307,1.4275691509246826
0.5,0.01,0,64,80,0.15,4,0.061890224242956225,0.1527777777777778,0.9273504273504274,1.414762020111084
0.5,0.01,0,64,80,0.15,5,0.06645493548851063,0.12857142857142856,0.9155982905982906,1.4338600635528564
0.5,0.01,0,64,80,0.15,6,0.06661664302290114,0.125,0.8739316239316239,1.3996870517730713
0.5,0.01,0,64,80,0.15,7,0.06097396903447817,0.1597222222222222,0.9871794871794872,1.4378914833068848
0.5,0.01,0,64,80,0.15,8,0.06637472462205489,0.109375,0.8739316239316239,1.449155569076538
0.5,0.01,0,64,80,0.15,9,0.06426800478964913,0.1597222222222222,0.9658119658119658,1.6069796085357666
0.5,0.01,0,64,80,0.15,10,0.06500826243774682,0.2,1.0,1.4246439933776855
0.5,0.01,0,64,80,0.15,11,0.06363820667587099,0.0875,0.8568376068376068,1.4322082996368408
0.5,0.01,0,64,80,0.15,12,0.0651248323671372,0.18333333333333332,0.9262820512820513,1.408625602722168
0.5,0.01,0,64,80,0.15,13,0.06239758718559004,0.11458333333333333,0.9273504273504274,1.426391839981079
0.5,0.01,0,64,80,0.15,14,0.06920284513236055,0.07196969696969698,0.7980769230769231,1.37758469581604
0.5,0.01,0,64,80,0.15,15,0.07238149095708482,0.1130952380952381,0.8258547008547008,1.3943419456481934
0.5,0.01,0,64,80,0.15,16,0.06340059711109952,0.1130952380952381,0.8408119658119658,1.4324839115142822
0.5,0.01,0,64,80,0.15,17,0.06711986143644601,0.09722222222222222,0.8803418803418803,1.603020429611206
0.5,0.01,0,64,80,0.15,18,0.06695614937157678,0.13194444444444445,0.8162393162393162,1.3584060668945312
0.5,0.01,0,64,80,0.15,19,0.07006291860451228,0.1597222222222222,0.9658119658119658,1.397979974746704
0.5,0.01,0,64,80,0.15,20,0.06907654858432755,0.125,0.7756410256410257,1.4243719577789307
0.5,0.01,0,64,107,0.2,1,0.06785390979865076,0.125,0.8824786324786325,1.379209280014038
0.5,0.01,0,64,107,0.2,2,0.06977720968944351,0.13690476190476192,0.9540598290598291,1.3944761753082275
0.5,0.01,0,64,107,0.2,3,0.06522640060146867,0.09722222222222222,0.8878205128205128,1.4147803783416748
0.5,0.01,0,64,107,0.2,4,0.06781108433968862,0.125,0.8888888888888888,1.4138925075531006
0.5,0.01,0,64,107,0.2,5,0.06590800928375921,0.1111111111111111,1.0,1.597033977508545
0.5,0.01,0,64,107,0.2,6,0.06179126044108427,0.08796296296296297,0.8151709401709402,1.4344508647918701
0.5,0.01,0,64,107,0.2,7,0.06275542837018595,0.1527777777777778,0.9145299145299145,1.4200222492218018
0.5,0.01,0,64,107,0.2,8,0.06461732417119771,0.18333333333333332,0.9230769230769231,1.3945808410644531
0.5,0.01,0,64,107,0.2,9,0.066985788864931,0.11904761904761904,0.8514957264957265,1.420757532119751
0.5,0.01,0,64,107,0.2,10,0.06407569470108812,0.13095238095238096,0.9091880341880342,1.4296293258666992
0.5,0.01,0,64,107,0.2,11,0.0664601876002463,0.09895833333333333,0.7905982905982906,1.4335682392120361
0.5,0.01,0,64,107,0.2,12,0.06562737370697608,0.11458333333333333,0.938034188034188,1.4311282634735107
0.5,0.01,0,64,107,0.2,13,0.06515370710578787,0.13690476190476192,0.9572649572649573,1.6012506484985352
0.5,0.01,0,64,107,0.2,14,0.06568780407984787,0.18333333333333332,0.9273504273504274,1.4314284324645996
0.5,0.01,0,64,107,0.2,15,0.06493529808412037,0.14583333333333334,0.8942307692307693,1.3939263820648193
0.5,0.01,0,64,107,0.2,16,0.06628428103021651,0.109375,0.8942307692307693,1.4420645236968994
0.5,0.01,0,64,107,0.2,17,0.06621611481505371,0.09722222222222222,0.8664529914529915,1.4026257991790771
0.5,0.01,0,64,107,0.2,18,0.06196053590403749,0.0875,0.8782051282051282,1.368375301361084
0.5,0.01,0,64,107,0.2,19,0.06888750162628794,0.075,0.7638888888888888,1.413468360900879
0.5,0.01,0,64,107,0.2,20,0.07008509275807705,0.1527777777777778,0.9198717948717948,1.4611656665802002
0.5,0.01,0,64,133,0.25,1,0.07085659065365775,0.08333333333333333,0.8589743589743589,1.60764479637146
0.5,0.01,0,64,133,0.25,2,0.06259398235641042,0.18333333333333332,0.9423076923076923,1.4267592430114746
0.5,0.01,0,64,133,0.25,3,0.07845655577234567,0.1597222222222222,0.9626068376068376,1.432051420211792
0.5,0.01,0,64,133,0.25,4,0.06850228374585231,0.1527777777777778,0.9113247863247863,1.411853551864624
0.5,0.01,0,64,133,0.25,5,0.057483999999999945,0.0,1.0,1.4440069198608398
0.5,0.01,0,64,133,0.25,6,0.06568688492159759,0.13690476190476192,0.9626068376068376,1.429663896560669
0.5,0.01,0,64,133,0.25,7,0.06706857292978861,0.19166666666666668,0.9572649572649573,1.427603006362915
0.5,0.01,0,64,133,0.25,8,0.0720372117312633,0.13095238095238096,0.9305555555555556,1.4267399311065674
0.5,0.01,0,64,133,0.25,9,0.06509480370218435,0.14285714285714285,1.0,1.611173391342163
0.5,0.01,0,64,133,0.25,10,0.06898512164317637,0.109375,0.8739316239316239,1.4241869449615479
0.5,0.01,0,64,133,0.25,11,0.062324103577162136,0.19166666666666668,0.9647435897435898,1.418588399887085
0.5,0.01,0,64,133,0.25,12,0.06934838407404675,0.1597222222222222,0.9551282051282052,1.4841654300689697
0.5,0.01,0,64,133,0.25,13,0.06205846765824758,0.125,0.8878205128205128,1.425685167312622
0.5,0.01,0,64,133,0.25,14,0.0681574754028903,0.11979166666666667,0.9668803418803419,1.4357678890228271
0.5,0.01,0,64,133,0.25,15,0.06372240844093736,0.125,0.8685897435897436,1.4119338989257812
0.5,0.01,0,64,133,0.25,16,0.06895643349626303,0.11904761904761904,0.8461538461538461,1.432584285736084
0.5,0.01,0,64,133,0.25,17,0.0646375572631701,0.1597222222222222,0.9529914529914529,1.6008598804473877
0.5,0.01,0,64,133,0.25,18,0.06849958647423107,0.09090909090909091,1.0,1.4038515090942383
0.5,0.01,0,64,133,0.25,19,0.06520353968770569,0.14583333333333334,0.9188034188034188,1.4193980693817139
0.5,0.01,0,64,133,0.25,20,0.06448714492463441,0.11458333333333333,0.9487179487179487,1.4269282817840576
0.5,0.01,0,64,160,0.3,1,0.06874796564729806,0.109375,0.8792735042735043,1.4294087886810303
0.5,0.01,0,64,160,0.3,2,0.06319938756462225,0.1527777777777778,0.9337606837606838,1.4305658340454102
