config_id,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,n,min_community,graph_seed,training_repeat,train_seed,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
1,mincut,1,32,False,0.0,200,0.005,0.1,,,0.01,5,1000,60,7,1,100000,1.0,1.0,12,12,1.0,-0.984538197517395,1.8064677715301514
1,mincut,1,32,False,0.0,200,0.005,0.1,,,0.01,5,1000,60,7,2,100001,1.0,1.0,12,12,1.0,-0.985221266746521,1.8118939399719238
1,mincut,1,32,False,0.0,200,0.005,0.1,,,0.01,5,1000,60,7,3,100002,1.0,1.0,12,12,1.0,-0.9843924641609192,1.582387924194336
2,mincut,1,32,False,0.0,200,0.005,0.5,,,0.01,5,1000,60,7,1,200000,1.0,1.0,12,12,1.0,-0.9543697834014893,1.4438879489898682
2,mincut,1,32,False,0.0,200,0.005,0.5,,,0.01,5,1000,60,7,2,200001,1.0,1.0,12,12,1.0,-0.9549279808998108,1.4732670783996582
2,mincut,1,32,False,0.0,200,0.005,0.5,,,0.01,5,1000,60,7,3,200002,1.0,1.0,12,12,1.0,-0.9538353085517883,1.439068078994751
3,mincut,1,32,False,0.0,200,0.005,1.0,,,0.01,5,1000,60,7,1,300000,1.0,1.0,12,12,1.0,-0.9176645278930664,1.492908239364624
3,mincut,1,32,False,0.0,200,0.005,1.0,,,0.01,5,1000,60,7,2,300001,1.0,1.0,12,12,1.0,-0.9166085720062256,1.5223519802093506
3,mincut,1,32,False,0.0,200,0.005,1.0,,,0.01,5,1000,60,7,3,300002,1.0,1.0,12,12,1.0,-0.9161504507064819,1.89115309715271
4,mincut,1,32,False,0.0,200,0.01,0.1,,,0.01,5,1000,60,7,1,400000,1.0,1.0,12,12,1.0,-0.9855675101280212,1.532768964767456
4,mincut,1,32,False,0.0,200,0.01,0.1,,,0.01,5,1000,60,7,2,400001,1.0,1.0,12,12,1.0,-0.9815772175788879,1.4542920589447021
4,mincut,1,32,False,0.0,200,0.01,0.1,,,0.01,5,1000,60,7,3,400002,1.0,1.0,12,12,1.0,-0.9853079915046692,1.4653699398040771
5,mincut,1,32,False,0.0,200,0.01,0.5,,,0.01,5,1000,60,7,1,500000,1.0,1.0,12,12,1.0,-0.953568160533905,1.6430010795593262
5,mincut,1,32,False,0.0,200,0.01,0.5,,,0.01,5,1000,60,7,2,500001,1.0,1.0,12,12,1.0,-0.9565235376358032,1.8272638320922852
5,mincut,1,32,False,0.0,200,0.01,0.5,,,0.01,5,1000,60,7,3,500002,1.0,1.0,12,12,1.0,-0.9563374519348145,1.4522130489349365
6,mincut,1,32,False,0.0,200,0.01,1.0,,,0.01,5,1000,60,7,1,600000,1.0,1.0,12,12,1.0,-0.9121229648590088,1.6973891258239746
6,mincut,1,32,False,0.0,200,0.01,1.0,,,0.01,5,1000,60,7,2,600001,1.0,1.0,12,12,1.0,-0.9172077178955078,1.7467939853668213
6,mincut,1,32,False,0.0,200,0.01,1.0,,,0.01,5,1000,60,7,3,600002,1.0,1.0,12,12,1.0,-0.9041576385498047,1.911510944366455
7,mincut,1,32,False,0.0,500,0.005,0.1,,,0.01,5,1000,60,7,1,700000,0.9275973154362416,0.9791358385176633,12,11,0.9166666666666666,-0.9632189869880676,3.9508371353149414
7,mincut,1,32,False,0.0,500,0.005,0.1,,,0.01,5,1000,60,7,2,700001,1.0,1.0,12,12,1.0,-0.9858482480049133,3.81427001953125
7,mincut,1,32,False,0.0,500,0.005,0.1,,,0.01,5,1000,60,7,3,700002,1.0,1.0,12,12,1.0,-0.9856812953948975,3.8933050632476807
8,mincut,1,32,False,0.0,500,0.005,0.5,,,0.01,5,1000,60,7,1,800000,1.0,1.0,12,12,1.0,-0.9574591517448425,4.477504730224609
