config_id,dataset_type,dataset_label,network_name,featurized_sigma_c,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,min_community,graph_seed,num_nodes,num_edges,feature_dim,training_repeat,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
1,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.001,,1.0,0.5,,,,,7880,9164,64,1,0.5644156085296357,0.841566810524926,39,12,0.3076923076923077,0.0041183228604495,9.82160496711731
1,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.001,,1.0,0.5,,,,,7880,9164,64,2,0.5821486083675218,0.8636954028229165,39,15,0.3846153846153846,0.0043087364174425,9.122709035873411
1,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.001,,1.0,0.5,,,,,7880,9164,64,3,0.5355368142405598,0.8199104418369149,39,14,0.358974358974359,0.0038828121032565,8.967714071273804
2,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.001,,1.0,1.0,,,,,7880,9164,64,1,0.7915301662209486,0.937868650775818,39,17,0.4358974358974359,0.0083016222342848,8.752263307571411
2,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.001,,1.0,1.0,,,,,7880,9164,64,2,0.6484332487259045,0.881656927848538,39,15,0.3846153846153846,0.0079037230461835,9.15896224975586
2,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.001,,1.0,1.0,,,,,7880,9164,64,3,0.5917009135926873,0.8735160335111604,39,13,0.3333333333333333,0.0069687096402049,9.059643268585203
3,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.005,,1.0,0.5,,,,,7880,9164,64,1,0.6236066890106996,0.8826512139103779,39,14,0.358974358974359,0.0014413028256967,8.977985620498657
3,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.005,,1.0,0.5,,,,,7880,9164,64,2,0.7712370013105955,0.9259213340396998,39,17,0.4358974358974359,0.0017319113248959,8.922105073928833
3,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.005,,1.0,0.5,,,,,7880,9164,64,3,0.5386514477519659,0.8228633882925772,39,13,0.3333333333333333,0.0017801480134949,8.891211032867432
4,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.005,,1.0,1.0,,,,,7880,9164,64,1,0.6547777799325496,0.8800807138617011,39,14,0.358974358974359,0.0017419238574802,8.794184923171997
4,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.005,,1.0,1.0,,,,,7880,9164,64,2,0.6178409477832323,0.83046299521017,39,13,0.3333333333333333,0.0012729924637824,8.798449277877808
4,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.005,,1.0,1.0,,,,,7880,9164,64,3,0.6909557965049742,0.8865152020713285,39,16,0.4102564102564102,0.0023352350108325,8.847262859344482
5,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.01,,1.0,0.5,,,,,7880,9164,64,1,0.6722233551678859,0.8897522912768024,39,15,0.3846153846153846,0.0017090239562094,8.895119190216064
5,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.01,,1.0,0.5,,,,,7880,9164,64,2,0.7143363815263808,0.9124512591827768,39,17,0.4358974358974359,0.0020773068536072,8.874230146408081
5,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.01,,1.0,0.5,,,,,7880,9164,64,3,0.6122601217742565,0.8728660769670658,39,14,0.358974358974359,0.0019016136648133,8.873122930526733
6,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.01,,1.0,1.0,,,,,7880,9164,64,1,0.5361872327710779,0.8426828669892115,39,13,0.3333333333333333,0.001552693429403,8.84212613105774
6,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.01,,1.0,1.0,,,,,7880,9164,64,2,0.778529987570794,0.9166454107905742,39,17,0.4358974358974359,0.0018083401955664,8.896091938018799
6,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,200,0.01,,1.0,1.0,,,,,7880,9164,64,3,0.6196144361585701,0.870729191347097,39,14,0.358974358974359,0.0015782315749675,8.903926134109497
7,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.001,,1.0,0.5,,,,,7880,9164,64,1,0.6658659280412819,0.8876001890952464,39,15,0.3846153846153846,0.0021073715761303,22.069600820541385
7,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.001,,1.0,0.5,,,,,7880,9164,64,2,0.6067229774450482,0.868633389139526,39,14,0.358974358974359,0.0020774453878402,22.026671886444092
7,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.001,,1.0,0.5,,,,,7880,9164,64,3,0.551621694888959,0.8468908200158509,39,15,0.3846153846153846,0.0021206128876656,21.996257066726685
8,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.001,,1.0,1.0,,,,,7880,9164,64,1,0.666548716522546,0.9043173497130308,39,15,0.3846153846153846,0.0031330385245382,21.958011865615845
8,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.001,,1.0,1.0,,,,,7880,9164,64,2,0.624431002055382,0.8745327649366305,39,15,0.3846153846153846,0.0032076789066195,21.94690728187561
8,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.001,,1.0,1.0,,,,,7880,9164,64,3,0.5872102863037368,0.8624207767031347,39,15,0.3846153846153846,0.0031553802546113,22.026936054229736
9,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.005,,1.0,0.5,,,,,7880,9164,64,1,0.6141559943105153,0.8741602372413845,39,15,0.3846153846153846,0.0016978178173303,22.02843403816223
9,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.005,,1.0,0.5,,,,,7880,9164,64,2,0.510854799402242,0.8340459816046437,39,10,0.2564102564102564,0.0014220188604667,21.958432912826535
9,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.005,,1.0,0.5,,,,,7880,9164,64,3,0.6202962085966939,0.8721942760815038,39,13,0.3333333333333333,0.0018326120916754,21.944594144821167
10,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.005,,1.0,1.0,,,,,7880,9164,64,1,0.6273304898302485,0.879855325382687,39,14,0.358974358974359,0.0018271895824,22.03756594657898
10,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.005,,1.0,1.0,,,,,7880,9164,64,2,0.4929104187996218,0.8240508370512909,39,11,0.282051282051282,0.0016451625851914,21.930102109909058
10,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.005,,1.0,1.0,,,,,7880,9164,64,3,0.7770600922511096,0.9284361734957473,39,17,0.4358974358974359,0.0021090102382004,22.071409225463867
11,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.01,,1.0,0.5,,,,,7880,9164,64,1,0.577577985142502,0.8512233857697145,39,13,0.3333333333333333,0.001450004754588,22.04703688621521
11,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.01,,1.0,0.5,,,,,7880,9164,64,2,0.5389977276392921,0.8369748237791319,39,13,0.3333333333333333,0.0015018760459497,22.01526403427124
11,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.01,,1.0,0.5,,,,,7880,9164,64,3,0.5432262253299089,0.8296050699649221,39,11,0.282051282051282,0.0014305274235084,21.996617078781128
12,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.01,,1.0,1.0,,,,,7880,9164,64,1,0.5510166503539481,0.8268136189137388,39,13,0.3333333333333333,0.0019721377175301,22.054176807403564
12,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.01,,1.0,1.0,,,,,7880,9164,64,2,0.7058663084873242,0.8976674019755758,39,16,0.4102564102564102,0.0021716628689318,21.989202976226807
12,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.0,500,0.01,,1.0,1.0,,,,,7880,9164,64,3,0.6670505915866074,0.8534364496765935,39,15,0.3846153846153846,0.0022753006778657,21.977455854415897
13,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.001,,1.0,0.5,,,,,7880,9164,64,1,0.7369703734160958,0.9171734813114826,39,17,0.4358974358974359,0.0064120711758732,8.920243978500366
13,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.001,,1.0,0.5,,,,,7880,9164,64,2,0.6791146727629104,0.8974035646245204,39,14,0.358974358974359,0.0059769824147224,8.969557046890259
13,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.001,,1.0,0.5,,,,,7880,9164,64,3,0.5466132742860073,0.8120758812382205,39,12,0.3076923076923077,0.0043911691755056,8.934465169906616
14,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.001,,1.0,1.0,,,,,7880,9164,64,1,0.4234331891967489,0.7709984485378581,39,11,0.282051282051282,0.0085886251181364,8.89366102218628
14,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.001,,1.0,1.0,,,,,7880,9164,64,2,0.5810207402581542,0.833480531583139,39,12,0.3076923076923077,0.0094786016270518,8.908826112747192
14,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.001,,1.0,1.0,,,,,7880,9164,64,3,0.7528381032422191,0.920656611791134,39,16,0.4102564102564102,0.0110828531906008,8.885646104812622
15,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.005,,1.0,0.5,,,,,7880,9164,64,1,0.7810647296828,0.9366898558659272,39,17,0.4358974358974359,0.0020958122331649,8.87326192855835
15,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.005,,1.0,0.5,,,,,7880,9164,64,2,0.7333167746679453,0.9050048618800688,39,16,0.4102564102564102,0.002153574489057,8.891382932662964
15,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.005,,1.0,0.5,,,,,7880,9164,64,3,0.5937219326461256,0.8117323127800226,39,15,0.3846153846153846,0.0024062246084213,8.906749248504639
16,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.005,,1.0,1.0,,,,,7880,9164,64,1,0.511256300710839,0.8267187063791931,39,11,0.282051282051282,0.0012443662853911,8.897274017333984
16,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.005,,1.0,1.0,,,,,7880,9164,64,2,0.6323045045739011,0.8693380382535153,39,13,0.3333333333333333,0.0021851975470781,8.899486064910889
16,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.005,,1.0,1.0,,,,,7880,9164,64,3,0.6659531810525287,0.8964936802309712,39,15,0.3846153846153846,0.0022362845484167,8.96075987815857
17,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.01,,1.0,0.5,,,,,7880,9164,64,1,0.6537976827692158,0.8820107854209159,39,14,0.358974358974359,0.0019127195701003,8.932262897491455
17,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.01,,1.0,0.5,,,,,7880,9164,64,2,0.789362383141084,0.9334122611349628,39,18,0.4615384615384615,0.0024598524905741,8.893718004226685
17,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.01,,1.0,0.5,,,,,7880,9164,64,3,0.656538293403847,0.8933438997613945,39,14,0.358974358974359,0.0018569699022918,8.89702296257019
18,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.01,,1.0,1.0,,,,,7880,9164,64,1,0.6620083622317596,0.9005041750892049,39,15,0.3846153846153846,0.0021452715154737,8.912116050720215
18,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.01,,1.0,1.0,,,,,7880,9164,64,2,0.6189327114927857,0.8762852948818493,39,14,0.358974358974359,0.0019042699132114,8.888031959533691
18,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,200,0.01,,1.0,1.0,,,,,7880,9164,64,3,0.7083451199063378,0.9103205123563796,39,16,0.4102564102564102,0.002166922437027,8.953310012817383
19,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,500,0.001,,1.0,0.5,,,,,7880,9164,64,1,0.6438704698864949,0.8737931972539488,39,13,0.3333333333333333,0.0026812935248017,22.06106996536255
19,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,500,0.001,,1.0,0.5,,,,,7880,9164,64,2,0.6017807529608976,0.8641664658435165,39,12,0.3076923076923077,0.0026703702751547,22.087687969207764
19,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,500,0.001,,1.0,0.5,,,,,7880,9164,64,3,0.7675987329541457,0.9299053147305418,39,17,0.4358974358974359,0.0027650853153318,22.152936220169067
20,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,500,0.001,,1.0,1.0,,,,,7880,9164,64,1,0.4466863093385346,0.7731194941672263,39,10,0.2564102564102564,0.0041587902233004,22.156064987182617
20,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,500,0.001,,1.0,1.0,,,,,7880,9164,64,2,0.5865385966657619,0.872639705133241,39,13,0.3333333333333333,0.0038519313093274,22.075226068496704
20,real,real_BitcoinTransactions_featurized_sigma5.0,BitcoinTransactions,5.0,diffpool,2,64,False,0.2,500,0.001,,1.0,1.0,,,,,7880,9164,64,3,0.5065401886862438,0.8224239387780343,39,12,0.3076923076923077,0.0039706984534859,22.06865406036377
