config_id,dataset_type,dataset_label,network_name,featurized_sigma_c,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,min_community,graph_seed,num_nodes,num_edges,feature_dim,training_repeat,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
1,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.001,0.5,,,,,,,4039,88234,64,1,0.8606693133267814,0.9499188160906492,16,16,1.0,-0.7013753652572632,8.449177026748657
1,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.001,0.5,,,,,,,4039,88234,64,2,0.8772222088277319,0.9553128717248187,16,16,1.0,-0.7203965187072754,7.548287868499756
1,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.001,0.5,,,,,,,4039,88234,64,3,0.9012416613012985,0.9599053723299313,16,16,1.0,-0.7239378690719604,7.446203947067261
2,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.001,0.75,,,,,,,4039,88234,64,1,0.8637737005025495,0.9534828828686365,16,16,1.0,-0.6054795384407043,7.431591987609863
2,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.001,0.75,,,,,,,4039,88234,64,2,0.8803782521396177,0.9509376126159177,16,16,1.0,-0.6164170503616333,7.305366039276123
2,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.001,0.75,,,,,,,4039,88234,64,3,0.8831302659343572,0.9537657518981613,16,16,1.0,-0.6222392320632935,7.279794931411743
3,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.001,1.0,,,,,,,4039,88234,64,1,0.8280523817149507,0.93768533437714,16,16,1.0,-0.46834656596183777,7.844365835189819
3,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.001,1.0,,,,,,,4039,88234,64,2,0.7907811383412421,0.9210678460897681,16,16,1.0,-0.5349624156951904,7.515608787536621
3,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.001,1.0,,,,,,,4039,88234,64,3,0.843863499413867,0.9410993837821207,16,16,1.0,-0.5162283182144165,7.387474060058594
4,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.005,0.5,,,,,,,4039,88234,64,1,0.7717524855009281,0.912190032143602,16,16,1.0,-0.7844157218933105,7.324557065963745
4,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.005,0.5,,,,,,,4039,88234,64,2,0.7832959759971272,0.9231926219244351,16,16,1.0,-0.7799323201179504,7.276661157608032
4,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.005,0.5,,,,,,,4039,88234,64,3,0.7858742523901203,0.9215762469708716,16,16,1.0,-0.7950658202171326,7.594866037368774
5,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.005,0.75,,,,,,,4039,88234,64,1,0.677758336358316,0.8691743065263958,16,16,1.0,-0.7575079202651978,7.485054016113281
5,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.005,0.75,,,,,,,4039,88234,64,2,0.6019158558187132,0.8288387988661469,16,16,1.0,-0.7775218486785889,7.469250917434692
5,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.005,0.75,,,,,,,4039,88234,64,3,0.6122313624382917,0.8456175929658871,16,16,1.0,-0.7762803435325623,7.440205097198486
6,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.005,1.0,,,,,,,4039,88234,64,1,0.6025036443198978,0.8374447247514433,16,16,1.0,-0.7111994028091431,7.35028076171875
6,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.005,1.0,,,,,,,4039,88234,64,2,0.6191593869851935,0.8538584652420808,16,16,1.0,-0.7046350240707397,7.291501045227051
6,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.005,1.0,,,,,,,4039,88234,64,3,0.591808756722409,0.8328590013048769,16,16,1.0,-0.7505623698234558,7.218760251998901
7,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.01,0.5,,,,,,,4039,88234,64,1,0.6063083801662146,0.8508887633124156,16,16,1.0,-0.7969448566436768,7.304763317108154
7,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.01,0.5,,,,,,,4039,88234,64,2,0.695883230660697,0.8777524878251547,16,16,1.0,-0.798588216304779,7.237558126449585
7,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.01,0.5,,,,,,,4039,88234,64,3,0.6693250739461163,0.8721492309689064,16,16,1.0,-0.8067398071289062,7.5338709354400635
8,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.01,0.75,,,,,,,4039,88234,64,1,0.6057045807330862,0.8515106754497095,16,16,1.0,-0.8000553846359253,7.259526014328003
8,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.01,0.75,,,,,,,4039,88234,64,2,0.6239763035218238,0.8454020955489032,16,16,1.0,-0.7238753437995911,7.498783826828003
8,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.01,0.75,,,,,,,4039,88234,64,3,0.6527907296545401,0.8663791701848316,16,16,1.0,-0.7745868563652039,7.393128871917725
9,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.01,1.0,,,,,,,4039,88234,64,1,0.6080476780971817,0.8544842657533924,16,16,1.0,-0.6870906949043274,7.331537246704102
9,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.01,1.0,,,,,,,4039,88234,64,2,0.6261621842391285,0.8595089619851127,16,15,0.9375,-0.6108746528625488,7.303548097610474
9,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,200,0.01,1.0,,,,,,,4039,88234,64,3,0.572756958246592,0.8374294987393337,16,16,1.0,-0.6858749389648438,7.331301212310791
10,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.001,0.5,,,,,,,4039,88234,64,1,0.7595631579991168,0.9136352451726195,16,16,1.0,-0.8112838864326477,18.228589057922363
10,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.001,0.5,,,,,,,4039,88234,64,2,0.6787552414205897,0.878895135807523,16,16,1.0,-0.8345317244529724,18.26180601119995
10,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.001,0.5,,,,,,,4039,88234,64,3,0.6803059205435124,0.8833712877185453,16,16,1.0,-0.8286681175231934,18.306915998458862
11,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.001,0.75,,,,,,,4039,88234,64,1,0.7047018669565759,0.8705601485988425,16,16,1.0,-0.7318766713142395,18.268656730651855
11,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.001,0.75,,,,,,,4039,88234,64,2,0.7181426181706355,0.8799605664488368,16,16,1.0,-0.7226922512054443,18.531816959381104
11,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.001,0.75,,,,,,,4039,88234,64,3,0.6265285997054347,0.8580113050649122,16,16,1.0,-0.7872248291969299,18.439514875411987
12,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.001,1.0,,,,,,,4039,88234,64,1,0.6321189965349866,0.847479057034119,16,16,1.0,-0.7205989956855774,18.408814191818237
12,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.001,1.0,,,,,,,4039,88234,64,2,0.6122809835296933,0.856751650415907,16,16,1.0,-0.7422452569007874,18.1280620098114
12,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.001,1.0,,,,,,,4039,88234,64,3,0.6093422781904312,0.8467957751774399,16,16,1.0,-0.7662614583969116,18.125293016433716
13,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.005,0.5,,,,,,,4039,88234,64,1,0.6045363764916896,0.8568033071547736,16,16,1.0,-0.8510555624961853,18.095344066619873
13,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.005,0.5,,,,,,,4039,88234,64,2,0.6208050678816587,0.8420816530928,16,16,1.0,-0.8723962306976318,18.114943027496338
13,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.005,0.5,,,,,,,4039,88234,64,3,0.7277531925597445,0.8692139401813965,16,16,1.0,-0.8198239207267761,18.22374415397644
14,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.005,0.75,,,,,,,4039,88234,64,1,0.5846822737407019,0.8148156125501343,16,16,1.0,-0.8379672169685364,18.077977180480957
14,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.005,0.75,,,,,,,4039,88234,64,2,0.6082899863490274,0.847950191314068,16,16,1.0,-0.8268169164657593,18.5713369846344
14,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.005,0.75,,,,,,,4039,88234,64,3,0.5984140507988673,0.8129041604164807,16,16,1.0,-0.8312221169471741,18.083500146865845
15,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.005,1.0,,,,,,,4039,88234,64,1,0.5759159232277866,0.8181575129787696,16,16,1.0,-0.8199388980865479,18.09555196762085
15,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.005,1.0,,,,,,,4039,88234,64,2,0.5826019439867158,0.8292399512913933,16,16,1.0,-0.8123500943183899,18.358577013015747
15,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.005,1.0,,,,,,,4039,88234,64,3,0.5815785317271311,0.8221445850165021,16,16,1.0,-0.8071259260177612,18.186893939971924
16,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.01,0.5,,,,,,,4039,88234,64,1,0.630005133661351,0.8554455404198227,16,16,1.0,-0.8476049304008484,18.225236177444458
16,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.01,0.5,,,,,,,4039,88234,64,2,0.5929125258967043,0.8397525877692275,16,16,1.0,-0.8535744547843933,18.174288272857666
16,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.01,0.5,,,,,,,4039,88234,64,3,0.6089847948943273,0.8339011556795033,16,16,1.0,-0.8488450646400452,18.046825170516968
17,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.01,0.75,,,,,,,4039,88234,64,1,0.577889555925571,0.8420417317372202,16,16,1.0,-0.7864699363708496,18.192214965820312
17,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.01,0.75,,,,,,,4039,88234,64,2,0.6077260766932961,0.861631363370115,16,16,1.0,-0.8249843120574951,18.133889198303223
17,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.01,0.75,,,,,,,4039,88234,64,3,0.5893362990527928,0.8352116988490446,16,16,1.0,-0.8196768760681152,18.25108814239502
18,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.01,1.0,,,,,,,4039,88234,64,1,0.60856356102613,0.8582845947172316,16,16,1.0,-0.7562549710273743,18.091717004776
18,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.01,1.0,,,,,,,4039,88234,64,2,0.60532667715112,0.8617683172755483,16,16,1.0,-0.8003766536712646,18.113160848617554
18,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.0,500,0.01,1.0,,,,,,,4039,88234,64,3,0.5832430260430318,0.8423329035912928,16,16,1.0,-0.7880670428276062,18.056116104125977
19,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.2,200,0.001,0.5,,,,,,,4039,88234,64,1,0.876948103047783,0.9570523621480252,16,15,0.9375,-0.6896139979362488,7.283055782318115
19,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.2,200,0.001,0.5,,,,,,,4039,88234,64,2,0.9149550138422216,0.956947527157709,16,16,1.0,-0.7103320956230164,7.2639381885528564
19,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.2,200,0.001,0.5,,,,,,,4039,88234,64,3,0.8758486948532528,0.9560131367356081,16,16,1.0,-0.7131214141845703,7.481662273406982
20,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.2,200,0.001,0.75,,,,,,,4039,88234,64,1,0.7837635083971946,0.9237105911101517,16,16,1.0,-0.6704990863800049,7.332453012466431
20,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.2,200,0.001,0.75,,,,,,,4039,88234,64,2,0.8301746336440181,0.9347292948206922,16,16,1.0,-0.5746194124221802,7.294725179672241
20,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.2,200,0.001,0.75,,,,,,,4039,88234,64,3,0.773514759445762,0.9229429387724232,16,16,1.0,-0.635962963104248,7.400789022445679
21,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.2,200,0.001,1.0,,,,,,,4039,88234,64,1,0.7581333567977347,0.9093093670380209,16,16,1.0,-0.6120102405548096,7.3267059326171875
21,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.2,200,0.001,1.0,,,,,,,4039,88234,64,2,0.719966054661958,0.9131506831217314,16,16,1.0,-0.5979865789413452,7.541088104248047
21,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.2,200,0.001,1.0,,,,,,,4039,88234,64,3,0.7328214183354845,0.9038879091373855,16,16,1.0,-0.6344243288040161,7.313593149185181
22,real,real_Facebook_featurized_sigma5.0,Facebook,5.0,mincut,1,64,False,0.2,200,0.005,0.5,,,,,,,4039,88234,64,1,0.6966840536086346,0.8842958906755302,16,16,1.0,-0.7901880145072937,7.327356338500977
