config_id,dataset_type,dataset_label,network_name,featurized_sigma_c,model_name,num_layers,hidden,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mu,sigma_c,min_community,graph_seed,num_nodes,num_edges,feature_dim,training_repeat,ECS,NMI,n_true_clusters,n_pred_clusters,cluster_ratio,last_loss,elapsed_time_sec
1,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,200,0.001,0.5,,,,,,,2405,11596,4973,1,0.2060156387638643,0.5197454441203566,58,51,0.8793103448275862,-0.5959548354148865,3.011939287185669
1,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,200,0.001,0.5,,,,,,,2405,11596,4973,2,0.12544584527171865,0.1020588691040383,58,2,0.034482758620689655,-0.3348221778869629,2.165816068649292
1,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,200,0.001,0.5,,,,,,,2405,11596,4973,3,0.17505781526554515,0.5136261631923924,58,58,1.0,-0.7201767563819885,2.2520108222961426
2,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,200,0.001,1.0,,,,,,,2405,11596,4973,1,0.16913274644615692,0.49858630557028205,58,56,0.9655172413793104,-0.5204131007194519,2.186000108718872
2,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,200,0.001,1.0,,,,,,,2405,11596,4973,2,0.150207690191889,0.5068748075304742,58,56,0.9655172413793104,-0.5185076594352722,2.17264723777771
2,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,200,0.001,1.0,,,,,,,2405,11596,4973,3,0.17083754444658927,0.5059600962709406,58,57,0.9827586206896551,-0.5885721445083618,2.1545841693878174
3,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,200,0.005,0.5,,,,,,,2405,11596,4973,1,0.10451163434931056,0.06471401451602157,58,3,0.05172413793103448,-0.324194073677063,2.247453212738037
3,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,200,0.005,0.5,,,,,,,2405,11596,4973,2,0.09382076303873303,0.0028329162385235204,58,2,0.034482758620689655,-0.34095078706741333,2.1794021129608154
3,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,200,0.005,0.5,,,,,,,2405,11596,4973,3,0.13898352347365756,0.12218618221591791,58,3,0.05172413793103448,-0.3156778812408447,2.183910846710205
4,real,real_Wiki_original_features_consensus,Wiki,,mincut,1,64,False,0.0,200,0.005,1.0,,,,,,,2405,11596,4973,1,0.18562141221197553,0.23687633320618018,58,3,0.05172413793103448,0.3434860110282898,2.1959621906280518
