model_name,num_layers,gcn_skip,dropout,epochs,lr,ortho_regularization,link_pred_regularization,entropy_regularization,mean_ECS,std_ECS,mean_NMI,std_NMI,mean_cluster_ratio,std_cluster_ratio,total_runs
diffpool,1,False,0.2,500,0.001,,1.0,0.1,0.9383309214228963,0.0197188224778561,0.9628623745923978,0.0031562642531058993,0.24712643678160914,0.019908629972056065,3
diffpool,1,False,0.0,500,0.001,,1.0,1.0,0.9322436613764333,0.04221922793265493,0.9616498365269396,0.015444356753498676,0.29310344827586204,0.02986294495808414,3
diffpool,1,True,0.2,200,0.001,,1.0,0.1,0.9321219361935547,0.026494904830161304,0.9582272327143614,0.007686614354428728,0.23563218390804597,0.009954314986028074,3
diffpool,1,False,0.0,200,0.005,,1.0,1.0,0.9301345259832736,0.01997716281056614,0.9542663399986878,0.002366884834664471,0.2586206896551724,0.01724137931034479,3
diffpool,1,False,0.5,200,0.01,,1.0,0.1,0.9240966934512448,0.044121507004835615,0.9556158124020943,0.01540504432354843,0.2183908045977011,0.009954314986028018,3
diffpool,1,False,0.0,500,0.001,,1.0,0.5,0.9222717788498175,0.030598302920158593,0.9582000056545104,0.010060272022218939,0.3275862068965517,0.0,3
diffpool,1,False,0.0,200,0.001,,1.0,1.0,0.9138188559834735,0.04369825633537259,0.9556107504410388,0.017927280713368108,0.3390804597701149,0.03981725994411218,3
diffpool,1,False,0.0,500,0.01,,1.0,1.0,0.9111558932709305,0.055865827071806096,0.945055938840975,0.01991330577619139,0.30459770114942525,0.019908629972056103,3
diffpool,1,False,0.2,500,0.005,,1.0,0.5,0.909424131448004,0.03285892678431589,0.9501004872945414,0.009281925979719725,0.2816091954022988,0.009954314986028018,3
diffpool,1,False,0.2,200,0.001,,1.0,0.1,0.9089538831619612,0.07394779930664301,0.9501108183271718,0.028572701880577683,0.27011494252873564,0.03589079309424367,3
diffpool,1,False,0.0,500,0.005,,1.0,0.1,0.9086375703112979,0.039120122498980885,0.9495698560987714,0.016095551469396983,0.264367816091954,0.026336641925033516,3
diffpool,1,False,0.2,500,0.01,,1.0,0.1,0.9067997225450123,0.0688250843881557,0.9458204567723026,0.026566112399351423,0.24137931034482754,0.017241379310344834,3
diffpool,1,False,0.5,500,0.001,,1.0,0.5,0.9062734118440984,0.03976450926196777,0.9515785665002019,0.014365908574653075,0.2528735632183908,0.01990862997205601,3
diffpool,1,True,0.2,500,0.01,,1.0,1.0,0.9052282477217016,0.06502587775724013,0.9590941932689373,0.02080684287305058,0.22413793103448273,0.017241379310344848,3
diffpool,1,False,0.2,500,0.01,,1.0,1.0,0.904369703067564,0.08559734399878417,0.947074468448426,0.03630203857965784,0.2988505747126436,0.026336641925033606,3
diffpool,1,False,0.2,200,0.001,,1.0,1.0,0.8990067482406197,0.0634686789806548,0.9509831619394724,0.021445378210393544,0.3160919540229885,0.0263366419250336,3
diffpool,1,True,0.5,200,0.01,,1.0,1.0,0.8981020550099675,0.05348573489265526,0.9549835205815828,0.017609372132573176,0.2471264367816092,0.009954314986028012,3
diffpool,1,False,0.5,500,0.005,,1.0,0.5,0.8977779618886589,0.047279081366681186,0.9445948412926386,0.019781706345860847,0.23563218390804594,0.03589079309424365,3
diffpool,1,True,0.0,500,0.001,,1.0,0.1,0.8953730792213456,0.06273037366844172,0.9504855749608346,0.020389724797539865,0.21264367816091947,0.009954314986028018,3
diffpool,1,False,0.2,200,0.01,,1.0,0.5,0.8942171609768895,0.041350845708948133,0.9434603808465692,0.012805274666524582,0.2701149425287356,0.00995431498602801,3
diffpool,1,False,0.0,200,0.01,,1.0,0.5,0.8918335124646791,0.07393897853047197,0.9447462123876922,0.027725074827731688,0.28735632183908044,0.06527480857241692,3
diffpool,1,False,0.2,200,0.01,,1.0,0.1,0.8908226243993865,0.0503801086803876,0.9449595664925896,0.015891833536099107,0.24137931034482754,0.017241379310344834,3
diffpool,1,True,0.5,500,0.001,,1.0,1.0,0.8907282017735664,0.0814560483499451,0.9522712179790546,0.02513605304373288,0.2183908045977011,0.009954314986028018,3
diffpool,1,False,0.0,500,0.001,,1.0,0.1,0.8900094743162681,0.06545201286443803,0.9465581154552359,0.021786944030839424,0.264367816091954,0.03589079309424364,3
diffpool,1,False,0.2,200,0.005,,1.0,0.1,0.8879180930653696,0.0518355105176521,0.9434058066782227,0.01604348111420502,0.2528735632183908,0.04338985307626866,3
diffpool,1,True,0.0,500,0.001,,1.0,0.5,0.8878969714725967,0.07582969463526978,0.9452776867228566,0.026929402489061772,0.21264367816091947,0.019908629972056037,3
diffpool,1,True,0.5,500,0.005,,1.0,0.5,0.8866712960070154,0.07124567978463264,0.9515669866236108,0.02416005226466614,0.2068965517241379,0.017241379310344807,3
diffpool,1,True,0.2,200,0.001,,1.0,1.0,0.886582875581377,0.08149554404066914,0.9415404005064673,0.033360230105783095,0.23563218390804597,0.026336641925033565,3
diffpool,1,False,0.5,500,0.005,,1.0,0.1,0.885383148086366,0.08116248405192585,0.9432374037858621,0.029832038190539,0.20114942528735633,0.02633664192503353,3
diffpool,1,False,0.5,500,0.01,,1.0,1.0,0.87971872516797,0.09061216953979656,0.9406962075295503,0.03376417911091027,0.24137931034482754,0.045616401914906714,3
diffpool,1,True,0.2,200,0.005,,1.0,1.0,0.8771543924364579,0.04031555218177927,0.9433254852848109,0.016682933922471534,0.21264367816091947,0.009954314986028018,3
diffpool,1,False,0.2,500,0.001,,1.0,0.5,0.8760461669926158,0.09119233673500902,0.9425184382688725,0.03440944278044466,0.2816091954022988,0.019908629972056037,3
diffpool,1,True,0.5,200,0.001,,1.0,0.5,0.87449612616959,0.022412427871768996,0.9420134138834694,0.007159853618887699,0.22413793103448273,0.017241379310344855,3
diffpool,1,True,0.5,200,0.001,,1.0,0.1,0.8740973860727766,0.03535173429342889,0.940695881604842,0.015826698510713274,0.2068965517241379,0.017241379310344807,3
diffpool,1,True,0.0,500,0.005,,1.0,0.1,0.8736668144355543,0.06871782352385708,0.9438130001214495,0.022919420677143164,0.2068965517241379,0.017241379310344807,3
diffpool,1,False,0.5,200,0.001,,1.0,0.5,0.871738068163547,0.04720888427655711,0.9411590914169938,0.013738242356360989,0.2758620689655172,0.029862944958084035,3
diffpool,1,True,0.2,500,0.01,,1.0,0.5,0.8699799096144823,0.11612058115264617,0.9438214575950958,0.03816057060013877,0.21839080459770113,0.026336641925033565,3
diffpool,1,True,0.0,200,0.005,,1.0,1.0,0.8647833394468893,0.06986093178468421,0.9333159550056225,0.021758743652678065,0.2298850574712643,0.02633664192503356,3
diffpool,1,False,0.5,200,0.005,,1.0,0.5,0.8647358015172907,0.10675375480602921,0.9344186652917775,0.03319176506175877,0.24137931034482754,0.017241379310344834,3
diffpool,1,False,0.0,200,0.005,,1.0,0.5,0.8644371391247129,0.10469462889700956,0.935653003047405,0.03734379478511325,0.29310344827586204,0.05972588991616821,3
diffpool,1,True,0.5,500,0.005,,1.0,0.1,0.8587348224353096,0.13529019785316443,0.9387675391684277,0.051483218093489984,0.20114942528735627,0.039817259944112116,3
diffpool,1,False,0.2,500,0.005,,1.0,1.0,0.8579775816807045,0.08931966029863674,0.9340367720882776,0.03266360713281967,0.2816091954022988,0.009954314986028034,3
diffpool,1,False,0.0,200,0.01,,1.0,1.0,0.856372543346933,0.038387696417007545,0.9301879336889408,0.016743161336114087,0.2586206896551724,0.0,3
diffpool,1,False,0.5,500,0.001,,1.0,0.1,0.8541589225355172,0.11473039885881949,0.9308221809280282,0.043552109177196825,0.21264367816091947,0.009954314986028018,3
diffpool,1,False,0.0,200,0.001,,1.0,0.5,0.8541141495307057,0.03250131278045198,0.9362837102510081,0.00846841601295222,0.2931034482758621,0.045616401914906714,3
diffpool,1,False,0.0,200,0.01,,1.0,0.1,0.850407275131586,0.08300225058705313,0.9237939977571242,0.030742553566363386,0.24137931034482754,0.029862944958084087,3
diffpool,1,True,0.2,500,0.01,,1.0,0.1,0.8502911969309647,0.08795880349753844,0.9396864948225137,0.03040523127548984,0.1954022988505747,0.019908629972056037,3
diffpool,1,False,0.5,200,0.001,,1.0,0.1,0.8497444973678178,0.012777297713061131,0.9315108951186101,0.008673119624759019,0.2183908045977011,0.009954314986028018,3
diffpool,1,False,0.5,200,0.005,,1.0,1.0,0.8488664069245794,0.0857348881040909,0.9268356636687113,0.027980533932405162,0.23563218390804594,0.03589079309424366,3
diffpool,1,False,0.0,500,0.005,,1.0,1.0,0.8472377826349825,0.05072349160774721,0.9283863139018873,0.017173347819726372,0.2873563218390804,0.009954314986028003,3
diffpool,1,False,0.5,200,0.005,,1.0,0.1,0.8471457785527687,0.028571372491617952,0.9279772808178958,0.011092352531617345,0.20114942528735633,0.009954314986028018,3
diffpool,1,True,0.2,200,0.005,,1.0,0.1,0.8461348460254126,0.04443784131360995,0.9336107685368166,0.015341185027590909,0.20114942528735633,0.009954314986028018,3
diffpool,1,True,0.0,200,0.01,,1.0,0.5,0.845973241180268,0.09679271859205035,0.9313487287947488,0.03403255468314959,0.21264367816091953,0.026336641925033585,3
diffpool,1,True,0.2,500,0.005,,1.0,0.5,0.8442701939850691,0.028614585083995295,0.9345664702003039,0.010151462532227816,0.20114942528735633,0.009954314986028018,3
diffpool,1,False,0.2,200,0.01,,1.0,1.0,0.8434826577628393,0.09099372536314339,0.9257955618450415,0.02915125455275633,0.264367816091954,0.01990862997205602,3
diffpool,1,True,0.2,200,0.01,,1.0,1.0,0.8432013464184475,0.09903568831136046,0.9333322781154515,0.032788994962310615,0.21839080459770113,0.019908629972056082,3
diffpool,1,True,0.0,200,0.005,,1.0,0.1,0.8420738800305455,0.01507947156014079,0.9297558216521381,0.0044215740134332165,0.18965517241379307,0.0,3
diffpool,1,True,0.0,500,0.01,,1.0,0.5,0.8402704310216172,0.1008458411889367,0.9275582077454638,0.037240114726316935,0.2068965517241379,0.017241379310344807,3
