mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.01,0.01,0,100,0,0,0,0.6931920554068783,0.0012787723785166241,0.04888888888888889,
0.01,0.01,0,100,31,0.01,0.0,1,0.6860349827803164,0.0012004801920768306,0.043333333333333335,1.3680775165557861
0.01,0.01,0,100,31,0.01,0.0,2,0.6764993928969549,0.0,0.0,1.288529396057129
0.01,0.01,0,100,31,0.01,0.0,3,0.7192582127994979,0.0006609385327164573,0.016666666666666666,1.3164520263671875
0.01,0.01,0,100,31,0.01,0.0,4,0.762166632359152,0.0006064281382656155,0.044444444444444446,1.2968041896820068
0.01,0.01,0,100,31,0.01,0.0,5,0.7795089504088555,0.001212856276531231,0.04888888888888889,1.2768573760986328
0.01,0.01,0,100,31,0.01,0.0,6,0.7176884575312168,0.0005941770647653001,0.008888888888888889,1.291931390762329
0.01,0.01,0,100,31,0.01,0.0,7,0.7843326711818751,0.0005941770647653001,0.0033333333333333335,1.2894971370697021
0.01,0.01,0,100,31,0.01,0.0,8,0.7717445043649405,0.001238390092879257,0.0077777777777777776,1.4411077499389648
0.01,0.01,0,100,31,0.01,0.0,9,0.742317736520841,0.0006002400960384153,0.0,1.2777397632598877
0.01,0.01,0,100,31,0.01,0.0,10,0.6477113871934271,0.0006839945280437756,0.011111111111111112,1.2963309288024902
0.01,0.01,0,100,31,0.01,0.0,11,0.6930682255523589,0.0013218770654329147,0.05,1.2677147388458252
0.01,0.01,0,100,31,0.01,0.0,12,0.6985409568467829,0.0006064281382656155,0.01888888888888889,1.2768678665161133
0.01,0.01,0,100,31,0.01,0.0,13,0.7021953745748419,0.0,0.0,1.258279800415039
0.01,0.01,0,100,31,0.01,0.0,14,0.6573687660781677,0.0006064281382656155,0.03333333333333333,1.2638194561004639
0.01,0.01,0,100,31,0.01,0.0,15,0.7058283004896247,0.0006064281382656155,0.03777777777777778,1.2659995555877686
0.01,0.01,0,100,31,0.01,0.0,16,0.6631498937290384,0.0012515644555694619,0.09111111111111111,1.3976788520812988
0.01,0.01,0,100,31,0.01,0.0,17,0.7320089071996461,0.0005941770647653001,0.0022222222222222222,1.2567424774169922
0.01,0.01,0,100,31,0.01,0.0,18,0.6694762632642486,0.0007173601147776184,0.006666666666666667,1.2840907573699951
0.01,0.01,0,100,31,0.01,0.0,19,0.7578832797353064,0.0006393861892583121,0.04,1.1749019622802734
0.01,0.01,0,100,31,0.01,0.0,20,0.7413367672000245,0.0006002400960384153,0.015555555555555555,1.1788115501403809
0.01,0.01,0,100,31,0.01,0.0,21,0.6815626641146386,0.0006325110689437065,0.03111111111111111,1.18294095993042
0.01,0.01,0,100,31,0.01,0.0,22,0.7912452396380454,0.0013218770654329147,0.05444444444444444,1.1849427223205566
0.01,0.01,0,100,31,0.01,0.0,23,0.7436982108897234,0.0012515644555694619,0.052222222222222225,1.2939684391021729
0.01,0.01,0,100,31,0.01,0.0,24,0.619999765453676,0.0010695187165775401,0.0044444444444444444,1.1829564571380615
0.01,0.01,0,100,31,0.01,0.0,25,0.8194098063493698,0.0005941770647653001,0.035555555555555556,1.175166130065918
0.01,0.01,0,100,31,0.01,0.0,26,0.7480595968549038,0.0,0.0011111111111111111,1.1737008094787598
0.01,0.01,0,100,31,0.01,0.0,27,0.6938316467881096,0.0012515644555694619,0.08,1.1730926036834717
0.01,0.01,0,100,31,0.01,0.0,28,0.7716238656697003,0.0,0.0,1.1809771060943604
0.01,0.01,0,100,31,0.01,0.0,29,0.6884678598576739,0.00065359477124183,0.005555555555555556,1.1760518550872803
0.01,0.01,0,100,31,0.01,0.0,30,0.7412225888679098,0.0005941770647653001,0.006666666666666667,1.3092529773712158
0.01,0.01,0,100,31,0.01,0.0,31,0.7073136966213328,0.0012254901960784314,0.06888888888888889,1.1835367679595947
0.01,0.01,0,100,31,0.01,0.0,32,0.7137247489402256,0.0006002400960384153,0.042222222222222223,1.1807050704956055
0.01,0.01,0,100,31,0.01,0.0,33,0.669944974276551,0.0006325110689437065,0.005555555555555556,1.1773056983947754
0.01,0.01,0,100,31,0.01,0.0,34,0.8056312473990078,0.0,0.0,1.1760168075561523
