mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.3,2.0,0,23,0,0,0,0.766614156970803,0.0043859649122807015,0.11975435005117707,
0.3,2.0,0,23,1,0.01,0.0,1,0.7447551875254326,0.004629629629629629,0.08904810644831115,1.88862943649292
0.3,2.0,0,23,1,0.01,0.0,2,0.6843669391728199,0.010033444816053512,0.08904810644831115,1.797102928161621
0.3,2.0,0,23,1,0.01,0.0,3,0.7365611126982123,0.003968253968253968,0.10951893551688843,1.7961149215698242
0.3,2.0,0,23,1,0.01,0.0,4,0.7171191426802525,0.008771929824561403,0.1842374616171955,1.7883610725402832
0.3,2.0,0,23,1,0.01,0.0,5,0.6951105409778586,0.0024509803921568627,0.00511770726714432,1.799241542816162
0.3,2.0,0,23,1,0.01,0.0,6,0.7190402909206789,0.004166666666666667,0.0593654042988741,1.811051368713379
0.3,2.0,0,23,1,0.01,0.0,7,0.7380060560187451,0.003968253968253968,0.1023541453428864,1.8134558200836182
0.3,2.0,0,23,1,0.01,0.0,8,0.7194613327323224,0.001976284584980237,0.032753326509723645,1.9360871315002441
0.3,2.0,0,23,1,0.01,0.0,9,0.7084012301186295,0.00641025641025641,0.057318321392016376,1.7166199684143066
0.3,2.0,0,23,1,0.01,0.0,10,0.7328964880917697,0.006578947368421052,0.1617195496417605,1.7029335498809814
0.3,2.0,0,23,1,0.01,0.0,11,0.7279848392543697,0.003968253968253968,0.0368474923234391,1.7003757953643799
0.3,2.0,0,23,1,0.01,0.0,12,0.7908497835219619,0.0,0.0030706243602865915,1.7077579498291016
0.3,2.0,0,23,1,0.01,0.0,13,0.7590591167550284,0.004347826086956522,0.048106448311156604,1.6916401386260986
0.3,2.0,0,23,1,0.01,0.0,14,0.715886727565268,0.010416666666666666,0.10644831115660185,1.6884644031524658
0.3,2.0,0,23,1,0.01,0.0,15,0.6256905762565123,0.007352941176470588,0.04196519959058342,1.8252146244049072
0.3,2.0,0,23,1,0.01,0.0,16,0.7422789982550481,0.003968253968253968,0.0767656090071648,1.7063453197479248
0.3,2.0,0,23,1,0.01,0.0,17,0.6983817734603829,0.0043859649122807015,0.05015353121801433,1.7052793502807617
0.3,2.0,0,23,1,0.01,0.0,18,0.7314221569533899,0.001893939393939394,0.02354145342886387,1.7128143310546875
0.3,2.0,0,23,1,0.01,0.0,19,0.7470479109539526,0.003968253968253968,0.08085977482088025,1.7080957889556885
0.3,2.0,0,23,1,0.01,0.0,20,0.7268670030871,0.001893939393939394,0.03991811668372569,1.6974999904632568
0.3,2.0,0,23,1,0.01,0.0,21,0.6934951925618037,0.005208333333333333,0.10951893551688843,1.704411506652832
0.3,2.0,0,23,1,0.01,0.0,22,0.724682568941696,0.01358695652173913,0.1811668372569089,1.8397610187530518
0.3,2.0,0,23,1,0.01,0.0,23,0.7513610166227457,0.006944444444444444,0.15148413510747186,1.6973135471343994
0.3,2.0,0,23,1,0.01,0.0,24,0.7059421575746715,0.013020833333333334,0.14431934493346982,1.6952509880065918
0.3,2.0,0,23,1,0.01,0.0,25,0.7735022167020781,0.0043859649122807015,0.07778915046059365,1.6478650569915771
0.3,2.0,0,23,1,0.01,0.0,26,0.6890945225094809,0.0078125,0.10644831115660185,1.5966260433197021
0.3,2.0,0,23,1,0.01,0.0,27,0.7765525088244674,0.0043859649122807015,0.07881269191402251,1.602083444595337
0.3,2.0,0,23,1,0.01,0.0,28,0.7448352841156086,0.005555555555555556,0.07778915046059365,1.6030571460723877
0.3,2.0,0,23,1,0.01,0.0,29,0.7369740102878114,0.01358695652173913,0.1647901740020471,1.5914595127105713
0.3,2.0,0,23,1,0.01,0.0,30,0.7296219067440192,0.010025062656641603,0.1299897645854657,1.7302236557006836
0.3,2.0,0,23,1,0.01,0.0,31,0.761955030928298,0.0078125,0.14124872057318322,1.6002426147460938
0.3,2.0,0,23,1,0.01,0.0,32,0.7724445758895159,0.002070393374741201,0.057318321392016376,1.593317985534668
0.3,2.0,0,23,1,0.01,0.0,33,0.7262174946394491,0.001893939393939394,0.06038894575230297,1.591557502746582
0.3,2.0,0,23,1,0.01,0.0,34,0.7467783797251053,0.0,0.00511770726714432,1.5916571617126465
0.3,2.0,0,23,1,0.01,0.0,35,0.6961870101716027,0.001984126984126984,0.03582395087001024,1.5979087352752686
0.3,2.0,0,23,1,0.01,0.0,36,0.7009638879804069,0.006521739130434782,0.1330603889457523,1.6037871837615967
0.3,2.0,0,23,1,0.01,0.0,37,0.6941414221300944,0.0078125,0.14227226202661208,1.7316703796386719
0.3,2.0,0,23,1,0.01,0.0,38,0.8004387140346728,0.0,0.030706243602865915,1.5903799533843994
0.3,2.0,0,23,1,0.01,0.0,39,0.6753161688645407,0.001984126984126984,0.038894575230296824,1.5904786586761475
0.3,2.0,0,23,1,0.01,0.0,40,0.7378087614819837,0.006944444444444444,0.021494370522006142,1.599536657333374
0.3,2.0,0,23,1,0.01,0.0,41,0.7119512731498134,0.008695652173913044,0.11258955987717502,1.5975542068481445
0.3,2.0,0,23,1,0.01,0.0,42,0.7819584555715445,0.005115089514066497,0.048106448311156604,1.5879545211791992
0.3,2.0,0,23,1,0.01,0.0,43,0.7202212601307175,0.001893939393939394,0.01842374616171955,1.590888261795044
0.3,2.0,0,23,1,0.01,0.0,44,0.7355933344243389,0.004166666666666667,0.10849539406345957,1.6099789142608643
0.3,2.0,0,23,1,0.01,0.0,45,0.6573790997940143,0.004347826086956522,0.07778915046059365,1.7298598289489746
0.3,2.0,0,23,1,0.01,0.0,46,0.7467742195423355,0.003968253968253968,0.07881269191402251,1.6124722957611084
0.3,2.0,0,23,1,0.01,0.0,47,0.7451834774063645,0.003968253968253968,0.06141248720573183,1.5923559665679932
0.3,2.0,0,23,1,0.01,0.0,48,0.719310729711434,0.017361111111111112,0.21903787103377687,1.6029984951019287
0.3,2.0,0,23,1,0.01,0.0,49,0.7406371144564803,0.011857707509881422,0.04708290685772774,1.5922045707702637
0.3,2.0,0,23,1,0.01,0.0,50,0.6881694555387746,0.004784688995215311,0.09211873080859775,1.626680850982666
0.3,2.0,0,23,4,0.05,0.0,1,0.8218743703546814,0.006578947368421052,0.11361310133060389,1.6180098056793213
0.3,2.0,0,23,4,0.05,0.0,2,0.6832785411450698,0.004347826086956522,0.07062436028659161,1.7287395000457764
0.3,2.0,0,23,4,0.05,0.0,3,0.706573647475247,0.010416666666666666,0.10337768679631525,1.5962724685668945
0.3,2.0,0,23,4,0.05,0.0,4,0.7569531805125966,0.001976284584980237,0.02047082906857728,1.594055414199829
0.3,2.0,0,23,4,0.05,0.0,5,0.692614065850419,0.001893939393939394,0.048106448311156604,1.5935735702514648
0.3,2.0,0,23,4,0.05,0.0,6,0.7456238629855373,0.001976284584980237,0.05015353121801433,1.5950357913970947
0.3,2.0,0,23,4,0.05,0.0,7,0.7281268691706733,0.01282051282051282,0.12077789150460594,1.588653326034546
0.3,2.0,0,23,4,0.05,0.0,8,0.7549788631925037,0.001976284584980237,0.0992835209825998,1.5893874168395996
0.3,2.0,0,23,4,0.05,0.0,9,0.7507033870455975,0.002070393374741201,0.04708290685772774,1.7247626781463623
