mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.4,2.0,0,15,0,0,0,0.6094646421193697,0.05555555555555555,0.3715736040609137,
0.4,2.0,0,15,0,0.01,0.25,1,0.5613989107512857,0.08333333333333333,0.366497461928934,1.8916945457458496
0.4,2.0,0,15,0,0.01,0.25,2,0.6002036834754979,0.026041666666666668,0.20812182741116753,1.8136606216430664
0.4,2.0,0,15,0,0.01,0.25,3,0.5828020956263746,0.10416666666666667,0.3614213197969543,1.7579054832458496
0.4,2.0,0,15,0,0.01,0.25,4,0.6061330158492334,0.041666666666666664,0.36243654822335025,1.6925837993621826
0.4,2.0,0,15,0,0.01,0.25,5,0.6481073154750023,0.125,0.3218274111675127,1.5951993465423584
0.4,2.0,0,15,0,0.01,0.25,6,0.592043918645124,0.1527777777777778,0.3918781725888325,1.5985946655273438
0.4,2.0,0,15,0,0.01,0.25,7,0.5631960930573084,0.125,0.33604060913705586,1.584773302078247
0.4,2.0,0,15,0,0.01,0.25,8,0.575473876737109,0.05555555555555555,0.27715736040609135,1.7159388065338135
0.4,2.0,0,15,0,0.01,0.25,9,0.5291120145900279,0.07291666666666667,0.2436548223350254,1.5929450988769531
0.4,2.0,0,15,0,0.01,0.25,10,0.5967707309573075,0.09722222222222222,0.265989847715736,1.588799238204956
0.4,2.0,0,15,0,0.01,0.25,11,0.5373747314714965,0.1111111111111111,0.32284263959390863,1.5877599716186523
0.4,2.0,0,15,0,0.01,0.25,12,0.6142981056638355,0.07291666666666667,0.27918781725888325,1.5833353996276855
0.4,2.0,0,15,0,0.01,0.25,13,0.5654355808594298,0.06666666666666667,0.3411167512690355,1.5904605388641357
0.4,2.0,0,15,0,0.01,0.25,14,0.5983362519176827,0.07291666666666667,0.29035532994923857,1.5856168270111084
0.4,2.0,0,15,0,0.01,0.25,15,0.5839757103476128,0.05,0.20609137055837565,1.5826847553253174
0.4,2.0,0,15,0,0.01,0.25,16,0.5381933904744454,0.09722222222222222,0.27106598984771574,1.720818281173706
0.4,2.0,0,15,0,0.01,0.25,17,0.5591833840611562,0.07291666666666667,0.35736040609137054,1.6282579898834229
