mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.4,0.01,0,49,0,0,0,0.10146489349446068,0.07058823529411765,0.7097791798107256,
0.4,0.01,0,49,3,0.01,0.75,1,0.10547687337297876,0.08823529411764706,0.889589905362776,1.4366707801818848
0.4,0.01,0,49,3,0.01,0.75,2,0.09941737402187437,0.0915032679738562,0.8191377497371188,1.3502686023712158
0.4,0.01,0,49,3,0.01,0.75,3,0.09720415138900608,0.11764705882352941,0.7213459516298633,1.3434858322143555
0.4,0.01,0,49,3,0.01,0.75,4,0.09708873724707581,0.08235294117647059,0.8349106203995794,1.3405876159667969
0.4,0.01,0,49,3,0.01,0.75,5,0.10945621966492143,0.04411764705882353,0.7097791798107256,1.343780517578125
0.4,0.01,0,49,3,0.01,0.75,6,0.10996150039689769,0.11029411764705882,0.9064143007360673,1.337085247039795
0.4,0.01,0,49,3,0.01,0.75,7,0.10497142446187908,0.11764705882352941,0.8317560462670873,1.346924066543579
0.4,0.01,0,49,3,0.01,0.75,8,0.10763217792585668,0.08088235294117647,0.6593059936908517,1.4956302642822266
0.4,0.01,0,49,3,0.01,0.75,9,0.09833878884380695,0.07058823529411765,0.7402733964248159,1.3429055213928223
0.4,0.01,0,49,3,0.01,0.75,10,0.09418101713889504,0.06372549019607843,0.7823343848580442,1.333160400390625
0.4,0.01,0,49,3,0.01,0.75,11,0.10114326142547181,0.06862745098039216,0.8338590956887487,1.3350951671600342
0.4,0.01,0,49,3,0.01,0.75,12,0.10509424151843166,0.10457516339869281,0.9684542586750788,1.3379034996032715
0.4,0.01,0,49,3,0.01,0.75,13,0.09840426240099819,0.12605042016806722,0.9011566771819137,1.3349196910858154
0.4,0.01,0,49,3,0.01,0.75,14,0.1024326259208271,0.06470588235294118,0.647739221871714,1.3400654792785645
0.4,0.01,0,49,3,0.01,0.75,15,0.10636841707193799,0.14705882352941177,0.8843322818086226,1.47633695602417
0.4,0.01,0,49,3,0.01,0.75,16,0.1064241686006112,0.06417112299465241,0.6961093585699264,1.3339457511901855
0.4,0.01,0,49,3,0.01,0.75,17,0.11196557849934152,0.07647058823529412,0.7676130389064143,1.340212106704712
0.4,0.01,0,49,3,0.01,0.75,18,0.09801837883475699,0.058823529411764705,0.7192429022082019,1.3340866565704346
0.4,0.01,0,49,3,0.01,0.75,19,0.1025132162225433,0.0855614973262032,0.9474237644584648,1.3351271152496338
0.4,0.01,0,49,3,0.01,0.75,20,0.11303488287581746,0.06372549019607843,0.7739221871713985,1.3332297801971436
0.4,0.01,0,49,3,0.01,0.75,21,0.10509560067030568,0.06470588235294118,0.6624605678233438,1.2726993560791016
0.4,0.01,0,49,3,0.01,0.75,22,0.10590209832415366,0.053475935828877004,0.6025236593059937,1.200279712677002
0.4,0.01,0,49,3,0.01,0.75,23,0.10449202109253611,0.058823529411764705,0.8307045215562566,1.3399977684020996
0.4,0.01,0,49,3,0.01,0.75,24,0.12244057386217942,0.0784313725490196,0.7213459516298633,1.210927963256836
0.4,0.01,0,49,3,0.01,0.75,25,0.10404602485548192,0.06372549019607843,0.7655099894847529,1.2029478549957275
0.4,0.01,0,49,3,0.01,0.75,26,0.09925818773855374,0.05429864253393665,0.6919032597266036,1.19215726852417
0.4,0.01,0,49,3,0.01,0.75,27,0.10890250472824621,0.043137254901960784,0.6845425867507886,1.196260929107666
0.4,0.01,0,49,3,0.01,0.75,28,0.11268898329300196,0.08496732026143791,0.7676130389064143,1.196962594985962
