mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.5,1.0,0,39,0,0.0,,0.0,0.3182578787543514,0.0924369747899159,0.6899063475546305,
0.5,1.0,0,39,1,0.01,0.75,1.0,0.2945995210967666,0.1529411764705882,0.8251821019771072,1.391193389892578
0.5,1.0,0,39,1,0.01,0.75,2.0,0.3084715703575408,0.0808823529411764,0.708636836628512,1.2959532737731934
0.5,1.0,0,39,1,0.01,0.75,3.0,0.3332826232511488,0.1372549019607843,0.7898022892819979,1.3010039329528809
0.5,1.0,0,39,1,0.01,0.75,4.0,0.3346599552639934,0.1008403361344537,0.7159209157127991,1.3095698356628418
0.5,1.0,0,39,1,0.01,0.75,5.0,0.3353858035497022,0.1274509803921568,0.7471383975026015,1.309647560119629
0.5,1.0,0,39,1,0.01,0.75,6.0,0.2765878627548667,0.1274509803921568,0.7814776274713839,1.299968719482422
0.5,1.0,0,39,1,0.01,0.75,7.0,0.283817800509024,0.1008403361344537,0.7148803329864725,1.3059954643249512
0.5,1.0,0,39,1,0.01,0.75,8.0,0.2970776306020058,0.1260504201680672,0.8761706555671176,1.4488465785980225
0.5,1.0,0,39,1,0.01,0.75,9.0,0.3659235781723091,0.088235294117647,0.7200832466181062,1.2987403869628906
0.5,1.0,0,39,1,0.01,0.75,10.0,0.3061219120401243,0.0705882352941176,0.7502601456815817,1.294243335723877
0.5,1.0,0,39,1,0.01,0.75,11.0,0.3412138741651275,0.1274509803921568,0.7325702393340271,1.2982125282287598
0.5,1.0,0,39,1,0.01,0.75,12.0,0.3210642157759853,0.188235294117647,0.9209157127991676,1.2950809001922607
0.5,1.0,0,39,1,0.01,0.75,13.0,0.3322517923933071,0.1764705882352941,0.9105098855359,1.2987823486328125
0.5,1.0,0,39,1,0.01,0.75,14.0,0.3321356802900296,0.0647058823529411,0.668054110301769,1.3065314292907717
0.5,1.0,0,39,1,0.01,0.75,15.0,0.3509279494387138,0.0641711229946524,0.7242455775234131,1.4244036674499512
0.5,1.0,0,39,1,0.01,0.75,16.0,0.2856665942107198,0.0588235294117647,0.7513007284079084,1.3060874938964844
0.5,1.0,0,39,1,0.01,0.75,17.0,0.3337215957139925,0.1008403361344537,0.7356919875130072,1.302377462387085
0.5,1.0,0,39,1,0.01,0.75,18.0,0.3055171896583144,0.1176470588235294,0.8272632674297606,1.314143419265747
0.5,1.0,0,39,1,0.01,0.75,19.0,0.3052131138783661,0.1470588235294117,0.8928199791883454,1.299760818481445
0.5,1.0,0,39,1,0.01,0.75,20.0,0.3269513254093342,0.1470588235294117,0.8709677419354839,1.291856050491333
0.5,1.0,0,39,1,0.01,0.75,21.0,0.310716751758771,0.1470588235294117,0.899063475546306,1.2901580333709717
0.5,1.0,0,39,1,0.01,0.75,22.0,0.3510878888755977,0.1092436974789916,0.7960457856399584,1.4408795833587646
0.5,1.0,0,39,1,0.01,0.75,23.0,0.3040599974702152,0.0955882352941176,0.8189386056191468,1.2998709678649902
0.5,1.0,0,39,1,0.01,0.75,24.0,0.3122084526219837,0.088235294117647,0.6493236212278877,1.306419849395752
0.5,1.0,0,39,1,0.01,0.75,25.0,0.3306012666127803,0.1176470588235294,0.8366285119667014,1.3063452243804932
0.5,1.0,0,39,1,0.01,0.75,26.0,0.3103753592746945,0.0784313725490196,0.6430801248699272,1.3029382228851318
0.5,1.0,0,39,1,0.01,0.75,27.0,0.3449761225134879,0.0915032679738562,0.8251821019771072,1.3064897060394287
0.5,1.0,0,39,1,0.01,0.75,28.0,0.3197718777875696,0.0955882352941176,0.7783558792924038,1.2997267246246338
0.5,1.0,0,39,1,0.01,0.75,29.0,0.3229627489078533,0.134453781512605,0.9261186264308012,1.2963898181915283
0.5,1.0,0,39,1,0.01,0.75,30.0,0.3003365441241317,0.1176470588235294,0.8616024973985432,1.4417409896850586
0.5,1.0,0,39,1,0.01,0.75,31.0,0.2966589841676052,0.0980392156862745,0.8751300728407908,1.309443712234497
0.5,1.0,0,39,1,0.01,0.75,32.0,0.3673370506505595,0.0849673202614379,0.7575442247658689,1.3082473278045654
0.5,1.0,0,39,1,0.01,0.75,33.0,0.3226163151400502,0.1008403361344537,0.6867845993756504,1.307605266571045
0.5,1.0,0,39,1,0.01,0.75,34.0,0.3272518285649476,0.0823529411764705,0.7960457856399584,1.3066074848175049
0.5,1.0,0,39,1,0.01,0.75,35.0,0.3512686919805706,0.1274509803921568,0.7637877211238293,1.3011481761932373
0.5,1.0,0,39,1,0.01,0.75,36.0,0.3250026571765463,0.0404411764705882,0.644120707596254,1.306999921798706
0.5,1.0,0,39,1,0.01,0.75,37.0,0.3251080178090076,0.0497737556561085,0.6586888657648283,1.445976734161377
0.5,1.0,0,39,1,0.01,0.75,38.0,0.2948540510192359,0.1092436974789916,0.7950052029136316,1.2815189361572266
0.5,1.0,0,39,1,0.01,0.75,39.0,0.3474699330170605,0.1666666666666666,1.0,1.3013412952423096
0.5,1.0,0,39,1,0.01,0.75,40.0,0.3314835775291009,0.1176470588235294,0.8074921956295525,1.3039042949676514
0.5,1.0,0,39,1,0.01,0.75,41.0,0.3306947492017464,0.1274509803921568,0.7700312174817898,1.296830415725708
0.5,1.0,0,39,1,0.01,0.75,42.0,0.2836926058787272,0.134453781512605,0.9531737773152964,1.2990307807922363
0.5,1.0,0,39,1,0.01,0.75,43.0,0.3040961036872995,0.0915032679738562,0.841831425598335,1.3033781051635742
0.5,1.0,0,39,1,0.01,0.75,44.0,0.299857640912587,0.1470588235294117,0.9105098855359,1.446699142456055
0.5,1.0,0,39,1,0.01,0.75,45.0,0.317672381490749,0.1470588235294117,0.8813735691987513,1.3008182048797607
0.5,1.0,0,39,1,0.01,0.75,46.0,0.315272700508854,0.088235294117647,0.6576482830385015,1.30418062210083
0.5,1.0,0,39,1,0.01,0.75,47.0,0.31378220053682,0.0849673202614379,0.7117585848074922,1.312532663345337
0.5,1.0,0,39,1,0.01,0.75,48.0,0.3048619622140864,0.1260504201680672,0.8980228928199792,1.3048114776611328
0.5,1.0,0,39,1,0.01,0.75,49.0,0.3380877372479119,0.1092436974789916,0.7034339229968782,1.310412883758545
0.5,1.0,0,39,1,0.01,0.75,50.0,0.329652951462738,0.2058823529411764,0.8231009365244537,1.299565076828003
0.5,1.0,0,39,1,0.01,1.0,1.0,0.3110681695923215,0.1274509803921568,0.7513007284079084,1.3107333183288574
0.5,1.0,0,39,1,0.01,1.0,2.0,0.3381334681280034,0.0764705882352941,0.7637877211238293,1.4552960395812988
0.5,1.0,0,39,1,0.01,1.0,3.0,0.2841076012510271,0.0705882352941176,0.6951092611862643,1.3087282180786133
0.5,1.0,0,39,1,0.01,1.0,4.0,0.3225366910543621,0.0855614973262032,0.9458896982310092,1.303361177444458
0.5,1.0,0,39,1,0.01,1.0,5.0,0.3548293213223943,0.0764705882352941,0.7107180020811654,1.3151640892028809
0.5,1.0,0,39,1,0.01,1.0,6.0,0.3042343883987292,0.1274509803921568,0.8168574401664932,1.292985916137695
0.5,1.0,0,39,1,0.01,1.0,7.0,0.2815806614497805,0.1411764705882353,0.6586888657648283,1.3039677143096924
