mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.1,0.01,0,63,0,0,,1,0.08298592536285239,0.0,0.9775880469583778,
0.1,0.01,0,63,0,0,,2,0.14696874617886568,0.0,0.7801494130202775,
0.1,0.01,0,63,0,0,,3,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,4,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,5,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,6,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,7,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,8,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,9,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,10,0.14366429303555048,0.02702702702702703,1.0,
0.1,0.01,0,63,0,0,,11,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,12,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,13,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,14,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,15,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,16,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,17,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,18,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,19,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,20,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,21,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,22,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,23,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,24,0.14692276883548686,0.0,0.7886872998932765,
0.1,0.01,0,63,0,0,,25,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,26,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,27,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,28,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,29,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,30,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,31,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,32,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,33,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,34,0.08929747261195466,0.0,0.9658484525080042,
0.1,0.01,0,63,0,0,,35,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,36,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,37,0.12911472037427213,0.01694915254237288,1.0,
0.1,0.01,0,63,0,0,,38,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,39,0.12761559328299377,0.02040816326530612,1.0,
0.1,0.01,0,63,0,0,,40,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,41,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,42,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,43,0.14970276497695853,0.0,0.8591248665955176,
0.1,0.01,0,63,0,0,,44,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,45,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,46,0.1257579800988848,0.02127659574468085,1.0,
0.1,0.01,0,63,0,0,,47,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,48,0.13847426970986973,0.016666666666666666,1.0,
0.1,0.01,0,63,0,0,,49,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,0,0,,50,0.07939399999999987,0.0,1.0,
0.1,0.01,0,63,8,0.01,0.5,1,0.12763481486273737,0.018518518518518517,1.0,2.04927659034729
0.1,0.01,0,63,8,0.01,0.5,2,0.07939399999999987,0.0,1.0,2.156662940979004
0.1,0.01,0,63,8,0.01,0.5,3,0.07939399999999987,0.0,1.0,2.305025577545166
0.1,0.01,0,63,8,0.01,0.5,4,0.12915548420517162,0.024390243902439025,1.0,2.063746929168701
0.1,0.01,0,63,8,0.01,0.5,5,0.07939399999999987,0.0,1.0,2.1972458362579346
0.1,0.01,0,63,8,0.01,0.5,6,0.07939399999999987,0.0,1.0,2.034815788269043
0.1,0.01,0,63,8,0.01,0.5,7,0.07939399999999987,0.0,1.0,2.2784905433654785
0.1,0.01,0,63,8,0.01,0.5,8,0.20843233376654263,0.008928571428571428,0.928495197438634,2.0591840744018555
0.1,0.01,0,63,8,0.01,0.5,9,0.07939399999999987,0.0,1.0,2.179659843444824
0.1,0.01,0,63,8,0.01,0.5,10,0.07939399999999987,0.0,1.0,2.3553547859191895
0.1,0.01,0,63,8,0.01,0.5,11,0.07939399999999987,0.0,1.0,2.0853562355041504
0.1,0.01,0,63,8,0.01,0.5,12,0.13411300771315834,0.0,0.8858057630736392,2.2215466499328613
0.1,0.01,0,63,8,0.01,0.5,13,0.1469283020277082,0.0,0.8697972251867663,2.0264716148376465
0.1,0.01,0,63,8,0.01,0.5,14,0.07939399999999987,0.0,1.0,2.274618625640869
0.1,0.01,0,63,8,0.01,0.5,15,0.07939399999999987,0.0,1.0,2.049984931945801
0.1,0.01,0,63,8,0.01,0.5,16,0.1142105082417582,0.0196078431372549,1.0,2.1901073455810547
0.1,0.01,0,63,8,0.01,0.5,17,0.07939399999999987,0.0,1.0,2.1650662422180176
0.1,0.01,0,63,8,0.01,0.5,18,0.07939399999999987,0.0,1.0,2.3047800064086914
0.1,0.01,0,63,8,0.01,0.5,19,0.07939399999999987,0.0,1.0,2.2278432846069336
0.1,0.01,0,63,8,0.01,0.5,20,0.07939399999999987,0.0,1.0,2.020643472671509
0.1,0.01,0,63,8,0.01,0.5,21,0.07939399999999987,0.0,1.0,2.257981538772583
0.1,0.01,0,63,8,0.01,0.5,22,0.15268013422571372,0.0,0.9135538954108858,2.017956018447876
0.1,0.01,0,63,8,0.01,0.5,23,0.07939399999999987,0.0,1.0,2.2493233680725098
0.1,0.01,0,63,8,0.01,0.5,24,0.11739606872001215,0.016129032258064516,1.0,2.1094770431518555
0.1,0.01,0,63,8,0.01,0.5,25,0.07939399999999987,0.0,1.0,2.123354911804199
0.1,0.01,0,63,8,0.01,0.5,26,0.07939399999999987,0.0,1.0,2.3845107555389404
0.1,0.01,0,63,8,0.01,0.5,27,0.07939399999999987,0.0,1.0,2.055227279663086
0.1,0.01,0,63,8,0.01,0.5,28,0.07939399999999987,0.0,1.0,2.235940456390381
0.1,0.01,0,63,8,0.01,0.5,29,0.1442508474576272,0.016666666666666666,1.0,1.9890437126159668
0.1,0.01,0,63,8,0.01,0.5,30,0.11792343038304846,0.017241379310344827,1.0,2.271479368209839
0.1,0.01,0,63,8,0.01,0.5,31,0.07939399999999987,0.0,1.0,2.0752320289611816
0.1,0.01,0,63,8,0.01,0.5,32,0.07939399999999987,0.0,1.0,2.177722454071045
0.1,0.01,0,63,8,0.01,0.5,33,0.07939399999999987,0.0,1.0,2.164175033569336
0.1,0.01,0,63,8,0.01,0.5,34,0.07939399999999987,0.0,1.0,2.2773678302764893
0.1,0.01,0,63,8,0.01,0.5,35,0.07939399999999987,0.0,1.0,2.1851775646209717
0.1,0.01,0,63,8,0.01,0.5,36,0.07939399999999987,0.0,1.0,2.0187485218048096
0.1,0.01,0,63,8,0.01,0.5,37,0.07939399999999987,0.0,1.0,2.2757389545440674
0.1,0.01,0,63,8,0.01,0.5,38,0.07939399999999987,0.0,1.0,2.029193878173828
0.1,0.01,0,63,8,0.01,0.5,39,0.07939399999999987,0.0,1.0,2.213407516479492
0.1,0.01,0,63,8,0.01,0.5,40,0.07939399999999987,0.0,1.0,2.129620313644409
0.1,0.01,0,63,8,0.01,0.5,41,0.07939399999999987,0.0,1.0,2.278642416000366
0.1,0.01,0,63,8,0.01,0.5,42,0.07939399999999987,0.0,1.0,2.2798001766204834
0.1,0.01,0,63,8,0.01,0.5,43,0.07939399999999987,0.0,1.0,2.146444320678711
0.1,0.01,0,63,8,0.01,0.5,44,0.07939399999999987,0.0,1.0,2.3984506130218506
0.1,0.01,0,63,8,0.01,0.5,45,0.07939399999999987,0.0,1.0,2.073312282562256
0.1,0.01,0,63,8,0.01,0.5,46,0.13058932876538518,0.0,0.8420490928495198,2.299999713897705
