mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.3,1.0,0,66,0,0,,1,0.20828083101306474,0.0,0.860813704496788,
0.3,1.0,0,66,0,0,,2,0.15383090277777775,0.015384615384615385,1.0,
0.3,1.0,0,66,0,0,,3,0.22855536771843327,0.0,0.6381156316916489,
0.3,1.0,0,66,0,0,,4,0.3886948440705685,0.0,0.10385438972162742,
0.3,1.0,0,66,0,0,,5,0.1591693404634579,0.015384615384615385,1.0,
0.3,1.0,0,66,0,0,,6,0.45698149926685494,0.0,0.19271948608137046,
0.3,1.0,0,66,0,0,,7,0.23662637659577565,0.0,0.36509635974304067,
0.3,1.0,0,66,0,0,,8,0.29694908682079374,0.0,0.10385438972162742,
0.3,1.0,0,66,0,0,,9,0.23290270156157034,0.0,0.10385438972162742,
0.3,1.0,0,66,0,0,,10,0.22664074695734868,0.0,0.6884368308351178,
0.3,1.0,0,66,0,0,,11,0.3129373108384715,0.0,0.10385438972162742,
0.3,1.0,0,66,0,0,,12,0.5631708022208781,0.0,0.10492505353319058,
0.3,1.0,0,66,0,0,,13,0.24133480349143305,0.0,0.3222698072805139,
0.3,1.0,0,66,0,0,,14,0.31149037762547144,0.0,0.2698072805139186,
0.3,1.0,0,66,0,0,,15,0.1666035474147925,0.0,0.9014989293361885,
0.3,1.0,0,66,0,0,,16,0.30992838676157053,0.0,0.10385438972162742,
0.3,1.0,0,66,0,0,,17,0.07939399999999984,0.0,1.0,
0.3,1.0,0,66,0,0,,18,0.2434121302643606,0.0,0.5792291220556746,
0.3,1.0,0,66,0,0,,19,0.1415889243876464,0.0,0.9346895074946466,
0.3,1.0,0,66,0,0,,20,0.23758809500218206,0.0,0.3222698072805139,
0.3,1.0,0,66,0,0,,21,0.3798828797247633,0.0,0.45289079229122053,
0.3,1.0,0,66,0,0,,22,0.23559354942169294,0.0,0.2987152034261242,
0.3,1.0,0,66,0,0,,23,0.3135332371569699,0.009259259259259259,0.683083511777302,
0.3,1.0,0,66,0,0,,24,0.21893604060913702,0.0,0.512847965738758,
0.3,1.0,0,66,0,0,,25,0.5590465480415494,0.0,0.24839400428265523,
0.3,1.0,0,66,0,0,,26,0.3184170628557013,0.0,0.3372591006423983,
0.3,1.0,0,66,0,0,,27,0.32772998849589885,0.0,0.31905781584582443,
0.3,1.0,0,66,0,0,,28,0.46041701012905906,0.003076923076923077,0.430406852248394,
0.3,1.0,0,66,0,0,,29,0.36492377992394937,0.0,0.19271948608137046,
0.3,1.0,0,66,0,0,,30,0.25129849069415716,0.0,0.6145610278372591,
0.3,1.0,0,66,0,0,,31,0.393773292899005,0.0,0.0,
0.3,1.0,0,66,0,0,,32,0.15562827206016572,0.0,0.5278372591006424,
0.3,1.0,0,66,0,0,,33,0.15683843747726772,0.015384615384615385,1.0,
0.3,1.0,0,66,0,0,,34,0.23728050403225803,0.0,0.7591006423982869,
