network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,1,0.7519482500832982,0.0,0.0,
BitcoinTransactions,1,428,0,0,,2,0.5366088273574204,0.00016728002676480428,0.37359098228663445,
BitcoinTransactions,1,428,0,0,,3,0.643262107168394,0.00036114120621162876,0.26757917337627485,
BitcoinTransactions,1,428,0,0,,4,0.7656382601471827,0.0,0.001610305958132045,
BitcoinTransactions,1,428,0,0,,5,0.6237944292156389,0.0,0.0893719806763285,
BitcoinTransactions,1,428,0,0,,6,0.8025126148839764,0.0,0.0014761137949543747,
BitcoinTransactions,1,428,0,0,,7,0.6346354043198528,0.0,0.1529790660225443,
BitcoinTransactions,1,428,0,0,,8,0.6460638818942849,0.0,0.0006709608158883522,
BitcoinTransactions,1,428,0,0,,9,0.5950513808143542,0.0001801477211313277,0.27603327965646807,
BitcoinTransactions,1,428,0,0,,10,0.73919752702345,0.0,0.07836822329575953,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.07915636277981941,0.0005165289256198347,0.9974503488996243,4.36323356628418
BitcoinTransactions,1,428,4,0.01,0.5,2,0.06293874724698424,0.0006767426122264832,0.9958400429414922,3.290177345275879
BitcoinTransactions,1,428,4,0.01,0.5,3,0.07530493539419074,0.0009351620947630922,0.9985238862050456,3.191087245941162
BitcoinTransactions,1,428,4,0.01,0.5,4,0.07270021393157919,0.0008250825082508251,0.9872517444981214,3.1620168685913086
BitcoinTransactions,1,428,4,0.01,0.5,5,0.07109619926321636,0.0006985679357317499,0.9958400429414922,3.2946088314056396
BitcoinTransactions,1,428,4,0.01,0.5,6,0.071715527483909,0.000791765637371338,0.94296833064949,3.3345446586608887
BitcoinTransactions,1,428,4,0.01,0.5,7,0.07665115333756631,0.0012422360248447205,0.9985238862050456,3.1605403423309326
BitcoinTransactions,1,428,4,0.01,0.5,8,0.07711710746215163,0.000819672131147541,0.9871175523349437,3.1271612644195557
BitcoinTransactions,1,428,4,0.01,0.5,9,0.07705005956639689,0.0003924646781789639,0.9919484702093397,3.129709005355835
BitcoinTransactions,1,428,4,0.01,0.5,10,0.10554432914255399,0.002586206896551724,0.999597423510467,3.0411953926086426
BitcoinTransactions,1,428,22,0.05,0.5,1,0.06411341785643276,0.0005560704355885078,0.9950348899624262,3.4850502014160156
BitcoinTransactions,1,428,22,0.05,0.5,2,0.06445389920958482,0.0005486968449931413,0.9845679012345679,3.227792739868164
BitcoinTransactions,1,428,22,0.05,0.5,3,0.06625748431563033,0.0004219409282700422,0.9946323134728932,3.2198097705841064
BitcoinTransactions,1,428,22,0.05,0.5,4,0.07822377868489985,0.0004830917874396135,0.9856414385399893,3.129788398742676
BitcoinTransactions,1,428,22,0.05,0.5,5,0.08356194670264792,0.0008312551953449709,0.9989264626945786,3.108989715576172
BitcoinTransactions,1,428,22,0.05,0.5,6,0.08324617780482949,0.0006668148477439431,0.9926194310252281,3.073472023010254
BitcoinTransactions,1,428,22,0.05,0.5,7,0.0717994987697546,0.0006830601092896175,0.9928878153515834,3.2502708435058594
BitcoinTransactions,1,428,22,0.05,0.5,8,0.0771476739734532,0.0012285012285012285,0.988996242619431,3.164705753326416
BitcoinTransactions,1,428,22,0.05,0.5,9,0.06641655758302255,0.0006067961165048543,0.9841653247450349,3.3664796352386475
BitcoinTransactions,1,428,22,0.05,0.5,10,0.06584545704593735,0.0005473453749315818,0.9681964573268921,3.407644748687744
BitcoinTransactions,1,428,43,0.1,0.5,1,0.08480679644073137,0.0008960573476702509,0.9781266774020397,3.112947702407837
BitcoinTransactions,1,428,43,0.1,0.5,2,0.08057545391369542,0.0007309941520467836,0.9681964573268921,3.100170373916626
BitcoinTransactions,1,428,43,0.1,0.5,3,0.06412860824845872,0.0004901960784313725,0.9912775093934514,3.3104851245880127
BitcoinTransactions,1,428,43,0.1,0.5,4,0.07363022087245782,0.00029192818566632606,0.9769189479334407,3.2744147777557373
BitcoinTransactions,1,428,43,0.1,0.5,5,0.08423937315347783,0.0020304568527918783,0.9971819645732689,3.0977392196655273
BitcoinTransactions,1,428,43,0.1,0.5,6,0.07759776051678759,0.0006369426751592356,0.9907407407407407,3.129027843475342
BitcoinTransactions,1,428,43,0.1,0.5,7,0.09908021188095266,0.002347417840375587,0.9691358024691358,3.0040717124938965
BitcoinTransactions,1,428,43,0.1,0.5,8,0.09629747377947348,0.001984126984126984,0.9975845410628019,2.9395434856414795
BitcoinTransactions,1,428,43,0.1,0.5,9,0.08796680483387163,0.002,0.96658615136876,2.913484573364258
BitcoinTransactions,1,428,43,0.1,0.5,10,0.09738666445903288,0.0005384063173007897,0.9975845410628019,3.049835443496704
BitcoinTransactions,1,428,64,0.15,0.5,1,0.07056342585902604,0.0006578947368421052,0.9974503488996243,3.190464496612549
BitcoinTransactions,1,428,64,0.15,0.5,2,0.07902108222023574,0.0014064697609001407,0.9520933977455717,3.134570837020874
BitcoinTransactions,1,428,64,0.15,0.5,3,0.07760872996496516,0.0014258555133079848,0.985373054213634,3.1826651096343994
BitcoinTransactions,1,428,64,0.15,0.5,4,0.08363527134098207,0.0009101941747572816,0.9943639291465378,3.203566551208496
BitcoinTransactions,1,428,64,0.15,0.5,5,0.06225603359689205,0.00017047391749062393,0.9749060654857756,3.278548240661621
BitcoinTransactions,1,428,64,0.15,0.5,6,0.09141519546168306,0.002326934264107039,0.9950348899624262,3.0902345180511475
BitcoinTransactions,1,428,64,0.15,0.5,7,0.0808754692330359,0.0005076142131979696,0.9963768115942029,3.154212236404419
BitcoinTransactions,1,428,64,0.15,0.5,8,0.07226124542543935,0.0005253480430785396,0.9926194310252281,3.2946391105651855
BitcoinTransactions,1,428,64,0.15,0.5,9,0.0679163610714836,0.0005186721991701245,0.9722222222222222,3.1908113956451416
BitcoinTransactions,1,428,64,0.15,0.5,10,0.06678408810950259,0.0005291005291005291,0.9970477724100912,3.285813808441162
BitcoinTransactions,1,428,86,0.2,0.5,1,0.07750737524206261,0.0006313131313131314,0.9927536231884058,3.009504795074463
BitcoinTransactions,1,428,86,0.2,0.5,2,0.0677824169440294,0.0006509004122369278,0.9923510466988728,3.279433250427246
BitcoinTransactions,1,428,86,0.2,0.5,3,0.0659173350540563,0.00015625,0.9681964573268921,3.292438507080078
BitcoinTransactions,1,428,86,0.2,0.5,4,0.10489677144220186,0.003527336860670194,0.9516908212560387,3.014934778213501
BitcoinTransactions,1,428,86,0.2,0.5,5,0.06682742993946662,0.00040257648953301127,0.988593666129898,3.2638399600982666
BitcoinTransactions,1,428,86,0.2,0.5,6,0.08004556604714584,0.0006082725060827251,0.9838969404186796,3.1059086322784424
BitcoinTransactions,1,428,86,0.2,0.5,7,0.06912700494518484,0.0010256410256410256,0.9939613526570048,3.329390048980713
BitcoinTransactions,1,428,86,0.2,0.5,8,0.09392666384047384,0.0010869565217391304,0.9974503488996243,2.970383644104004
BitcoinTransactions,1,428,86,0.2,0.5,9,0.0658256353718325,0.0006009615384615385,0.9959742351046699,3.3084640502929688
BitcoinTransactions,1,428,86,0.2,0.5,10,0.07613547429951223,0.000574052812858783,0.9920826623725174,3.152688503265381
BitcoinTransactions,1,428,108,0.25,0.5,1,0.0625444675322082,0.00036893562073418186,0.9820182501341922,3.3894965648651123
BitcoinTransactions,1,428,108,0.25,0.5,2,0.09469116825878077,0.0017582417582417582,0.9957058507783145,3.078441619873047
BitcoinTransactions,1,428,108,0.25,0.5,3,0.06817826701482041,0.0002620545073375262,0.9491411701556629,3.353447198867798
BitcoinTransactions,1,428,108,0.25,0.5,4,0.09506452649116837,0.0031397174254317113,0.9985238862050456,3.0437960624694824
BitcoinTransactions,1,428,108,0.25,0.5,5,0.08626703016495364,0.0007122507122507123,0.9851046698872786,3.0370399951934814
BitcoinTransactions,1,428,108,0.25,0.5,6,0.06608733427108066,0.000639488409272582,0.9700751476113795,3.322518825531006
BitcoinTransactions,1,428,108,0.25,0.5,7,0.08008460910886762,0.0009293680297397769,0.9965110037573806,3.124534845352173
BitcoinTransactions,1,428,108,0.25,0.5,8,0.10487488411628992,0.0021853146853146855,0.9986580783682233,3.0425796508789062
BitcoinTransactions,1,428,108,0.25,0.5,9,0.06749185128828539,0.0003228410008071025,0.9927536231884058,3.3353824615478516
BitcoinTransactions,1,428,108,0.25,0.5,10,0.07878635326960526,0.0007047216349541931,0.9973161567364466,3.0629944801330566
BitcoinTransactions,1,428,129,0.3,0.5,1,0.08656440866843211,0.0027266530334014998,0.999194847020934,3.092278480529785
BitcoinTransactions,1,428,129,0.3,0.5,2,0.07891394717756091,0.0007351139426611125,0.9745034889962426,3.1509194374084473
BitcoinTransactions,1,428,129,0.3,0.5,3,0.09487640298081987,0.0023148148148148147,0.9989264626945786,3.1018552780151367
BitcoinTransactions,1,428,129,0.3,0.5,4,0.08754992156881047,0.0009502692429521698,0.9943639291465378,3.0388431549072266
BitcoinTransactions,1,428,129,0.3,0.5,5,0.06841742588288519,0.001004016064257028,0.998792270531401,3.310549020767212
BitcoinTransactions,1,428,129,0.3,0.5,6,0.06645555612549314,0.0003698224852071006,0.990606548577563,3.297034502029419
BitcoinTransactions,1,428,129,0.3,0.5,7,0.08173296503891979,0.0008576329331046312,0.9883252818035426,2.9406280517578125
BitcoinTransactions,1,428,129,0.3,0.5,8,0.10196414355746601,0.0009182736455463728,0.9675254965110037,3.00184965133667
BitcoinTransactions,1,428,129,0.3,0.5,9,0.08888048554104251,0.0011851851851851852,0.987385936661299,3.095423698425293
BitcoinTransactions,1,428,129,0.3,0.5,10,0.06595727020266427,0.0003996802557953637,0.9786634460547504,3.3340983390808105
BitcoinTransactions,1,428,150,0.35,0.5,1,0.07850926902058207,0.0007220216606498195,0.9961084272678475,3.1917731761932373
BitcoinTransactions,1,428,150,0.35,0.5,2,0.09242315016941352,0.0017094017094017094,0.9993290391841116,3.061492919921875
BitcoinTransactions,1,428,150,0.35,0.5,3,0.0946731036714435,0.0007010983874737088,0.9727589908749329,2.953115463256836
BitcoinTransactions,1,428,150,0.35,0.5,4,0.07031013092621935,0.0009293680297397769,0.9625603864734299,3.123990535736084
BitcoinTransactions,1,428,150,0.35,0.5,5,0.08081736646695033,0.000641025641025641,0.9971819645732689,3.1665446758270264
BitcoinTransactions,1,428,150,0.35,0.5,6,0.0928724336868364,0.0008875739644970414,0.9957058507783145,3.104989767074585
BitcoinTransactions,1,428,150,0.35,0.5,7,0.06714108682798559,0.0005798221878623889,0.9842995169082126,3.133425712585449
