network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,1,305,0,0,,1,0.15366226942887112,0.001122334455667789,0.9428571428571428,
Wiki,1,305,0,0,,2,0.09382076303873303,0.0,0.9995238095238095,
Wiki,1,305,0,0,,3,0.12334084721559371,0.0,0.9576190476190476,
Wiki,1,305,0,0,,4,0.10881627159397719,0.0,0.9695238095238096,
Wiki,1,305,0,0,,5,0.11669361276704462,0.004219409282700422,1.0,
Wiki,1,305,0,0,,6,0.11480172790481294,0.0,0.9252380952380952,
Wiki,1,305,0,0,,7,0.12379737568205955,0.0,0.9571428571428572,
Wiki,1,305,0,0,,8,0.19644536701440846,0.0019083969465648854,0.9428571428571428,
Wiki,1,305,0,0,,9,0.09382076303873303,0.0,0.9995238095238095,
Wiki,1,305,0,0,,10,0.15631096094807212,0.0015503875968992248,0.9514285714285714,
Wiki,1,305,0,0,,11,0.18398200489179578,0.0014652014652014652,0.8647619047619047,
Wiki,1,305,0,0,,12,0.09382076303873303,0.0,0.9995238095238095,
Wiki,1,305,0,0,,13,0.17579338914250445,0.0006968641114982578,0.9166666666666666,
Wiki,1,305,0,0,,14,0.10318091541984266,0.0,0.9757142857142858,
Wiki,1,305,0,0,,15,0.14841134943016834,0.0018796992481203006,0.9576190476190476,
Wiki,1,305,0,0,,16,0.12338619527087914,0.0,0.9571428571428572,
Wiki,1,305,0,0,,17,0.1044121833338162,0.0,0.9395238095238095,
Wiki,1,305,0,0,,18,0.11115191358599519,0.0,0.9185714285714286,
Wiki,1,305,0,0,,19,0.12379737568205955,0.0,0.9571428571428572,
Wiki,1,305,0,0,,20,0.09336629769062198,0.0,1.0,
Wiki,1,305,0,0,,21,0.09382076303873303,0.0,0.9995238095238095,
Wiki,1,305,0,0,,22,0.12115762415554301,0.0,0.959047619047619,
Wiki,1,305,0,0,,23,0.12379737568205955,0.0,0.9571428571428572,
Wiki,1,305,0,0,,24,0.12334084721559371,0.0,0.9576190476190476,
Wiki,1,305,0,0,,25,0.09631140059849966,0.0,0.9866666666666667,
Wiki,1,305,0,0,,26,0.10836049076274822,0.0,0.97,
Wiki,1,305,0,0,,27,0.128159677959589,0.0,0.9257142857142857,
Wiki,1,305,0,0,,28,0.09509764866218942,0.0,0.9714285714285714,
Wiki,1,305,0,0,,29,0.1103303322204649,0.0,0.9680952380952381,
Wiki,1,305,0,0,,30,0.09336629769062198,0.0,1.0,
Wiki,1,305,0,0,,31,0.09382076303873303,0.0,0.9995238095238095,
Wiki,1,305,0,0,,32,0.12914016977492385,0.0,0.8690476190476191,
Wiki,1,305,0,0,,33,0.10145687247996622,0.0,0.9780952380952381,
Wiki,1,305,0,0,,34,0.09382076303873303,0.0,0.9995238095238095,
Wiki,1,305,0,0,,35,0.09590384726521578,0.0,0.9876190476190476,
Wiki,1,305,0,0,,36,0.1258379740131564,0.0,0.9347619047619048,
Wiki,1,305,0,0,,37,0.1402856289025151,0.001177856301531213,0.9395238095238095,
Wiki,1,305,0,0,,38,0.09382076303873303,0.0,0.9995238095238095,
Wiki,1,305,0,0,,39,0.12334084721559371,0.0,0.9576190476190476,
Wiki,1,305,0,0,,40,0.10318091541984266,0.0,0.9757142857142858,
Wiki,1,305,0,0,,41,0.0992174949414577,0.0,0.9795238095238096,
Wiki,1,305,0,0,,42,0.11078621986474864,0.0,0.9676190476190476,
Wiki,1,305,0,0,,43,0.09336629769062198,0.0,1.0,
