network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,1,0.5903462129807132,0.0,0.000939345142243693,
BitcoinTransactions,1,428,0,0,,2,0.606788514729701,0.0,0.19001610305958133,
BitcoinTransactions,1,428,0,0,,3,0.6352590185013841,0.00016728002676480428,0.2518786902844874,
BitcoinTransactions,1,428,0,0,,4,0.6066564741934487,0.0001801477211313277,0.29159957058507785,
BitcoinTransactions,1,428,0,0,,5,0.6913345457461504,0.0,0.0026838432635534087,
BitcoinTransactions,1,428,0,0,,6,0.5677723279076796,0.0,0.00912506709608159,
BitcoinTransactions,1,428,0,0,,7,0.5675603048089368,0.0,0.11191626409017713,
BitcoinTransactions,1,428,0,0,,8,0.607312882195949,0.0,0.07085346215780998,
BitcoinTransactions,1,428,0,0,,9,0.7726781176227708,0.0,0.00040257648953301127,
BitcoinTransactions,1,428,0,0,,10,0.6155955724483866,0.0,0.0077831454643048845,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.08772311946386827,0.0006944444444444445,0.9962426194310252,4.255747556686401
BitcoinTransactions,1,428,4,0.01,0.5,2,0.08270212297538308,0.0007177033492822966,0.998792270531401,3.4771645069122314
BitcoinTransactions,1,428,4,0.01,0.5,3,0.06026991037248449,0.0001827151470856934,0.9734299516908212,3.6655423641204834
BitcoinTransactions,1,428,4,0.01,0.5,4,0.06758053208361225,0.00019036740909956216,0.9837627482555019,3.4154341220855713
BitcoinTransactions,1,428,4,0.01,0.5,5,0.06855234549424868,0.00018946570670708602,0.9912775093934514,3.480304718017578
BitcoinTransactions,1,428,4,0.01,0.5,6,0.061243711321923675,0.00014775413711583924,0.9856414385399893,3.809687614440918
BitcoinTransactions,1,428,4,0.01,0.5,7,0.08164896087066857,0.0011883541295306002,0.9993290391841116,3.4677236080169678
BitcoinTransactions,1,428,4,0.01,0.5,8,0.06877666662659612,0.000925925925925926,0.9773215244229737,3.5042264461517334
BitcoinTransactions,1,428,4,0.01,0.5,9,0.07525170462717366,0.000645682001614205,0.9954374664519592,3.4968793392181396
BitcoinTransactions,1,428,4,0.01,0.5,10,0.08303765852635683,0.0005574136008918618,0.9904723564143854,3.573845863342285
BitcoinTransactions,1,428,22,0.05,0.5,1,0.0727521244617349,0.000683526999316473,0.9920826623725174,3.6369845867156982
BitcoinTransactions,1,428,22,0.05,0.5,2,0.06844783962047055,0.0009886307464162135,0.9753086419753086,3.5256667137145996
BitcoinTransactions,1,428,22,0.05,0.5,3,0.0758767175057456,0.0006329113924050633,0.9840311325818573,3.6913793087005615
BitcoinTransactions,1,428,22,0.05,0.5,4,0.08467742673758573,0.0009881422924901185,0.9970477724100912,3.4663352966308594
BitcoinTransactions,1,428,22,0.05,0.5,5,0.06288359843541338,0.00014072614691809738,0.9832259796027912,3.5794525146484375
BitcoinTransactions,1,428,22,0.05,0.5,6,0.07354414054486623,0.0007139457401237506,0.9872517444981214,3.404392957687378
BitcoinTransactions,1,428,22,0.05,0.5,7,0.09463405128457744,0.0005411255411255411,0.9872517444981214,3.377798080444336
BitcoinTransactions,1,428,22,0.05,0.5,8,0.06691272734537843,0.00042408821034775233,0.9848362855609233,3.649829864501953
BitcoinTransactions,1,428,22,0.05,0.5,9,0.07045513355973376,0.00032362459546925567,0.9904723564143854,3.58465313911438
BitcoinTransactions,1,428,22,0.05,0.5,10,0.07322354959148526,0.0005642279480910288,0.9942297369833601,3.5161149501800537
BitcoinTransactions,1,428,43,0.1,0.5,1,0.08013681766457884,0.0009828009828009828,0.9918142780461621,3.600139617919922
BitcoinTransactions,1,428,43,0.1,0.5,2,0.06739737944755973,0.00040816326530612246,0.9961084272678475,3.606255054473877
BitcoinTransactions,1,428,43,0.1,0.5,3,0.06605679339946283,0.0007993605115907274,0.9939613526570048,3.7737438678741455
BitcoinTransactions,1,428,43,0.1,0.5,4,0.07383522782240565,0.00042408821034775233,0.9899355877616747,3.5233724117279053
BitcoinTransactions,1,428,43,0.1,0.5,5,0.06825788711156161,0.0005482456140350877,0.9605475040257649,3.4053115844726562
BitcoinTransactions,1,428,43,0.1,0.5,6,0.08432597990788296,0.0012779552715654952,0.9962426194310252,3.536954879760742
BitcoinTransactions,1,428,43,0.1,0.5,7,0.09567978228438781,0.0013392857142857143,0.9977187332259796,3.206622838973999
BitcoinTransactions,1,428,43,0.1,0.5,8,0.07170844872496662,0.0006476683937823834,0.9845679012345679,3.601722478866577
BitcoinTransactions,1,428,43,0.1,0.5,9,0.0736808310106311,0.0002777777777777778,0.9554482018250134,3.4744908809661865
BitcoinTransactions,1,428,43,0.1,0.5,10,0.061797425068684984,0.00039308176100628933,0.9781266774020397,3.7967512607574463
BitcoinTransactions,1,428,64,0.15,0.5,1,0.10142402416768971,0.0007177033492822966,0.9168008588298443,3.32157826423645
BitcoinTransactions,1,428,64,0.15,0.5,2,0.08502199335384478,0.001488095238095238,0.9236446591519055,3.639920949935913
BitcoinTransactions,1,428,64,0.15,0.5,3,0.07698526790167048,0.0007662835249042146,0.9969135802469136,3.336859703063965
BitcoinTransactions,1,428,64,0.15,0.5,4,0.07679433916906721,0.0005011275369581559,0.9969135802469136,3.398561954498291
BitcoinTransactions,1,428,64,0.15,0.5,5,0.06672315137829474,0.001736111111111111,0.9979871175523349,3.7019267082214355
BitcoinTransactions,1,428,64,0.15,0.5,6,0.09193830002462942,0.000946969696969697,0.9981213097155126,3.4057047367095947
BitcoinTransactions,1,428,64,0.15,0.5,7,0.07280904558308647,0.0013345195729537367,0.9792002147074611,3.3225839138031006
BitcoinTransactions,1,428,64,0.15,0.5,8,0.07665350863353665,0.0008547008547008547,0.9949006977992485,3.4507787227630615
BitcoinTransactions,1,428,64,0.15,0.5,9,0.09084162325042444,0.0007374631268436578,0.990606548577563,3.472472667694092
BitcoinTransactions,1,428,64,0.15,0.5,10,0.06356041145959,0.00017047391749062393,0.9738325281803543,3.75600004196167
BitcoinTransactions,1,428,86,0.2,0.5,1,0.08755172498193345,0.0008797653958944282,0.9971819645732689,3.377333402633667
BitcoinTransactions,1,428,86,0.2,0.5,2,0.08006897231081826,0.0008804754567466431,0.9969135802469136,3.6039016246795654
BitcoinTransactions,1,428,86,0.2,0.5,3,0.0844162838255825,0.0010723860589812334,0.9989264626945786,3.3015432357788086
BitcoinTransactions,1,428,86,0.2,0.5,4,0.06496065880179146,0.0002306805074971165,0.9785292538915727,3.5856993198394775
BitcoinTransactions,1,428,86,0.2,0.5,5,0.07002105137355329,0.0005291005291005291,0.9804079441760601,3.6708998680114746
BitcoinTransactions,1,428,86,0.2,0.5,6,0.07682081610009922,0.0004317789291882556,0.9931561996779388,3.4782164096832275
BitcoinTransactions,1,428,86,0.2,0.5,7,0.0735538112691061,0.0007142857142857143,0.9779924852388621,3.5597617626190186
BitcoinTransactions,1,428,86,0.2,0.5,8,0.09980787300242183,0.0020671834625322996,0.9982555018786903,3.255375385284424
BitcoinTransactions,1,428,86,0.2,0.5,9,0.0724543969976095,0.0006105006105006105,0.9939613526570048,3.6875360012054443
BitcoinTransactions,1,428,86,0.2,0.5,10,0.0994027120684578,0.0009633911368015414,0.9931561996779388,3.1923961639404297
BitcoinTransactions,1,428,108,0.25,0.5,1,0.0641655827644838,0.00043393360815795185,0.9695383789586688,3.6521811485290527
BitcoinTransactions,1,428,108,0.25,0.5,2,0.0648422527953363,0.0003944773175542406,0.9912775093934514,3.7073349952697754
BitcoinTransactions,1,428,108,0.25,0.5,3,0.0731469894507083,0.0004478948939982084,0.9959742351046699,3.5674681663513184
BitcoinTransactions,1,428,108,0.25,0.5,4,0.06810717441894297,0.00043402777777777775,0.9934245840042941,3.373417854309082
BitcoinTransactions,1,428,108,0.25,0.5,5,0.07018645419146244,0.0005534034311012728,0.9970477724100912,3.6721549034118652
BitcoinTransactions,1,428,108,0.25,0.5,6,0.07772405568128345,0.0008522727272727272,0.9817498658078369,3.557673215866089
BitcoinTransactions,1,428,108,0.25,0.5,7,0.090632180753092,0.0013651877133105802,0.998389694041868,3.2608442306518555
BitcoinTransactions,1,428,108,0.25,0.5,8,0.07587421204423672,0.0006596306068601583,0.990606548577563,3.558253288269043
BitcoinTransactions,1,428,108,0.25,0.5,9,0.08153652700401276,0.0005035246727089627,0.9920826623725174,3.25239896774292
BitcoinTransactions,1,428,108,0.25,0.5,10,0.1001953489685916,0.0020100502512562816,0.9979871175523349,3.34197735786438
BitcoinTransactions,1,428,129,0.3,0.5,1,0.09544273106564932,0.002442002442002442,0.9970477724100912,3.4633803367614746
BitcoinTransactions,1,428,129,0.3,0.5,2,0.0702743566579442,0.0003946329913180742,0.9832259796027912,3.52984619140625
BitcoinTransactions,1,428,129,0.3,0.5,3,0.08029386546489554,0.0007351139426611125,0.9833601717659689,3.4840023517608643
BitcoinTransactions,1,428,129,0.3,0.5,4,0.0704551879402666,0.0005857087075361187,0.9965110037573806,3.6076347827911377
BitcoinTransactions,1,428,129,0.3,0.5,5,0.07724868188986131,0.0009063444108761329,0.9749060654857756,3.5870749950408936
BitcoinTransactions,1,428,129,0.3,0.5,6,0.06563773903316318,0.0005393743257820927,0.9542404723564144,3.6998915672302246
BitcoinTransactions,1,428,129,0.3,0.5,7,0.07882066418990269,0.0005254860746190226,0.9918142780461621,3.442641258239746
BitcoinTransactions,1,428,129,0.3,0.5,8,0.09592217781905202,0.000992063492063492,0.998389694041868,3.351104736328125
BitcoinTransactions,1,428,129,0.3,0.5,9,0.06717380613191672,0.0008886255924170616,0.9722222222222222,3.64612078666687
BitcoinTransactions,1,428,129,0.3,0.5,10,0.065272811646096,0.00024213075060532688,0.9731615673644659,3.4690053462982178
BitcoinTransactions,1,428,150,0.35,0.5,1,0.07272593606924266,0.0006968641114982578,0.9967793880837359,3.4663703441619873
BitcoinTransactions,1,428,150,0.35,0.5,2,0.066246543516512,0.0008720296490080662,0.9950348899624262,3.5438435077667236
BitcoinTransactions,1,428,150,0.35,0.5,3,0.10160692111471324,0.0013651877133105802,0.9883252818035426,3.2732620239257812
BitcoinTransactions,1,428,150,0.35,0.5,4,0.0681904409853642,0.00045454545454545455,0.9402844873859366,3.5666887760162354
BitcoinTransactions,1,428,150,0.35,0.5,5,0.0758936030671966,0.000736105999263894,0.9957058507783145,3.429908275604248
BitcoinTransactions,1,428,150,0.35,0.5,6,0.07763445901300745,0.0006825938566552901,0.9824208266237252,3.3053512573242188
BitcoinTransactions,1,428,150,0.35,0.5,7,0.07431743965250957,0.0006767426122264832,0.9971819645732689,3.626272439956665
BitcoinTransactions,1,428,150,0.35,0.5,8,0.08423591594092986,0.00046739892498247256,0.9779924852388621,3.2938389778137207
BitcoinTransactions,1,428,150,0.35,0.5,9,0.06242466470436337,0.00029342723004694836,0.9716854535695115,3.6015055179595947
BitcoinTransactions,1,428,150,0.35,0.5,10,0.08324687475331156,0.0008230452674897119,0.9970477724100912,3.50048828125
BitcoinTransactions,1,428,172,0.4,0.5,1,0.067089107313473,0.0002639218791237794,0.9735641438539989,3.439112663269043
BitcoinTransactions,1,428,172,0.4,0.5,2,0.06999160334267208,0.00023696682464454977,0.9691358024691358,3.5496459007263184
BitcoinTransactions,1,428,172,0.4,0.5,3,0.06689501639046189,0.0003401360544217687,0.9871175523349437,3.3942010402679443
BitcoinTransactions,1,428,172,0.4,0.5,4,0.07392738999178011,0.0008080808080808081,0.9896672034353193,3.3754308223724365
BitcoinTransactions,1,428,172,0.4,0.5,5,0.08465428229381336,0.0006088897909478384,0.9957058507783145,3.4417409896850586
BitcoinTransactions,1,428,172,0.4,0.5,6,0.08250310810514394,0.0006361323155216285,0.9888620504562533,3.298732042312622
BitcoinTransactions,1,428,172,0.4,0.5,7,0.08026364212450224,0.0009950248756218905,0.9867149758454107,3.3555750846862793
BitcoinTransactions,1,428,172,0.4,0.5,8,0.0732856310519903,0.0006934812760055479,0.9624261943102523,3.506136655807495
BitcoinTransactions,1,428,172,0.4,0.5,9,0.07152230535282884,0.0004884004884004884,0.9844337090713903,3.436612606048584
BitcoinTransactions,1,428,172,0.4,0.5,10,0.07019359682581522,0.00035536602700781805,0.9936929683306495,3.5240254402160645
BitcoinTransactions,1,428,194,0.45,0.5,1,0.07132150044953267,0.0004889975550122249,0.9943639291465378,3.512373447418213
BitcoinTransactions,1,428,194,0.45,0.5,2,0.06828937913629718,0.00130718954248366,0.9852388620504563,3.3889575004577637
BitcoinTransactions,1,428,194,0.45,0.5,3,0.06578351070583864,0.0002190580503833516,0.9736983360171766,3.527442216873169
BitcoinTransactions,1,428,194,0.45,0.5,4,0.05723648133419361,0.0007425742574257426,0.9950348899624262,3.6048994064331055
BitcoinTransactions,1,428,194,0.45,0.5,5,0.07736396220023489,0.0006957328385899814,0.9707461084272678,3.3358733654022217
BitcoinTransactions,1,428,194,0.45,0.5,6,0.08305800397644307,0.0005878894767783657,0.9765163714439077,3.3227298259735107
BitcoinTransactions,1,428,194,0.45,0.5,7,0.09188088445822988,0.0013468013468013469,0.9965110037573806,3.3588998317718506
BitcoinTransactions,1,428,194,0.45,0.5,8,0.0962703890018092,0.0006297229219143577,0.9965110037573806,3.2778584957122803
BitcoinTransactions,1,428,194,0.45,0.5,9,0.09444997831146344,0.0010600706713780918,0.9982555018786903,3.2615296840667725
BitcoinTransactions,1,428,194,0.45,0.5,10,0.07585596419605381,0.0016891891891891893,0.9990606548577563,3.4957191944122314
BitcoinTransactions,1,428,215,0.5,0.5,1,0.07451187574456658,0.0008620689655172414,0.9918142780461621,3.4114296436309814
BitcoinTransactions,1,428,215,0.5,0.5,2,0.08323428844031056,0.0006277463904582549,0.9934245840042941,3.2730345726013184
BitcoinTransactions,1,428,215,0.5,0.5,3,0.066172309874625,0.0005520794994479205,0.9959742351046699,3.584965467453003
BitcoinTransactions,1,428,215,0.5,0.5,4,0.08361047698605917,0.0008051529790660225,0.9855072463768116,3.4235239028930664
BitcoinTransactions,1,428,215,0.5,0.5,5,0.07428884095180015,0.0006329113924050633,0.9954374664519592,3.459040880203247
BitcoinTransactions,1,428,215,0.5,0.5,6,0.07377401721609146,0.00037893141341417203,0.99020397208803,3.4026660919189453
BitcoinTransactions,1,428,215,0.5,0.5,7,0.06768495856877554,0.001063264221158958,0.9977187332259796,3.5219533443450928
BitcoinTransactions,1,428,215,0.5,0.5,8,0.07370000113963966,0.0006441223832528181,0.9911433172302737,3.5163016319274902
BitcoinTransactions,1,428,215,0.5,0.5,9,0.06453098436865051,0.0005924170616113745,0.9883252818035426,3.576040744781494
BitcoinTransactions,1,428,215,0.5,0.5,10,0.08718018439942568,0.0006024096385542169,0.988191089640365,3.3999104499816895
BitcoinTransactions,1,428,237,0.55,0.5,1,0.08507611515264837,0.0005668934240362812,0.9915458937198067,3.325659990310669
BitcoinTransactions,1,428,237,0.55,0.5,2,0.08213002586164718,0.0007481296758104738,0.9957058507783145,3.381709098815918
BitcoinTransactions,1,428,237,0.55,0.5,3,0.07558469745189753,0.0005317263381779511,0.9907407407407407,3.4212727546691895
BitcoinTransactions,1,428,237,0.55,0.5,4,0.07130523207368089,0.00030646644192460924,0.9547772410091251,3.4120349884033203
BitcoinTransactions,1,428,237,0.55,0.5,5,0.08135789764838464,0.0009765625,0.9965110037573806,3.3985755443573
BitcoinTransactions,1,428,237,0.55,0.5,6,0.06721797601157697,0.00043497172683775554,0.9818840579710145,3.4979567527770996
BitcoinTransactions,1,428,237,0.55,0.5,7,0.0813847108924632,0.00105318588730911,0.9957058507783145,3.283259391784668
BitcoinTransactions,1,428,237,0.55,0.5,8,0.07203133766642743,0.000847457627118644,0.9966451959205582,3.3689634799957275
BitcoinTransactions,1,428,237,0.55,0.5,9,0.06427226468426109,0.000378000378000378,0.9923510466988728,3.4943807125091553
BitcoinTransactions,1,428,237,0.55,0.5,10,0.0787008559752796,0.0009157509157509158,0.9954374664519592,3.309291362762451
BitcoinTransactions,1,428,258,0.6,0.5,1,0.08131154049907174,0.0005565862708719852,0.9895330112721417,3.392383575439453
BitcoinTransactions,1,428,258,0.6,0.5,2,0.07624128470212278,0.0003836562440053712,0.9872517444981214,3.3692123889923096
BitcoinTransactions,1,428,258,0.6,0.5,3,0.08820322783731613,0.0014705882352941176,0.998389694041868,3.2685396671295166
BitcoinTransactions,1,428,258,0.6,0.5,4,0.06934438709045501,0.0003817522427944264,0.9724906065485776,3.500230073928833
BitcoinTransactions,1,428,258,0.6,0.5,5,0.0866536863288893,0.0006767426122264832,0.9958400429414922,3.3354878425598145
BitcoinTransactions,1,428,258,0.6,0.5,6,0.09555136706737519,0.001294777729823047,0.9973161567364466,3.348296642303467
BitcoinTransactions,1,428,258,0.6,0.5,7,0.07618497335380497,0.002012072434607646,0.9979871175523349,3.5472142696380615
BitcoinTransactions,1,428,258,0.6,0.5,8,0.06819207006813123,0.0002955082742316785,0.9796027911969941,3.448356866836548
BitcoinTransactions,1,428,258,0.6,0.5,9,0.0937945682113685,0.0010893246187363835,0.9950348899624262,3.383206605911255
BitcoinTransactions,1,428,258,0.6,0.5,10,0.071737649834567,0.000708215297450425,0.9911433172302737,3.5516951084136963
BitcoinTransactions,1,428,280,0.65,0.5,1,0.06816841254927665,0.0008165487207403375,0.9790660225442834,3.575223445892334
BitcoinTransactions,1,428,280,0.65,0.5,2,0.07606393720548571,0.0008361204013377926,0.9938271604938271,3.57244610786438
BitcoinTransactions,1,428,280,0.65,0.5,3,0.08139620699809344,0.00101010101010101,0.9951690821256038,3.448117256164551
BitcoinTransactions,1,428,280,0.65,0.5,4,0.08474329711448648,0.00030339805825242716,0.9912775093934514,3.4518210887908936
BitcoinTransactions,1,428,280,0.65,0.5,5,0.07360603063725332,0.00021258503401360543,0.9475308641975309,3.3469693660736084
BitcoinTransactions,1,428,280,0.65,0.5,6,0.06808723709203754,0.0006775067750677507,0.977187332259796,3.401235342025757
BitcoinTransactions,1,428,280,0.65,0.5,7,0.08145191894704017,0.0008032128514056225,0.9892646269457863,3.3996565341949463
BitcoinTransactions,1,428,280,0.65,0.5,8,0.08506484847113362,0.0013020833333333333,0.9912775093934514,3.3558623790740967
BitcoinTransactions,1,428,280,0.65,0.5,9,0.08337251718776897,0.0007481296758104738,0.9963768115942029,3.405179977416992
BitcoinTransactions,1,428,280,0.65,0.5,10,0.08765567221896173,0.0010384215991692627,0.984970477724101,3.4604432582855225
BitcoinTransactions,1,428,301,0.7,0.5,1,0.06802663072260205,0.0004772130756382725,0.9855072463768116,3.422447443008423
BitcoinTransactions,1,428,301,0.7,0.5,2,0.09114903987270713,0.001554001554001554,0.9970477724100912,3.260526657104492
BitcoinTransactions,1,428,301,0.7,0.5,3,0.07156600651656209,0.0003544842254519674,0.9911433172302737,3.5424323081970215
BitcoinTransactions,1,428,301,0.7,0.5,4,0.07498725500210326,0.0010427528675703858,0.9836285560923242,3.3586504459381104
BitcoinTransactions,1,428,301,0.7,0.5,5,0.06403575473891526,0.00017337031900138697,0.9829575952764359,3.4781320095062256
BitcoinTransactions,1,428,301,0.7,0.5,6,0.07985971770327485,0.00125,0.9985238862050456,3.3337857723236084
BitcoinTransactions,1,428,301,0.7,0.5,7,0.08364444695004497,0.0005406866720735334,0.9577294685990339,3.495083808898926
BitcoinTransactions,1,428,301,0.7,0.5,8,0.06345810748840088,0.0007125890736342043,0.9918142780461621,3.594169855117798
BitcoinTransactions,1,428,301,0.7,0.5,9,0.08107908055297831,0.0005878894767783657,0.9597423510466989,3.1836726665496826
BitcoinTransactions,1,428,301,0.7,0.5,10,0.07861673724777522,0.0014757969303423849,0.9982555018786903,3.3886592388153076
BitcoinTransactions,1,428,322,0.75,0.5,1,0.09677226637577462,0.0019801980198019802,0.9382716049382716,3.2740492820739746
BitcoinTransactions,1,428,322,0.75,0.5,2,0.10072351202149099,0.0011017260374586854,0.9314278046162104,3.243596315383911
BitcoinTransactions,1,428,322,0.75,0.5,3,0.06783199246334572,0.0008110300081103001,0.9745034889962426,3.5224311351776123
BitcoinTransactions,1,428,322,0.75,0.5,4,0.09010340277401198,0.0007178750897343862,0.9911433172302737,3.5466387271881104
BitcoinTransactions,1,428,322,0.75,0.5,5,0.06602571703474112,0.000455684666210982,0.9926194310252281,3.5222527980804443
BitcoinTransactions,1,428,322,0.75,0.5,6,0.07660854180545461,0.0009832841691248771,0.9922168545356951,3.2258803844451904
BitcoinTransactions,1,428,322,0.75,0.5,7,0.07513160951150182,0.000744047619047619,0.9808105206655932,3.430551290512085
BitcoinTransactions,1,428,322,0.75,0.5,8,0.07628675797695735,0.0010313531353135313,0.976784755770263,3.456331729888916
BitcoinTransactions,1,428,322,0.75,0.5,9,0.08429565322745543,0.0010449320794148381,0.9876543209876543,3.2746448516845703
BitcoinTransactions,1,428,322,0.75,0.5,10,0.07232611895512851,0.0006188118811881188,0.9888620504562533,3.47045636177063
BitcoinTransactions,1,428,344,0.8,0.5,1,0.07162160013568164,0.0004584352078239609,0.9833601717659689,3.4882216453552246
BitcoinTransactions,1,428,344,0.8,0.5,2,0.08076330686649769,0.0012510425354462051,0.9967793880837359,3.470534086227417
BitcoinTransactions,1,428,344,0.8,0.5,3,0.06119340424827854,0.0006462731581214993,0.9716854535695115,3.5729405879974365
BitcoinTransactions,1,428,344,0.8,0.5,4,0.08564507833136836,0.0012919896640826874,0.998792270531401,3.373500108718872
BitcoinTransactions,1,428,344,0.8,0.5,5,0.09506143975275676,0.002857142857142857,0.998389694041868,3.278888702392578
BitcoinTransactions,1,428,344,0.8,0.5,6,0.08426961259497961,0.0006702412868632708,0.9826892109500805,3.3232460021972656
BitcoinTransactions,1,428,344,0.8,0.5,7,0.08365037944232885,0.0008169934640522876,0.9939613526570048,3.310492515563965
BitcoinTransactions,1,428,344,0.8,0.5,8,0.09191366087014273,0.001083815028901734,0.9652442297369833,3.306903123855591
BitcoinTransactions,1,428,344,0.8,0.5,9,0.07894161057337767,0.0009845749917952085,0.9974503488996243,3.3427202701568604
BitcoinTransactions,1,428,344,0.8,0.5,10,0.0687813094280313,0.0003924646781789639,0.9957058507783145,3.507539987564087
BitcoinTransactions,1,428,366,0.85,0.5,1,0.0637398677314778,0.00014916467780429595,0.977589908749329,3.548259973526001
BitcoinTransactions,1,428,366,0.85,0.5,2,0.06099159103532519,0.0005587632706276774,0.99020397208803,3.613055467605591
BitcoinTransactions,1,428,366,0.85,0.5,3,0.07048679337044104,0.0006684491978609625,0.9930220075147611,3.5498697757720947
BitcoinTransactions,1,428,366,0.85,0.5,4,0.07708349453978011,0.0007633587786259542,0.9546430488459474,3.3918185234069824
BitcoinTransactions,1,428,366,0.85,0.5,5,0.06537796487262977,0.0004987531172069825,0.9884594739667203,3.525998592376709
BitcoinTransactions,1,428,366,0.85,0.5,6,0.05864912684173956,0.0002144082332761578,0.9555823939881911,3.598175048828125
BitcoinTransactions,1,428,366,0.85,0.5,7,0.07347174816403393,0.000351000351000351,0.9879227053140096,3.4612293243408203
BitcoinTransactions,1,428,366,0.85,0.5,8,0.07892634090195332,0.0007668711656441718,0.9830917874396136,3.360499858856201
BitcoinTransactions,1,428,366,0.85,0.5,9,0.08980859403476407,0.000986842105263158,0.9895330112721417,3.309785842895508
BitcoinTransactions,1,428,366,0.85,0.5,10,0.06658241014792715,0.0005296610169491525,0.9614868491680086,3.4534430503845215
BitcoinTransactions,1,428,387,0.9,0.5,1,0.08369556865080673,0.0005963029218843172,0.9944981213097155,3.465068817138672
BitcoinTransactions,1,428,387,0.9,0.5,2,0.08494383384940865,0.0014354066985645933,0.9965110037573806,3.354729175567627
BitcoinTransactions,1,428,387,0.9,0.5,3,0.09124243690164743,0.0010498687664041995,0.9765163714439077,3.311789035797119
BitcoinTransactions,1,428,387,0.9,0.5,4,0.06616106524026419,0.0005712653527563553,0.9940955448201825,3.467174530029297
BitcoinTransactions,1,428,387,0.9,0.5,5,0.07109132891455462,0.0007892659826361484,0.9883252818035426,3.3620944023132324
BitcoinTransactions,1,428,387,0.9,0.5,6,0.06259481788566247,0.0003940110323089047,0.9484702093397746,3.5901434421539307
BitcoinTransactions,1,428,387,0.9,0.5,7,0.07178461608087199,0.000554016620498615,0.9954374664519592,3.492774486541748
BitcoinTransactions,1,428,387,0.9,0.5,8,0.06790905348026097,0.0005,0.9943639291465378,3.504406213760376
BitcoinTransactions,1,428,387,0.9,0.5,9,0.0735515097510704,0.0004698144233027954,0.9970477724100912,3.3746466636657715
BitcoinTransactions,1,428,387,0.9,0.5,10,0.058633249544631796,0.000195160031225605,0.9783950617283951,3.577238082885742
BitcoinTransactions,1,428,408,0.95,0.5,1,0.08941565956603123,0.0011432926829268292,0.9938271604938271,3.2977516651153564
BitcoinTransactions,1,428,408,0.95,0.5,2,0.08620265240160654,0.0011806375442739079,0.9959742351046699,3.3184995651245117
BitcoinTransactions,1,428,408,0.95,0.5,3,0.06171905541851017,0.0003940110323089047,0.9447128287707998,3.5921802520751953
BitcoinTransactions,1,428,408,0.95,0.5,4,0.08524229661419665,0.0007262164124909223,0.9953032742887815,3.333728551864624
BitcoinTransactions,1,428,408,0.95,0.5,5,0.0647102184571668,0.00040064102564102563,0.9919484702093397,3.5671536922454834
BitcoinTransactions,1,428,408,0.95,0.5,6,0.06921298439795051,0.00025510204081632655,0.9692699946323134,3.390409469604492
BitcoinTransactions,1,428,408,0.95,0.5,7,0.09186078794140422,0.0007195970256656273,0.9971819645732689,3.2922375202178955
BitcoinTransactions,1,428,408,0.95,0.5,8,0.0669840505828424,0.00017605633802816902,0.9836285560923242,3.4145095348358154
BitcoinTransactions,1,428,408,0.95,0.5,9,0.0808498531386713,0.0008012820512820513,0.9965110037573806,3.4044368267059326
