mu,sigma_c,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
0.2,1.0,0,86,0,0,,1,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,2,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,3,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,4,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,5,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,6,0.07982442719209026,0.0,0.9814004376367614,
0.2,1.0,0,86,0,0,,7,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,8,0.0792461326953306,0.0,0.9923413566739606,
0.2,1.0,0,86,0,0,,9,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,10,0.07984861036973759,0.0,0.9846827133479212,
0.2,1.0,0,86,0,0,,11,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,12,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,13,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,14,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,15,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,16,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,17,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,18,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,19,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,20,0.08965262027872173,0.0,0.9638949671772429,
0.2,1.0,0,86,0,0,,21,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,22,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,23,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,24,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,25,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,26,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,27,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,28,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,29,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,30,0.10480851511673712,0.006666666666666667,0.9726477024070022,
0.2,1.0,0,86,0,0,,31,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,32,0.0798210595565394,0.0,0.9814004376367614,
0.2,1.0,0,86,0,0,,33,0.07939399999999984,0.0,1.0,
0.2,1.0,0,86,0,0,,34,0.07939399999999984,0.0,1.0,
