network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,1,0.8400209162013317,0.0,0.00013419216317767042,
BitcoinTransactions,1,428,0,0,,2,0.8831994888957855,9.36768149882904e-05,0.037171229200214706,
BitcoinTransactions,1,428,0,0,,3,0.7907078356220381,0.0,0.0014761137949543747,
BitcoinTransactions,1,428,0,0,,4,0.9337634048043264,9.007386056566384e-05,0.09782608695652174,
BitcoinTransactions,1,428,0,0,,5,0.826217832026735,0.0,0.00026838432635534085,
BitcoinTransactions,1,428,0,0,,6,0.8607041683705746,0.0,0.00026838432635534085,
BitcoinTransactions,1,428,0,0,,7,0.7295311141490364,0.0,0.0,
BitcoinTransactions,1,428,0,0,,8,0.929764462046253,9.36768149882904e-05,0.033950617283950615,
BitcoinTransactions,1,428,0,0,,9,0.9211088399552546,0.0,0.0,
BitcoinTransactions,1,428,0,0,,10,0.8488437124126904,0.00019561815336463224,0.07863660762211487,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.05353245413922251,0.0038910505836575876,1.0,21.060861110687256
BitcoinTransactions,1,428,4,0.01,0.5,2,0.05203525599732001,0.0,1.0,20.567262172698975
BitcoinTransactions,1,428,4,0.01,0.5,3,0.05203525599732001,0.0,1.0,20.371628761291504
BitcoinTransactions,1,428,4,0.01,0.5,4,0.05147420049668066,0.002369668246445498,1.0,19.45809245109558
BitcoinTransactions,1,428,4,0.01,0.5,5,0.05204315337063009,0.0,0.9998658078368223,19.563395738601685
BitcoinTransactions,1,428,4,0.01,0.5,6,0.05203525599732001,0.0,1.0,19.4229519367218
BitcoinTransactions,1,428,4,0.01,0.5,7,0.05349041244936128,0.0034965034965034965,1.0,19.219335079193115
BitcoinTransactions,1,428,4,0.01,0.5,8,0.05202747904399075,0.0,0.9997316156736447,19.60849618911743
BitcoinTransactions,1,428,4,0.01,0.5,9,0.05203525599732001,0.0,1.0,19.50743007659912
BitcoinTransactions,1,428,4,0.01,0.5,10,0.05202932205859482,0.0,0.9973161567364466,20.20396876335144
BitcoinTransactions,1,428,22,0.05,0.5,1,0.05203525599732001,0.0,1.0,19.54272150993347
BitcoinTransactions,1,428,22,0.05,0.5,2,0.05203577592430738,0.0,0.9997316156736447,20.319932460784912
BitcoinTransactions,1,428,22,0.05,0.5,3,0.05203525599732001,0.0,1.0,19.797828912734985
BitcoinTransactions,1,428,22,0.05,0.5,4,0.05229023986385769,0.0011904761904761906,0.9998658078368223,19.63651156425476
BitcoinTransactions,1,428,22,0.05,0.5,5,0.05203525599732001,0.0,1.0,20.208094835281372
BitcoinTransactions,1,428,22,0.05,0.5,6,0.051786484614739385,0.001184834123222749,0.9998658078368223,19.552173137664795
BitcoinTransactions,1,428,22,0.05,0.5,7,0.053773996687244835,0.0025906735751295338,1.0,19.484124422073364
BitcoinTransactions,1,428,22,0.05,0.5,8,0.052668538237426135,0.0015337423312883436,0.9938271604938271,20.014636516571045
BitcoinTransactions,1,428,22,0.05,0.5,9,0.05203525599732001,0.0,1.0,19.720133304595947
BitcoinTransactions,1,428,22,0.05,0.5,10,0.053260542508899396,0.0024449877750611247,1.0,19.543501615524292
BitcoinTransactions,1,428,43,0.1,0.5,1,0.05203525599732001,0.0,1.0,19.649606466293335
BitcoinTransactions,1,428,43,0.1,0.5,2,0.052187581078529936,0.002369668246445498,1.0,19.686155557632446
BitcoinTransactions,1,428,43,0.1,0.5,3,0.053498107436920773,0.0024691358024691358,1.0,19.731390953063965
BitcoinTransactions,1,428,43,0.1,0.5,4,0.05203525599732001,0.0,1.0,19.87783694267273
BitcoinTransactions,1,428,43,0.1,0.5,5,0.05203525599732001,0.0,1.0,19.820709705352783
BitcoinTransactions,1,428,43,0.1,0.5,6,0.05203525599732001,0.0,1.0,19.836638689041138
BitcoinTransactions,1,428,43,0.1,0.5,7,0.05203525599732001,0.0,1.0,19.852407693862915
BitcoinTransactions,1,428,43,0.1,0.5,8,0.05203525599732001,0.0,1.0,19.733402967453003
BitcoinTransactions,1,428,43,0.1,0.5,9,0.05203525599732001,0.0,1.0,19.980356216430664
BitcoinTransactions,1,428,43,0.1,0.5,10,0.05203525599732001,0.0,1.0,19.82556700706482
BitcoinTransactions,1,428,64,0.15,0.5,1,0.05203525599732001,0.0,1.0,19.681112051010132
BitcoinTransactions,1,428,64,0.15,0.5,2,0.05245886594072391,0.0012345679012345679,0.9998658078368223,19.6871178150177
BitcoinTransactions,1,428,64,0.15,0.5,3,0.052042297108934675,0.0,0.9997316156736447,20.014739513397217
BitcoinTransactions,1,428,64,0.15,0.5,4,0.053130353500393475,0.0014204545454545455,0.9997316156736447,17.762003898620605
BitcoinTransactions,1,428,64,0.15,0.5,5,0.05203525599732001,0.0,1.0,19.717782258987427
BitcoinTransactions,1,428,64,0.15,0.5,6,0.05203525599732001,0.0,1.0,20.000999927520752
BitcoinTransactions,1,428,64,0.15,0.5,7,0.05203525599732001,0.0,1.0,19.82591700553894
BitcoinTransactions,1,428,64,0.15,0.5,8,0.05174020226740976,0.0023584905660377358,1.0,19.71103858947754
BitcoinTransactions,1,428,64,0.15,0.5,9,0.0525892105956414,0.001199040767386091,0.9994632313472893,19.93703293800354
BitcoinTransactions,1,428,64,0.15,0.5,10,0.05203525599732001,0.0,1.0,19.78776240348816
BitcoinTransactions,1,428,86,0.2,0.5,1,0.05203525599732001,0.0,1.0,19.66373109817505
BitcoinTransactions,1,428,86,0.2,0.5,2,0.05203525599732001,0.0,1.0,19.928879737854004
BitcoinTransactions,1,428,86,0.2,0.5,3,0.05452560117738446,0.002857142857142857,1.0,19.5335910320282
BitcoinTransactions,1,428,86,0.2,0.5,4,0.05203525599732001,0.0,1.0,19.703676462173462
BitcoinTransactions,1,428,86,0.2,0.5,5,0.05203525599732001,0.0,1.0,19.822466135025024
BitcoinTransactions,1,428,86,0.2,0.5,6,0.05171427253896596,0.0011792452830188679,0.9998658078368223,19.967176914215088
BitcoinTransactions,1,428,86,0.2,0.5,7,0.05203525599732001,0.0,1.0,19.680180549621582
BitcoinTransactions,1,428,86,0.2,0.5,8,0.05203525599732001,0.0,1.0,19.78904938697815
BitcoinTransactions,1,428,86,0.2,0.5,9,0.05203525599732001,0.0,1.0,19.868510723114014
BitcoinTransactions,1,428,86,0.2,0.5,10,0.05371108128458051,0.004651162790697674,1.0,19.27140498161316
BitcoinTransactions,1,428,108,0.25,0.5,1,0.05203525599732001,0.0,1.0,19.84283423423767
BitcoinTransactions,1,428,108,0.25,0.5,2,0.05208161778990664,0.002347417840375587,1.0,19.945409297943115
BitcoinTransactions,1,428,108,0.25,0.5,3,0.05203525599732001,0.0,1.0,19.71196174621582
BitcoinTransactions,1,428,108,0.25,0.5,4,0.05203525599732001,0.0,1.0,19.59031057357788
BitcoinTransactions,1,428,108,0.25,0.5,5,0.05203525599732001,0.0,1.0,19.867397785186768
BitcoinTransactions,1,428,108,0.25,0.5,6,0.05391278537323672,0.00267379679144385,1.0,19.669238090515137
