network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,350,0,0,,1,0.0948854030174918,0.0014326647564469914,0.9994578476551911,
Facebook,1,350,0,0,,2,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,3,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,4,0.09377446126233999,0.0029585798816568047,1.0,
Facebook,1,350,0,0,,5,0.09494188041785606,0.0014326647564469914,0.9997289238275956,
Facebook,1,350,0,0,,6,0.1180640093579275,0.0016326530612244899,0.9444293846570886,
Facebook,1,350,0,0,,7,0.09494188041785606,0.0028653295128939827,1.0,
Facebook,1,350,0,0,,8,0.10565836258794313,0.0034965034965034965,1.0,
Facebook,1,350,0,0,,9,0.10582053979908863,0.0043859649122807015,1.0,
Facebook,1,350,0,0,,10,0.09510350340677516,0.0,1.0,
Facebook,1,350,28,0.01,0.5,1,0.09511687306863717,0.0,0.9989156953103823,8.596033811569214
Facebook,1,350,28,0.01,0.5,2,0.09498508849251369,0.0028653295128939827,1.0,8.531328201293945
Facebook,1,350,28,0.01,0.5,3,0.09510350340677516,0.0,1.0,8.65225100517273
Facebook,1,350,28,0.01,0.5,4,0.09510350340677516,0.0,1.0,8.542071104049683
Facebook,1,350,28,0.01,0.5,5,0.09510350340677516,0.0,1.0,8.642377376556396
Facebook,1,350,28,0.01,0.5,6,0.09510350340677516,0.0,1.0,8.487810611724854
Facebook,1,350,28,0.01,0.5,7,0.09510350340677516,0.0,1.0,8.631946325302124
Facebook,1,350,28,0.01,0.5,8,0.09510305734674752,0.0,0.9997289238275956,8.56613039970398
Facebook,1,350,28,0.01,0.5,9,0.09510350340677516,0.0,1.0,8.632879972457886
Facebook,1,350,28,0.01,0.5,10,0.09510350340677516,0.0,1.0,8.45695447921753
Facebook,1,350,142,0.05,0.5,1,0.09510350340677516,0.0,1.0,8.56808590888977
Facebook,1,350,142,0.05,0.5,2,0.09510350340677516,0.0,1.0,8.498609781265259
Facebook,1,350,142,0.05,0.5,3,0.09510350340677516,0.0,1.0,8.590725183486938
Facebook,1,350,142,0.05,0.5,4,0.0949069002328676,0.0014326647564469914,0.9997289238275956,8.463903188705444
Facebook,1,350,142,0.05,0.5,5,0.09510350340677516,0.0,1.0,8.640968799591064
Facebook,1,350,142,0.05,0.5,6,0.09510350340677516,0.0,1.0,8.510198593139648
Facebook,1,350,142,0.05,0.5,7,0.09510350340677516,0.0,1.0,8.61345648765564
Facebook,1,350,142,0.05,0.5,8,0.09510350340677516,0.0,1.0,8.461122989654541
Facebook,1,350,142,0.05,0.5,9,0.09510350340677516,0.0,1.0,8.663593769073486
Facebook,1,350,142,0.05,0.5,10,0.09510350340677516,0.0,1.0,8.451387405395508
Facebook,1,350,284,0.1,0.5,1,0.1125413385695906,0.0031847133757961785,1.0,8.57291841506958
Facebook,1,350,284,0.1,0.5,2,0.09510350340677516,0.0,1.0,8.427986860275269
Facebook,1,350,284,0.1,0.5,3,0.09510350340677516,0.0,1.0,8.599437475204468
Facebook,1,350,284,0.1,0.5,4,0.0939940907672192,0.0029585798816568047,1.0,8.430317401885986
Facebook,1,350,284,0.1,0.5,5,0.09492879103149414,0.0,0.9932230956898889,8.588771104812622
Facebook,1,350,284,0.1,0.5,6,0.09510350340677516,0.0,1.0,8.47573971748352
