network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,350,0,0,,1,0.8457737272679713,0.0,0.007047980482515587,
Facebook,1,350,0,0,,2,0.9606297671045176,0.0,0.0,
Facebook,1,350,0,0,,3,0.8224461375123613,0.00020703933747412008,0.006776904310111141,
Facebook,1,350,0,0,,4,0.9038868234840969,0.0,0.0,
Facebook,1,350,0,0,,5,0.8995146843746981,0.0,0.0,
Facebook,1,350,0,0,,6,0.8289672395884559,0.0,0.0,
Facebook,1,350,0,0,,7,0.9123081259797944,0.0,0.0,
Facebook,1,350,0,0,,8,0.9360397386241631,0.00019212295869356388,0.020330712930333422,
Facebook,1,350,0,0,,9,0.9389253029019679,0.00020703933747412008,0.028462998102466792,
Facebook,1,350,0,0,,10,0.9496107327946717,0.0,0.0002710761724044456,
Facebook,1,350,0,0,,11,0.9617368590046826,0.0,0.0,
Facebook,1,350,0,0,,12,0.8778785834801286,0.00020525451559934318,0.03578205475738683,
Facebook,1,350,0,0,,13,0.8728369373995882,0.00019157088122605365,0.02060178910273787,
Facebook,1,350,0,0,,14,0.8974928088829093,0.00019157088122605365,0.00623475196530225,
Facebook,1,350,0,0,,15,0.868389273429628,0.0,0.0,
Facebook,1,350,0,0,,16,0.8763696306411747,0.0,0.049878015722418,
Facebook,1,350,0,0,,17,0.8945677539541308,0.0,0.0002710761724044456,
Facebook,1,350,0,0,,18,0.8768948933918361,0.0,0.0,
Facebook,1,350,0,0,,19,0.8631426323793069,0.00020824656393169514,0.012198427758200054,
Facebook,1,350,0,0,,20,0.9099112054681329,0.00019212295869356388,0.005963675792897805,
Facebook,1,350,0,0,,21,0.8317433191073631,0.0,0.006776904310111141,
Facebook,1,350,0,0,,22,0.7856807045818107,0.0002103049421661409,0.012198427758200054,
Facebook,1,350,0,0,,23,0.8926829143769862,0.0002058460271716756,0.02005963675792898,
Facebook,1,350,0,0,,24,0.9408206401127578,0.0,0.0,
Facebook,1,350,0,0,,25,0.8470767389388766,0.0,0.0,
Facebook,1,350,0,0,,26,0.8451966653463541,0.00020466639377814163,0.09650311737598265,
Facebook,1,350,0,0,,27,0.9034406863347718,0.0,0.0,
Facebook,1,350,0,0,,28,0.9560613524585614,0.0,0.0,
Facebook,1,350,0,0,,29,0.9037026328186923,0.0,0.0,
Facebook,1,350,0,0,,30,0.933986099369665,0.00022040996253030638,0.0002710761724044456,
Facebook,1,350,0,0,,31,0.9416870098288405,0.0,0.0,
Facebook,1,350,0,0,,32,0.8054412503127747,0.00023496240601503758,0.005963675792897805,
Facebook,1,350,0,0,,33,0.9283389091539233,0.0,0.0,
Facebook,1,350,0,0,,34,0.866506652374072,0.0,0.0,
Facebook,1,350,0,0,,35,0.9551222225984305,0.0,0.0,
Facebook,1,350,0,0,,36,0.9650670737141783,0.00020824656393169514,0.0124695039306045,
Facebook,1,350,0,0,,37,0.8768282214512683,0.0,0.0,
Facebook,1,350,0,0,,38,0.8148075906972103,0.00020466639377814163,0.02060178910273787,
Facebook,1,350,0,0,,39,0.878504493071572,0.00019157088122605365,0.013282732447817837,
Facebook,1,350,0,0,,40,0.8496065596670576,0.0,0.0,
Facebook,1,350,0,0,,41,0.9371005005432047,0.0,0.0002710761724044456,
Facebook,1,350,0,0,,42,0.867054493628767,0.000213857998289136,0.008403361344537815,
Facebook,1,350,0,0,,43,0.9260202085956916,0.00020885547201336674,0.012740580103008945,
Facebook,1,350,0,0,,44,0.9273643776168827,0.0,0.0002710761724044456,
Facebook,1,350,0,0,,45,0.9138209355720883,0.0,0.0002710761724044456,
Facebook,1,350,0,0,,46,0.9387870785119597,0.0,0.006776904310111141,
Facebook,1,350,0,0,,47,0.9384001526706567,0.0,0.0002710761724044456,
Facebook,1,350,0,0,,48,0.911605722788121,0.0,0.0,
Facebook,1,350,0,0,,49,0.9610230384941587,0.0,0.006776904310111141,
Facebook,1,350,0,0,,50,0.8493120552751277,0.0,0.0,
Facebook,1,350,28,0.01,0.5,1,0.32793722336153447,0.0011661807580174927,0.47763621577663323,6.344412803649902
Facebook,1,350,28,0.01,0.5,2,0.36923953165472334,0.0009718172983479105,0.42423420981295745,5.926618814468384
Facebook,1,350,28,0.01,0.5,3,0.39407312295254177,0.0007288629737609329,0.42016806722689076,6.257973670959473
Facebook,1,350,28,0.01,0.5,4,0.3355662963420752,0.0003633720930232558,0.4719436161561399,5.546956777572632
Facebook,1,350,28,0.01,0.5,5,0.38562180633066656,0.0006459948320413437,0.3870967741935484,6.0022807121276855
Facebook,1,350,28,0.01,0.5,6,0.3930665984644031,0.0008329862557267805,0.34345351043643263,5.500964641571045
Facebook,1,350,28,0.01,0.5,7,0.3871541780650923,0.0007288629737609329,0.34887503388452157,6.076695680618286
Facebook,1,350,28,0.01,0.5,8,0.39487077175658813,0.0007288629737609329,0.4095960965031174,5.680047273635864
Facebook,1,350,28,0.01,0.5,9,0.38809010169352365,0.0009718172983479105,0.33613445378151263,5.298858404159546
Facebook,1,350,28,0.01,0.5,10,0.39116443830000974,0.0007288629737609329,0.3317972350230415,5.528959035873413
Facebook,1,350,28,0.01,0.5,11,0.33498725883056524,0.0009718172983479105,0.4708593114665221,5.307475805282593
Facebook,1,350,28,0.01,0.5,12,0.32031773791592333,0.0009689922480620155,0.2667389536459745,5.488049268722534
Facebook,1,350,28,0.01,0.5,13,0.40510503292684086,0.0007288629737609329,0.3659528327460016,5.270951986312866
Facebook,1,350,28,0.01,0.5,14,0.37118645459811683,0.0011661807580174927,0.4198969910544863,5.462361097335815
Facebook,1,350,28,0.01,0.5,15,0.40250027455171955,0.0008329862557267805,0.33288153971265927,5.295289993286133
Facebook,1,350,28,0.01,0.5,16,0.3898336410062581,0.0009718172983479105,0.41827053402005965,5.466530799865723
Facebook,1,350,28,0.01,0.5,17,0.39057464354584437,0.0008329862557267805,0.44131200867443754,5.293860197067261
Facebook,1,350,28,0.01,0.5,18,0.39210124230892573,0.0008329862557267805,0.4217945242613174,5.453019857406616
Facebook,1,350,28,0.01,0.5,19,0.38796414459065093,0.0009718172983479105,0.44456492274329085,5.27564549446106
Facebook,1,350,28,0.01,0.5,20,0.3403913400539304,0.0007288629737609329,0.4578476551911087,5.488506317138672
Facebook,1,350,28,0.01,0.5,21,0.39501202530471125,0.0007288629737609329,0.4209812957441041,5.308327674865723
Facebook,1,350,28,0.01,0.5,22,0.31266238173747407,0.0008746355685131195,0.8145838980753591,5.512433767318726
Facebook,1,350,28,0.01,0.5,23,0.3872206615246074,0.0006478781988986071,0.44564922743290863,5.288855791091919
Facebook,1,350,28,0.01,0.5,24,0.38867348625002573,0.0008329862557267805,0.4139333152615885,5.51780891418457
Facebook,1,350,28,0.01,0.5,25,0.38200837689631,0.0009718172983479105,0.41718622933044186,5.288922309875488
Facebook,1,350,28,0.01,0.5,26,0.3912627434321277,0.0008329862557267805,0.4139333152615885,5.322972536087036
Facebook,1,350,28,0.01,0.5,27,0.35882445272212554,0.00041649312786339027,0.45161290322580644,5.425527095794678
Facebook,1,350,28,0.01,0.5,28,0.40043042270955465,0.0008329862557267805,0.34697750067769045,5.344951868057251
Facebook,1,350,28,0.01,0.5,29,0.3434990312405137,0.00048590864917395527,0.4228788289509352,5.489500045776367
Facebook,1,350,28,0.01,0.5,30,0.3803574965215624,0.0009718172983479105,0.4719436161561399,5.333428859710693
Facebook,1,350,28,0.01,0.5,31,0.4040503561748493,0.0006478781988986071,0.34209812957441044,5.45453953742981
Facebook,1,350,28,0.01,0.5,32,0.4107532150433876,0.0007288629737609329,0.3505014909189482,5.270820379257202
Facebook,1,350,28,0.01,0.5,33,0.4077362853976473,0.0008329862557267805,0.3551097858498238,5.482271909713745
Facebook,1,350,28,0.01,0.5,34,0.39170106311010705,0.0009718172983479105,0.35321225264299266,5.266361713409424
Facebook,1,350,28,0.01,0.5,35,0.36186752787203513,0.00041649312786339027,0.4155597722960152,5.371973276138306
Facebook,1,350,28,0.01,0.5,36,0.3480645449685173,0.0009718172983479105,0.4860395771211711,5.479848146438599
Facebook,1,350,28,0.01,0.5,37,0.2815345313824767,0.0005747126436781609,0.7351585795608566,5.347437381744385
Facebook,1,350,28,0.01,0.5,38,0.34966648835195946,0.0009718172983479105,0.44320954188126865,5.518894195556641
Facebook,1,350,28,0.01,0.5,39,0.24968778706905667,0.0014577259475218659,0.6326917863919761,5.378040552139282
Facebook,1,350,28,0.01,0.5,40,0.3358700530997691,0.0005830903790087463,0.4543236649498509,5.481680393218994
Facebook,1,350,28,0.01,0.5,41,0.3627454220507528,0.0014577259475218659,0.47763621577663323,5.540620803833008
Facebook,1,350,28,0.01,0.5,42,0.3919840060165925,0.0008329862557267805,0.43968555164001083,5.272430658340454
Facebook,1,350,28,0.01,0.5,43,0.3544807358118639,0.0007288629737609329,0.4066142586066685,5.328977823257446
