network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18279483326977677,0.003401360544217687,1.0,
Actor,0,853,0,0,,0,0.18502608896517217,0.0029940119760479044,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.19714772774484843,0.0024330900243309003,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18676806083396055,0.003484320557491289,1.0,
Actor,0,853,0,0,,0,0.1865317735023953,0.003246753246753247,1.0,
Actor,0,853,0,0,,0,0.19668567974592271,0.002932551319648094,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.19457432229218902,0.00423728813559322,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.19364046113952496,0.0024096385542168677,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18463595170103592,0.0035460992907801418,1.0,
Actor,0,853,0,0,,0,0.20550755652723365,0.003278688524590164,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.1854683838464154,0.003401360544217687,1.0,
Actor,0,853,0,0,,0,0.18732754420002776,0.003367003367003367,1.0,
Actor,0,853,0,0,,0,0.18856968000257912,0.0034129692832764505,1.0,
Actor,0,853,0,0,,0,0.18224452469112976,0.003205128205128205,1.0,
Actor,0,853,0,0,,0,0.1847917694941158,0.003125,1.0,
Actor,0,853,0,0,,0,0.18245373969915504,0.00205761316872428,1.0,
Actor,0,853,0,0,,0,0.18432149558241936,0.0034602076124567475,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18436543808204073,0.003236245954692557,1.0,
Actor,0,853,0,0,,0,0.18506767379462571,0.0032258064516129032,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
Actor,0,853,0,0,,0,0.18637088419873735,0.003115264797507788,1.0,
Actor,0,853,0,0,,0,0.18873445121505938,0.0034129692832764505,1.0,
Actor,0,853,0,0,,0,0.21342673130193923,0.0,1.0,
