network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,0,92,0,0,,0,0.27718579114605807,0.04779411764705882,0.916126242974492,
Wiki,0,92,0,0,,0,0.26535991986126584,0.018292682926829267,0.7955036748811067,
Wiki,0,92,0,0,,0,0.24275251536087836,0.044642857142857144,0.9277993947254648,
Wiki,0,92,0,0,,0,0.2838227545430071,0.051470588235294115,0.8231733679204496,
Wiki,0,92,0,0,,0,0.25711905141637786,0.019345238095238096,0.8651102464332037,
Wiki,0,92,0,0,,0,0.27728448286121293,0.041666666666666664,0.783830523130134,
Wiki,0,92,0,0,,0,0.25954384795316554,0.023026315789473683,0.8992650237786425,
Wiki,0,92,0,0,,0,0.28235370864651854,0.025,0.6632079550367488,
Wiki,0,92,0,0,,0,0.2670034900644226,0.04276315789473684,0.8534370946822308,
Wiki,0,92,0,0,,0,0.2909269861480942,0.0188953488372093,0.8772157371379161,
Wiki,0,92,1,0.01,0.5,1,0.2633621142890217,0.041666666666666664,0.8642455685257242,1.4870073795318604
Wiki,0,92,1,0.01,0.5,2,0.24702526910471803,0.03869047619047619,0.8214440121054907,1.4820811748504639
Wiki,0,92,1,0.01,0.5,3,0.23471861111340847,0.026785714285714284,0.8184176394293126,1.6009697914123535
Wiki,0,92,1,0.01,0.5,4,0.2758532084533866,0.03977272727272727,0.922611327280588,1.4450016021728516
Wiki,0,92,1,0.01,0.5,5,0.24087765717474138,0.03125,0.9001297016861219,1.4358906745910645
Wiki,0,92,1,0.01,0.5,6,0.26252749007292625,0.02586206896551724,0.788586251621271,1.443666696548462
Wiki,0,92,1,0.01,0.5,7,0.2633535150351865,0.03977272727272727,0.8197146562905318,1.5997774600982666
Wiki,0,92,1,0.01,0.5,8,0.23551338301841646,0.05263157894736842,1.0,1.461548089981079
Wiki,0,92,1,0.01,0.5,9,0.27520715431836673,0.03125,0.8534370946822308,1.4578843116760254
