network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,0,1161,0,0,,0,0.10117515403327075,0.0,1.0,
Facebook,0,1161,0,0,,0,0.10117515403327075,0.0,1.0,
Facebook,0,1161,0,0,,0,0.10117515403327075,0.0,1.0,
Facebook,0,1161,0,0,,0,0.10117515403327075,0.0,1.0,
Facebook,0,1161,0,0,,0,0.10117515403327075,0.0,1.0,
Facebook,0,1161,105,0.01,0.5,1,0.10117515403327075,0.0,1.0,4.042705297470093
Facebook,0,1161,105,0.01,0.5,2,0.10117515403327075,0.0,1.0,3.899061679840088
Facebook,0,1161,105,0.01,0.5,3,0.10117515403327075,0.0,1.0,4.11957573890686
Facebook,0,1161,105,0.01,0.5,4,0.10117515403327075,0.0,1.0,3.9115941524505615
Facebook,0,1161,105,0.01,0.5,5,0.10117515403327075,0.0,1.0,4.118685722351074
Facebook,0,1161,525,0.05,0.5,1,0.10117515403327075,0.0,1.0,3.912358283996582
Facebook,0,1161,525,0.05,0.5,2,0.10117515403327075,0.0,1.0,4.126471042633057
Facebook,0,1161,525,0.05,0.5,3,0.10117515403327075,0.0,1.0,3.927945613861084
Facebook,0,1161,525,0.05,0.5,4,0.10117515403327075,0.0,1.0,4.1254143714904785
Facebook,0,1161,525,0.05,0.5,5,0.10117515403327075,0.0,1.0,4.140930652618408
Facebook,0,1161,1050,0.1,0.5,1,0.10117515403327075,0.0,1.0,3.9401614665985107
Facebook,0,1161,1050,0.1,0.5,2,0.10117515403327075,0.0,1.0,4.134235143661499
Facebook,0,1161,1050,0.1,0.5,3,0.10117515403327075,0.0,1.0,3.9313111305236816
Facebook,0,1161,1050,0.1,0.5,4,0.10117515403327075,0.0,1.0,4.134609699249268
Facebook,0,1161,1050,0.1,0.5,5,0.10117515403327075,0.0,1.0,3.9171950817108154
Facebook,0,1161,1575,0.15,0.5,1,0.10117515403327075,0.0,1.0,3.9637486934661865
Facebook,0,1161,1575,0.15,0.5,2,0.10117515403327075,0.0,1.0,4.1374547481536865
Facebook,0,1161,1575,0.15,0.5,3,0.10117515403327075,0.0,1.0,4.076521158218384
Facebook,0,1161,1575,0.15,0.5,4,0.10117515403327075,0.0,1.0,3.8406455516815186
Facebook,0,1161,1575,0.15,0.5,5,0.10117515403327075,0.0,1.0,4.036688327789307
Facebook,0,1161,2100,0.2,0.5,1,0.10117515403327075,0.0,1.0,3.8453903198242188
Facebook,0,1161,2100,0.2,0.5,2,0.10117515403327075,0.0,1.0,4.023120641708374
Facebook,0,1161,2100,0.2,0.5,3,0.10117515403327075,0.0,1.0,3.846266269683838
Facebook,0,1161,2100,0.2,0.5,4,0.10117515403327075,0.0,1.0,4.019552707672119
Facebook,0,1161,2100,0.2,0.5,5,0.10117515403327075,0.0,1.0,3.839103937149048
Facebook,0,1161,2625,0.25,0.5,1,0.10117515403327075,0.0,1.0,4.045418977737427
Facebook,0,1161,2625,0.25,0.5,2,0.10117515403327075,0.0,1.0,3.841630458831787
Facebook,0,1161,2625,0.25,0.5,3,0.10117515403327075,0.0,1.0,4.036967992782593
Facebook,0,1161,2625,0.25,0.5,4,0.10117515403327075,0.0,1.0,3.823099374771118
Facebook,0,1161,2625,0.25,0.5,5,0.10117515403327075,0.0,1.0,4.022260427474976
Facebook,0,1161,3150,0.3,0.5,1,0.10117515403327075,0.0,1.0,3.83815336227417
Facebook,0,1161,3150,0.3,0.5,2,0.10117515403327075,0.0,1.0,4.011999845504761
Facebook,0,1161,3150,0.3,0.5,3,0.10117515403327075,0.0,1.0,3.8567681312561035
Facebook,0,1161,3150,0.3,0.5,4,0.10117515403327075,0.0,1.0,3.843388795852661
Facebook,0,1161,3150,0.3,0.5,5,0.10117515403327075,0.0,1.0,4.0531840324401855
Facebook,0,1161,3675,0.35,0.5,1,0.10117515403327075,0.0,1.0,4.085511207580566
Facebook,0,1161,3675,0.35,0.5,2,0.10117515403327075,0.0,1.0,3.8489458560943604
Facebook,0,1161,3675,0.35,0.5,3,0.10117515403327075,0.0,1.0,3.8475074768066406
Facebook,0,1161,3675,0.35,0.5,4,0.10117515403327075,0.0,1.0,4.035221338272095
Facebook,0,1161,3675,0.35,0.5,5,0.10117515403327075,0.0,1.0,3.8424601554870605
Facebook,0,1161,4200,0.4,0.5,1,0.10117515403327075,0.0,1.0,4.0323097705841064
Facebook,0,1161,4200,0.4,0.5,2,0.10117515403327075,0.0,1.0,4.044675350189209
Facebook,0,1161,4200,0.4,0.5,3,0.10117515403327075,0.0,1.0,3.8355607986450195
Facebook,0,1161,4200,0.4,0.5,4,0.10117515403327075,0.0,1.0,3.8252029418945312
Facebook,0,1161,4200,0.4,0.5,5,0.10117515403327075,0.0,1.0,4.024720668792725
Facebook,0,1161,4725,0.45,0.5,1,0.10117515403327075,0.0,1.0,3.835336446762085
Facebook,0,1161,4725,0.45,0.5,2,0.10117515403327075,0.0,1.0,4.03560471534729
Facebook,0,1161,4725,0.45,0.5,3,0.10117515403327075,0.0,1.0,3.8265814781188965
Facebook,0,1161,4725,0.45,0.5,4,0.10117515403327075,0.0,1.0,4.088608264923096
Facebook,0,1161,4725,0.45,0.5,5,0.10117515403327075,0.0,1.0,3.8161075115203857
Facebook,0,1161,5250,0.5,0.5,1,0.10117515403327075,0.0,1.0,4.01993989944458
Facebook,0,1161,5250,0.5,0.5,2,0.10117515403327075,0.0,1.0,3.8237433433532715
Facebook,0,1161,5250,0.5,0.5,3,0.10117515403327075,0.0,1.0,4.025548934936523
Facebook,0,1161,5250,0.5,0.5,4,0.10117515403327075,0.0,1.0,3.8317031860351562
Facebook,0,1161,5250,0.5,0.5,5,0.10117515403327075,0.0,1.0,4.046075820922852
Facebook,0,1161,5775,0.55,0.5,1,0.10117515403327075,0.0,1.0,3.8189117908477783
Facebook,0,1161,5775,0.55,0.5,2,0.10117515403327075,0.0,1.0,4.013577938079834
Facebook,0,1161,5775,0.55,0.5,3,0.10117515403327075,0.0,1.0,3.832925796508789
Facebook,0,1161,5775,0.55,0.5,4,0.10117515403327075,0.0,1.0,4.044504165649414
Facebook,0,1161,5775,0.55,0.5,5,0.10117515403327075,0.0,1.0,3.820620059967041
Facebook,0,1161,6300,0.6,0.5,1,0.10117515403327075,0.0,1.0,4.024352073669434
Facebook,0,1161,6300,0.6,0.5,2,0.10117515403327075,0.0,1.0,4.035092353820801
Facebook,0,1161,6300,0.6,0.5,3,0.10117515403327075,0.0,1.0,3.8414039611816406
Facebook,0,1161,6300,0.6,0.5,4,0.10117515403327075,0.0,1.0,3.861236810684204
Facebook,0,1161,6300,0.6,0.5,5,0.10117515403327075,0.0,1.0,4.032516717910767
Facebook,0,1161,6825,0.65,0.5,1,0.10117515403327075,0.0,1.0,3.827770948410034
Facebook,0,1161,6825,0.65,0.5,2,0.10117515403327075,0.0,1.0,4.045984268188477
Facebook,0,1161,6825,0.65,0.5,3,0.10117515403327075,0.0,1.0,3.82080078125
Facebook,0,1161,6825,0.65,0.5,4,0.10117515403327075,0.0,1.0,4.044872045516968
Facebook,0,1161,6825,0.65,0.5,5,0.10117515403327075,0.0,1.0,3.8259499073028564
Facebook,0,1161,7350,0.7,0.5,1,0.10117515403327075,0.0,1.0,4.053398370742798
Facebook,0,1161,7350,0.7,0.5,2,0.10117515403327075,0.0,1.0,3.8518943786621094
Facebook,0,1161,7350,0.7,0.5,3,0.10117515403327075,0.0,1.0,4.05043888092041
Facebook,0,1161,7350,0.7,0.5,4,0.10117515403327075,0.0,1.0,3.8329617977142334
Facebook,0,1161,7350,0.7,0.5,5,0.10117515403327075,0.0,1.0,4.022653818130493
Facebook,0,1161,7875,0.75,0.5,1,0.10117515403327075,0.0,1.0,3.8237407207489014
Facebook,0,1161,7875,0.75,0.5,2,0.10117515403327075,0.0,1.0,4.017231702804565
