network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,0,92,0,0,,0,0.24848327339189824,0.029296875,0.9589277993947255,
Wiki,0,92,0,0,,0,0.2922919829005379,0.022727272727272728,0.7280587980977086,
Wiki,0,92,1,0.01,0.5,1,0.25408838912988485,0.0275,0.6956333765672287,2.217689275741577
Wiki,0,92,1,0.01,0.5,2,0.24510628014696775,0.046875,0.8348465196714224,2.2632155418395996
Wiki,0,92,5,0.05,0.5,1,0.295791569310926,0.02857142857142857,1.0,2.2085890769958496
Wiki,0,92,5,0.05,0.5,2,0.2624462117673914,0.05078125,0.8603545179420666,2.217304229736328
Wiki,0,92,10,0.1,0.5,1,0.2298927789987927,0.05555555555555555,1.0,2.293245553970337
Wiki,0,92,10,0.1,0.5,2,0.2814681035762035,0.03125,0.8724600086467791,2.176262855529785
Wiki,0,92,15,0.15,0.5,1,0.26407569536281794,0.022727272727272728,0.9027237354085603,2.1863231658935547
Wiki,0,92,15,0.15,0.5,2,0.326768470476825,0.032407407407407406,0.9455252918287937,2.324678421020508
Wiki,0,92,20,0.2,0.5,1,0.24124259122674252,0.03125,0.8620838737570256,2.1820547580718994
Wiki,0,92,20,0.2,0.5,2,0.2692325386208721,0.026515151515151516,0.8841331603977518,2.186011791229248
Wiki,0,92,24,0.25,0.5,1,0.29129089661261237,0.02138157894736842,0.8607868568958064,2.1867988109588623
Wiki,0,92,24,0.25,0.5,2,0.2743618364079586,0.022435897435897436,0.9152615650670125,2.2991201877593994
Wiki,0,92,29,0.3,0.5,1,0.26291794734461155,0.05859375,0.9092088197146563,2.1716253757476807
Wiki,0,92,29,0.3,0.5,2,0.2673256238049853,0.03977272727272727,0.9079118028534371,2.1743037700653076
Wiki,0,92,34,0.35,0.5,1,0.2670025658777314,0.021484375,0.7842628620838737,2.306150197982788
Wiki,0,92,34,0.35,0.5,2,0.25468078129259514,0.026515151515151516,0.9156939040207522,2.1844375133514404
Wiki,0,92,39,0.4,0.5,1,0.27271032327594863,0.04861111111111111,0.9053177691309987,2.182614803314209
Wiki,0,92,39,0.4,0.5,2,0.27747414509916773,0.024193548387096774,0.849978383052313,2.183220624923706
Wiki,0,92,44,0.45,0.5,1,0.31784816833097945,0.02546296296296296,0.753134457414613,2.3062009811401367
Wiki,0,92,44,0.45,0.5,2,0.2503378988461834,0.036057692307692304,0.9325551232166018,2.1873693466186523
Wiki,0,92,49,0.5,0.5,1,0.3030167851186847,0.034722222222222224,0.9520103761348897,2.1849467754364014
Wiki,0,92,49,0.5,0.5,2,0.28099641967761835,0.052083333333333336,0.9840034587116299,2.3084332942962646
Wiki,0,92,54,0.55,0.5,1,0.2442743086721317,0.033854166666666664,0.8759187202766969,2.1922447681427
Wiki,0,92,54,0.55,0.5,2,0.27862824020432386,0.036057692307692304,0.949848681366191,2.181529998779297
Wiki,0,92,59,0.6,0.5,1,0.25290377515489704,0.03804347826086957,0.878945092952875,2.1873464584350586
Wiki,0,92,59,0.6,0.5,2,0.28118540656255797,0.027083333333333334,0.8759187202766969,2.316974639892578
Wiki,0,92,64,0.65,0.5,1,0.2767192583608798,0.03125,0.8581928231733679,2.177994728088379
Wiki,0,92,64,0.65,0.5,2,0.2581105312416098,0.04261363636363636,0.914396887159533,2.1781516075134277
Wiki,0,92,69,0.7,0.5,1,0.2643851372016615,0.03869047619047619,0.85473411154345,2.306475877761841
Wiki,0,92,69,0.7,0.5,2,0.3034437139093969,0.022916666666666665,0.7751837440553394,2.1981201171875
Wiki,0,92,74,0.75,0.5,1,0.260888386978951,0.032407407407407406,0.8460873324686554,2.1890008449554443
Wiki,0,92,74,0.75,0.5,2,0.3150811085777696,0.03125,0.8837008214440121,2.1894493103027344
Wiki,0,92,78,0.8,0.5,1,0.28621604422923447,0.026785714285714284,0.8149589277993947,2.313234329223633
Wiki,0,92,78,0.8,0.5,2,0.2749876640404506,0.02364864864864865,0.8672719412019023,2.1817855834960938
Wiki,0,92,83,0.85,0.5,1,0.3057100424503113,0.03365384615384615,0.8893212278426286,2.183636426925659
Wiki,0,92,83,0.85,0.5,2,0.3003681121779756,0.03009259259259259,0.8352788586251622,2.3168394565582275
Wiki,0,92,88,0.9,0.5,1,0.28515560644196913,0.0234375,0.8015564202334631,2.1897621154785156
Wiki,0,92,88,0.9,0.5,2,0.2661699113518826,0.03009259259259259,0.8525724167747514,2.1910207271575928
Wiki,0,92,93,0.95,0.5,1,0.27071339741525874,0.028017241379310345,0.9174232598357112,2.1911332607269287
Wiki,0,92,93,0.95,0.5,2,0.24373025563552284,0.03409090909090909,0.8162559446606139,2.3167190551757812
Wiki,0,92,98,1,0.5,1,0.2791643390346209,0.041666666666666664,1.0,2.1892189979553223
Wiki,0,92,98,1,0.5,2,0.24576968266358207,0.05078125,0.7574578469520103,2.18255352973938
Wiki,1,406,0,0,,0,0.27244641777120726,0.0076650943396226415,0.7823911955977989,
Wiki,1,406,0,0,,0,0.2645265402758599,0.00902061855670103,0.8314157078539269,
Wiki,1,406,13,0.01,0.5,1,0.28796885950057727,0.004415760869565217,0.7898949474737369,2.3014378547668457
Wiki,1,406,13,0.01,0.5,2,0.28152028066447976,0.006578947368421052,0.9054527263631816,2.181333065032959
Wiki,1,406,66,0.05,0.5,1,0.29647749767402437,0.006648936170212766,0.8759379689844923,2.1894214153289795
Wiki,1,406,66,0.05,0.5,2,0.28727276384314715,0.005326704545454545,0.9869934967483742,2.1877522468566895
Wiki,1,406,132,0.1,0.5,1,0.2725825674919249,0.005368098159509203,0.8059029514757379,2.3183560371398926
Wiki,1,406,132,0.1,0.5,2,0.2700948690448223,0.008333333333333333,0.840920460230115,2.1951329708099365
Wiki,1,406,197,0.15,0.5,1,0.258218188948141,0.00946969696969697,0.9729864932466233,2.199498414993286
Wiki,1,406,197,0.15,0.5,2,0.27218887401307923,0.008849557522123894,1.0,2.317500114440918
Wiki,1,406,263,0.2,0.5,1,0.26474815036221444,0.00744047619047619,0.9949974987493747,2.208528757095337
Wiki,1,406,263,0.2,0.5,2,0.2729529995366006,0.004641089108910891,0.9059529764882441,2.207462787628174
Wiki,1,406,329,0.25,0.5,1,0.255599010620574,0.008680555555555556,0.9164582291145573,2.3388400077819824
Wiki,1,406,329,0.25,0.5,2,0.2803331384801036,0.009232954545454546,0.9129564782391195,2.2166662216186523
Wiki,1,406,394,0.3,0.5,1,0.3073876059671797,0.007231404958677686,0.8269134567283641,2.2239835262298584
Wiki,1,406,394,0.3,0.5,2,0.24551678519343498,0.009765625,0.9819909954977488,2.225148916244507
Wiki,1,406,460,0.35,0.5,1,0.253291201028927,0.006291946308724832,0.9804902451225613,2.3562207221984863
Wiki,1,406,460,0.35,0.5,2,0.29092503615390614,0.006208609271523178,0.9094547273636818,2.228283643722534
Wiki,1,406,526,0.4,0.5,1,0.24401585382327703,0.008547008547008548,1.0,2.240856170654297
Wiki,1,406,526,0.4,0.5,2,0.3054476896475845,0.006202290076335878,0.7978989494747374,2.3683905601501465
Wiki,1,406,592,0.45,0.5,1,0.28204485374006416,0.006109022556390977,0.832416208104052,2.2476539611816406
Wiki,1,406,592,0.45,0.5,2,0.2642490936397304,0.009831460674157303,0.8534267133566783,2.2447001934051514
Wiki,1,406,658,0.5,0.5,1,0.2612892378011651,0.008413461538461538,0.8874437218609305,2.252948522567749
Wiki,1,406,658,0.5,0.5,2,0.26148238724039397,0.007386363636363636,0.822911455727864,2.3765103816986084
Wiki,1,406,723,0.55,0.5,1,0.2864255230354924,0.008928571428571428,1.0,2.264954090118408
Wiki,1,406,723,0.55,0.5,2,0.28313441807543666,0.008012820512820512,0.9409704852426213,2.2602250576019287
Wiki,1,406,789,0.6,0.5,1,0.27182239009000997,0.010752688172043012,1.0,2.3930814266204834
Wiki,1,406,789,0.6,0.5,2,0.2725890566318973,0.009101941747572815,0.9069534767383692,2.279299259185791
Wiki,1,406,855,0.65,0.5,1,0.23816899677496076,0.005952380952380952,0.8859429714857429,2.2873899936676025
Wiki,1,406,855,0.65,0.5,2,0.2363463150743233,0.00857843137254902,0.8909454727363681,2.2801592350006104
Wiki,1,406,920,0.7,0.5,1,0.26334883259465847,0.010294117647058823,0.9869934967483742,2.4167864322662354
Wiki,1,406,920,0.7,0.5,2,0.2836178738244473,0.008620689655172414,1.0,2.284994125366211
Wiki,1,406,986,0.75,0.5,1,0.26276794976514195,0.00715648854961832,0.9529764882441221,2.2961390018463135
Wiki,1,406,986,0.75,0.5,2,0.2986786432839902,0.006628787878787879,0.8394197098549274,2.415296792984009
Wiki,1,406,1052,0.8,0.5,1,0.29717627192133705,0.008928571428571428,1.0,2.305345296859741
Wiki,1,406,1052,0.8,0.5,2,0.27600665002615554,0.009433962264150943,1.0,2.3120317459106445
Wiki,1,406,1118,0.85,0.5,1,0.29352462413585856,0.00997340425531915,0.9089544772386193,2.4870996475219727
Wiki,1,406,1118,0.85,0.5,2,0.24838544564003354,0.00819672131147541,1.0,2.3079094886779785
Wiki,1,406,1184,0.9,0.5,1,0.2622934580549238,0.009523809523809525,1.0,2.214372158050537
Wiki,1,406,1184,0.9,0.5,2,0.2502306746070283,0.008680555555555556,0.9159579789894947,2.2068378925323486
Wiki,1,406,1249,0.95,0.5,1,0.3083593031366261,0.007575757575757576,1.0,2.353888750076294
Wiki,1,406,1249,0.95,0.5,2,0.24503831019314723,0.011513157894736841,0.8214107053526764,2.252371072769165
Wiki,1,406,1315,1,0.5,1,0.26874464095335,0.008928571428571428,0.9024512256128064,2.212761402130127
Wiki,1,406,1315,1,0.5,2,0.2757229486015896,0.011574074074074073,0.9154577288644322,2.4002137184143066
Wiki,2,203,0,0,,0,0.29161895059246273,0.004243827160493827,0.6403269754768393,
Wiki,2,203,0,0,,0,0.2972760890409363,0.004629629629629629,0.5504087193460491,
Wiki,2,203,7,0.01,0.5,1,0.281840096604465,0.004166666666666667,0.6244323342415985,2.073326826095581
Wiki,2,203,7,0.01,0.5,2,0.28510640470469834,0.00625,0.659400544959128,2.068756341934204
Wiki,2,203,34,0.05,0.5,1,0.2948115459132751,0.006521739130434782,0.8024523160762943,2.199367046356201
Wiki,2,203,34,0.05,0.5,2,0.24179157658670888,0.007911392405063292,0.5631244323342416,2.0704922676086426
Wiki,2,203,68,0.1,0.5,1,0.3114065128278362,0.0031847133757961785,0.47547683923705725,2.0725576877593994
Wiki,2,203,68,0.1,0.5,2,0.2443831587699945,0.007902298850574713,0.818346957311535,2.076814889907837
Wiki,2,203,103,0.15,0.5,1,0.2587218677024215,0.007731958762886598,0.7316076294277929,2.250831127166748
Wiki,2,203,103,0.15,0.5,2,0.2994361800995648,0.0047413793103448275,0.7161671207992734,2.1095540523529053
Wiki,2,203,137,0.2,0.5,1,0.2952983048652957,0.007472826086956522,0.7511353315168029,2.101606607437134
Wiki,2,203,137,0.2,0.5,2,0.25742243817353405,0.0033333333333333335,0.5249772933696639,2.2502496242523193
Wiki,2,203,171,0.25,0.5,1,0.26986800236024383,0.005859375,0.737511353315168,2.1026060581207275
Wiki,2,203,171,0.25,0.5,2,0.3005911169145035,0.005803571428571429,0.7910990009082652,2.1017661094665527
Wiki,2,203,206,0.3,0.5,1,0.2974922106020282,0.007716049382716049,0.5908265213442325,2.2553765773773193
Wiki,2,203,206,0.3,0.5,2,0.27061993891518465,0.005555555555555556,0.6848319709355132,2.1012825965881348
Wiki,2,203,240,0.35,0.5,1,0.2562135712037061,0.006313131313131313,0.6267029972752044,2.1052937507629395
Wiki,2,203,240,0.35,0.5,2,0.2585613379337744,0.006448412698412698,0.8079019073569482,2.1038715839385986
Wiki,2,203,274,0.4,0.5,1,0.28193581590589273,0.006674757281553398,0.7306993642143506,2.22531795501709
Wiki,2,203,274,0.4,0.5,2,0.2718399478037718,0.011443661971830986,0.8097184377838329,2.112687587738037
Wiki,2,203,308,0.45,0.5,1,0.27151842503743695,0.007472826086956522,0.5826521344232516,2.1114120483398438
Wiki,2,203,308,0.45,0.5,2,0.2939785287113173,0.006740196078431373,0.6707538601271571,2.255107879638672
Wiki,2,203,342,0.5,0.5,1,0.2888633634325153,0.007523148148148148,0.9064486830154405,2.135892868041992
Wiki,2,203,342,0.5,0.5,2,0.27445717811464204,0.008413461538461538,0.9227974568574023,2.1072912216186523
Wiki,2,203,377,0.55,0.5,1,0.2892630116782829,0.009558823529411765,0.8306085376930064,2.116314172744751
Wiki,2,203,377,0.55,0.5,2,0.29112502916564487,0.007888349514563107,0.793369663941871,2.2469396591186523
Wiki,2,203,411,0.6,0.5,1,0.25938654750248485,0.016826923076923076,0.8937329700272479,2.1268954277038574
Wiki,2,203,411,0.6,0.5,2,0.2538313242809104,0.009615384615384616,0.7970027247956403,2.121140480041504
Wiki,2,203,445,0.65,0.5,1,0.26975102707461873,0.010802469135802469,0.8614895549500454,2.2517127990722656
Wiki,2,203,445,0.65,0.5,2,0.2558796930458898,0.01838235294117647,0.9191643960036331,2.1314382553100586
Wiki,2,203,479,0.7,0.5,1,0.2649489247110216,0.012152777777777778,0.8891916439600364,2.128478527069092
Wiki,2,203,479,0.7,0.5,2,0.23512443856659354,0.013992537313432836,0.9931880108991825,2.124375581741333
Wiki,2,203,514,0.75,0.5,1,0.26064174557401476,0.00636574074074074,0.709355131698456,2.254438638687134
Wiki,2,203,514,0.75,0.5,2,0.26333887072948375,0.011029411764705883,0.7488646684831971,2.1328506469726562
Wiki,2,203,548,0.8,0.5,1,0.2848568932729709,0.011986301369863013,0.8937329700272479,2.131575345993042
Wiki,2,203,548,0.8,0.5,2,0.29083811289088574,0.007954545454545454,0.8419618528610354,2.2651288509368896
Wiki,2,203,582,0.85,0.5,1,0.24211661783430025,0.008522727272727272,0.7361489554950046,2.142077922821045
Wiki,2,203,582,0.85,0.5,2,0.23876873291049855,0.01266891891891892,0.9663941871026339,2.1388328075408936
Wiki,2,203,616,0.9,0.5,1,0.2635764196954321,0.009129213483146067,0.818346957311535,2.1422176361083984
Wiki,2,203,616,0.9,0.5,2,0.24102632570253488,0.010775862068965518,0.9305177111716622,2.285923480987549
Wiki,2,203,651,0.95,0.5,1,0.24071021394727604,0.010190217391304348,0.9455040871934605,2.1491870880126953
Wiki,2,203,651,0.95,0.5,2,0.25014613374033096,0.013392857142857142,0.9296094459582198,2.1500403881073
Wiki,2,203,685,1,0.5,1,0.28364414991002423,0.01425438596491228,0.8292461398728429,2.2811877727508545
Wiki,2,203,685,1,0.5,2,0.25187484184596726,0.008463541666666666,0.7524977293369663,2.158001184463501
Wiki,3,103,0,0,,0,0.25905163240197127,0.005208333333333333,0.5334491746307559,
Wiki,3,103,0,0,,0,0.2610427446136376,0.004807692307692308,0.45047784535186797,
Wiki,3,103,10,0.01,0.5,1,0.26810944682033533,0.003633720930232558,0.33492615117289315,2.075653553009033
Wiki,3,103,10,0.01,0.5,2,0.2795418720414727,0.0027472527472527475,0.21242397914856648,2.1989245414733887
Wiki,3,103,52,0.05,0.5,1,0.2747124995105,0.003955696202531646,0.2932232841007819,2.0830254554748535
Wiki,3,103,52,0.05,0.5,2,0.2904614001938519,0.003472222222222222,0.3788010425716768,2.0812368392944336
Wiki,3,103,104,0.1,0.5,1,0.26048571597205517,0.003676470588235294,0.32363162467419637,2.086764335632324
