network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,0,92,0,0,,0,0.27141940292391725,0.039473684210526314,0.8166882836143536,
Wiki,0,92,0,0,,0,0.24017331672725817,0.025,0.9468223086900129,
Wiki,0,92,1,0.01,0.5,1,0.2765209942833876,0.03017241379310345,0.8858625162127107,2.2500994205474854
Wiki,0,92,1,0.01,0.5,2,0.24370597928601748,0.041666666666666664,0.8958063121487246,2.118262529373169
Wiki,0,92,5,0.05,0.5,1,0.2782715636029667,0.02389705882352941,0.7751837440553394,2.1558942794799805
Wiki,0,92,5,0.05,0.5,2,0.28421916183364604,0.06770833333333333,0.8175529615218331,2.1601269245147705
Wiki,0,92,10,0.1,0.5,1,0.2391540490958748,0.024193548387096774,0.7799394725464764,2.2445874214172363
Wiki,0,92,10,0.1,0.5,2,0.28641697554508716,0.024305555555555556,0.9031560743623,2.1124324798583984
Wiki,0,92,15,0.15,0.5,1,0.2505109347237342,0.04261363636363636,0.9156939040207522,2.1319169998168945
Wiki,0,92,15,0.15,0.5,2,0.29444720545782527,0.033482142857142856,0.9312581063553826,2.2788829803466797
Wiki,0,92,20,0.2,0.5,1,0.3278798586744244,0.0275,0.6830955469087765,2.116638422012329
Wiki,0,92,20,0.2,0.5,2,0.29706083226315544,0.033482142857142856,0.993514915693904,2.1033010482788086
Wiki,0,92,24,0.25,0.5,1,0.27830029018428404,0.05078125,0.8616515348032858,2.122208595275879
Wiki,0,92,24,0.25,0.5,2,0.2721751456014165,0.04513888888888889,0.8292261132728059,2.237154483795166
Wiki,0,92,29,0.3,0.5,1,0.2220975727081623,0.028645833333333332,0.7652399481193255,2.136735439300537
Wiki,0,92,29,0.3,0.5,2,0.29798367214204474,0.032407407407407406,0.9001297016861219,2.1745901107788086
Wiki,0,92,34,0.35,0.5,1,0.30053415016650303,0.0234375,0.8400345871162992,2.2581987380981445
Wiki,0,92,34,0.35,0.5,2,0.26953634641109664,0.028017241379310345,0.8348465196714224,2.1309587955474854
Wiki,0,92,39,0.4,0.5,1,0.27105205372847935,0.036458333333333336,0.914396887159533,2.125030040740967
Wiki,0,92,39,0.4,0.5,2,0.2762906162196475,0.02857142857142857,1.0,2.1317577362060547
