network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,0,0,,0,0.4076027784136392,0.001910828025477707,0.5252800484408113,
Facebook,1,736,0,0,,0,0.38319533387477384,0.002531645569620253,0.6987587042082954,
Facebook,1,736,0,0,,0,0.1745908194803562,0.0,1.0,
Facebook,1,736,52,0.01,0.5,1,0.1745908194803562,0.0,1.0,4.425406217575073
Facebook,1,736,52,0.01,0.5,2,0.4238645576536939,0.0018223234624145787,0.6615198304571601,4.236943006515503
Facebook,1,736,52,0.01,0.5,3,0.1745908194803562,0.0,1.0,4.469729423522949
Facebook,1,736,52,0.01,0.5,4,0.38018293741443804,0.0019704433497536944,0.6636391159551922,4.102581739425659
Facebook,1,736,52,0.01,0.5,5,0.3037937051813084,0.003436426116838488,1.0,4.226328372955322
Facebook,1,736,262,0.05,0.5,1,0.413337628912599,0.0023391812865497076,0.7254011504692703,4.0865678787231445
Facebook,1,736,262,0.05,0.5,2,0.1745908194803562,0.0,1.0,4.33977198600769
Facebook,1,736,262,0.05,0.5,3,0.1745908194803562,0.0,1.0,4.3726115226745605
Facebook,1,736,262,0.05,0.5,4,0.1745908194803562,0.0,1.0,4.221185684204102
Facebook,1,736,262,0.05,0.5,5,0.1745908194803562,0.0,1.0,4.394708633422852
Facebook,1,736,524,0.1,0.5,1,0.1745908194803562,0.0,1.0,4.189428329467773
Facebook,1,736,524,0.1,0.5,2,0.35427086254106077,0.003246753246753247,1.0,4.256937503814697
Facebook,1,736,524,0.1,0.5,3,0.36031797360019124,0.0032388663967611335,0.6796851347260067,4.085572242736816
Facebook,1,736,524,0.1,0.5,4,0.35210128887211317,0.002909090909090909,0.7026945201332122,4.168058156967163
Facebook,1,736,524,0.1,0.5,5,0.1745908194803562,0.0,1.0,4.2193872928619385
Facebook,1,736,787,0.15,0.5,1,0.37704620152057045,0.003663003663003663,1.0,4.204243898391724
Facebook,1,736,787,0.15,0.5,2,0.4034034216207157,0.0027491408934707906,0.6890705419315774,4.0893940925598145
Facebook,1,736,787,0.15,0.5,3,0.1745908194803562,0.0,1.0,4.368304014205933
Facebook,1,736,787,0.15,0.5,4,0.1745908194803562,0.0,1.0,4.245431900024414
Facebook,1,736,787,0.15,0.5,5,0.4072762991616827,0.0036496350364963502,1.0,4.2665488719940186
Facebook,1,736,1049,0.2,0.5,1,0.1745908194803562,0.0,1.0,4.233205556869507
Facebook,1,736,1049,0.2,0.5,2,0.1745908194803562,0.0,1.0,4.418867349624634
Facebook,1,736,1049,0.2,0.5,3,0.41342797130874354,0.002105263157894737,0.6939146230699365,4.084115028381348
Facebook,1,736,1049,0.2,0.5,4,0.1745908194803562,0.0,1.0,4.4234702587127686
Facebook,1,736,1049,0.2,0.5,5,0.1745908194803562,0.0,1.0,4.220338344573975
Facebook,1,736,1311,0.25,0.5,1,0.1745908194803562,0.0,1.0,4.408270835876465
Facebook,1,736,1311,0.25,0.5,2,0.1745908194803562,0.0,1.0,4.380119323730469
Facebook,1,736,1311,0.25,0.5,3,0.36069272044073863,0.004329004329004329,1.0,4.118836164474487
Facebook,1,736,1311,0.25,0.5,4,0.1745908194803562,0.0,1.0,4.341396808624268
Facebook,1,736,1311,0.25,0.5,5,0.3947111922438999,0.003236245954692557,1.0,4.087347984313965
Facebook,1,736,1573,0.3,0.5,1,0.1745908194803562,0.0,1.0,4.357112407684326
Facebook,1,736,1573,0.3,0.5,2,0.3934502814281878,0.002197802197802198,0.6863457462912503,4.116282939910889
Facebook,1,736,1573,0.3,0.5,3,0.1745908194803562,0.0,1.0,4.3850181102752686
Facebook,1,736,1573,0.3,0.5,4,0.33206409999268816,0.0026666666666666666,0.6872540115046927,4.105716705322266
Facebook,1,736,1573,0.3,0.5,5,0.41726675053860934,0.0036101083032490976,1.0,4.261170148849487
Facebook,1,736,1835,0.35,0.5,1,0.1745908194803562,0.0,1.0,4.225821018218994
Facebook,1,736,1835,0.35,0.5,2,0.335212235679917,0.003952569169960474,1.0,4.234384536743164
Facebook,1,736,1835,0.35,0.5,3,0.1745908194803562,0.0,1.0,4.3890440464019775
Facebook,1,736,1835,0.35,0.5,4,0.1745908194803562,0.0,1.0,4.227671146392822
Facebook,1,736,1835,0.35,0.5,5,0.1745908194803562,0.0,1.0,4.388322591781616
Facebook,1,736,2098,0.4,0.5,1,0.1745908194803562,0.0,1.0,4.2049784660339355
Facebook,1,736,2098,0.4,0.5,2,0.35534803931653813,0.003215434083601286,1.0,4.203510999679565
Facebook,1,736,2098,0.4,0.5,3,0.1745908194803562,0.0,1.0,4.206966161727905
Facebook,1,736,2098,0.4,0.5,4,0.36495172945124443,0.0028328611898017,1.0,4.235584497451782
Facebook,1,736,2098,0.4,0.5,5,0.40464242224711156,0.003134796238244514,1.0,4.102577209472656
Facebook,1,736,2360,0.45,0.5,1,0.1745908194803562,0.0,1.0,4.404032468795776
