network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,1,169,0,0,,0,0.4053416801193378,0.004359197907585004,0.2428443649373882,
Wiki,1,169,0,0,,0,0.4027230957765693,0.010333863275039745,0.3470483005366726,
Wiki,1,169,0,0,,0,0.44565107468136955,0.0034211426616489907,0.20930232558139536,
Wiki,1,169,0,0,,0,0.43116103349354157,0.003417210313762038,0.2652057245080501,
Wiki,1,169,0,0,,0,0.4259285188747895,0.005405405405405406,0.2808586762075134,
Wiki,1,169,4,0.01,0.5,1,0.4466252549950932,0.004406580493537015,0.37880143112701253,2.3455002307891846
Wiki,1,169,4,0.01,0.5,2,0.44518290774393093,0.009009009009009009,0.29338103756708406,1.6387755870819092
Wiki,1,169,4,0.01,0.5,3,0.42344190252091324,0.003931203931203931,0.16547406082289803,1.5694808959960938
Wiki,1,169,4,0.01,0.5,4,0.42024639665575114,0.0034749034749034747,0.193649373881932,1.6139371395111084
Wiki,1,169,4,0.01,0.5,5,0.41351645591746305,0.008680555555555556,0.3904293381037567,1.4278674125671387
Wiki,1,169,19,0.05,0.5,1,0.4006756545773447,0.004158004158004158,0.31171735241502685,1.4771411418914795
Wiki,1,169,19,0.05,0.5,2,0.42088499755603853,0.0037162162162162164,0.24821109123434704,1.5311055183410645
Wiki,1,169,19,0.05,0.5,3,0.38373703512591156,0.011466011466011465,0.3300536672629696,1.6012706756591797
Wiki,1,169,19,0.05,0.5,4,0.43429597124527364,0.005405405405405406,0.2562611806797853,1.470452070236206
Wiki,1,169,19,0.05,0.5,5,0.42580210765862664,0.004129129129129129,0.2750447227191413,1.4720301628112793
Wiki,1,169,38,0.1,0.5,1,0.41291470794391244,0.007936507936507936,0.35196779964221825,1.6387546062469482
Wiki,1,169,38,0.1,0.5,2,0.4402895209907086,0.004914004914004914,0.3206618962432916,1.5300953388214111
Wiki,1,169,38,0.1,0.5,3,0.4288161801161556,0.008050603795284647,0.41010733452593917,1.5308232307434082
Wiki,1,169,38,0.1,0.5,4,0.456583866681813,0.00620891161431702,0.40518783542039355,1.51375412940979
Wiki,1,169,38,0.1,0.5,5,0.40017692188325127,0.007586533902323376,0.39311270125223613,1.6169984340667725
Wiki,1,169,57,0.15,0.5,1,0.4185688519978146,0.01209103840682788,0.4847942754919499,1.504915714263916
Wiki,1,169,57,0.15,0.5,2,0.46195142197919453,0.007260992335619202,0.4494633273703041,1.4959101676940918
Wiki,1,169,57,0.15,0.5,3,0.46072589930077856,0.011486486486486487,0.4141323792486583,1.634000301361084
Wiki,1,169,57,0.15,0.5,4,0.4437499990924958,0.005616005616005616,0.37164579606440074,1.527299165725708
Wiki,1,169,57,0.15,0.5,5,0.42071188319965264,0.008479067302596715,0.4217352415026834,1.5206782817840576
Wiki,1,169,76,0.2,0.5,1,0.4296746314547126,0.012226512226512226,0.5080500894454383,1.518406867980957
Wiki,1,169,76,0.2,0.5,2,0.4596125700966582,0.005405405405405406,0.39177101967799643,1.610421895980835
Wiki,1,169,76,0.2,0.5,3,0.40965382875113493,0.014742014742014743,0.4163685152057245,1.478879451751709
Wiki,1,169,76,0.2,0.5,4,0.45114939610390475,0.009615384615384616,0.4986583184257603,1.4803078174591064
Wiki,1,169,76,0.2,0.5,5,0.3792231580110923,0.007722007722007722,0.370304114490161,1.6426467895507812
Wiki,1,169,95,0.25,0.5,1,0.4070382316376778,0.006652806652806653,0.3372093023255814,1.531907558441162
Wiki,1,169,95,0.25,0.5,2,0.42111457668322194,0.005405405405405406,0.3546511627906977,1.5170073509216309
Wiki,1,169,95,0.25,0.5,3,0.41263652760218017,0.011128775834658187,0.32513416815742396,1.516284465789795
Wiki,1,169,95,0.25,0.5,4,0.45038109403869625,0.011752136752136752,0.554561717352415,1.6283893585205078
Wiki,1,169,95,0.25,0.5,5,0.4142923956268646,0.009875259875259876,0.4892665474060823,1.4690141677856445
Wiki,1,169,114,0.3,0.5,1,0.44897965420065955,0.007335907335907336,0.46288014311270126,1.48097562789917
Wiki,1,169,114,0.3,0.5,2,0.37533897227964996,0.008669046404895462,0.4279964221824687,1.6880168914794922
Wiki,1,169,114,0.3,0.5,3,0.43091995241350783,0.0074106364428945075,0.49105545617173524,1.5381360054016113
Wiki,1,169,114,0.3,0.5,4,0.4163139407321875,0.016047297297297296,0.46869409660107336,1.5249261856079102
Wiki,1,169,114,0.3,0.5,5,0.3983664576659673,0.016358463726884778,0.5541144901610018,1.5193986892700195
Wiki,1,169,133,0.35,0.5,1,0.40443830059601926,0.007780507780507781,0.49016100178890876,1.6264102458953857
Wiki,1,169,133,0.35,0.5,2,0.3901610324981299,0.007761437908496732,0.5080500894454383,1.478719711303711
Wiki,1,169,133,0.35,0.5,3,0.4073929407468423,0.015246015246015246,0.5590339892665475,1.4724748134613037
Wiki,1,169,133,0.35,0.5,4,0.40976339791014205,0.01521164021164021,0.6699463327370304,1.6334989070892334
Wiki,1,169,133,0.35,0.5,5,0.42186125110268097,0.010698198198198198,0.5254919499105546,1.516002893447876
Wiki,1,169,152,0.4,0.5,1,0.3932283800362925,0.012134583563154992,0.5635062611806798,1.516167402267456
Wiki,1,169,152,0.4,0.5,2,0.4384200668313594,0.011218765935747067,0.5259391771019678,1.5199658870697021
Wiki,1,169,152,0.4,0.5,3,0.43387207824925017,0.006756756756756757,0.5366726296958855,1.6413209438323975
Wiki,1,169,152,0.4,0.5,4,0.41258402172281394,0.016800584368151936,0.6131484794275492,1.5480828285217285
Wiki,1,169,152,0.4,0.5,5,0.4013461275845153,0.015246015246015246,0.580948121645796,1.5184001922607422
Wiki,1,169,171,0.45,0.5,1,0.4583886725012999,0.01,0.48524150268336314,1.6337928771972656
Wiki,1,169,171,0.45,0.5,2,0.4270021008193195,0.011728395061728396,0.5326475849731663,1.516627311706543
Wiki,1,169,171,0.45,0.5,3,0.4087439889403869,0.017780938833570414,0.6475849731663685,1.5164856910705566
Wiki,1,169,171,0.45,0.5,4,0.4165168887180187,0.013513513513513514,0.554561717352415,1.522317886352539
Wiki,1,169,171,0.45,0.5,5,0.4246721896780884,0.020475020475020474,0.6288014311270125,1.6393742561340332
Wiki,1,169,190,0.5,0.5,1,0.4310819957397536,0.016891891891891893,0.5053667262969589,1.4742660522460938
Wiki,1,169,190,0.5,0.5,2,0.4561335533453547,0.013513513513513514,0.6440071556350626,1.480628490447998
Wiki,1,169,190,0.5,0.5,3,0.41271858374090137,0.011218765935747067,0.5916815742397138,1.6398651599884033
Wiki,1,169,190,0.5,0.5,4,0.4234526700351181,0.012899262899262898,0.5290697674418605,1.5198571681976318
Wiki,1,169,190,0.5,0.5,5,0.4260572261658631,0.011750881316098707,0.5335420393559929,1.5082051753997803
Wiki,1,169,208,0.55,0.5,1,0.4155456781553694,0.0126861555432984,0.6323792486583184,1.5215463638305664
Wiki,1,169,208,0.55,0.5,2,0.4265327173106874,0.017361111111111112,0.7079606440071556,1.6535758972167969
Wiki,1,169,208,0.55,0.5,3,0.4156315098173855,0.016216216216216217,0.5796064400715564,1.522153377532959
Wiki,1,169,208,0.55,0.5,4,0.3848347257250567,0.012432432432432432,0.6118067978533095,1.4931294918060303
Wiki,1,169,208,0.55,0.5,5,0.4343727998804782,0.01593901593901594,0.6006261180679785,1.641880750656128
Wiki,1,169,227,0.6,0.5,1,0.4110077893852913,0.022804054054054054,0.7419499105545617,1.5192139148712158
Wiki,1,169,227,0.6,0.5,2,0.4141155778878198,0.010395010395010396,0.5313059033989267,1.527390956878662
Wiki,1,169,227,0.6,0.5,3,0.4140945967047548,0.010198878123406425,0.49105545617173524,1.5198249816894531
Wiki,1,169,227,0.6,0.5,4,0.43972240717618905,0.01295045045045045,0.5988372093023255,1.6097991466522217
Wiki,1,169,227,0.6,0.5,5,0.4546002952551893,0.014864864864864866,0.5957066189624329,1.4761242866516113
Wiki,1,169,246,0.65,0.5,1,0.4213884901849958,0.01571338780641106,0.6744186046511628,1.4736328125
Wiki,1,169,246,0.65,0.5,2,0.4180785752305861,0.010068892421833599,0.48881932021466906,1.6306309700012207
Wiki,1,169,246,0.65,0.5,3,0.446317858473184,0.016632016632016633,0.37835420393559926,1.5200746059417725
Wiki,1,169,246,0.65,0.5,4,0.4073497012549796,0.014278429372768995,0.7455277280858676,1.5173354148864746
Wiki,1,169,246,0.65,0.5,5,0.42238998030593133,0.012925969447708578,0.5992844364937389,1.5127079486846924
Wiki,1,169,265,0.7,0.5,1,0.44031614679127457,0.02050326188257223,0.5491949910554562,1.6582400798797607
Wiki,1,169,265,0.7,0.5,2,0.4044172891841162,0.02702702702702703,0.5724508050089445,1.5192935466766357
Wiki,1,169,265,0.7,0.5,3,0.4079876803490565,0.010897994768962511,0.684257602862254,1.512552261352539
Wiki,1,169,265,0.7,0.5,4,0.39979629720446547,0.009595959595959595,0.501788908765653,1.6311404705047607
Wiki,1,169,265,0.7,0.5,5,0.4146479655307975,0.01981981981981982,0.5630590339892666,1.5128870010375977
Wiki,1,169,284,0.75,0.5,1,0.37650376696365345,0.010296010296010296,0.6247763864042933,1.512535572052002
Wiki,1,169,284,0.75,0.5,2,0.4044148704224083,0.013237727523441808,0.6623434704830053,1.6379187107086182
Wiki,1,169,284,0.75,0.5,3,0.4282929054318517,0.0171990171990172,0.582737030411449,1.5194456577301025
Wiki,1,169,284,0.75,0.5,4,0.3903136014655639,0.013813813813813814,0.6346153846153846,1.513963222503662
Wiki,1,169,284,0.75,0.5,5,0.42669173062192994,0.02702702702702703,0.6967799642218246,1.5123107433319092
Wiki,1,169,303,0.8,0.5,1,0.4150556250428202,0.028846153846153848,0.7146690518783542,1.8595447540283203
Wiki,1,169,303,0.8,0.5,2,0.40199748070771557,0.013750592697961118,0.7884615384615384,8.435566186904907
Wiki,1,169,303,0.8,0.5,3,0.3844358595947353,0.023299161230195712,0.6225402504472272,1.5241122245788574
Wiki,1,169,303,0.8,0.5,4,0.42504976566874536,0.03567567567567568,0.8770125223613596,1.648413896560669
Wiki,1,169,303,0.8,0.5,5,0.4321199432040988,0.021183345507669833,0.8099284436493739,1.5097427368164062
Wiki,1,169,322,0.85,0.5,1,0.41486293489730725,0.015161502966381015,0.603309481216458,1.5231044292449951
Wiki,1,169,322,0.85,0.5,2,0.4402922396396373,0.021294021294021293,0.7674418604651163,1.5222125053405762
Wiki,1,169,322,0.85,0.5,3,0.4177636953619198,0.02882882882882883,0.8734347048300537,1.6464462280273438
Wiki,1,169,322,0.85,0.5,4,0.4352393318718679,0.01866151866151866,0.7915921288014311,1.5187389850616455
Wiki,1,169,322,0.85,0.5,5,0.40919481146960135,0.03290246768507638,0.7772808586762076,1.5198867321014404
Wiki,1,169,341,0.9,0.5,1,0.4163524158498048,0.029922779922779922,0.8220035778175313,1.6620149612426758
Wiki,1,169,341,0.9,0.5,2,0.42700966771307447,0.015356265356265357,0.6605545617173524,1.5270276069641113
Wiki,1,169,341,0.9,0.5,3,0.41444553714394794,0.016070124178232285,0.6176207513416816,1.514451265335083
Wiki,1,169,341,0.9,0.5,4,0.4068282485632158,0.03490990990990991,0.8412343470483006,1.5210208892822266
Wiki,1,169,341,0.9,0.5,5,0.3864032267066225,0.016087516087516088,0.6681574239713775,1.6419851779937744
Wiki,1,169,360,0.95,0.5,1,0.4311148917749698,0.02927927927927928,0.6475849731663685,1.5299575328826904
