network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,0,0.8407075562298193,0.0001268874508311128,0.002549651100375738,
BitcoinTransactions,1,428,0,0,,0,0.8192185618972786,0.00012442453651860148,0.0013419216317767043,
BitcoinTransactions,1,428,0,0,,0,0.7978293138152144,0.0,0.0,
BitcoinTransactions,1,428,0,0,,0,0.8078603680674917,0.00018841854038437382,0.03784219001610306,
BitcoinTransactions,1,428,0,0,,0,0.8089646222691185,0.00012900728891182352,0.004562533548040795,
BitcoinTransactions,1,428,0,0,,0,0.8018001316305017,0.00013025073266037122,0.00644122383252818,
BitcoinTransactions,1,428,0,0,,0,0.7791795340310617,6.546216286986122e-05,0.00040257648953301127,
BitcoinTransactions,1,428,0,0,,0,0.7849351012664997,6.221226825930074e-05,0.008722490606548578,
BitcoinTransactions,1,428,0,0,,0,0.809722721264871,0.000131250820317627,0.0024154589371980675,
BitcoinTransactions,1,428,0,0,,0,0.7712381068767574,0.00013190871916633689,0.00630703166935051,
BitcoinTransactions,1,428,0,0,,0,0.7597106446869291,8.861320336730173e-05,0.004965110037573806,
BitcoinTransactions,1,428,0,0,,0,0.8042613937704407,0.00019213526322531062,0.033950617283950615,
BitcoinTransactions,1,428,0,0,,0,0.8244446030006773,6.612007405448295e-05,0.00013419216317767042,
BitcoinTransactions,1,428,0,0,,0,0.8519910456654046,0.0001939738781844045,0.01610305958132045,
BitcoinTransactions,1,428,0,0,,0,0.7663274769189571,0.00020372130924894744,0.012077294685990338,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.1389178519806539,0.004445234708392603,0.6583467525496511,6.302041530609131
BitcoinTransactions,1,428,4,0.01,0.5,2,0.142031222448011,0.0032690421706440013,0.5166398282340311,5.573845386505127
BitcoinTransactions,1,428,4,0.01,0.5,3,0.154297610329493,0.0037593984962406013,0.4915458937198068,5.503780364990234
BitcoinTransactions,1,428,4,0.01,0.5,4,0.13631402041427576,0.0031847133757961785,0.47611379495437467,5.629104137420654
BitcoinTransactions,1,428,4,0.01,0.5,5,0.1406070784371943,0.003629764065335753,0.5301932367149759,5.6295037269592285
BitcoinTransactions,1,428,4,0.01,0.5,6,0.1462186019730687,0.0033891547049441787,0.44712828770799784,5.63104248046875
BitcoinTransactions,1,428,4,0.01,0.5,7,0.15817297988560577,0.004620329449578144,0.582662372517445,5.805167198181152
BitcoinTransactions,1,428,4,0.01,0.5,8,0.13012066647223614,0.0032355478861087143,0.3766774020397209,6.008700847625732
BitcoinTransactions,1,428,4,0.01,0.5,9,0.1451037183705082,0.0030303030303030303,0.49557165861513686,5.624021053314209
BitcoinTransactions,1,428,4,0.01,0.5,10,0.15712568647554626,0.0034965034965034965,0.4895330112721417,5.831619739532471
BitcoinTransactions,1,428,4,0.01,0.5,11,0.14895449841505148,0.004317434210526316,0.5371712292002148,5.7099244594573975
BitcoinTransactions,1,428,4,0.01,0.5,12,0.14282511049891744,0.004181013280865716,0.42713365539452497,5.5983076095581055
BitcoinTransactions,1,428,4,0.01,0.5,13,0.1555472001435166,0.004492939666238768,0.5407944176060118,5.574145793914795
BitcoinTransactions,1,428,4,0.01,0.5,14,0.15382131614571495,0.0035323207347227126,0.5304616210413312,5.565180778503418
BitcoinTransactions,1,428,4,0.01,0.5,15,0.14181264192710552,0.004093567251461989,0.53341384863124,5.459950923919678
BitcoinTransactions,1,428,22,0.05,0.5,1,0.1529267480364518,0.0033291058972733036,0.534219001610306,5.581032752990723
BitcoinTransactions,1,428,22,0.05,0.5,2,0.1488097458568852,0.004516889238020424,0.5904455179817498,5.58265233039856
BitcoinTransactions,1,428,22,0.05,0.5,3,0.15239974102205014,0.0023923444976076554,0.41451959205582395,5.5817999839782715
BitcoinTransactions,1,428,22,0.05,0.5,4,0.14859463729189296,0.003898635477582846,0.5993022007514761,5.576205253601074
BitcoinTransactions,1,428,22,0.05,0.5,5,0.14114132162685195,0.0030198446937014668,0.5393183038110574,5.596509218215942
BitcoinTransactions,1,428,22,0.05,0.5,6,0.1401619152515436,0.0037593984962406013,0.4934245840042942,5.6065826416015625
BitcoinTransactions,1,428,22,0.05,0.5,7,0.13951635363496928,0.0029239766081871343,0.3166935050993022,5.604248285293579
BitcoinTransactions,1,428,22,0.05,0.5,8,0.13856097895797886,0.003568242640499554,0.3934514224369297,5.601825714111328
BitcoinTransactions,1,428,22,0.05,0.5,9,0.14115951487203657,0.00348297213622291,0.46081588835212023,5.577037811279297
BitcoinTransactions,1,428,22,0.05,0.5,10,0.14373050845680763,0.005430242272347535,0.6849168008588299,5.600711107254028
BitcoinTransactions,1,428,22,0.05,0.5,11,0.14217839017044495,0.011145510835913313,0.9402844873859366,5.60789680480957
BitcoinTransactions,1,428,22,0.05,0.5,12,0.170495552054589,0.0031954887218045114,0.4209608158883521,5.591874361038208
BitcoinTransactions,1,428,22,0.05,0.5,13,0.130097557764096,0.0035714285714285713,0.48242082662372515,5.445435285568237
BitcoinTransactions,1,428,22,0.05,0.5,14,0.14832094132078188,0.004063467492260062,0.525630703166935,5.586174488067627
BitcoinTransactions,1,428,22,0.05,0.5,15,0.1507071601336067,0.0043859649122807015,0.5950080515297906,5.592979192733765
BitcoinTransactions,1,428,43,0.1,0.5,1,0.14741375269155096,0.003029155622870125,0.3996242619431025,5.577938556671143
BitcoinTransactions,1,428,43,0.1,0.5,2,0.14587043117247794,0.003266787658802178,0.4500805152979066,5.599264144897461
BitcoinTransactions,1,428,43,0.1,0.5,3,0.13751509508640064,0.0029060381013884403,0.45356951154052605,5.556447267532349
BitcoinTransactions,1,428,43,0.1,0.5,4,0.15022746052334393,0.005116959064327485,0.5291196994095545,5.584216833114624
BitcoinTransactions,1,428,43,0.1,0.5,5,0.16062515827437537,0.0037280701754385964,0.43156199677938806,5.5866594314575195
BitcoinTransactions,1,428,43,0.1,0.5,6,0.1537275153871255,0.005070014485755674,0.5363660762211487,5.599100589752197
BitcoinTransactions,1,428,43,0.1,0.5,7,0.14512619019683606,0.002819548872180451,0.2830112721417069,5.576914310455322
BitcoinTransactions,1,428,43,0.1,0.5,8,0.14175552928845045,0.003711201079622132,0.5683038110574342,5.5967857837677
BitcoinTransactions,1,428,43,0.1,0.5,9,0.17301910822059277,0.003266787658802178,0.4538378958668814,5.5609564781188965
BitcoinTransactions,1,428,43,0.1,0.5,10,0.15693753329654134,0.0027223230490018148,0.4665861513687601,5.58103346824646
BitcoinTransactions,1,428,43,0.1,0.5,11,0.1393278588769059,0.005023923444976076,0.5373054213633924,5.45998215675354
BitcoinTransactions,1,428,43,0.1,0.5,12,0.13865724551167213,0.006387327542156361,0.6427804616210413,5.577210187911987
BitcoinTransactions,1,428,43,0.1,0.5,13,0.14060821065725287,0.002541866028708134,0.4323671497584541,5.544443368911743
BitcoinTransactions,1,428,43,0.1,0.5,14,0.15909306876472323,0.003898635477582846,0.6378153515834675,5.570148706436157
