network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
BitcoinTransactions,1,428,0,0,,0,0.08406956419966782,0.03571428571428571,1.0,
BitcoinTransactions,1,428,0,0,,0,0.0917259555827117,0.02631578947368421,0.9508856682769726,
BitcoinTransactions,1,428,0,0,,0,0.09029626679672538,0.028708133971291867,0.9722222222222222,
BitcoinTransactions,1,428,0,0,,0,0.09582466517155062,0.03225806451612903,1.0,
BitcoinTransactions,1,428,0,0,,0,0.08548101097344936,0.030303030303030304,1.0,
BitcoinTransactions,1,428,0,0,,0,0.08710880457448887,0.03125,1.0,
BitcoinTransactions,1,428,0,0,,0,0.08024754497505028,0.029505582137161084,0.9825550187869029,
BitcoinTransactions,1,428,0,0,,0,0.08309035430434385,0.028708133971291867,0.9730273752012882,
BitcoinTransactions,1,428,0,0,,0,0.08438919465058904,0.02863777089783282,0.9805421363392378,
BitcoinTransactions,1,428,0,0,,0,0.09114157215654888,0.03357531760435572,0.9785292538915727,
BitcoinTransactions,1,428,0,0,,0,0.09520301102909703,0.03333333333333333,1.0,
BitcoinTransactions,1,428,0,0,,0,0.08564674401485833,0.02706766917293233,0.9612184648416533,
BitcoinTransactions,1,428,0,0,,0,0.10071245411866166,0.030303030303030304,1.0,
BitcoinTransactions,1,428,0,0,,0,0.09124867118631193,0.03357531760435572,0.9687332259796028,
BitcoinTransactions,1,428,0,0,,0,0.09539505441047642,0.03125,1.0,
BitcoinTransactions,1,428,4,0.01,0.5,1,0.09337678739760438,0.02863777089783282,0.9871175523349437,4.731971502304077
BitcoinTransactions,1,428,4,0.01,0.5,2,0.08760565283485384,0.027819548872180452,0.9833601717659689,4.871089935302734
BitcoinTransactions,1,428,4,0.01,0.5,3,0.09378244840684449,0.02236842105263158,0.9086151368760065,4.876323223114014
BitcoinTransactions,1,428,4,0.01,0.5,4,0.08407374422627077,0.03245614035087719,0.9851046698872786,4.864343643188477
BitcoinTransactions,1,428,4,0.01,0.5,5,0.08989132517373391,0.02786377708978328,0.9408212560386473,4.873722791671753
BitcoinTransactions,1,428,4,0.01,0.5,6,0.09052817839599914,0.02786377708978328,0.9524959742351047,4.871017694473267
BitcoinTransactions,1,428,4,0.01,0.5,7,0.08756669565950359,0.03333333333333333,1.0,4.860326766967773
BitcoinTransactions,1,428,4,0.01,0.5,8,0.09800360293313198,0.020933014354066987,0.9229736983360172,4.860755681991577
BitcoinTransactions,1,428,4,0.01,0.5,9,0.09204547637967644,0.025,1.0,4.87540340423584
BitcoinTransactions,1,428,4,0.01,0.5,10,0.08579538275591084,0.02857142857142857,1.0,4.876649856567383
BitcoinTransactions,1,428,4,0.01,0.5,11,0.0868070564083851,0.020933014354066987,0.9495437466451959,4.880537986755371
BitcoinTransactions,1,428,4,0.01,0.5,12,0.09108159252436882,0.027819548872180452,0.9861782071927,4.891577243804932
BitcoinTransactions,1,428,4,0.01,0.5,13,0.08223121417088157,0.03042763157894737,0.9797369833601718,4.872824430465698
BitcoinTransactions,1,428,4,0.01,0.5,14,0.08757101715858509,0.02631578947368421,0.9581320450885669,4.889156818389893
BitcoinTransactions,1,428,4,0.01,0.5,15,0.09279965707588408,0.02631578947368421,0.9824208266237252,4.880842924118042
BitcoinTransactions,1,428,22,0.05,0.5,1,0.08719143525334791,0.03571428571428571,1.0,4.784080505371094
BitcoinTransactions,1,428,22,0.05,0.5,2,0.08265078269981903,0.027910685805422646,0.9435050993022007,4.87995171546936
BitcoinTransactions,1,428,22,0.05,0.5,3,0.08367738511820295,0.028708133971291867,0.9432367149758454,4.828277587890625
BitcoinTransactions,1,428,22,0.05,0.5,4,0.08462281301850826,0.029605263157894735,0.9814814814814815,4.684449911117554
BitcoinTransactions,1,428,22,0.05,0.5,5,0.08708149172998868,0.025584795321637425,0.9239130434782609,4.675984621047974
BitcoinTransactions,1,428,22,0.05,0.5,6,0.09650247542242701,0.031578947368421054,0.9361245303274289,4.68752384185791
BitcoinTransactions,1,428,22,0.05,0.5,7,0.08796607113991364,0.03125,1.0,4.676360130310059
BitcoinTransactions,1,428,22,0.05,0.5,8,0.09109001204870966,0.03333333333333333,1.0,4.680414199829102
BitcoinTransactions,1,428,22,0.05,0.5,9,0.08371620680267454,0.029605263157894735,0.9469940955448202,4.691365957260132
BitcoinTransactions,1,428,22,0.05,0.5,10,0.09063423358342317,0.025604551920341393,0.9524959742351047,4.716203451156616
BitcoinTransactions,1,428,22,0.05,0.5,11,0.08742256366716164,0.037037037037037035,1.0,4.6854918003082275
BitcoinTransactions,1,428,22,0.05,0.5,12,0.09152245669137156,0.02863777089783282,0.9782608695652174,4.677466869354248
BitcoinTransactions,1,428,22,0.05,0.5,13,0.08418849536839086,0.03289473684210526,0.9265968867418143,4.683683156967163
BitcoinTransactions,1,428,22,0.05,0.5,14,0.09176006828250705,0.03125,1.0,4.681854963302612
BitcoinTransactions,1,428,22,0.05,0.5,15,0.09042703158395347,0.02631578947368421,1.0,4.572269678115845
BitcoinTransactions,1,428,43,0.1,0.5,1,0.08984287937728651,0.025623268698060944,0.9630971551261406,4.689451456069946
BitcoinTransactions,1,428,43,0.1,0.5,2,0.0874623841957825,0.02631578947368421,0.9573268921095008,4.677304983139038
BitcoinTransactions,1,428,43,0.1,0.5,3,0.09142742498176608,0.03042763157894737,0.9810789049919485,4.680262565612793
BitcoinTransactions,1,428,43,0.1,0.5,4,0.09358702065017717,0.025584795321637425,0.9244498121309715,4.687281608581543
BitcoinTransactions,1,428,43,0.1,0.5,5,0.09141507758277674,0.03125,1.0,4.694470167160034
BitcoinTransactions,1,428,43,0.1,0.5,6,0.08612423106875858,0.027819548872180452,0.9924852388620504,4.6699535846710205
BitcoinTransactions,1,428,43,0.1,0.5,7,0.0941930340446593,0.027046783625730993,0.9724906065485776,4.688750982284546
BitcoinTransactions,1,428,43,0.1,0.5,8,0.09361770802307906,0.025,1.0,4.689378261566162
BitcoinTransactions,1,428,43,0.1,0.5,9,0.09054030141444637,0.03125,1.0,4.6729350090026855
BitcoinTransactions,1,428,43,0.1,0.5,10,0.09507646092087975,0.03042763157894737,0.9792002147074611,4.677481651306152
BitcoinTransactions,1,428,43,0.1,0.5,11,0.09053186617791588,0.023616734143049933,0.9549114331723028,4.68091344833374
BitcoinTransactions,1,428,43,0.1,0.5,12,0.09778919762922604,0.027819548872180452,0.9822866344605475,4.708498001098633
BitcoinTransactions,1,428,43,0.1,0.5,13,0.09308714439762893,0.02706766917293233,0.9663177670424047,4.678000450134277
BitcoinTransactions,1,428,43,0.1,0.5,14,0.09042330630776035,0.02857142857142857,1.0,4.55926251411438
BitcoinTransactions,1,428,43,0.1,0.5,15,0.08921471836943114,0.022643818849449205,0.9899355877616747,4.693739414215088
