network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Facebook,1,350,0,0,,0,0.23934023408603416,0.012263099219620958,0.8785578747628083,
Facebook,1,350,0,0,,0,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,0,0.24378258613227943,0.006802721088435374,0.6882624017348875,
Facebook,1,350,0,0,,0,0.10793395850316531,0.001443001443001443,0.9826511249661155,
Facebook,1,350,0,0,,0,0.2333022959974527,0.01264367816091954,0.7758200054215234,
Facebook,1,350,0,0,,0,0.23274154584900425,0.00651890482398957,0.7939821089726213,
Facebook,1,350,0,0,,0,0.18722149852301306,0.012021857923497269,0.7950664136622391,
Facebook,1,350,0,0,,0,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,0,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,0,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,0,0.20401404755874392,0.01073345259391771,0.9365681756573597,
Facebook,1,350,0,0,,0,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,0,0.21761954053914281,0.008763388510223954,0.768229872594199,
Facebook,1,350,0,0,,0,0.23404395222917576,0.009652509652509652,0.7020872865275142,
Facebook,1,350,0,0,,0,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,0,0.1973958800103597,0.009649122807017544,0.7503388452155055,
Facebook,1,350,0,0,,0,0.20621209694585133,0.012087912087912088,0.8983464353483329,
Facebook,1,350,0,0,,0,0.22513164687366966,0.009966777408637873,0.8460287340742749,
Facebook,1,350,0,0,,0,0.20599189617655841,0.00980392156862745,0.8747628083491461,
Facebook,1,350,0,0,,0,0.09510350340677516,0.0,1.0,
Facebook,1,350,0,0,,0,0.19144217596545204,0.009041591320072333,0.7790729194903768,
Facebook,1,350,0,0,,0,0.2957919446720192,0.005291005291005291,0.6478720520466251,
Facebook,1,350,0,0,,0,0.23070538113553707,0.007662835249042145,0.7107617240444565,
Facebook,1,350,0,0,,0,0.23844151175513292,0.0091324200913242,0.6625101653564651,
Facebook,1,350,0,0,,0,0.27393427987772473,0.006472491909385114,0.6730821360802386,
