network_name,target_label,target_size,b,b_percentage,p,realization,ECS,M1,M2,elapsed_time_sec
Wiki,1,305,0,0,,0,0.16866722522445443,0.01103896103896104,0.55,
Wiki,1,305,0,0,,0,0.18434071241027414,0.006546216286986122,0.3557142857142857,
Wiki,1,305,0,0,,0,0.17602836074640607,0.011160714285714286,0.490952380952381,
Wiki,1,305,0,0,,0,0.19442636869935703,0.011060259344012205,0.4423809523809524,
Wiki,1,305,0,0,,0,0.18660685247532552,0.011018237082066869,0.4357142857142857,
Wiki,1,305,0,0,,0,0.18952738745210354,0.013157894736842105,0.4614285714285714,
Wiki,1,305,0,0,,0,0.17638736598076377,0.009784075573549258,0.41523809523809524,
Wiki,1,305,0,0,,0,0.20171250994570303,0.009433962264150943,0.42428571428571427,
Wiki,1,305,0,0,,0,0.18764297161635032,0.009085213032581453,0.5014285714285714,
Wiki,1,305,0,0,,0,0.1734188415728815,0.007864488808227465,0.35904761904761906,
Wiki,1,305,0,0,,0,0.17624111473972512,0.01176948051948052,0.4561904761904762,
Wiki,1,305,0,0,,0,0.1682400889115321,0.01087719298245614,0.5057142857142857,
Wiki,1,305,0,0,,0,0.1770203346938204,0.00951531370799881,0.5076190476190476,
Wiki,1,305,0,0,,0,0.17550312376885605,0.007518796992481203,0.4014285714285714,
Wiki,1,305,0,0,,0,0.17438470570733725,0.012362637362637362,0.3952380952380952,
Wiki,1,305,0,0,,0,0.18480037105357866,0.009421702404158544,0.4633333333333333,
Wiki,1,305,0,0,,0,0.17051112665153817,0.014473684210526316,0.5338095238095238,
Wiki,1,305,0,0,,0,0.18470028195019825,0.009137426900584795,0.3661904761904762,
Wiki,1,305,0,0,,0,0.1778915579325096,0.009916094584286803,0.3942857142857143,
Wiki,1,305,0,0,,0,0.17587087625048745,0.012865497076023392,0.5228571428571429,
Wiki,1,305,0,0,,0,0.16938569191462896,0.007903981264637002,0.4266666666666667,
Wiki,1,305,0,0,,0,0.18406913383842136,0.009236453201970444,0.49476190476190474,
Wiki,1,305,0,0,,0,0.17565722521608865,0.011574074074074073,0.6176190476190476,
Wiki,1,305,0,0,,0,0.17327819755585236,0.012085769980506823,0.4976190476190476,
Wiki,1,305,0,0,,0,0.1790544304468177,0.008417508417508417,0.3580952380952381,
Wiki,1,305,0,0,,0,0.19333820307318814,0.011831905344757242,0.4176190476190476,
Wiki,1,305,0,0,,0,0.17576941606613783,0.012670565302144249,0.4023809523809524,
Wiki,1,305,0,0,,0,0.184539727519199,0.00877742946708464,0.44333333333333336,
Wiki,1,305,0,0,,0,0.18901866109403898,0.008325899494498959,0.4276190476190476,
Wiki,1,305,0,0,,0,0.1798878013033549,0.010607915136678907,0.42714285714285716,
Wiki,1,305,0,0,,0,0.18132455437263456,0.013605442176870748,0.4676190476190476,
Wiki,1,305,0,0,,0,0.17188195681086704,0.009631922944616443,0.42095238095238097,
Wiki,1,305,0,0,,0,0.18035192535270306,0.009631922944616443,0.43047619047619046,
Wiki,1,305,0,0,,0,0.1956933251280735,0.008340523439746908,0.44,
Wiki,1,305,0,0,,0,0.19295147002761603,0.007263922518159807,0.38,
Wiki,1,305,0,0,,0,0.1808204181296574,0.008469449485783424,0.4561904761904762,
Wiki,1,305,0,0,,0,0.1925050704056285,0.010451661067562523,0.42857142857142855,
Wiki,1,305,0,0,,0,0.19136488013350436,0.014705882352941176,0.3980952380952381,
Wiki,1,305,0,0,,0,0.18092236915287113,0.011060259344012205,0.4552380952380952,
Wiki,1,305,0,0,,0,0.19245799748279327,0.009705113848450915,0.42095238095238097,
Wiki,1,305,0,0,,0,0.1845033047984101,0.008618036318867343,0.42523809523809525,
Wiki,1,305,0,0,,0,0.19409370026840325,0.013366750208855471,0.5242857142857142,
Wiki,1,305,0,0,,0,0.19499031910274928,0.009398496240601503,0.4861904761904762,
Wiki,1,305,0,0,,0,0.1730236282560084,0.016774891774891776,0.4680952380952381,
Wiki,1,305,0,0,,0,0.17326363373847065,0.008771929824561403,0.4204761904761905,
Wiki,1,305,0,0,,0,0.2009225312244593,0.011111111111111112,0.4442857142857143,
Wiki,1,305,0,0,,0,0.19512234020807995,0.010964912280701754,0.4723809523809524,
Wiki,1,305,0,0,,0,0.17768034403579086,0.00847953216374269,0.4357142857142857,
Wiki,1,305,0,0,,0,0.19139786452193805,0.008771929824561403,0.39904761904761904,
Wiki,1,305,0,0,,0,0.17374502951905982,0.015306122448979591,0.4623809523809524,
Wiki,1,305,8,0.01,0.5,1,0.17688543070083992,0.007974481658692184,0.379047619047619,2.1088647842407227
Wiki,1,305,8,0.01,0.5,2,0.17537190832132019,0.008145363408521303,0.3823809523809524,2.1851046085357666
Wiki,1,305,8,0.01,0.5,3,0.16245221982550845,0.009502923976608187,0.40904761904761905,2.0945143699645996
Wiki,1,305,8,0.01,0.5,4,0.1852122265734676,0.00992063492063492,0.49666666666666665,2.0930755138397217
Wiki,1,305,8,0.01,0.5,5,0.17873067432132508,0.010964912280701754,0.4595238095238095,2.0980122089385986
Wiki,1,305,8,0.01,0.5,6,0.17085512934122726,0.01541733120680489,0.46,2.1950786113739014
Wiki,1,305,8,0.01,0.5,7,0.17051913142360442,0.01142390860873113,0.43333333333333335,2.063288927078247
Wiki,1,305,8,0.01,0.5,8,0.17525068300304397,0.011125374411638854,0.35285714285714287,2.0713276863098145
Wiki,1,305,8,0.01,0.5,9,0.19021310231136163,0.00827540549486925,0.38476190476190475,2.0844709873199463
Wiki,1,305,8,0.01,0.5,10,0.20249531929895204,0.011278195488721804,0.42523809523809525,2.2027430534362793
Wiki,1,305,8,0.01,0.5,11,0.18204348338094595,0.012360446570972886,0.4638095238095238,2.073101043701172
Wiki,1,305,8,0.01,0.5,12,0.17623582182094785,0.012581168831168832,0.49714285714285716,2.060490369796753
Wiki,1,305,8,0.01,0.5,13,0.1911853151799735,0.012218045112781954,0.40476190476190477,2.21435284614563
Wiki,1,305,8,0.01,0.5,14,0.18456608682577658,0.010678871090770405,0.42904761904761907,2.0609683990478516
Wiki,1,305,8,0.01,0.5,15,0.16877074877503986,0.012585812356979404,0.5342857142857143,2.077378749847412
Wiki,1,305,8,0.01,0.5,16,0.17070347296062285,0.010396361273554255,0.540952380952381,2.067718029022217
Wiki,1,305,8,0.01,0.5,17,0.16746424207014624,0.008931419457735247,0.43666666666666665,2.2024998664855957
Wiki,1,305,8,0.01,0.5,18,0.18594958707221643,0.009122807017543859,0.4076190476190476,2.065286636352539
Wiki,1,305,8,0.01,0.5,19,0.18106423595114848,0.01701222753854333,0.5228571428571429,2.0741825103759766
Wiki,1,305,8,0.01,0.5,20,0.17015573576773269,0.010824934677118328,0.4542857142857143,2.063030958175659
Wiki,1,305,8,0.01,0.5,21,0.1700350235042833,0.01087719298245614,0.4780952380952381,2.1965718269348145
Wiki,1,305,8,0.01,0.5,22,0.17008261608186134,0.010714285714285714,0.48523809523809525,2.0676188468933105
Wiki,1,305,8,0.01,0.5,23,0.17372492462089192,0.009534706331045004,0.3961904761904762,2.0691065788269043
Wiki,1,305,8,0.01,0.5,24,0.17667109806867534,0.012039903680770554,0.5880952380952381,2.0659282207489014
Wiki,1,305,8,0.01,0.5,25,0.17868846752316256,0.012458471760797342,0.4766666666666667,2.205653667449951
Wiki,1,305,8,0.01,0.5,26,0.17565598282794526,0.009250398724082934,0.4523809523809524,2.0663259029388428
Wiki,1,305,8,0.01,0.5,27,0.17889207968263,0.008219954648526076,0.4357142857142857,2.063053607940674
Wiki,1,305,8,0.01,0.5,28,0.17838507458927416,0.008597883597883597,0.3914285714285714,2.0850632190704346
Wiki,1,305,8,0.01,0.5,29,0.17388176738623842,0.008421052631578947,0.38047619047619047,2.2243542671203613
Wiki,1,305,8,0.01,0.5,30,0.185147480268167,0.00861244019138756,0.42238095238095236,2.0802433490753174
Wiki,1,305,8,0.01,0.5,31,0.182056708046452,0.013392857142857142,0.4680952380952381,2.133627414703369
Wiki,1,305,8,0.01,0.5,32,0.1852149713806573,0.011007911936704506,0.520952380952381,2.261619806289673
Wiki,1,305,8,0.01,0.5,33,0.1864412143743145,0.011717171717171718,0.4514285714285714,2.1300289630889893
Wiki,1,305,8,0.01,0.5,34,0.19878923887251934,0.008928571428571428,0.42714285714285716,2.1365840435028076
Wiki,1,305,8,0.01,0.5,35,0.1733362400757407,0.008771929824561403,0.3904761904761905,2.129347085952759
Wiki,1,305,8,0.01,0.5,36,0.18932866302413942,0.013276434329065908,0.3942857142857143,2.27951717376709
Wiki,1,305,8,0.01,0.5,37,0.18874729865343187,0.012318029115341545,0.539047619047619,2.1476118564605713
Wiki,1,305,8,0.01,0.5,38,0.18001081773658553,0.009433962264150943,0.45285714285714285,2.1302566528320312
Wiki,1,305,8,0.01,0.5,39,0.18622130361417735,0.01038961038961039,0.4261904761904762,2.061218738555908
Wiki,1,305,8,0.01,0.5,40,0.18902003734536166,0.010788690476190476,0.4633333333333333,2.1788198947906494
Wiki,1,305,8,0.01,0.5,41,0.1898985381545881,0.009415584415584415,0.44333333333333336,2.0640389919281006
Wiki,1,305,8,0.01,0.5,42,0.1781600643606262,0.012465373961218837,0.4166666666666667,2.0552756786346436
Wiki,1,305,8,0.01,0.5,43,0.19653730292905994,0.010678871090770405,0.4642857142857143,2.1773793697357178
Wiki,1,305,8,0.01,0.5,44,0.1777957241966866,0.009541397353031703,0.48904761904761906,2.0626230239868164
Wiki,1,305,8,0.01,0.5,45,0.1685600904691931,0.01023391812865497,0.40904761904761905,2.050036907196045
Wiki,1,305,8,0.01,0.5,46,0.17657154528907354,0.010599415204678362,0.4195238095238095,2.065263032913208
Wiki,1,305,8,0.01,0.5,47,0.1704142683876321,0.012531328320802004,0.4561904761904762,2.0535309314727783
Wiki,1,305,8,0.01,0.5,48,0.17170058546720285,0.010741138560687433,0.4576190476190476,2.193359375
Wiki,1,305,8,0.01,0.5,49,0.17383619119816793,0.009930486593843098,0.45,2.049206256866455
Wiki,1,305,8,0.01,0.5,50,0.16869533008256526,0.009398496240601503,0.48,2.056957483291626
Wiki,1,305,42,0.05,0.5,1,0.18043895481711555,0.01142390860873113,0.3657142857142857,2.169872283935547
Wiki,1,305,42,0.05,0.5,2,0.1747632177003623,0.012865497076023392,0.5376190476190477,2.0736587047576904
Wiki,1,305,42,0.05,0.5,3,0.17440178054444955,0.009975920192638458,0.45571428571428574,2.0581037998199463
Wiki,1,305,42,0.05,0.5,4,0.18496248839419244,0.008925823330255463,0.49714285714285716,2.0688400268554688
Wiki,1,305,42,0.05,0.5,5,0.17157903932773336,0.011695906432748537,0.5019047619047619,2.183217763900757
Wiki,1,305,42,0.05,0.5,6,0.18789241218046973,0.010025062656641603,0.3547619047619048,2.055680990219116
Wiki,1,305,42,0.05,0.5,7,0.18823727365098833,0.011457214464733263,0.5228571428571429,2.0541698932647705
Wiki,1,305,42,0.05,0.5,8,0.19388175369928312,0.011842105263157895,0.4238095238095238,2.0645551681518555
Wiki,1,305,42,0.05,0.5,9,0.18445529826285376,0.011164274322169059,0.42523809523809525,2.182215452194214
Wiki,1,305,42,0.05,0.5,10,0.1934571027123863,0.009987893462469734,0.5457142857142857,2.0610880851745605
Wiki,1,305,42,0.05,0.5,11,0.1647416328850655,0.015538847117794486,0.4714285714285714,2.0556557178497314
Wiki,1,305,42,0.05,0.5,12,0.16791127553010837,0.010824934677118328,0.4204761904761905,2.188774824142456
Wiki,1,305,42,0.05,0.5,13,0.16954352168170564,0.013530655391120507,0.5433333333333333,2.0504837036132812
Wiki,1,305,42,0.05,0.5,14,0.16255751702745377,0.010261502813637868,0.5147619047619048,2.0532119274139404
Wiki,1,305,42,0.05,0.5,15,0.1783318605930476,0.011212624584717609,0.3942857142857143,2.057565927505493
