mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.4,0.01,0,62,0,0,0,0.14282443930238556,0.0763888888888889,0.9136460554371002,
0.4,0.01,0,62,5,0.01,1,0.1281739201985198,0.09090909090909091,1.0,1.4360754489898682
0.4,0.01,0,62,5,0.01,2,0.12870823215977636,0.07142857142857142,1.0,1.345186471939087
0.4,0.01,0,62,5,0.01,3,0.12808634428235843,0.125,1.0,1.3312733173370361
0.4,0.01,0,62,5,0.01,4,0.12077215110985023,0.044444444444444446,0.6545842217484008,1.3357453346252441
0.4,0.01,0,62,5,0.01,5,0.12702368056822383,0.11458333333333333,0.9189765458422174,1.3585572242736816
0.4,0.01,0,62,5,0.01,6,0.12486421379200255,0.046296296296296294,0.8411513859275054,1.3047547340393066
0.4,0.01,0,62,5,0.01,7,0.13294551920702652,0.08333333333333333,1.0,1.3529810905456543
0.4,0.01,0,62,5,0.01,8,0.13341647004405233,0.08333333333333333,0.9221748400852878,1.474684238433838
0.4,0.01,0,62,5,0.01,9,0.1256025504782784,0.058823529411764705,1.0,1.335578203201294
0.4,0.01,0,62,5,0.01,10,0.12162161212665083,0.07692307692307693,1.0,1.3418583869934082
0.4,0.01,0,62,25,0.05,1,0.11297742556846771,0.1,1.0,1.540870189666748
0.4,0.01,0,62,25,0.05,2,0.12153350686011073,0.07142857142857142,1.0,1.5664293766021729
0.4,0.01,0,62,25,0.05,3,0.12114109147260277,0.1,1.0,1.5337059497833252
0.4,0.01,0,62,25,0.05,4,0.12723442202005403,0.06666666666666667,1.0,1.543330192565918
0.4,0.01,0,62,25,0.05,5,0.11671599383891774,0.04824561403508772,0.9029850746268657,1.679352045059204
0.4,0.01,0,62,25,0.05,6,0.11530156621956308,0.06111111111111111,0.8933901918976546,1.557375431060791
0.4,0.01,0,62,25,0.05,7,0.11567909876387829,0.14285714285714285,1.0,1.5723698139190674
0.4,0.01,0,62,25,0.05,8,0.13720873367612013,0.08333333333333333,0.9285714285714286,1.5581042766571045
0.4,0.01,0,62,25,0.05,9,0.12308935220380583,0.05555555555555555,1.0,1.5707495212554932
0.4,0.01,0,62,25,0.05,10,0.11062055380795809,0.07142857142857142,1.0,1.5589299201965332
0.4,0.01,0,62,51,0.1,1,0.119627577203657,0.06111111111111111,0.9307036247334755,1.8312320709228516
0.4,0.01,0,62,51,0.1,2,0.1231416386715614,0.07692307692307693,1.0,1.9600245952606201
0.4,0.01,0,62,51,0.1,3,0.11387974248609169,0.10185185185185185,0.9232409381663113,1.83514404296875
0.4,0.01,0,62,51,0.1,4,0.1339617552639249,0.09090909090909091,1.0,1.7772064208984375
0.4,0.01,0,62,51,0.1,5,0.12768692574787188,0.1111111111111111,1.0,1.8167846202850342
0.4,0.01,0,62,51,0.1,6,0.12425723089548549,0.09090909090909091,1.0,1.893277645111084
0.4,0.01,0,62,51,0.1,7,0.1427483258906794,0.06944444444444445,0.8432835820895522,1.809380292892456
0.4,0.01,0,62,51,0.1,8,0.09837403341693618,0.02040816326530612,1.0,1.8071682453155518
0.4,0.01,0,62,51,0.1,9,0.13015563857454887,0.08333333333333333,1.0,1.803091287612915
0.4,0.01,0,62,51,0.1,10,0.11858722040558456,0.05392156862745098,0.9445628997867804,1.955284833908081
0.4,0.01,0,62,76,0.15,1,0.12421664006170231,0.07692307692307693,1.0,2.032500982284546
0.4,0.01,0,62,76,0.15,2,0.119354036927103,0.1,1.0,2.1125776767730713
0.4,0.01,0,62,76,0.15,3,0.12558643717226212,0.08333333333333333,0.9189765458422174,2.056281805038452
0.4,0.01,0,62,76,0.15,4,0.12345497328956333,0.09090909090909091,1.0,2.043675661087036
0.4,0.01,0,62,76,0.15,5,0.1125291932582096,0.09166666666666666,0.920042643923241,2.0458641052246094
0.4,0.01,0,62,76,0.15,6,0.11888120787705296,0.1,1.0,2.0484352111816406
0.4,0.01,0,62,76,0.15,7,0.11510150318531712,0.08333333333333333,1.0,2.2301316261291504
0.4,0.01,0,62,76,0.15,8,0.12736792829121077,0.05263157894736842,1.0,2.0490734577178955
0.4,0.01,0,62,76,0.15,9,0.12384461999916735,0.09090909090909091,1.0,2.0485830307006836
0.4,0.01,0,62,76,0.15,10,0.13312141063656527,0.07142857142857142,1.0,2.096674919128418
0.4,0.01,0,62,102,0.2,1,0.12583515488709007,0.09090909090909091,1.0,2.3562653064727783
0.4,0.01,0,62,102,0.2,2,0.12220143792637683,0.1111111111111111,1.0,2.3515138626098633
0.4,0.01,0,62,102,0.2,3,0.1235045461338626,0.08333333333333333,0.9339019189765458,2.3197038173675537
0.4,0.01,0,62,102,0.2,4,0.08574534382059809,0.02127659574468085,1.0,2.4724018573760986
0.4,0.01,0,62,102,0.2,5,0.1257580869972545,0.05392156862745098,0.9115138592750534,2.3207781314849854
0.4,0.01,0,62,102,0.2,6,0.1391551523927119,0.07692307692307693,1.0,2.345399856567383
0.4,0.01,0,62,102,0.2,7,0.13224342352088836,0.1,1.0,2.320159673690796
0.4,0.01,0,62,102,0.2,8,0.13109947207754394,0.06666666666666667,1.0,2.3225886821746826
0.4,0.01,0,62,102,0.2,9,0.11721545312150525,0.07051282051282051,0.9147121535181236,2.3286468982696533
0.4,0.01,0,62,102,0.2,10,0.12479949334450598,0.09090909090909091,1.0,2.379182815551758
0.4,0.01,0,62,127,0.25,1,0.11483592893492406,0.0763888888888889,0.8955223880597015,2.7342779636383057
0.4,0.01,0,62,127,0.25,2,0.07939399999999987,0.0,1.0,2.5783824920654297
0.4,0.01,0,62,127,0.25,3,0.1205522511709852,0.09090909090909091,1.0,2.579545259475708
0.4,0.01,0,62,127,0.25,4,0.10849376244850018,0.09166666666666666,0.9317697228144989,2.5925259590148926
0.4,0.01,0,62,127,0.25,5,0.1151977709872393,0.0763888888888889,0.9221748400852878,2.5431411266326904
0.4,0.01,0,62,127,0.25,6,0.12769144315963646,0.07142857142857142,1.0,2.561060905456543
0.4,0.01,0,62,127,0.25,7,0.11897167148379384,0.06547619047619048,0.9392324093816631,2.5702621936798096
0.4,0.01,0,62,127,0.25,8,0.07939399999999987,0.0,1.0,2.754991292953491
0.4,0.01,0,62,127,0.25,9,0.12397118393694512,0.06666666666666667,1.0,2.56636905670166
0.4,0.01,0,62,127,0.25,10,0.1301940166475968,0.06547619047619048,0.9243070362473348,2.5294363498687744
0.4,0.01,0,62,153,0.3,1,0.12495054235998906,0.08333333333333333,1.0,2.557677745819092
0.4,0.01,0,62,153,0.3,2,0.11609154372225035,0.0763888888888889,0.9221748400852878,2.571007013320923
0.4,0.01,0,62,153,0.3,3,0.13201205102398278,0.08333333333333333,1.0,2.575364589691162
0.4,0.01,0,62,153,0.3,4,0.1295527348090676,0.1,1.0,2.5648438930511475
0.4,0.01,0,62,153,0.3,5,0.13011812576197235,0.09090909090909091,1.0,2.7558600902557373
0.4,0.01,0,62,153,0.3,6,0.12636388346985167,0.08333333333333333,1.0,2.559492588043213
0.4,0.01,0,62,153,0.3,7,0.11373252178773667,0.125,1.0,2.569228410720825
0.4,0.01,0,62,153,0.3,8,0.10451694910450515,0.06547619047619048,0.9349680170575693,2.571054220199585
0.4,0.01,0,62,153,0.3,9,0.12050627611027322,0.0763888888888889,0.9253731343283582,2.580681800842285
0.4,0.01,0,62,153,0.3,10,0.07939399999999987,0.0,1.0,2.5806286334991455
0.4,0.01,0,62,178,0.35,1,0.12552067859622998,0.1111111111111111,1.0,2.5666048526763916
0.4,0.01,0,62,178,0.35,2,0.12939538995941907,0.07142857142857142,1.0,2.555629014968872
