mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.5,1.0,0,64,0,0,0,0.2772312237989326,0.012626262626262626,0.37606837606837606,
0.5,1.0,0,64,5,0.01,1,0.29351868056206143,0.00935374149659864,0.4967948717948718,1.3889408111572266
0.5,1.0,0,64,5,0.01,2,0.30975702649411085,0.007575757575757576,0.3141025641025641,1.3001790046691895
0.5,1.0,0,64,5,0.01,3,0.30165635190867846,0.014367816091954023,0.3803418803418803,1.3152155876159668
0.5,1.0,0,64,5,0.01,4,0.2981505388068025,0.008522727272727272,0.3782051282051282,1.3047759532928467
0.5,1.0,0,64,5,0.01,5,0.2961334324284031,0.009375,0.35683760683760685,1.3005030155181885
0.5,1.0,0,64,5,0.01,6,0.2979578129441784,0.01126126126126126,0.3717948717948718,1.3034451007843018
0.5,1.0,0,64,5,0.01,7,0.27661037258575616,0.007352941176470588,0.30235042735042733,1.3050589561462402
0.5,1.0,0,64,5,0.01,8,0.28514910718722813,0.006720430107526882,0.2222222222222222,1.4561505317687988
0.5,1.0,0,64,5,0.01,9,0.26649498410729816,0.005482456140350877,0.2264957264957265,1.3162591457366943
0.5,1.0,0,64,5,0.01,10,0.2731651809234303,0.01463963963963964,0.49145299145299143,1.308119535446167
0.5,1.0,0,64,27,0.05,1,0.31247135350467,0.005555555555555556,0.2564102564102564,1.3948163986206055
0.5,1.0,0,64,27,0.05,2,0.2873750797605011,0.007352941176470588,0.40384615384615385,1.3875460624694824
0.5,1.0,0,64,27,0.05,3,0.2859360043793023,0.010964912280701754,0.40064102564102566,1.3778841495513916
0.5,1.0,0,64,27,0.05,4,0.3188938083915376,0.006756756756756757,0.25213675213675213,1.390967845916748
0.5,1.0,0,64,27,0.05,5,0.30169044862942607,0.007575757575757576,0.34294871794871795,1.5254433155059814
0.5,1.0,0,64,27,0.05,6,0.3113277682576874,0.008865248226950355,0.4423076923076923,1.3803019523620605
0.5,1.0,0,64,27,0.05,7,0.2741588081599933,0.013888888888888888,0.5042735042735043,1.385467290878296
0.5,1.0,0,64,27,0.05,8,0.2921438322615732,0.012152777777777778,0.2767094017094017,1.381481409072876
0.5,1.0,0,64,27,0.05,9,0.3056328384892619,0.0070921985815602835,0.34615384615384615,1.3889186382293701
0.5,1.0,0,64,27,0.05,10,0.3188954901812324,0.004251700680272109,0.1955128205128205,1.394136667251587
0.5,1.0,0,64,53,0.1,1,0.2531577163730801,0.012096774193548387,0.422008547008547,1.484821081161499
0.5,1.0,0,64,53,0.1,2,0.29257039968923426,0.006944444444444444,0.27564102564102566,1.6240079402923584
0.5,1.0,0,64,53,0.1,3,0.3058371670428007,0.008928571428571428,0.4391025641025641,1.4834721088409424
0.5,1.0,0,64,53,0.1,4,0.3258079211148257,0.008928571428571428,0.38782051282051283,1.4841728210449219
0.5,1.0,0,64,53,0.1,5,0.2729304065185206,0.015625,0.32264957264957267,1.4830234050750732
0.5,1.0,0,64,53,0.1,6,0.27633117350857617,0.01065891472868217,0.4658119658119658,1.4763617515563965
0.5,1.0,0,64,53,0.1,7,0.2935591018776955,0.020833333333333332,0.5897435897435898,1.4838190078735352
0.5,1.0,0,64,53,0.1,8,0.2770455658916197,0.013480392156862746,0.469017094017094,1.4830467700958252
0.5,1.0,0,64,53,0.1,9,0.2800082962657797,0.014492753623188406,0.28205128205128205,1.6193063259124756
0.5,1.0,0,64,53,0.1,10,0.30385219361997584,0.011178861788617886,0.40705128205128205,1.4920539855957031
0.5,1.0,0,64,80,0.15,1,0.2885907001690493,0.007575757575757576,0.24145299145299146,1.5757472515106201
0.5,1.0,0,64,80,0.15,2,0.2721932327609185,0.013440860215053764,0.4391025641025641,1.5668435096740723
0.5,1.0,0,64,80,0.15,3,0.2753585016375123,0.01636904761904762,0.41452991452991456,1.5812795162200928
0.5,1.0,0,64,80,0.15,4,0.29778293713890114,0.01478494623655914,0.43696581196581197,1.5736589431762695
0.5,1.0,0,64,80,0.15,5,0.29317506132337734,0.013392857142857142,0.344017094017094,1.5821948051452637
0.5,1.0,0,64,80,0.15,6,0.31403274264334263,0.015804597701149427,0.4700854700854701,1.5882766246795654
0.5,1.0,0,64,80,0.15,7,0.3194491157037887,0.00872093023255814,0.4049145299145299,1.7325944900512695
0.5,1.0,0,64,80,0.15,8,0.29137448584057535,0.011111111111111112,0.3803418803418803,1.5847177505493164
0.5,1.0,0,64,80,0.15,9,0.3076346644353558,0.008152173913043478,0.34294871794871795,1.5971646308898926
0.5,1.0,0,64,80,0.15,10,0.3128290327257551,0.013020833333333334,0.33547008547008544,1.5839600563049316
0.5,1.0,0,64,107,0.2,1,0.2922814209290298,0.011178861788617886,0.4326923076923077,1.6604676246643066
0.5,1.0,0,64,107,0.2,2,0.3053784833573256,0.006340579710144928,0.25854700854700857,1.676279067993164
0.5,1.0,0,64,107,0.2,3,0.27671304493209886,0.00946969696969697,0.40384615384615385,1.6586885452270508
0.5,1.0,0,64,107,0.2,4,0.31173820038454175,0.008522727272727272,0.3301282051282051,1.8041114807128906
0.5,1.0,0,64,107,0.2,5,0.3237159947444344,0.010714285714285714,0.405982905982906,1.648664951324463
0.5,1.0,0,64,107,0.2,6,0.28115628132176296,0.023333333333333334,0.5363247863247863,1.6656546592712402
0.5,1.0,0,64,107,0.2,7,0.2771528069797456,0.01636904761904762,0.4829059829059829,1.6742398738861084
0.5,1.0,0,64,107,0.2,8,0.2804659785184743,0.008333333333333333,0.2638888888888889,1.6706395149230957
0.5,1.0,0,64,107,0.2,9,0.2757840308807823,0.016666666666666666,0.49893162393162394,1.661958932876587
0.5,1.0,0,64,107,0.2,10,0.3181847154457186,0.00980392156862745,0.3108974358974359,1.6785318851470947
