mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.4,0.01,0,62,0,0,0,0.13394783117241232,0.0625,1.0,
0.4,0.01,0,62,5,0.01,1,0.11477109614731347,0.0763888888888889,0.9211087420042644,1.436448097229004
0.4,0.01,0,62,5,0.01,2,0.12379974465800445,0.0625,1.0,1.3512904644012451
0.4,0.01,0,62,5,0.01,3,0.12446374091836691,0.125,1.0,1.4145655632019043
0.4,0.01,0,62,5,0.01,4,0.13932948415569135,0.05092592592592592,0.9157782515991472,1.4099197387695312
0.4,0.01,0,62,5,0.01,5,0.12516937689243032,0.08333333333333333,1.0,1.3986868858337402
0.4,0.01,0,62,5,0.01,6,0.12692362138432042,0.06547619047619048,0.9125799573560768,1.4353654384613037
0.4,0.01,0,62,5,0.01,7,0.1365659983754369,0.08333333333333333,1.0,1.448049545288086
0.4,0.01,0,62,5,0.01,8,0.13230330798501166,0.07692307692307693,1.0,1.5172839164733887
0.4,0.01,0,62,5,0.01,9,0.07803609599334665,0.01694915254237288,1.0,1.3331680297851562
0.4,0.01,0,62,5,0.01,10,0.11911127667668182,0.11458333333333333,0.9317697228144989,1.3413336277008057
0.4,0.01,0,62,25,0.05,1,0.12797218159405913,0.0641025641025641,0.8411513859275054,1.6556105613708496
0.4,0.01,0,62,25,0.05,2,0.132855438547837,0.07051282051282051,0.9093816631130064,1.6577768325805664
0.4,0.01,0,62,25,0.05,3,0.1251511810761009,0.09090909090909091,1.0,1.5828616619110107
0.4,0.01,0,62,25,0.05,4,0.12578961686698403,0.10185185185185185,0.9243070362473348,1.711547613143921
0.4,0.01,0,62,25,0.05,5,0.13543083075634074,0.1,1.0,1.835263967514038
0.4,0.01,0,62,25,0.05,6,0.14030873245429482,0.07692307692307693,1.0,1.5890800952911377
0.4,0.01,0,62,25,0.05,7,0.12824743423475823,0.08333333333333333,0.9136460554371002,1.57112717628479
0.4,0.01,0,62,25,0.05,8,0.11347201078073782,0.0763888888888889,0.9371002132196162,1.772242784500122
0.4,0.01,0,62,25,0.05,9,0.1429987283003341,0.1,1.0,1.8029460906982422
0.4,0.01,0,62,25,0.05,10,0.1280436675353653,0.05555555555555555,0.8326226012793176,1.7912631034851074
0.4,0.01,0,62,51,0.1,1,0.11993278284424379,0.125,1.0,2.1052093505859375
0.4,0.01,0,62,51,0.1,2,0.11563829755383447,0.08333333333333333,1.0,2.254460573196411
0.4,0.01,0,62,51,0.1,3,0.12353305196532469,0.125,1.0,2.0634050369262695
0.4,0.01,0,62,51,0.1,4,0.1081121951762581,0.10185185185185185,0.9136460554371002,2.036052703857422
0.4,0.01,0,62,51,0.1,5,0.12995001878853762,0.1111111111111111,1.0,2.0288138389587402
0.4,0.01,0,62,51,0.1,6,0.12267961147451752,0.05392156862745098,0.8891257995735607,1.9925661087036133
0.4,0.01,0,62,51,0.1,7,0.12562831083579845,0.125,1.0,1.882758378982544
0.4,0.01,0,62,51,0.1,8,0.11632853868941644,0.03968253968253968,0.8454157782515992,1.8991737365722656
0.4,0.01,0,62,51,0.1,9,0.1379709070443912,0.08333333333333333,1.0,1.8859939575195312
0.4,0.01,0,62,51,0.1,10,0.12646818356256292,0.07692307692307693,1.0,2.0541300773620605
0.4,0.01,0,62,76,0.15,1,0.12373866486692182,0.1,1.0,2.137162208557129
0.4,0.01,0,62,76,0.15,2,0.12205610402307761,0.08333333333333333,0.9029850746268657,2.124441146850586
0.4,0.01,0,62,76,0.15,3,0.12243002137903956,0.07051282051282051,0.929637526652452,2.1349899768829346
0.4,0.01,0,62,76,0.15,4,0.12643571530271508,0.08333333333333333,1.0,2.0897107124328613
0.4,0.01,0,62,76,0.15,5,0.1268054130691636,0.0763888888888889,0.9402985074626866,2.050687074661255
0.4,0.01,0,62,76,0.15,6,0.115462744147709,0.10185185185185185,0.9498933901918977,2.0062971115112305
0.4,0.01,0,62,76,0.15,7,0.11699102317874449,0.125,1.0,2.1486947536468506
0.4,0.01,0,62,76,0.15,8,0.12917673949635422,0.08333333333333333,0.9232409381663113,2.0182764530181885
0.4,0.01,0,62,76,0.15,9,0.11892123579275045,0.08333333333333333,0.9189765458422174,2.0270962715148926
0.4,0.01,0,62,76,0.15,10,0.11762168473978382,0.052083333333333336,0.8422174840085288,1.990673303604126
0.4,0.01,0,62,102,0.2,1,0.11862977316545074,0.1,1.0,2.3152806758880615
0.4,0.01,0,62,102,0.2,2,0.1298868111393694,0.09166666666666666,0.9211087420042644,2.2818002700805664
0.4,0.01,0,62,102,0.2,3,0.1279249140509337,0.1,1.0,2.2891926765441895
0.4,0.01,0,62,102,0.2,4,0.11780591212888311,0.06111111111111111,0.9381663113006397,2.422424793243408
0.4,0.01,0,62,102,0.2,5,0.12459329213509245,0.0763888888888889,0.9072494669509595,2.2974228858947754
0.4,0.01,0,62,102,0.2,6,0.12929198557188193,0.08333333333333333,0.8848614072494669,2.270751953125
0.4,0.01,0,62,102,0.2,7,0.12964303807524757,0.07575757575757576,0.8464818763326226,2.304065704345703
0.4,0.01,0,62,102,0.2,8,0.11210740240913653,0.125,1.0,2.372086763381958
0.4,0.01,0,62,102,0.2,9,0.12267435700911418,0.041666666666666664,0.929637526652452,2.4216818809509277
0.4,0.01,0,62,102,0.2,10,0.12180986724614383,0.07142857142857142,1.0,2.4033098220825195
0.4,0.01,0,62,127,0.25,1,0.116391032581519,0.1,1.0,2.6578097343444824
0.4,0.01,0,62,127,0.25,2,0.14155908546994714,0.057291666666666664,0.9243070362473348,2.774088144302368
0.4,0.01,0,62,127,0.25,3,0.1216875213872251,0.11458333333333333,0.9349680170575693,2.5999844074249268
0.4,0.01,0,62,127,0.25,4,0.12182853284437149,0.07142857142857142,1.0,2.636279582977295
0.4,0.01,0,62,127,0.25,5,0.12618042489272138,0.07051282051282051,0.9307036247334755,2.6587090492248535
0.4,0.01,0,62,127,0.25,6,0.13353987736043116,0.09166666666666666,0.906183368869936,2.6375930309295654
