mu,sigma_c,target_label,target_size,b,b_percentage,realization,ECS,M1,M2,elapsed_time_sec
0.01,0.01,0,100,0,0,0,0.7733088155915687,0.0006064281382656155,0.0033333333333333335,
0.01,0.01,0,100,31,0.01,1,0.7912974287143573,0.0,0.0,1.249582052230835
0.01,0.01,0,100,31,0.01,2,0.7907561755704384,0.0,0.0011111111111111111,1.164214849472046
0.01,0.01,0,100,31,0.01,3,0.6150248339829636,0.0012515644555694619,0.09666666666666666,1.1764931678771973
0.01,0.01,0,100,31,0.01,4,0.7655154244951394,0.0005941770647653001,0.034444444444444444,1.1800754070281982
0.01,0.01,0,100,31,0.01,5,0.7433263947603634,0.0012254901960784314,0.04555555555555556,1.1920554637908936
0.01,0.01,0,100,31,0.01,6,0.7216914665428281,0.0006257822277847309,0.016666666666666666,1.1850223541259766
0.01,0.01,0,100,31,0.01,7,0.7356541003106091,0.0,0.0,1.1845982074737549
0.01,0.01,0,100,31,0.01,8,0.7019140980785927,0.0006257822277847309,0.01,1.3220648765563965
0.01,0.01,0,100,31,0.01,9,0.7428445158813634,0.0006002400960384153,0.0044444444444444444,1.1799027919769287
0.01,0.01,0,100,31,0.01,10,0.7416810918986833,0.0,0.0011111111111111111,1.1800787448883057
0.01,0.01,0,100,154,0.05,1,0.7247064159525876,0.00065359477124183,0.03666666666666667,1.2338125705718994
0.01,0.01,0,100,154,0.05,2,0.6978467757889981,0.001838235294117647,0.13444444444444445,1.235703945159912
0.01,0.01,0,100,154,0.05,3,0.6105683600992752,0.001176470588235294,0.023333333333333334,1.232642650604248
0.01,0.01,0,100,154,0.05,4,0.7784233778623942,0.0,0.0,1.23325777053833
0.01,0.01,0,100,154,0.05,5,0.5942680912246094,0.0008403361344537816,0.02,1.372513771057129
0.01,0.01,0,100,154,0.05,6,0.6509775228524061,0.0006064281382656155,0.034444444444444444,1.247741937637329
0.01,0.01,0,100,154,0.05,7,0.6600283154353876,0.001755926251097454,0.04666666666666667,1.2275192737579346
0.01,0.01,0,100,154,0.05,8,0.623301483531713,0.0008650519031141869,0.034444444444444444,1.231839895248413
0.01,0.01,0,100,154,0.05,9,0.770073727956813,0.001238390092879257,0.08777777777777777,1.243361473083496
0.01,0.01,0,100,154,0.05,10,0.649325474189461,0.0006191950464396285,0.0033333333333333335,1.2333874702453613
0.01,0.01,0,100,309,0.1,1,0.7060484499544923,0.0005941770647653001,0.042222222222222223,1.2502751350402832
0.01,0.01,0,100,309,0.1,2,0.689016306761644,0.0012787723785166241,0.07555555555555556,1.3913683891296387
0.01,0.01,0,100,309,0.1,3,0.7133069102127315,0.0005941770647653001,0.008888888888888889,1.261610507965088
0.01,0.01,0,100,309,0.1,4,0.6952177003973768,0.0009191176470588235,0.014444444444444444,1.262676477432251
0.01,0.01,0,100,309,0.1,5,0.804457469457506,0.0006002400960384153,0.0033333333333333335,1.253535509109497
0.01,0.01,0,100,309,0.1,6,0.7063755530414569,0.0,0.0011111111111111111,1.2633376121520996
0.01,0.01,0,100,309,0.1,7,0.7402698239029712,0.00130718954248366,0.04666666666666667,1.2655909061431885
0.01,0.01,0,100,309,0.1,8,0.7069321064999617,0.0014892032762472078,0.06222222222222222,1.2599091529846191
0.01,0.01,0,100,309,0.1,9,0.717850031717228,0.0006325110689437065,0.0044444444444444444,1.4189372062683105
0.01,0.01,0,100,309,0.1,10,0.742158023168379,0.0007002801120448179,0.05,1.2517695426940918
0.01,0.01,0,100,463,0.15,1,0.7089867726718909,0.000794912559618442,0.0022222222222222222,1.2615125179290771
0.01,0.01,0,100,463,0.15,2,0.709869695917164,0.0018575851393188853,0.11333333333333333,1.2823691368103027
0.01,0.01,0,100,463,0.15,3,0.6959744390215309,0.00065359477124183,0.0033333333333333335,1.2621147632598877
0.01,0.01,0,100,463,0.15,4,0.7994734973659106,0.0006002400960384153,0.04777777777777778,1.2618334293365479
0.01,0.01,0,100,463,0.15,5,0.6758908901866761,0.0010141987829614604,0.01,1.281019687652588
0.01,0.01,0,100,463,0.15,6,0.6784786120807972,0.001212856276531231,0.05,1.4331538677215576
0.01,0.01,0,100,463,0.15,7,0.6695494331016288,0.0006002400960384153,0.028888888888888888,1.2774827480316162
0.01,0.01,0,100,463,0.15,8,0.7224650106822582,0.001212856276531231,0.04777777777777778,1.2836835384368896
0.01,0.01,0,100,463,0.15,9,0.7388306285202559,0.0006393861892583121,0.05,1.2795255184173584
0.01,0.01,0,100,463,0.15,10,0.6210413894901171,0.0013679890560875513,0.08444444444444445,1.2775568962097168
0.01,0.01,0,100,618,0.2,1,0.7055784220824097,0.001265022137887413,0.04888888888888889,1.2831833362579346
0.01,0.01,0,100,618,0.2,2,0.747825755929541,0.0007541478129713424,0.0033333333333333335,1.2964096069335938
0.01,0.01,0,100,618,0.2,3,0.66680588076974,0.000676132521974307,0.03777777777777778,1.4492201805114746
0.01,0.01,0,100,618,0.2,4,0.7321237435044733,0.0006002400960384153,0.0033333333333333335,1.2747790813446045
0.01,0.01,0,100,618,0.2,5,0.7622120574141354,0.0018099547511312218,0.09222222222222222,1.2885875701904297
0.01,0.01,0,100,618,0.2,6,0.7257928713409949,0.0005941770647653001,0.04555555555555556,1.2802784442901611
0.01,0.01,0,100,618,0.2,7,0.7461259771555151,0.0011534025374855825,0.03333333333333333,1.2945556640625
0.01,0.01,0,100,618,0.2,8,0.7303203177853552,0.0006839945280437756,0.01888888888888889,1.2935543060302734
0.01,0.01,0,100,618,0.2,9,0.7942672855072435,0.001212856276531231,0.09111111111111111,1.2683868408203125
0.01,0.01,0,100,618,0.2,10,0.6926200080498699,0.0006609385327164573,0.008888888888888889,1.2655630111694336
0.01,0.01,0,100,772,0.25,1,0.7186113694470685,0.001212856276531231,0.10222222222222223,1.428462266921997
0.01,0.01,0,100,772,0.25,2,0.7600226638688725,0.001292824822236587,0.08666666666666667,1.2789435386657715
0.01,0.01,0,100,772,0.25,3,0.696903477655303,0.0018575851393188853,0.06222222222222222,1.2826998233795166
0.01,0.01,0,100,772,0.25,4,0.7032186916123733,0.0006257822277847309,0.006666666666666667,1.2631900310516357
0.01,0.01,0,100,772,0.25,5,0.7059782959592027,0.001417434443656981,0.07222222222222222,1.2550578117370605
0.01,0.01,0,100,772,0.25,6,0.8596356053556947,0.0006064281382656155,0.03777777777777778,1.2760486602783203
0.01,0.01,0,100,772,0.25,7,0.7403057856110524,0.0006002400960384153,0.07555555555555556,1.278944730758667
0.01,0.01,0,100,772,0.25,8,0.6972882422042717,0.0031512605042016808,0.06666666666666667,1.4386186599731445
0.01,0.01,0,100,772,0.25,9,0.6721931568022924,0.0007002801120448179,0.01,1.2695972919464111
0.01,0.01,0,100,772,0.25,10,0.8162529009889216,0.001212856276531231,0.09111111111111111,1.2932417392730713
0.01,0.01,0,100,927,0.3,1,0.6691436036302544,0.0025575447570332483,0.16666666666666666,1.2906365394592285
0.01,0.01,0,100,927,0.3,2,0.6953149296807792,0.002126151665485471,0.14333333333333334,1.2819173336029053
0.01,0.01,0,100,927,0.3,3,0.6976430766210654,0.0018674136321195146,0.07222222222222222,1.2715933322906494
0.01,0.01,0,100,927,0.3,4,0.7262798730921288,0.0013218770654329147,0.07888888888888888,1.2955963611602783
0.01,0.01,0,100,927,0.3,5,0.6487463234208957,0.0025210084033613447,0.13666666666666666,1.2940254211425781
0.01,0.01,0,100,927,0.3,6,0.691372243216422,0.0006684491978609625,0.015555555555555555,1.458674669265747
0.01,0.01,0,100,927,0.3,7,0.685088700931269,0.0008169934640522876,0.008888888888888889,1.2595527172088623
